# --- 1.0: Разговор насчёт следующего фильма в студии

	10.aa.0@101@t-mk-1@Привет, Макс. Кажется, пришло время кое-что обсудить. У тебя есть время?|Hi, Max. Hast du Zeit, unseren nächsten Film zu diskutieren?

	10.ah.3@67@Ну да, верно... Но получилось у тебя... очень хорошо. Если честно, ни один мужчина такое не делал со мной... Хотя, я не должна такое обсуждать со своим сыном. Всё, проехали...|Richtig.... Aber warum bist du dann so.... unglaublich, um ehrlich zu sein. So etwas hat mir noch nie jemand angetan.... Ich sollte nicht mit meinem Sohn darüber reden.... Lass uns das Thema wechseln.
		10.ah.4^		А Кира?|Was ist mit Tante Kira?

	10.ah.4@60@Что Кира?|Was ist mit ihr?
		10.ah.5^		Она это делает лучше меня?|Ist sie nicht besser als ich?

	10.ah.5@62@Макс! Хватит об этом! Я уже вся красная от стыда. Хотя, сама виновата. Наговорила тебе всякого, теперь вот жалею... Ладно. Кира и правда вне конкуренции, но я говорила о мужчинах. И можешь радоваться, ты меня удивил. Приятно удивил...|Max! Genug davon! Ich bin schon hochrot genug. Ich hätte nichts sagen sollen.... Du hast Recht, Tante Kira ist definitiv besser, aber ich sprach von Männern. Du hast mich überrascht, sei stolz. Es war eine sehr schöne Überraschung....
		10.ah.6^		Обращайся, мам!|Jederzeit, Mom!

	10.ah.6@67@Что значит обращайся?! Всё, это был первый и последний раз! Такое не должны делать родители со своими детьми!|Jederzeit war!? Es war das erste und letzte Mal, Max! Kinder sollen das ihren Eltern nicht antun!
		10.ah.7^		Кто сказал?|Wer hat das gesagt?

	10.ah.7@62@Так принято в нашем обществе! Нельзя такие вещи делать и точка!|So sind die Dinge nun mal! Wir können es nicht tun, das ist es!
		10.ah.8^		Мам...|Mom...

	10.ah.8@69@Всё, сынок, закрыли тему. Давай больше к этому не возвращаться, договорились?|Genug davon, Sohn. Lass uns nicht mehr darüber reden, okay?
		leave!set_Momlust_54!set_poss.car_37^			Посмотрим...|Wir werden sehen....



# --- 1.0: Разговор с Кирой после диалога с Анной и Алисой

	10.ai.0.init@0@Про маму...|Wegen Mom...
	10.ai.0@100@Что именно про маму?|Was ist mit ihr?
		10.ai.1^		Она говорила тебе что-то после фильма?|Hat sie dir nach dem Film etwas erzählt?

	10.ai.1@113@Тебе интересно, понравилось ей или нет?|Du meinst, ob es ihr gefiel oder nicht?
		10.ai.2^		Ну, типа того...|So etwas in der Art

	10.ai.2@114@Она в восторге! Постой, вы же с ней об этом уже говорили. Она ещё так переживала, что тебе всякого наговорила... Ты хотел об этом узнать?|Sie liebte es! Warte, hast du das nicht schon besprochen? Sie war so nervös, weil sie dir zu viel erzählt hat.... Ist es das, worüber du reden willst?
		10.ai.3^		Ну да, что она думает?|Ja

	10.ai.3@113@Она думает, что совершила ошибку, но я её переубеждаю. В конце концов, получать удовольствие это не преступление. Особенно, если всем остальным тоже приятно. Тебе же приятно было это делать для мамы?|Sie denkt, sie hat einen Fehler gemacht, aber ich habe ihre Meinung geändert. Am Ende ist nichts falsch an ein bisschen Vergnügen. Besonders, wenn alle um sie herum auch ihren haben. Du hast es gerne für Mom getan, oder?
		10.ai.4^		Конечно!|Natürlich!

	10.ai.4@101@Вот я ей так и сказала. Но потребуется время, чтобы она смирилась с этим как-то... Но если честно, я её такой давно не видела...|Das habe ich gesagt. Sie wird allerdings etwas Zeit brauchen, um es zu verarbeiten. Um ehrlich zu sein, ich habe sie schon lange nicht mehr so gesehen....
		10.ai.5^		Ты о чём?|What do you mean?

	10.ai.5@112@Ну ты же отлично знаешь, что она давно рассталась с Эриком, да и мы с ней не развлекаемся. А твоя мама... Короче, ей очень нехватает секса!|Weißt du, sie hat sich vor einiger Zeit von Eric getrennt und ich bin wieder auf das Sofa gezogen.... Ich glaube, sie vermisst Sex.
		10.ai.6^		Ого...|Wow!

	10.ai.6@113@И вот после этого фильма, кажется, она на тебя посмотрела совсем иначе, если ты меня понимаешь... К тому же, ни один мужчина не делал для неё такого и так, как ты...|Und jetzt hat sie dich im neuen Licht gesehen, wenn du weißt, was ich meine. Zumal es noch nie ein Mann so gut gemacht hat wie du.
		10.ai.7^		Хм...|Hm...

	10.ai.7@114@В общем, если у тебя есть какие-то фантазии на эту тему, то могу тебя обрадовать, что они вполне могут сбыться. Главное - не слишком торопить события, а то она может закрыться и тогда точно ничего не будет светить...|Wie auch immer, wenn du einige Fantasien darüber hast, bin ich mir ziemlich sicher, dass du nicht allzu weit davon entfernt bist, sie zu realisieren. Drängen Sie sie nur nicht, oder sie wird dich abweisen und du wirst mit nichts zurückgelassen.
		10.ai.8^		Думаешь?|Denkst du?

	10.ai.8@101@Конечно! Я бы могла написать сюжет, где ты сразу должен трахаться со своей мамой, но сделай я такое, то точно ничего не получилось бы. Я же действую планомерно, постепенно, чтобы она как-то сама к этому пришла, понимаешь?|Natürlich! Wir arbeiten schon lange daran, aber wir können nicht einfach.... zuerst in diesen Kopf eintauchen, wenn du weißt, was ich meine. Es braucht Zeit.
		10.ai.9^		Кажется, да...|Ich verstehe

	10.ai.9@113@Вот и хорошо. Такие вещи не случаются по щелчку пальцев как в порнофильмах. Но в целом, для тебя всё складывается очень хорошо. Конечно, если ты этого хочешь... Ты же этого хочешь?|Gut. Zu schade, dass du sie nicht in einer Szene wie in einem Porno mit dir schlafen lässt, was? Keine Sorge, du hast dein Ziel fast erreicht. Du willst sie doch, oder?
		10.ai.10^		Очень!|Ich will sie <b>so sehr</b>!

	10.ai.10@114@В общем, наберись терпения и всё будет хорошо... Рано или поздно, так или иначе...|Okay, dann hab einfach Geduld. Du wirst es irgendwann schaffen. Rom wurde nicht an einem Tag erbaut.
		leave!set_Momlust_55!set_dcd.Momlust_2!set_poss.car_38^			Понял!|Hab's kapiert



# --- 1.0: Разговор с Кирой и Анной у бассейна по поводу фильма, выдача денег

	10.aj.0@101@А вот и Макс... Мы как раз обсуждали фильм. Присоединишься к нам?|Hierher Max. Wir sprachen gerade über den Film. Willst du dich uns anschließen?
		10.aj.1^		Конечно. Что обсуждали?|Natürlich! Wo warst du?

	10.aj.1@113@Твоя мама делилась со мной эмоциями по поводу того, какой ты... талантливый актёр...|Deine Mutter sprach davon, wie gut und talentiert du bist.
		10.aj.2^		Ох...|Oh

	10.aj.2@62@Кира, прекрати! Мы просто рассуждали о том, что можно снять в следующем фильме...|Hör auf, Kira! Wir sprachen gerade über mögliche nächste Filme.
		10.aj.3^		Есть идеи?|Irgendwelche Ideen?

	10.aj.3@69@Есть идея, что это всё давно далеко зашло... Хотя, кто меня слушает...|Ich habe eine Idee, dass wir die Dinge zu weit treiben, nicht dass jemand zuhört....
		10.aj.4^		<i>далее</i>|<i>fortfahren</i>

	10.aj.4@113@Хватит уже, я давно знаю, что тебе и самой нравятся наши съёмки. Из тебя хорошая актриса только на съёмочной площадке, а вот сейчас ты как-то неуверенно играешь...|Wir alle wissen, wie sehr du unsere Filme liebst. Du bist sehr gut vor der Kamera, aber du bist kein überzeugender Lügner.
		10.aj.5^		<i>далее</i>|<i>fortfahren</i>

	10.aj.5@68@Играю? И ничего я не играю... Ладно, проехали. Да, Кира, ты как раз про деньги говорила...|Ich lüge nicht, aber Du hast Recht. Wir müssen nicht darüber reden. Also, wegen des Geldes....
		wro=0&10.aj.6a^		Про деньги?|Ja ja, wie viel bekomme ich?
		wro=1&10.aj.6b^		Про деньги?|Ja ja, wie viel bekomme ich?
		wro=2&10.aj.6c^		Про деньги?|Ja ja, wie viel bekomme ich?
		wro>2&10.aj.6d^		Про деньги?|Ja ja, wie viel bekomme ich?

	10.aj.6a@101@Да, точно. Я хотела тебя поблагодарить за то, что ты очень хорошо выучил свою роль. Ни одной ошибки! Поэтому, за этот фильм тебе полагается $1500!|Richtig, deswegen. Du warst sehr gut und hast keinen einzigen Fehler gemacht! Du bekommst $1500.
		10.aj.6!add_money_1500^		Спасибо!|Danke!

	10.aj.6b@101@Да, точно. Хотя ты и сделал всего одну ошибку, в остальном ты был великолепен! Поэтому, я не буду тебя штрафовать, вот твои $1500, вся сумма.|Richtig! Du hast einen Fehler gemacht, aber sonst warst du großartig! Ich werde dich diesmal nicht bestrafen, du bekommst alle $1500!
		10.aj.6!add_money_1500^		Спасибо!|Danke!

	10.aj.6c@101@Да, точно. В этот раз было достаточно много реплик и это вполне естественно, что ты сделал пару ошибок. Ты заработал $1300!|Richtig, deswegen. Du hattest diesmal viele Zeilen, also ist es verständlich, dass du ein paar Fehler gemacht hast. Du bekommst $1300.
		10.aj.6!add_money_1300^		Спасибо!|Danke!

	10.aj.6d@101@Да, точно. Макс, я знаю, что в этот раз было достаточно много реплик, но старайся лучше учить свою роль. Было достаточно много ошибок. Поэтому, ты получаешь всего $1000.|Richtig, deswegen. Ich weiß, du hattest diesmal viele Zeilen, Max, aber du hast zu viele Fehler gemacht. Du bekommst nur $1000.
		10.aj.6!add_money_1000^		Ну тоже неплохо...|Eh, gut genug.

	10.aj.6@67@Хорошие деньги за пару часов съёмок, включая подготовку, правда?|Anständiges Geld für ein paar Stunden Arbeit, richtig?
		10.aj.7^		Да, мам...|Ja, Mom

	10.aj.7@100@Ань, а ты не думала работать дополнительно в студии?|Ann, was hältst du von mehr Arbeit im Studio?
		10.aj.8^		<i>далее</i>|<i>fortfahren</i>

	10.aj.8@60@В каком смысле?|Was meinst du damit?
		10.aj.9^		<i>далее</i>|<i>fortfahren</i>

	10.aj.9@101@Ну не только в этой серии фильмов с семьёй, но и в других фильмах?|Ich meine nicht nur in unseren Filmen, sondern auch in einigen anderen.
		10.aj.10^		Маме это не надо!|Mom braucht das nicht!

	10.aj.10@69@Почему, сынок? Лишние деньги - не лишние. А можно конкретнее, о чём речь?|Warum nicht? Wir brauchen das Geld. Was schwebt dir vor?
		10.aj.11^		<i>далее</i>|<i>fortfahren</i>

	10.aj.11@101@Ну мы запускаем ещё одну серию фильмов в стиле БДСМ... И нашему директору показалось, что ты могла бы поучаствовать...|Wir starten eine weitere Serie von Filmen im BDSM-Stil und unser Regisseur denkt, dass du gut zu uns passen könntest.
		10.aj.12^		Мам, откажись!|Sag nein, Mom!

	10.aj.12@69@Сынок, если я смогу зарабатывать без необходимости вовлекать свою семью в такое, то надо этим воспользоваться!|Sohn, wenn ich genug Geld allein verdienen kann, damit ich die Familie nicht mehr in diesen Dreck ziehen muss, werde ich die Gelegenheit nutzen.
		10.aj.13^		Тётя Кира!|Tante Kira!

	10.aj.13@114@Макс, ты ревнуешь? Успокойся! Твоей маме не придётся ни с кем трахаться. Так, немного латекса, девушек...|Bist du eifersüchtig, Max? Mach dir keine Sorgen. Deine Mom wird niemanden ficken müssen. Nur etwas Latex und Mädchen....
		10.aj.14^		Точно?|Bist du sicher?

	10.aj.14@113@Обещаю. С девушками, возможно, и придётся что-то делать. Или они с твоей мамой... Там уж смотря какой сюжет... Но деньги неплохие...|Ich verspreche es. Vielleicht muss sie ein paar Sachen mit Mädchen machen. Oder vielleicht tun Mädchen etwas mit Mom.... Kommt auf den Film an.... Aber es ist gutes Geld.
		10.aj.15^		Блин...|Mist....

	10.aj.15@69@Кира, давай об этом поговорим в другое время. Я не знаю почему Макс так реагирует...  Сынок, не мог бы ты немного погулять, пока мы тут болтаем?|Wir sollten ein anderes Mal reden, Kira. Ich weiß nicht warum, aber Max reagiert eindeutig übertrieben. Kannst du bitte etwas anderes tun, Sohn? Deine Tante und ich müssen reden.
		leave!set_Momlust_56!set_poss.car_39^			Ну хорошо...|Okay...



# --- 1.0: Диалог с Кирой насчёт её предложения Анне

	10.ak.0.init@0@Что ты предложила маме?|Was hast du Mom über ein anderes Pornoprojekt erzählt?
	10.ak.0@100@Макс, успокойся, сейчас я тебе всё расскажу...|Entspann dich, Max, ich sage dir alles.
		10.ak.1^		Слушаю|Okay, ich höre zu.

	10.ak.1@101@Если ты подглядывал за мамой с Эриком, то мог заметить, что твоей маме очень нравились все эти их игры, ну ты понимаешь...|Wenn du auf deine Mutter und Eric schaust, weißt du vielleicht, dass sie eine unterwürfige Ader hat....
		10.ak.2^		И?|Und?

	10.ak.2@113@И я подумала, что чтобы вовлечь твою маму в съёмки порно ещё больше, нужно использовать то, что ей нравится. К тому же, нам как раз была нужна актриса для этой роли. Я бы и сама смогла поучаствовать, но занимаюсь следующим фильмом...|Und ich denke darüber nach, das zu benutzen, womit sie gerne in mehr Pornos mitmacht. Außerdem brauchen wir dafür eine Schauspielerin. Ich könnte es tun, aber ich bin bereits mit unseren Filmen beschäftigt.
		10.ak.3^		И что она будет там делать?|Und was wird sie dort tun?

	10.ak.3@114@Подробностей не знаю, но это ей точно понравится. Никаких мужиков не планируется, лесбийские игры, плётки, наручники, латекс, всё такое...|Ich kenne die Details nicht, aber ich bin sicher, sie wird es lieben. Es wird keine Männer geben, nur ein paar Mädchen, Manschetten, Wimpern, Latex und Spaß....
		10.ak.4^		Хм...|Hm...

	10.ak.4@113@Ты уже относишься к своей маме как к своей женщине? Не слишком торопишь события? Кстати, я её успокоила и объяснила твою реакцию заботой о ней и её безопасности. Ну, чтобы никто к тебе не приставал и всё такое...|Du behandelst Mom schon, als wäre sie deine. Bist du nicht zu weit gegangen? Übrigens, ich habe deine Reaktion damit erklärt, dass du dir Sorgen um ihr Wohlbefinden gemacht hast. Als ob du Angst hättest, jemand würde sie zu etwas zwingen, was sie nicht will.
		10.ak.5^		Она поверила?|Hat sie dir geglaubt?

	10.ak.5@114@Конечно! Я же очень убедительна. Ей даже приятно, что ты о ней так беспокоишься...|Offensichtlich. Ich bin sehr überzeugend. Sie ist jetzt sogar dankbar für deine Besorgnis.
		10.ak.6^		И какой твой план?|Also, über ein anderes Projekt

	10.ak.6@101@Ну я думаю, что если твоя мама будет иногда участвовать в таких съёмках, она будет менее зажатая. Может быть, это начнёт проявляться и дома, в том числе и в семье...|Ich denke, in diesen Filmen zu sein, wird deine Mutter offener machen und ich hoffe, dass sie die Veränderung nach Hause tragen wird.
		10.ak.7^		Будет ходить с плёткой?|Als würde sie mit einer Peitsche durchs Haus laufen?

	10.ak.7@113@Нет, что ты... Ну как минимум, перестанет причитать перед каждым фильмом, что что-то неправильно... Да и в постели, может быть, позволит себе чуть больше...|Nein, eher.... Vielleicht hört sie endlich auf, sich vor jedem unserer Filme zu beschweren. Und vielleicht lässt sie dich mehr im Bett machen....
		10.ak.8^		И зачем ей этой, ей и на работе секса хватит...|Warum sollte sie das wollen, wenn sie viel Sex auf der Arbeit hat?

	10.ak.8@114@А вот это самое интересное. Я договорилась с режиссёром, чтобы у твоей мамы не было секса, даже с другими девушками. Думаю, она будет перевозбуждаться на работе, а домой будет приходить неудовлетворённая... Понимаешь?|Ah, das ist der gute Teil! Ich habe mit dem Direktor und anderen Mädchen gesprochen. Sie wird auf ihrer neuen Arbeit nicht abspritzen können, also wird sie nach Hause zurückkehren, ganz geil und unzufrieden. Verstehst du es jetzt?
		10.ak.9^		Хм. Ну, если так...|Ja, das klingt ziemlich erstaunlich. Aber wie sollte ich deinen Plan kennen, bevor du es mir gesagt hast?

	10.ak.9@101@Если так? Ты недоволен?|Ja, ich verstehe, warum Sie am Anfang gegen die Idee waren. Aber jetzt, wo Sie das ganze Bild kennen, denken Sie an die Möglichkeiten....
		10.ak.10^		Я ещё не понял...|Hast du etwas Bestimmtes im Sinn?

	10.ak.10@113@Ну вот подумай. Лучшего варианта я и придумать не могу. Уж точно эти твои приставания к маме в постели не приведут тебя ни к чему, а этот способ точно сработает.|Nun, ich bezweifle, dass deine Übernachtungen unter normalen Umständen zu etwas führen werden, aber wenn sie nach dem Shooting super geil ist, wer weiß, was passieren wird.
		10.ak.11^		Почему ты так уверена?|Bist du sicher?

	10.ak.11@114@Да потому, что я знаю на что способна твоя мама и знаю как её к этому подвести. В конце концов, я же добилась того, чего хотела. Поэтому, просто доверься мне...|Ich kenne deine Mutter. Ich weiß, wie man sie dazu bringt, das zu tun, was man will. Ich habe selbst bekommen, was ich wollte, oder? Also Ja, ja, ich bin mir ziemlich sicher.
		10.ak.12^		Ладно...|Okay

	10.ak.12@113@Вот увидишь, ещё захочешь меня отблагодарить...|Du wirst sehen, du wirst deine Dankbarkeit für diese Idee zeigen wollen.
		10.ak.13^		Да хоть сейчас!|Jederzeit!

	10.ak.13@101@Я не об этом... Хотя... Ладно, иди прими холодный душ. А то кажется, до тебя начало доходить, что именно я придумала...|Das meinte ich nicht.... Obwohl.... Nein, geh eine kalte Dusche nehmen, ich denke, du fängst endlich an, die Möglichkeiten zu erkennen, die du nach dem neuen Job deiner Mom bekommen wirst.
		10.ak.14^		А когда она приступит к работе?|Wann fängt sie an?

	10.ak.14@100@Ну понадобится время, чтобы всё организовать, да и актёрский состав ещё не до конца подобран...|Sie werden etwas Zeit brauchen, um sich zu organisieren, dafür ist es jetzt zu früh.
		10.ak.15^		А парни там не нужны?|Brauchen sie männliche Schauspieler?

	10.ak.15@113@Тебе недостаточно секса на съёмках семейных фильмов? Хотя, тебе секса всегда недостаточно, верно?|Hast du nicht genug mit unseren Filmen? Warte, was sage ich, es ist nie genug für dich, oder?
		10.ak.16^		Конечно!|Natürlich!

	10.ak.16@114@Ненасытный! Нет, Макс, парней там не будет. Даже тебя. Ты будешь дома, а дальше... всё в твоих руках...|Tut mir leid, dass ich es dir sagen muss, Max, aber es wird keine Männer in diesem Projekt geben. Du musst einfach alles zu Hause machen, wie immer.
		10.ak.17^		Понятно...|Ich verstehe

	10.ak.17@101@Кстати, как у тебя с мамой продвигается? Есть какой-то прогресс?|Übrigens, wie läuft es mit Mom? Irgendwelche Fortschritte?
		10.ak.18^		Ну... Есть немного...|Einige...

	10.ak.18@113@Я тут подумала, может вам вместе порно какое смотреть? Хотя нет, дома при семье порно смотреть она не будет. Тогда, попробуй купить какую-нибудь эротику...|Ich dachte, vielleicht solltet ihr zwei mal Pornos gucken? Das könnte zu etwas Interessantem führen. Aber fang nicht mit Pornos an, versuch erst mal etwas Erotik.
		10.ak.19^		Мы это уже проходили...|Das habe ich schon versucht.

	10.ak.19@101@Ну да... Но теперь у вас более близкие отношения. Может быть, будет какой-то прогресс? Да и ты принял тот препарат... понимаешь, о чём я?|Ihr zwei seid jetzt näher dran. Es schadet sowieso nicht, es zu versuchen. Außerdem könnte die Pille, die du genommen hast, dir helfen.
		10.ak.20^		А где купить?|Wo kann ich den Film bekommen?

	10.ak.20@113@Я дам тебе ссылочку. Не уверена, что там есть эротика, но может быть и найдётся какой-то фильм. Посмотри в интернет-магазине...|Ich gebe dir den Link. Du wirst dort wahrscheinlich etwas finden.
		leave!set_Momlust_57!set_dcd.Momlust_5!set_can.buyeromovie_1!set_poss.car_40^			Всё понял. Сп?сибо!|Verstanden. Danke!



# --- 1.0: Диалог с Лизой по поводу подглядывания за Алисой (для варианта, если с Лизой уже был об этом разговор, а также для варианта, если нет по какой-то причине)

	10.bb.0.init@0@Слушай, а ты любишь подглядывать?|Magst du es, zu gucken?
	10.bb.0@41@В каком смысле? Ты имеешь в виду просто следить или...?|Du meinst wie du, auf eine sexuelle Art?
		10.bb.1^			Или...|Ja ja

	10.bb.1@43@Мне кажется, что все любят подглядывать за чужой жизнью...|Nun ja.... Ja, das tue ich tatsächlich. Du bist nicht der einzige Perverser in der Familie, erinnerst du dich?
		10.bb.2^			Я имел в виду другое...|Wow...

	10.bb.2@41@Да я поняла что ты имел в виду. Короче, нравится, а что? Тебе нужны зрители?|Warum fragst du überhaupt? Willst du, dass ich dich ansehe?
		10.bb.3^			За чем?|Was ich tue?

	10.bb.3@48@Ну за тем, как ты трахаешься с кем-то, например...|Ich mache das Ficken, offensichtlich.
		blol<2&10.bb.4a^	Ни с кем я не трахаюсь...|Aber ich ficke niemanden.
		blol>1&10.bb.4b^	Ты про Алису?|Du meinst Alice?

	10.bb.4a@41@Ты меня совсем за дурочку держишь? Я про Алису говорю!|Hältst du mich für einen Idioten? Ich rede von Alice.
		10.bb.4a.2^		Э...|Em...

	10.bb.4a.2@43@Да, да. Я всё знаю! Думаешь, мне не любопытно было, куда это ты уходишь ночью?|Ja ja, ja ja ja, ich weiß. Ich war neugierig, was ihr zwei nachts macht.
		10.bb.4a.3^		Так паук же...|A-Aber Spinnen....

	10.bb.4a.3@41@Паук? Это поза у вас такая? Мне она не показалась какой-то экзотической...|Ist das der Name der Stellung? Es sah nicht wie etwas mit einem ausgefallenen Namen aus.
		10.bb.4a.4^		Значит, ты всё видела?|Du hast uns also gesehen?

	10.bb.4a.4@48@Угу. Прокралась через балкон и отлично видела то, что видела. Не надо изображать из себя ничего...|Ja, ich schlich mich auf den Balkon und sah alles. Damit du die Show fallen lassen kannst.
		10.bb.4a.5^		И что ты об этом думаешь?|Und wie fühlst du dich dabei?

	10.bb.4a.5@43@Я думаю, что ты извращенец, каких мало. Хотя, откуда я знаю. Может быть, таких и много... Трахать свою семью это нормально, по твоему?|Ich denke, du bist ein großer Perverser. Findest du das normal, die Hälfte deiner Familie zu ficken?
		10.bb.4a.6^		Ты вроде не возражала...|Es hat dir nichts ausgemacht.

	10.bb.4a.6@41@Да иди ты... Делай что хочешь...|Weißt du was, geh.... mach was du willst.
		10.bb.4a.7^		Лиза, не обижайся...|Es tut mir leid, Lisa

	10.bb.4a.7@40@Не обижаться на то, что ты нас используешь? Я думала, что у нас с тобой что-то такое, а ты...|Was tut dir leid, uns zu benutzen? Ich dachte, wir hätten etwas und du....
		10.bb.4a.8^		Может быть, ты ревнуешь?|Bist du eifersüchtig?

	10.bb.4a.8@46@Вот ещё! Просто... Я не знаю как объяснить. С одной стороны, я люблю тебя... И Алису люблю... Но видеть вас вместе... Не знаю. Это не ревность, просто не знаю как объяснить...|Nein! Es ist nur.... Ich kann es nicht erklären. Einerseits liebe ich dich.... Und ich liebe Alice.... Aber euch beide zusammen zu sehen.... Ich weiß nicht....
		10.bb.4a.9^		Я тоже тебя люблю!|Ich liebe dich auch!

	10.bb.4a.9@41@Вот это правильные слова. Мне стало легче, спасибо... Ладно, так о чём ты хотел поговорить?|Danke, Max.... Was wolltest du überhaupt besprechen?
		10.bb.4a.10^	Да просто...|Nun ja....

	10.bb.4a.10@48@Что, уже забыл? Я так поняла, ты хотел предложить мне понаблюдать за вами? Или что-то не поняла?|Hast du es vergessen oder so? Ich denke, du wolltest vorschlagen, euch beide zuzuschauen, richtig?
		10.bb.5^		Ну...|Em...

	10.bb.4b@41@А ты трахаешься с кем-то ещё? Хотя, не отвечай, не хочу даже думать об этом...|Fickst du auch jemand anderen? Warte, antworte nicht, ich will es nicht wissen.
		10.bb.4b.1^		Э...|Okay...

	10.bb.4b.1@40@Ладно, забей. Так что ты хотел спросить? Только это и всё?|Wie auch immer, warum fragst du?
		10.bb.4^		Может быть...|Kein Grund

	10.bb.4@41@Может быть? Значит, сам не знаешь? Постой... Тогда и я тебя спрошу. А тебе нравится, когда за тобой наблюдают?|Em.... okay.... Dann lass mich dir auch eine Frage stellen. Gefällt es dir, beobachtet zu werden?
		10.bb.5a^		Ну, да...|Ja
		10.bb.5b^		Не особо...|Nicht wirklich

	10.bb.5b@43@Так я тебе и поверила... Просто никому это не надо, вот поэтому ты так и говоришь...|Ja, ja, richtig. Du hast einfach niemanden, der dich ansieht, oder?
		10.bb.5a^		Ну может быть...|Vielleicht....

	10.bb.5a@43@Ага, так и думала... Так что ты хотел мне предложить? Наблюдать за вами? Или что-то не так поняла?|Dachte ich mir. Also, du bittest mich, Alice und dich anzusehen, verstehe ich dieses Gespräch richtig?
		10.bb.5^		Э... ну...|Ja

	10.bb.5@41@Ладно. Только Алисе не говори. Не знаю как ей в глаза потом смотреть...|Okay, aber sag es nicht Alice. Ich könnte ihr nicht in die Augen sehen, wenn sie es wüsste.
		10.bb.6^		Хорошо...|Okay

	10.bb.6@43@Постой, а тебя что, не встаёт... ну, без зрителей?|Warte, warum soll ich überhaupt nachsehen? Hast du Probleme ihn ohne mich hochzubekommen und brauchst eine zusätzliche Stimulation?
		10.bb.7^		Всё у меня встаёт!|Wirklich? <i>Ich</i> haben ein Problem damit?

	10.bb.7@41@Ну да, тоже верно... Ладно, я не против. Наоборот, даже может быть любопытно... Ну всё, давай сменим тему...|Richtig, ich habe das hier nicht durchdacht.... Wie auch immer, ich bin unten. Ich werde mir mal eines deiner Spiele ansehen. Jetzt lass uns das Thema wechseln.
		leave!set_lico_2!set_alis_4^			Ага...|Okay



# --- 1.0: Ответвление с пауком, где Макс спит с Алисой, 09.txt, строка 1411

	10.ba.0@22@Хотя... Ты знаешь, мне этого недостаточно...|Warte, ich will mehr....
		alis=1&10.ba.1^					Мне тоже!|Ich auch
		alis=2&10.ba.6^					Мне тоже!|Ich auch
		alis=3&10.ba.12!max_lico_1^		Садись сверху!|Setz dich auf mich
		alis=3&10.ba.15!max_lico_1^		Поворачивайся!|Dreh Dich rum
		alis=4&10.ba.20^				Супер!|Super


	10.ba.1@21@a-alisasleep-1@Всё, Макс. Ни слова! Просто лежи и ничего не делай, я уже почти...|Und kein Wort, Max! Bleib liegen und tu nichts, ich bin fast....
		10.ba.2^		Ух...|Oh...

	10.ba.2@4@a-alisasleep-2@<i>Похоже, я завёл сестрёнку как надо... Прыгает на мне так, как будто в последний раз трахается! О да, Алиска... давай...</i>|<i>Schwester ist heute richtig geil.... Sie reitet mich, als wäre es ihr letztes Mal! Ja, Alice, mach weiter....</i>
		10.ba.3^		<i>наслаждаться</i>|<i>genieße ihren Ritt</i>

	10.ba.3@5@<i>Да тут никто не выдержит! Это же лучший секс в моей жизни! Я же так кончу... Ох, сестрёнка...</i>|<i>Ich kann nicht mehr warten, das ist der beste Sex meines Lebens! Ich werde abspritzen!</i>
		10.ba.4^		<i>кончить в Алису</i>|<i>spritze in Alice</i>

	10.ba.4@32@a-alisasleep-1b@О да... Я кончила... Постой... Ты что, кончил прямо в меня? Макс, ты придурок? Я же могу так залететь! Блин, теперь ещё и в душ идти... Всё, натягивай шорты и вали в свою комнату!|Ja.... Ich bin gekommen.... Warte.... Bist du in mir gekommen? Das kannst du nicht machen, du Idiot! Und wenn ich schwanger werde? Jetzt muss ich duschen.... Zieh deine Hose an und verschwinde, du Idiot!
		10.ba.5^		Было классно!|Danke, ich hatte eine tolle Zeit.

	10.ba.5@25@Знаю, мне тоже понравилось, но вали уже!|Ich auch, jetzt raus hier!
		leave!set_dcd.spi_3!set_alis_2^		Ага...|Okay

	10.ba.6@21@a-alisasleep-1@Тогда лежи и молчи... И в этот раз не вздумай кончать в меня, понял? В прошлый раз тебе повезло, а если повторится, яйца оторву!|Dann bleib ruhig liegen und sei still.... Und denk nicht mal daran, mich anzufassen, sonst trete ich dir in die Eier!
		10.ba.7^		Ого...|Wow

	10.ba.7@4@a-alisasleep-2@<i>Да, в прошлый раз я что-то перестарался... Но было классно! Да и сейчас тоже... Ох, сколько в ней страсти и энергии...</i>|<i>Das hättest du beim letzten Mal nicht tun sollen.... Aber es war so erstaunlich! Sie ist so leidenschaftlich....</i>
		10.ba.8^		<i>далее</i>|<i>fortfahren</i>

	10.ba.8@21@a-alisasleep-1@Давай сменим позу... Теперь ты будешь двигаться... Сзади. Но не в попку!|Lass uns die Position ändern, du bist dran, dich zu bewegen. Von hinten, aber denk nicht mal dran, ihn mir in den Arsch zu stecken!
		10.ba.9^		Ага...|Okay

	10.ba.9@25@a-alisasleep-5@Да, так... Очень хорошо... Быстрее! Ещё...|Ja, einfach so.... Sehr gut.... Schneller!
		10.ba.10^		<i>ус?ориться!</i>|<i>fick schneller</i>

