# --- 0.7: Диалог с Кирой насчёт прогресса по маме

	07.abc.0.init@0@Ну, как с мамой спится?|Also, wie ist es, mit Mom zu schlafen?
		07.abn.5^		<i>далее</i>|<i>fortfahren</i>

	07.abn.5@126@Хорошо. Надеюсь, роли все выучили, а то времени для кучи дублей не будет. Да, я привёз одежду. Пока переодеваетесь, я всё подключу и поставлю свет...|Okay. Ich hoffe, jeder kennt seine Rolle, wir haben keine Zeit für viele Aufnahmen. Hier sind eure Kostüme, ich bereite alles vor, während ihr euch umzieht.
		07.abn.6^		<i>далее</i>|<i>fortfahren</i>

	07.abn.6@101@Хорошо, Миш. Не будем терять время. Макс, Аня, бегом переодеваться, держите вещи.|Okay, lass uns keine Zeit verschwenden und uns umziehen.
		07.abn.7^		Ага...|Ja ja

	07.abn.7@69@p-mike-3@Платье не слишком узкое?|Ist das Kleid nicht zu eng?
		07.abn.8^						В самый раз!|Es ist perfekt!
		07.abn.8!add_mom.mood_50^		Ой, мам... Я... ну... Классно, в общем!|Wow, Mom.... Das ist.... E... Es ist perfekt!

	07.abn.8@113@Да, Ань, всё отлично. Я же знаю твой размер. И сними трусики, они в сюжет не входят...|Ja, alles sieht toll aus, Ann, ich kenne deine Größe. Und zieh dein Höschen aus, du brauchst es nicht.
		07.abn.9^		Ого...|Wow...

	07.abn.9@69@Ладно, ладно, снимаю... Так, а в каком порядке те сцены будут?|Okay, ich bin bereit zu drehen. In welcher Reihenfolge drehen wir?
		07.abn.10^		<i>далее</i>|<i>fortfahren</i>

	07.abn.10@101@Сначала Макс идёт, потом сцена с нами. Потом всё смонтируют как надо, тебе не надо об этом думать. Ну всё, Макс, всё готово. Начнём с тебя. Иди изображай вернувшегося домой любящего сына...|Zuerst Max, dann die Mädchen. Wir bearbeiten alles später, keine Sorge. Okay, Max, wir sind bereit. Geh und spiel einen Sohn, der gerade von der Schule zurück ist.
		07.abn.11^		Да легко!|Einfach!

	07.abn.11@1@p-show-1@<i>Так, я возвращаюсь домой раньше запланированного. Мама должна быть дома... Что же мне там надо на камеру сказать?</i>|<i>Okay, ich komme früher von der Schule zurück. Mom sollte zu Hause sein.... Was hätte ich sagen sollen?</i>
		07.abn.12!add_wro_1^	<i>идти молча</i>|<i>komm leise herein</i>
		07.abn.12^				Мам, я дома! Сегодня нас чуть раньше отпустили...|Mom ich bin zu Hause! Ein paar Stunden sind bei uns ausgefallen...
		07.abn.12!add_wro_1^	Какая чудесная погода!|Was für ein tolles Wetter!

	07.abn.12@2@p-show-2@<i>Мамы типа нигде нет, я делаю задумчивый вид... Что же там дальше?</i>|<i>Ich kann Mom nirgendwo sehen, ich sollte verwirrt aussehen.... Jetzt was?</i>
		07.abn.13^				Мам, ты где? Я хотел рассказать как всё прошло...|Mom wo bist du? ich will mit dir reden...
		07.abn.13!add_wro_1^	Интересно, где мама?|Ich frage mich, wo Mom ist.
		07.abn.13!add_wro_1^	Хм... Может, перекусить немного?|Hm.... Soll ich was essen?

	07.abn.13@0@<i>Так, выждал паузу и прислушался. Делаю вид, что услышал что-то наверху...</i>|<i>Ich warte auf eine Antwort. Tu so, als hätte ich oben etwas gehört.</i>
		07.abn.14!add_wro_1^	Похоже, никого нет дома...|Sieht aus, als wäre niemand zu Hause....
		07.abn.14!add_wro_1^	Чем бы таким заняться? Может, посмотреть порно?|Was soll ich tun? Vielleicht sollte ich mir ein paar Pornos ansehen?
		07.abn.14^				Видимо, мама наверху и не слышит...|Ich nehme an, sie wird oben sein und mich daher nicht hören...

	07.abn.14@4@p-show-3@<i>Теперь я естественной походкой подхожу к двери, чтобы поздороваться... Или что там?</i>|<i>Jetzt gehe ich auf die Tür zu, um Hallo zu sagen.... Oder soll ich still sein??</i>
		07.abn.15^				<i>идти молча</i>|<i>gehe leise</i>
		07.abn.15!add_wro_1^	Мам, я дома! Сегодня нас чуть раньше отпустили...|Ich bin zu Hause, Mom! Ich habe einen Kurs abgesagt....
		07.abn.15!add_wro_1^	Мам, ты где? Я хотел рассказать как всё прошло...|Wo bist du, Mom? Ich wollte mit dir reden....

	07.abn.15@3@p-show-4@<i>Так, теперь заглядываю и говорю что-то тихо...</i>|<i>Jetzt schaue ich hinein und sage leise....</i>
		07.abn.16!add_wro_1^	Похоже, я не зря так спешил домой...|Gut, dass ich früher nach Hause kam.
		07.abn.16^				Кажется, мама злится на горничную, ей не до меня... Подожду, пока они закончат...|Oh, scheinbar hat Mom gerade ein ernstes Gespräch mit unserer Haushaltshilfe... Ich sollte warten, bis Sie fertig sind...
		07.abn.16!add_wro_1^	Интересно, что они делают?|Ich frage mich, was sie tun

	07.abn.16@64@p-show-5@...значит, это ты украла те деньги... Ну всё, Марта, тебя больше не ждёт ничего хорошего. Мне придётся обратиться в полицию...|...du hast mein Geld gestohlen.... Das war's für dich, Martha, ich muss die Polizei rufen....
		07.abn.17^		<i>далее</i>|<i>fortfahren</i>

	07.abn.17@107@О нет, не делайте этого! Я отработаю все деньги и сделаю всё, что только скажете!|Nein, bitte, tu mir das nicht an! Ich mache alles, was du willst!
		07.abn.18^		<i>далее</i>|<i>fortfahren</i>

	07.abn.18@63@p-show-6@Ну не знаю, Марта. За это полагается не только увольнение с позором, но и тюремный срок, если ты не в курсе. Скорее всего, тебя ждёт экстрадиция...|Ich weiß nicht, Martha, nicht nur du solltest im Gefängnis verrotten, ich sollte dir wahrscheinlich deinen Arsch auf Eis legen.
		07.abn.19^		<i>ох, как загнула...</i>|<i>Wow...</i>

	07.abn.19@112@Пожалуйста, позвольте мне вас переубедить!|Lassen Sie sich von mir überreden, das zu überdenken!
		07.abn.20^		<i>далее</i>|<i>fortfahren</i>

	07.abn.20@62@p-show-7@Ох, не знаю, как ты можешь это сделать. Я очень расстроена. Ты так долго у нас работала и я тебе доверяла... А теперь... Даже не представляю, что ты можешь сделать, чтобы как-то загладить свою вину...|Ich weiß nicht, wie du das machen konntest. Du hast mich sehr traurig gemacht, Martha. Du hast so lange hier gearbeitet, ich habe dir vertraut.... Ich kann mir nicht vorstellen, was du tun kannst, um meine Meinung zu ändern....
		07.abn.21^		<i>далее</i>|<i>fortfahren</i>

	07.abn.21@101@p-show-8@Может быть, если я подниму вам настроение, то вы передумаете обращаться в полицию?|Wenn ich deine Stimmung verbessern könnte, würdest du vielleicht nicht die Polizei rufen?
		07.abn.22^		<i>далее</i>|<i>fortfahren</i>

	07.abn.22@60@p-show-9@Поднимешь настроение? Ну что же, попробуй... Только поспеши, мой сын должен скоро вернуться. Он не должен нас увидеть...|Du kannst es versuchen.... Aber beeil dich, mein Sohn sollte jede Minute zu Hause sein. Er darf uns nicht so sehen....
		07.abn.23^		<i>далее</i>|<i>fortfahren</i>

	07.abn.23@4@p-show-10@<i>А я как раз увидел! Так... что же мне нужно сказать?</i>|<i>Dennoch kann ich alles sehen! Nun, was ist meine nächste Zeile....</i>
		07.abn.24!add_wro_1^	О, сейчас начнётся!|O-o-o, Irgendetwas ist passiert!
		07.abn.24^				Мама с Мартой? Интересно, а папа в курсе?|Mom und Martha? Ich frage mich, was Vater dazu sagen wird...
		07.abn.24!add_wro_1^	Мама без трусиков перед голой Мартой?!|Mama ohne Höschen vor der nackten Martha?

	07.abn.24@62@p-show-11@Марта, старайся лучше... Покажи, как сильно ты хочешь прощение...|Gib dir mehr Mühe, Martha. Zeig mir, dass es dir wirklich leid tut....
		07.abn.25^		<i>кажется, Кира не играет, а очень даже старается...</i>|<i>Ich glaube nicht, dass Tante Kira spielt, sie versucht ihr Bestes.</i>

	07.abn.25@3@p-show-12@<i>Так, сейчас я должен что-то сделать... Ах да, снять штаны и начать дрочить, глядя на них...</i>|<i>Ich soll hier etwas tun.... Oh, richtig, ich sollte meine Hose ausziehen und anfangen zu wichsen.</i>
		07.abn.26^		<i>снять штаны</i>|<i>Hose ausziehen</i>

	07.abn.26@4@p-show-13@<i>Ого! Мама вошла в роль... Да они обе на самом деле получают удовольствие! И почему только в других порнофильмах всё так наиграно? Ведь можно же вот так!</i>|<i>Wow! Mom steht wirklich auf so was.... Das gefällt ihr auf jeden Fall! Warum können nicht alle Pornos so realistisch sein?</i>
		07.abn.27^		<i>далее</i>|<i>fortfahren</i>

	07.abn.27@5@p-show-14@<i>А сейчас меня должна заметить мама... Ох, как бы не кончить раньше времени...</i>|<i>Mom soll mich jetzt jederzeit erwischen.... Ich hoffe, ich komme nicht zu früh....</i>
		07.abn.28^		<i>далее</i>|<i>fortfahren</i>

	07.abn.28@68@p-show-15@Что? Сын?! Ты уже вернулся из школы?! Я думала, что у вас сегодня экзамены... Подглядываешь за своей мамой? Не стыдно? Быстро входи в комнату, поговорим!|Was? Sohn!? Du bist schon von der Schule zurück!? Solltest du nicht jetzt eine Prüfung haben.... Nach deiner eigenen Mutter gucken? Schämst du dich nicht? Komm sofort rein, wir müssen reden!
		07.abn.29!add_wro_1^	Мне и тут хорошо видно...|Ich kann auch von hier aus alles sehen.
		07.abn.29!add_wro_1^	Не обращайте на меня внимания...|Kümmere dich nicht um mich.
		07.abn.29^				Хорошо, ?ам...|Okay, Mom

	07.abn.29@62@p-show-16@Ну и что мне с тобой делать? Похоже, придётся лишить тебя карманных денег, чтобы не подглядывал больше...|Was soll ich jetzt mit dir machen? Ich schätze, ich muss dein Taschengeld einfordern, damit du nicht mehr guckst....
		07.abn.30!add_wro_1^	Я больше не буду!|Ich werde es nicht wieder tun?
		07.abn.30!add_wro_1^	Если не будет денег, то можно смотреть?|Kann ich zusehen, wenn ich mein Geld abgebe?
		07.abn.30^				А что папа об этом скажет?|Was würde Vater dazu sagen?

	07.abn.30@68@Сын, ты же не собираешься меня шантажировать? Как тебе не стыдно... Ладно, чего ты хочешь?|Erpresst du mich, Sohn? Schämst du dich nicht....? Gut, was willst du?
		07.abn.31^				Может быть, ты меня убедишь ничего не рассказывать... как-то...|Du kannst ja versuchen, mich irgendwie davon zu überzeugen... den Mund zu halten...
		07.abn.31!add_wro_1^	Может быть, отсосёшь?|Wie wäre es, wenn du mir einen bläst?
		07.abn.31!add_wro_1^	Может быть, Марта отсосёт?|Wie wäre es, wenn Martha mir einen bläst?

	07.abn.31@60@Как тебе не стыдно! Ладно, пусть это сделает Марта. Ей тоже не хочется, чтобы мой муж знал об этом... Правда, Марта?|Wie konntest du das tun? Gut, Martha kann das machen. Sie will auch nicht, dass mein Mann davon erfährt, richtig, Martha?
		07.abn.32!add_wro_1^	О, а ты будешь смотреть? Прикольно!|Und du wirst zusehen? Cool!
		07.abn.32^				Мам, ты хочешь, чтобы Марта меня... переубеждала при тебе?|Also Martha soll das für dich übernehmen... während du zuschaust?
		07.abn.32!add_wro_1^	Марта будет сосать? Супер! А ты смотреть?!|Martha wird mir einen blasen? Und du wirst zusehen!?

	07.abn.32@62@p-show-17@Конечно! Я должна убедиться, что все достаточно хорошо мотивированы, чтобы ничего в нашей жизни не изменилось к худшему. Марта, чего ты ждёшь?|Natürlich! Ich muss sicherstellen, dass ihr alle motiviert seid, unser altes Leben zu erhalten. Worauf wartest du, Martha?
		07.abn.33^		<i>далее</i>|<i>fortfahren</i>

	07.abn.33@107@p-show-18@Если я сделаю это, вы меня не уволите? Мне так нужна эта работа...|Und wenn ich das tue, wirst du mich nicht feuern? Ich brauche diesen Job wirklich....
		07.abn.34!add_wro_1^	Что-то пока не очень убедительно...|Das ist nicht sehr überzeugend....
		07.abn.34^				Вот и покажи, насколько сильно она тебе нужна...|Du solltest mir zeigen, wie wichtig es dir ist.
		07.abn.34!add_wro_1^	Я тебя не уволю, если будешь сосать!|Ich werde dich nicht feuern, wenn du mir einen bläst!

	07.abn.34@62@p-show-19@Да, вижу работа тебе и правда нужна, Марта... А ты, сынок, готов сделать вид, что ничего не видел?|Ja, ich sehe, du brauchst diesen Job wirklich, genau wie du sagtest, Martha.... Also, Sohn, bist du bereit, so zu tun, als hättest du nichts gesehen?
		07.abn.35^				Ну я пока не решил... Всё в руках Марты...|Kann ich noch nicht sagen... es liegt an Martha's Händen...
		07.abn.35!add_wro_1^	Если вы с Мартой постараетесь, то я подумаю...|Ich werde darüber nachdenken, wenn du dich Martha anschließt
		07.abn.35!add_wro_1^	Что я видел? Хм... надо подумать...|So tun, als hätte ich Was nicht gesehen?

	07.abn.35@60@p-show-20@Ну, подумай как следует... Марта, старайся. Всё зависит только от тебя...|Ja, denk darüber nach.... Gib dein Bestes, Martha, alles hängt von dir ab.
		07.abn.36^		<i>далее</i>|<i>fortfahren</i>

	07.abn.36@4@p-show-21@<i>Ох, Марта... То есть, Кира, и правда старается, да ещё как... А мама решила подыграть... Интересно, у неё это всё написано в её роли или это экспромпт? Так, я сейчас должен... что-то... сказать... Ох, тётя, как же ты хороша...</i>|<i>Wow, Martha, ich meine, Kira, hält sich wirklich nicht zurück.... Mom spielt mit sich selbst.... Ich frage mich, ob es in ihrem Drehbuch steht oder ob das eine Improvisation ist.... Ich soll jetzt etwas sagen.... Du bist so gut, Tante....</i>
		07.abn.37!add_wro_1^	<i>пром?лчать</i>|<i>sei ruhig</i>
		07.abn.37!add_wro_1^	Что-то как-то не так... Мам, может ты попробуешь?|Sie macht ihren Job nicht sehr gut. Vielleicht könntest du ihr zeigen, wie man das macht, Mom?
		07.abn.37^				Что-то пока не очень убедительно...|Bis jetzt war es noch nicht sehr überzeugend....

	07.abn.37@63@p-show-22@Так, Марта, мой сын недоволен! Ты плохо стараешься. За это он тебя должен наказать. Снимай свои трусы и поворачивайся к нему сама знаешь чем...|Mein Sohn ist nicht zufrieden, Martha! Du gibst dir nicht genug Mühe. Er sollte dich jetzt bestrafen. Zieh dein Höschen aus und dreh dich um.
		07.abn.38!add_wro_1^	<i>промолчать</i>|<i>sei ruhig</i>
		07.abn.38!add_wro_1^	О! Голая Марта!|Wow, nackte Martha!
		07.abn.38^				Так-то лучше!|Das ist gleich viel besser!

	07.abn.38@107@p-show-23@Хорошо, как скажете... Только не увольняйте, пожалуйста...|Was immer du sagst, bitte feuere mich nicht....
		07.abn.39^		<i>трахнуть Киру</i>|<i>ficke Tante Kira</i>

	07.abn.39@62@p-show-24@Марта, счастье моей семьи для меня важнее всего. В том числе и счастье сына. Если он будет счастлив, мой муж будет счастлив, я буду счастлива и тогда всё хорошо будет у тебя. Ты меня понимаешь?|Das Glück meiner Familie ist das Wichtigste für mich, Martha. Auch das Glück meines Sohnes. Wenn er glücklich sein wird, wird mein Mann glücklich sein, ich werde glücklich sein, was bedeutet, dass es dir gut gehen wird. Hast du verstanden?
		07.abn.40^		<i>далее</i>|<i>fortfahren</i>

	07.abn.40@103@p-show-25@Конечно! Я буду... стараться... Но кажется, вашему сыну уже очень хорошо и вот-вот станет ещё лучше...|Natürlich! Ich werde es versuchen..... sehr hart... Ich denke, Ihr Sohn ist sehr glücklich und wird sehr bald noch glücklicher sein....
		07.abn.41^		<i>кончить на Киру</i>|<i>spritze in Tante Kira</i>

	07.abn.41@71@p-show-26@Молодец, сынок. Кажется, Марта усвоила этот урок и больше не будет воровать... А ты ничего не будешь говорить папе, верно?|Gute Arbeit, Sohn. Ich glaube, Martha hat ihre Lektion gelernt und wird nicht mehr stehlen.... Und du wirst Dad nichts sagen, richtig?
		07.abn.42^				Да, ему не обязательно об этом знать... cегодня...|Okay, er braucht ja nicht gleich alles zu wissen... zumindest vorerst nicht...
		07.abn.42!add_wro_1^	Конечно, если бы это была ты, было бы лучше, но...|Ich würde es vorziehen, wenn du es anstelle von ihr tust, aber....
		07.abn.42!add_wro_1^	Если Марта будет делать это регулярно, то папа не узнает...|Wenn Martha es regelmäßig macht....

	07.abn.42@75@Я тебя поняла, сынок. Ну что же, Марта. Если мой сынок будет доволен, то ты будешь работать здесь и дальше. Теперь его счастье входит в твои обязанности. Ты меня поняла?|Ich habe dich, Sohn. Nun, Martha, sieht so aus, als wäre es jetzt ein Vollzeitjob für dich, meinen Sohn bei Laune zu halten.
		07.abn.43^		<i>далее</i>|<i>fortfahren</i>

	07.abn.43@112@Да, хорошо. Спасибо вам большое! Я буду стараться!|Ja, vielen Dank! Ich werde mein Bestes tun!
		07.abn.44^		<i>закончить</i>|<i>beenden</i>

	07.abn.44@114@p-show-27@Ну что же, все молодцы. Отлично сыграли. Макс, ты молодец! Обычно актёрам приходится несколько дублей готовиться, чтобы кончить якобы в нужный момент, а ты всё в один дубль сделал!|Gute Arbeit, Leute. Ich bin überrascht, dass du es geschafft hast, zur richtigen Zeit zu kommen, Max, normalerweise braucht es mehrere Takes, um alles so aussehen zu lassen, als ob du im richtigen Moment gekommen wärst, aber du hast es in einem Take gemacht!
		07.abn.45^		Ну, я старался...|Ich habe mein Bestes versucht.
		07.abn.45^		Мне повезло...|Ich hatte einfach Glück.

	07.abn.45@62@Кира, надеюсь, этот твой фильм понравится в студии. Но постарайся больше не придумывать таких сценариев. Мне было очень неловко играть такое перед своим сыном... Это было в первый и последний раз!|Ich hoffe, das Studio wird deinen Film mögen, Kira. Aber bitte schreib das nächste Mal etwas anderes. Es war mir sehr unangenehm, das vor meinem Sohn zu tun. Das ist das letzte Mal!
		07.abn.46^		<i>далее</i>|<i>fortfahren</i>

	07.abn.46@113@Посмотрим... Кстати, Ань, ты сыграла очень убедительно. Молодец! Я даже не ожидала от тебя такого... Точнее, я надеялась, но ты превзошла все мои ожидания!|Wir werden sehen. Du warst sehr überzeugend, Ann. Tolle Arbeit! Ich habe es nicht von dir erwartet.... Ich hatte gehofft, aber du hast alle Erwartungen übertroffen!
		07.abn.47^		Да, мам, ты супер! А что дальше?|Ja, Mom, du warst toll! Was jetzt?

	07.abn.47@101@Дальше Миша смонтирует фильм и я покажу результат кому надо. Ну а там посмотрим, что из этого получится... А пока все свободны. Всем спасибо!|Jetzt wird Michael den Film schneiden und ich werde ihn im Studio vorführen. Mal sehen, was sie dazu sagen. Das war's für heute, danke an alle!
		leave!set_poss.car_8!max_cam.2.grow_300!set_momlust_17!set_dcd.momlust_2!set_afcm_3!set_afck_3!set_momy_1!time^			Ага...|Ja ja



# --- 0.7: Диалог с мамой после съёмок

	07.abo.0.init@0@Насчёт фильма...|Über den Film....
	07.abo.0@69@Макс, давай не будем об этом...|Lass uns nicht darüber reden, Max.
		07.abo.1^		Почему?|Warum?

	07.abo.1@73@Ну, мне очень стыдно, что дошло до такого...|Weil ich mich dafür zu sehr schäme....
		07.abo.2^		Но ты играла просто идеально!|Aber du warst perfekt!

	07.abo.2@75@Правда? Ты так думаешь? Спасибо... Вы тоже были весьма убедительны... Удивительно, что Кира даже не поморщилась, когда ты со своим огромным... вошёл... Ох, о чём я говорю с сыном...|Denkst du das wirklich? Danke.... Ihr zwei wart auch ziemlich überzeugend.... Kira hat nicht einmal gezuckt, als du sie mit mir zusammen gesehen hast.... Was sage ich zu meinem Sohn....
		07.abo.3^		Да всё в порядке. И Кира тренированная, правда?|Es ist in Ordnung. Tante Kira's sehr erfahrenen
		07.abo.3b^		Ну мы с ней вместе тренировались...|Wir hatten vorher etwas Übung zusammen

	07.abo.3b@63@Макс! Что за шуточки! Если мы и снимаемся в порно, то это не повод пошлить. Ты меня понял?|Was? Mach keine Witze, Max! Nur weil wir Pornos machen, wirst du nicht so vulgär, verstanden?
		07.abo.3c^		Ага...|Ja ja...

	07.abo.3c@69@Ох, мне так неуютно и неловко... А скоро придётся делать это ещё и с какими-то посторонними актёрами, да ещё и на камеру...|Ich fühle mich so unwohl bei all dem.... Und bald muss ich das mit einem Fremden machen....
		07.abo.4^		Может, с посторонними и не придётся...|Vielleicht muss es kein Fremder sein....

	07.abo.3@73@Что верно, то верно... Вот я и боюсь, что мне придётся тоже делать что-то подобное с посторонними, да ещё на камеру...|Da hast du recht.... Ich fürchte, ich werde etwas Ähnliches tun müssen, mit einigen Fremden und vor der Kamera....
		07.abo.4^		Может, с посторонними и не придётся...|Vielleicht müssen es keine Fremden sein....

	07.abo.4@62@Что?! Не придётся с посторонними? А с кем тогда? Не болтай чепухи, Макс. Ладно, давай сменим тему...|Was!? Wer dann? Ich will nicht darüber reden, Max. Lass uns das Thema wechseln.
		leave!set_afcm_4!set_dcd.momlust_1^			Ага...|Okay



# --- 0.7: Диалог с Кирой после съёмок

	07.abp.0.init@0@Что думаешь про фильм?|Was hältst du von dem Film?
	07.abp.0@101@Ой, Макс, фильм будет отличный! Конечно, сюжет не очень... Его там почти нет. Но вот ваша игра была очень убедительна. Думаю, это сыграет большую роль...|Der Film wird fantastisch! Er hat nicht viel Plot, obwohl.... Aber wir waren sehr überzeugend, ich bin sicher, die Leute werden es zu schätzen wissen.
		07.abp.1^		Кстати, как там монтаж?|Also, wie läuft der Schnitt?

	07.abp.1@103@Монтаж закончат завтра. Да, насчёт твоих реплик...|Es wird morgen fertig sein. Nun zu deinen Zeilen....
		wro=0&07.abp.2god^			А что с ними?|Was ist mit ihnen?
		wro=1&07.abp.2good^			А что с ними?|Was ist mit ihnen?
		wro=2&07.abp.2mid^			А что с ними?|Was ist mit ihnen?
		wro>2&07.abp.2bad^			А что с ними?|Was ist mit ihnen?

	07.abp.2god@114@Ты знаешь, я поражена, как хорошо ты выучил свою роль. Просто молодец! Ты получишь всё, что тебе полагается. Конечно, если нам что-то дадут...|Ich bin erstaunt, wie gut du dir deinen Text gemerkt hast! Du bekommst dann deinen vollen Anteil. Wenn wir etwas verdienen....
		07.abp.2^					Супер!|Großartig!

	07.abp.2good@101@Ну ты молодец, хотя и допустил одну ошибку. Не переживай, это допустимо. Если нам заплатят, то ты получишь значительную часть...|Du hast nur einen Fehler gemacht, also insgesamt ziemlich gut. Keine Sorge, das ist akzeptabel. Du bekommst fast alles von deinem Anteil.
		07.abp.2^					Отлично!|Großartig!

	07.abp.2mid@107@Ну ты допустил пару ошибок. Конечно, для первого раза это нормально, но старайся в следующий раз текст учить как следует. Хорошо?|Du hast zwei Fehler gemacht. Es ist okay für ein erstes Mal, aber versuch das nächste Mal besser zu sein, okay?
		07.abp.2^					Хорошо...|Okay

	07.abp.2bad@109@Макс, ты допустил несколько ошибок. Это недопустимо для актёров, пусть и снимающихся в порно. Играл ты отлично, но слова... Старайся их учить лучше в следующий раз, хорошо?|Du hast mehrere Fehler gemacht, Max. Das ist auch bei Pornos nicht akzeptabel. Dein Schauspiel war toll, aber du musst auch deinen Text kennen. Mach es nächstes Mal besser.
		07.abp.2^					Я понял...|Ich verstehe

	07.abp.2@100@Ну а теперь остаётся только ждать...|Jetzt warten wir....
		leave!set_afck_4!set_dcd.momlust_1^						Ага, будем ждать...|Okay, lass uns warten



# --- 0.7: Диалог с Кирой и мамой у бассейна через день

	07.abq.0@100@А вот и Макс. Хорошо, что ты подошёл. Мне сейчас звонил директор студии. Ну что я могу сказать...|Und hier ist Max. Der Geschäftsführer hat angerufen, also habe ich Neuigkeiten....
		07.abq.1^		Всё плохо?|Gute Neuigkeiten?
		07.abq.1^		Всё хорошо?|Schlachte Neuigkeiten?

	07.abq.1@101@Нет..|Nein...
		07.abq.2^		???|???

	07.abq.2@114@Всё просто отлично! Ему очень понравилось. Сказал, что хочет начать снимать с вами целую серию подобных фильмов на эту тему!|Alles ist großartig! Er liebte es. Er sagte, er will, dass wir eine Reihe ähnlicher Filme wie den letzten machen!
		07.abq.3^		Ого... Супер!|Super!

	07.abq.3@68@Постой, на эту тему? Ты хочешь сказать, что нам придётся снова делать подобные вещи? Кира, я что-то сомневаюсь, что смогу ещё раз пережить такой стыд...|Was meinst du mit dem letzten? Müssen wir ähnliche Dinge wieder tun? Ich bin mir nicht sicher, ob ich eine weitere Demütigung wie diese überleben kann....
		07.abq.4^		<i>далее</i>|<i>fortfahren</i>

	07.abq.4@113@Ань, а если я тебе скажу, что тебе полагается $2000 за фильм, а за следующие будешь получать по $5000?|Und was, wenn ich sage, du hast $2000 beim letzten Mal verdient hast und du bekommst $5000 für den nächsten?
		07.abq.5^		Ого!|Wow!

	07.abq.5@68@Сколько?! Неужели, всё настолько хорошо прошло? Это же обычный фильм, таких наверняка в интернете полно, откуда такие деньги?|Wie viel!? Warum so viel, es ist nur ein Pornofilm, das Internet ist voll von solchen Sachen.
		07.abq.6^		<i>далее</i>|<i>fortfahren</i>

	07.abq.6@101@Студия будет раскручивать эту серию как реальная история с настоящими персонажами. Что, кстати, правда. К тому же, играли вы и правда хорошо. Ну и если съёмки будут на нашей территории, то им не придётся тратиться на это всё, график то плотный...|Das Studio wird ihn als echte Story mit echten Charakteren vermarkten. Was übrigens wahr ist. Du hast einen beeindruckenden Job mit deiner Schauspielerei gemacht. Und da wir alles in unserem Haus drehen, sparen wir an der Location, also noch mehr Geld für uns.
		07.abq.7^		<i>далее</i>|<i>fortfahren</i>

	07.abq.7@69@Но это же опасно. Лиза или Алиса могут вернуться домой и тогда...|Aber es ist gefährlich. Was, wenn Lisa oder Alice nach Hause kommen und....
		07.abq.8^		Будет как в фильме, да?|Genau wie im Film! <i>(mit den Augenbrauen wackeln und grinsen)</i>

	07.abq.8@73@Макс, а вот мне не смешно! Но деньги, конечно, огромные... Я даже не знаю, что и делать...|Das ist nicht lustig, Max! Aber so viel Geld.... Ich weiß nicht, was ich tun soll....
		07.abq.9^		Соглашайся, конечно!|Zustimmen, Natürlich!

	07.abq.9@69@Ты думаешь? А тебе, я вижу, всё это очень нравится... Кстати, Макс сколько за это всё получит?|Denkst du das wirklich? Du genießt eindeutig die Situation.... Wie viel bekommt Max übrigens?
		wro=0&07.abq.10a^	Да, кстати?|Ja, wie viel?
		wro=1&07.abq.10b^	Да, кстати?|Ja, wie viel?
		wro=2&07.abq.10c^	Да, кстати?|Ja, wie viel?
		wro>2&07.abq.10d^	Да, кстати?|Ja, wie viel?

	07.abq.10a@103@Ну за идеально сыгранную роль без ошибок, Максу полагается $1000...|Er hat perfekt gespielt, also bekommt er $1000.
		07.abq.10!add_money_1000^		Ого!|Wow!

	07.abq.10b@103@Ну за одну ошибку чуть меньше положенного, $900...|Du hast einen Fehler gemacht, also $900.
		07.abq.10!add_money_900^		Хорошо...|Okay

	07.abq.10c@103@За пару ошибок пришлось чуть снизить гонорар, Макс получает $700...|Du hast zwei Fehler gemacht, also bekommst du $700.
		07.abq.10!add_money_700^		Ага...|Okay

	07.abq.10d@103@За ошибки пришлось снизить сумму. $300. В следующий раз будет лучше учить свою роль...|Du bekommst weniger, weil du Fehler gemacht hast, also bekommst du $300. Nächstes Mal musst du dich mehr anstrengen.
		07.abq.10!add_money_300^		Ага...|Okay

	07.abq.10@68@Постой, а почему мне столько? Неужели, ты свою долю отдала, Кира?|Warte, warum bekomme ich dann so viel? Hast du mir deinen Anteil gegeben, Kira?
		07.abq.11^		<i>далее</i>|<i>fortfahren</i>

	07.abq.11@113@Что ты, нет, я своё получила уже. Ты же главная актриса, вот и гонорар больше. А Макс вообще даже на кастинге не был, ему просто бонус и стимул сниматься дальше...|Nein, ich habe meine. Erstens, du bist eine Hauptrolle, also bekommst du mehr. Zweitens, Max ist ein frisches Gesicht, er war nicht mal beim Casting. Drittens verdienen männliche Schauspieler immer weniger in Pornos. Angebot, Nachfrage und all das.
		07.abq.12^		<i>далее</i>|<i>fortfahren</i>

	07.abq.12@60@Поняла. И что дальше будет?|Okay, verstanden. Jetzt was?
		07.abq.13^		<i>далее</i>|<i>fortfahren</i>

	07.abq.13@101@Дальше мы придумаем в студии формат серии фильмов. Макс будет играть твоего сына. Ты его мать. Я горничную или ещё кого-то. Может быть, понадобится ещё молодая актриса...|Jetzt arbeiten wir an einer Reihe von Filmen. Max wird deinen Sohn spielen, du wirst seine Mutter sein. Ich spiele ein Dienstmädchen oder so. Vielleicht brauchen wir auch eine junge Schauspielerin....
		07.abq.14^		<i>далее</i>|<i>fortfahren</i>
