# --- 0.5: Диалог с мамой Кати через ноутбук|Gespräch mit Kates Mutter auf dem Laptop

		05.les1.5^		А меня?|Und ich?

	05.les1.5@101@Макс, не отвлекайся. Итак, я собираюсь научить вас, как вести себя в постели с партнёром, и как доставить ему максимальное наслаждение. Замечу, что всё это строго в образовательных целях. Я не собираюсь силой заставлять вас делать то, к чему вы не готовы, а если понадобится, то поддержу собственным примером. Ну что, приступим?|Konzentrier dich, Max. Also werde ich dir beibringen, wie du deinen Partner im Bett verwöhnst. Denkt daran, alles wird zu Ausbildungszwecken geschehen. Ich werde dich nicht zu etwas zwingen, was du nicht tun willst, und ich werde dir zeigen, wie man Dinge tut, wenn du Hilfe brauchst. Also, sollen wir anfangen?
		05.les1.6^		О, отличная идея!|Ja!

	05.les1.6@113@m-k-3@Вижу, что идея тебе нравится всё больше и больше... Лиза, смотри как твой брат рад. Кстати, присаживайся рядом с ним.|Ich sehe, dass du diese Idee sehr liebst.... Schau, wie froh er ist, Lisa. Du solltest übrigens neben ihm sitzen.
		05.les1.7^		<i>далее</i>|<i>fortfahren</i>

	05.les1.7@40@А это так необходимо? Я и отсюда всё вижу хорошо... Лучше бы и не видела, кстати...|Muss ich das tun? Ich kann alles von hier aus sehen.... Oder ich kann einfach nicht hinsehen....
		05.les1.8^		<i>далее</i>|<i>fortfahren</i>

	05.les1.8@101@Трудно познать тело своего партнёра, Лиза, сидя на другой кровати. Можешь не записывать эту мудрость, но запомни!|Du kannst den Körper deines Partners nicht von einem anderen Bett aus kennen lernen, Lisa. Du musst es nicht aufschreiben, aber du solltest dir das merken.
		05.les1.9^		Поняла?|Siehst du?

	05.les1.9@100@m-k-3@Макс, прекрати всё комментировать. А то Лиза психанёт и будешь сам у себя учиться. Понял?|Hör auf, alles zu kommentieren, Max, oder Lisa wird ihre Meinung ändern und du wirst mit dir selbst lernen, verstanden?
		05.les1.10^		Да, всё понял. Нем как рыба!|Okay, ich werde still sein.

	05.les1.10@40@Тётя Кира, я не собираюсь с ним заниматься сексом. Он же порвёт меня этой своей штукой!|Ich werde keinen Sex mit ihm haben, Tante Kira. Er wird mich mit seinem Ding in Stücke reißen!
		05.les1.11^		<i>далее</i>|<i>fortfahren</i>

	05.les1.11@114@Не волнуйся, никто в тебя ничего засовывать не будет. Пока просто присядь рядом с Максом.|Keine Sorge, niemand wird etwas in dich reinstecken, setz dich einfach neben Max.
		05.les1.12^		Жаль...|Schade....

	05.les1.12@40@Ну, если так, то ладно...|Nun, okay, dann....
		05.les1.13^		<i>далее</i>|<i>fortfahren</i>

	05.les1.13@101@Сегодня, Лиза, я научу тебя, как правильно доставить удовольствие партнёру руками. Посмотри на его «малыша», что ты чувствуешь?|Heute werde ich dir beibringen, wie du deinen Partner mit deinen Händen erfreuen kannst, Lisa. Schaut seinen kleinen Kerl an, was fühlst du?
		05.les1.14^		Гы... «малыша»...|He-he, "kleiner Kerl"

	05.les1.14@41@Знаешь, у меня мурашки по всему телу. Мне страшно и одновременно любопытно и приятно.|Ich habe überall Gänsehaut. Ich bin gleichzeitig verängstigt, aufgeregt und geschmeichelt.
		05.les1.15^		<i>далее</i>|<i>fortfahren</i>

	05.les1.15@114@Да! Со мной в первый раз было точно так же! А теперь попробуй взять его в руку. И не бойся, он не укусит. Ну, и как тебе?|Ja, so habe ich mich auch beim ersten Mal gefühlt. Jetzt nimm ihn in die Hand. Keine Angst, er wird nicht beißen. Wie fühlt es sich an?
		05.les1.16^		<i>далее</i>|<i>fortfahren</i>

	05.les1.16@40@m-k-4@Он... такой горчий и твёрдый! Так и должно быть?|Er ist so.... heiß und hart! Soll es so sein?
		05.les1.17^		Конечно, детка!|Natürlich, Baby!

	05.les1.17@101@А ещё он может быть очень нежным. Проведи по нему пальцами. Чувствуешь? Он как будто живёт своей жизнью, независимо от хозяина. У мальчиков всегда так. Они почти не могут контролировать свой член.|Es kann auch sehr empfindlich sein. Versuch ihn mit dem Finger zu streicheln, kannst du ihn fühlen? Als würde er sein eigenes Leben haben, unabhängig von seinem Herrn. So funktioniert das bei Männern. Sie können ihren Schwanz nicht wirklich kontrollieren.
		05.les1.18^		Ух...|Oh...

	05.les1.18@48@Ага! Он пульсирует прямо в руке, как интересно!|Ja! Es pulsiert direkt in meiner Hand, so cool!
		05.les1.19^		А мне то как...|Ich auch....

	05.les1.19@100@m-k-5@Макс! Хватит комментировать уже! Лиза, а теперь сожми его в ладони и попробуй немного подрочить. Хорошо! Теперь проведи пальчиком по уздечке. Да, вот так! Это одно из самых чувствительных мест.|Max! Hör auf, alles zu kommentieren! Jetzt nimm ihn vorsichtig in die Hand und versuch ihn zu wichsen. Gut! Nun streichle sanft mit dem Finger den unteren Teil seines Penis, wo der Kopf und der Schaft verbunden sind, es wird Frenulum genannt. Ja, so. Diese Stelle ist sehr empfindlich, daher ist es generell eine gute Idee, sie zu stimulieren.
		05.les1.20^		Лиза, у тебя волшебные ручки!|Du hast magische Hände, Lisa!

	05.les1.20@43@Спасибо, братишка, а у тебя занятная игрушка! Тётя Кира, я всё правильно делаю?|Danke, Bruder, du hast ein lustiges Spielzeug! Mache ich das richtig, Tante Kira?
		05.les1.21^		<i>далее</i>|<i>fortfahren</i>

	05.les1.21@101@Чтобы это понять, достаточно посмотреть на Макса. Видишь, теперь он даже сказать ничего не может, только мычит от наслаждения. Теперь дрочи пожёстче и побыстрее! Что ты чувствуешь, Лиза?|Wenn du die Antwort auf diese Frage wissen willst, solltest du dir deinen Partner ansehen. Siehst du, dass er nicht mal was sagen kann? Jetzt versuche schneller und stärker zu sein! Was fühlst du, Lisa?
		05.les1.22^		<i>o да...</i>|<i>oh, ja...</i>

	05.les1.22@41@Его член начал дёргаться у меня в руке!|Der Schwanz zuckt in meiner Hand!
		05.les1.23^		<i>кончить!</i>|<i>spritzen!</i>

	05.les1.23@42@m-k-6@Фу, Макс! Это ещё что такое?! Я теперь вся липкая. Тётя Кира, он меня испачкал!|Ew, Max, was zum Teufel ist das!? Ich bin jetzt ganz dreckig. Er hat mich gerade beschmutzt, Tante Kira!
		05.les1.24^		Ой, извини...|Es tut mir leid....

	05.les1.24@46@Извини... Теперь придётся в душ идти, отмываться от этого, этой твоей...|Entschuldigung.... Jetzt muss ich ins Bad, um das ganze Zeug abzuwaschen....
		05.les1.25^		Ну...|Nun...

	05.les1.25@101@Лиза, ты молодец и всё сделала правильно. Ты смогла довести партнёра до оргазма! Доставила ему огромное удовольствие. Учись не только брать, но и отдавать!|Du warst großartig, Lisa. Du hast deinem Partner einen Orgasmus beschert! Ich bin sicher, er hat es geliebt. Lerne zu geben, nicht nur zu nehmen.
		05.les1.26^		<i>далее</i>|<i>fortfahren</i>

	05.les1.26@41@Я пока что-то ничего не брала...|Ich habe noch nichts genommen.
		05.les1.27^		Ну, у тебя всё впереди...|Du wirst an der Reihe sein.

	05.les1.27@100@m-k-7@Сегодня на этом закончим. И вот вам, ученички, ваше домашнее задание... Продолжайте практиковаться сами, вам необходимо закрепить изученное.|Lass uns für heute aufhören. Und hier sind ein paar Hausaufgaben für dich: Übe weiter ohne mich, du musst sicherstellen, dass du die heutige Lektion gelernt hast.
		05.les1.28^		О, я только за!|Ich bin für diese Idee!

	05.les1.28@44@И не надейся! Я не буду это делать больше никогда!|Nicht mal im Traum! Ich werde das nie wieder tun!
		05.les1.29^		Лиза, никогда не говори никогда!|Sag niemals nie, Lisa.

	05.les1.29@101@Да, Лиза. Ты же это делаешь не ради Макса, а ради себя, чтобы уметь радовать мужчин, чтобы уметь их контролировать, понимаешь?|Ja, Lisa. Du tust das nicht für Max, sondern für dich selbst. Du solltest lernen, einem Mann zu gefallen, damit du ihn kontrollieren kannst.
		05.les1.30^		Контролировать? Не понял...|Was? Kontrolle?

	05.les1.30@41@Ну, может быть. Только просто так я ничего ему делать не буду!|Nun, Vielleicht...... Aber ich mache nichts umsonst!
		05.les1.31^		Какая ты меркантильная!|Du bist so geschäftstüchtig!

	05.les1.31@114@Ладно, дальше вы без меня разберётесь кто, что, за что, а мне пора, скоро вставать уже... Спокойной ночи!|Du kannst die Details ohne mich klären, ich sollte gehen. Es ist so spät, es ist grundsätzlich früh.
		leave!set_kiravisit_2!set_kiranight_3!set_poss.sed_27!max_cam.0.grow_250^			Спокойной ночи, тётя Кира!|Gute Nacht, Tante Kira.



# --- 0.5: Макс убеждает Лизу, что ей нужно тренироваться на нём|Überzeugende Lisa für das Training von Wichser-Fähigkeiten

	05.mremli.0.init@0@Ты же помнишь, что нам поручила тётя Кира?|Erinnerst du dich an die Hausaufgaben von Tante Kira?
	05.mremli.0@41@Конечно, помню, Макс. И не мечтай! Сам с собой тренируйся. И так меня всю испачкал в прошлый раз...|Das tue ich, aber träume nicht mal davon, Max. Du kannst mit dir selbst trainieren. Und du machst jedes Mal ein Chaos....
		05.mremli.1!set_can.lizahj_1!set_kiranight_4!set_poss.sed_28^	Да ладно тебе, сестрёнка. Это в первую очередь тебе нужно.|Komm schon, Schwesterherz. Du bist derjenige, der trainiert werden muss.

	05.mremli.1@40@Что-то я очень сомневаюсь, что мне вообще всё это нужно. Никакого смысла тебя развлекать таким образом я не вижу!|Ich bin mir nicht sicher, ob ich das alles brauche. Ich verstehe nicht, warum ich dir das Vergnügen geben sollte.
		05.mremli.2^		А если по принципу: ты мне – я тебе?|Was, wenn es eine Gegenleistung gibt?

	05.mremli.2@41@А мне от тебя ничего не нужно. Так что, облом-с, Макс, да?|Ich will nichts von dir, Max, also keine Dinger.
		05.mremli.3^		Ну вот тебе нужна бывает помощь с уроками...|Was ist mit deinen Hausaufgaben?

	05.mremli.3@40@Макс, только не говори, что я буду должна тебе что-то делать при этом...|Erzähl mir nicht, dass ich das tun müsste....
		05.mremli.4^		О, если во время, то это ещё веселее!|Oh, beides zu kombinieren ist noch besser!

	05.mremli.4@42@Дрочить тебе, пока ты делаешь мою домашнюю работу? Чтобы ты всю тетрадку забрызгал? С ума сошёл?|Willst du wirklich, dass ich dir einen runterhole, während du meine Hausaufgaben machst? Du wirst alles beschmutzen!
		05.mremli.5^		Ну, мы аккуратно, но ход твоих мыслей мне нравится!|Wir werden vorsichtig sein, aber mir gefällt deine Idee!

	05.mremli.5@41@Не сомневаюсь! Но я ни на что ещё не согласилась!|Da bin ich mir sicher. Aber ich habe mich noch auf nichts geeinigt!
		05.mremli.6^		Не ломайся, ты же знаешь, что моя помощь тебе нужна...|Du weißt, dass du meine Hilfe brauchst.

	05.mremli.6@46@Ну да, бывает нужна...|Nun, manchmal....
		liza.wearbath=0&05.mremli.7^		Ну вот, я помогу!|Und da hast du es!
		liza.wearbath>0&05.mremli.10^		Ну вот, я помогу!|Und da hast du es!

	05.mremli.7@41@Вот только я тоже хочу какой-то бонус.|Ich will einen Bonus
		05.mremli.8^		Бонус к урокам? Шутишь?|Bonus für deine Hausaufgaben? Ernsthaft?

	05.mremli.8@48@А ты не торгуйся, Макс, а то сам себе дрочить будешь. Я там в инете присмотрела себе красивый шёлковый халатик. Если купишь его мне, то я подумаю...|Sei nicht kleinlich, Max, sonst ändere ich meine Meinung. Ich habe einen schönen Bademantel im Netz gesehen. Kauf ihn für mich und ich werde darüber nachdenken.
		05.mremli.9^		Это тот контроль, про который говорила тётя Кира?|Ist das die Kontrolle, die Tante Kira das letzte Mal erwähnt hat?

	05.mremli.9@40@Понятия не имею о чём ты говоришь. Но без халата даже разговаривать на эту тему не буду с тобой...|Ich habe keine Ahnung, wovon du redest. Aber ich werde nichts ohne den Bademantel machen.
		leave^		Ладно, найду тебе этот чёртов халат...|Gut, ich hole ihn für dich.

	05.mremli.10@41@Ладно, посмотрим. Только учти, что я ничего не обещаю. А если буду не в духе, то даже не походи с такими предложениями. Ты меня понял?|Gut, wir werden sehen. Aber ich verspreche nichts und versuche nichts, wenn ich nicht in der Stimmung bin.
		leave^		Конечно, сестрёнка!|Natürlich, Schwesterherz!



# --- 0.5: Макс предлагает Лизе подрочить ему, пока он делает для неё домашнюю работу (если у Лизы есть халат)|Max bittet Lisa, ihm einen runterzuholen, während er ihre Hausaufgaben macht (wenn Lisa den Bademantel hat).

	05.hwhj.0@46@m-th-1@Ты о чём, Макс?|Was meinst du damit?
		05.hwhj.1^		Ну, мы же договорились. Ты мне - я тебе...|Nun, wir hatten eine Abmachung. Du für mich - ich für dich...

	05.hwhj.1@40@И что я должна... Это делать пока ты разбираешься с моей домашней работой?|Muss ich das wirklich tun, während du meine Hausaufgaben machst?
		05.hwhj.2^		Угу. Идея отличная!|Ja, das ist eine tolle Idee!

	05.hwhj.2@46@Ладно... шорты сними только. И не забрызгай мне мою домашнюю работу, а то сам будешь всё переписывать!|Gut.... zieh deine Shorts aus. Und beschmutze nicht meine Hausaufgaben, sonst musst du alles neu schreiben!
		05.hwhj.3^		Договорились...|Abgemacht...

	05.hwhj.3@4@m-th-2@<i>Ох... Сестрёнка молодец. Кажется, уроки секса она усваивает гораздо лучше, чем обычные школьные... И это очень хорошо, иначе я остался бы без... Ух...</i>|<i>Oh.... ist es so gut. Sieht so aus, als ob sie ihren Sexunterricht viel besser lernt, als ihre üblichen Schulstunden.... Was gut für mich ist, denn sonst wäre ich nicht in dieser Situation.... Oh....</i>
		05.hwhj.4^		<i>делать домашнюю работу</i>|<i>Hausaufgaben erledigen</i>

	05.hwhj.4@41@m-th-3@Только учти, Макс, что я всё проверю. Если будут ошибки, больше к твоей помощи не обращусь. Ты меня понял?|Ich überprüfe alles später, Max! Wenn du irgendwelche Fehler machst, wird das das letzte Mal sein, dass wir so etwas machen!
		05.hwhj.5^		Конечно!|Natürlich!

	05.hwhj.5@3@<i>О да, Лиза... Если бы меня каждый раз так стимулировали, я был бы отличником! Так, надо сосредочиться... это сложнее, чем кажется... но надо... Да... так...</i>|<i>Oh, ja.... Wenn ich jedes Mal so stimuliert worden wäre, wenn ich Hausaufgaben gemacht hätte, würde ich nichts anderes bekommen als Einsen! Ich sollte mich konzentrieren.... Das ist schwieriger, als ich dachte.... Aber ich sollte weitermachen.... Ja.... So....</i>
		05.hwhj.6^		<i>за... кончить</i>|<i>beenden</i>

	05.hwhj.6@46@m-th-2@Макс! Я же просила... А, вроде не попало. Ладно, тебе сегодня повезло...|Max! Ich habe dich gebeten, nicht....! Nein, warte, ich glaube nicht, dass du etwas über meine Hausaufgaben weißt. Du hattest heute Glück.
		05.hwhj.7^		Ты не представляешь как!|Du hast keine Ahnung....

	05.hwhj.7@41@Ну всё, надевай свои шорты, я ещё всё проверю. И... спасибо.|Okay, zieh deine Shorts an, ich werde deine Arbeit überprüfen. Und.... Danke.
		leave!set_dcd.lizahelp_1!add_count.liza.hj_1!max_cam.0.grow_250!time^			Тебе спасибо!|Ich danke <i>dir</i>!



# --- 0.5: Второй урок|Zweite Lektion mit Kira

	05.les2.0@114@m-k-1@Эй, детишки, быстренько просыпайтесь!|Aufwachen, alle Mann!
		05.les2.1^		О, тётя Кира! Наконец-то!|Hey, es ist Tante Kira! Endlich!

	05.les2.1@112@m-k-2@Ого, Макс! Я вижу, ты действительно рад меня видеть, надеюсь, Лиза тоже...|Wow, Max, sieht so aus, als ob du dich wirklich freust, mich zu sehen! Was ist mit dir, Lisa?
		05.les2.2^		<i>далее</i>|<i>fortfahren</i>

	05.les2.2@43@Конечно, тётя Кира, просто у меня нет такой штуки, чтобы показать своё удовольствие...|Natürlich, Tante Kira, ich habe leider nichts dergleichen, um es zu zeigen.
		05.les2.3^		Я очень рад, что у тебя нет такой же штуки...|Und ich bin sehr froh, dass du es nicht tust.

	05.les2.3@114@Шутишь, Лиза? Это хорошо! Значит ты стала более раскованной.|Es ist gut, dass du Witze machst, Lisa, das heißt, du wirst entspannter und offener.
		05.les2.4^		Она не шутит, тётя Кира, она завидует!|Sie scherzt nicht, sie ist nur eifersüchtig.

	05.les2.4@41@Было бы чему завидовать! У меня, по крайней мере, ничего из штанов не выскакивает где попало.|Als ob! Immerhin springt mir nichts aus der Hose!
		05.les2.5^		Вот и хорошо!|Und das ist gut so!

	05.les2.5@101@На этом с пикировкой закончим. Итак, тема нашего сегодняшнего урока – оральный секс.|Und das reicht jetzt. Die heutige Lektion ist Oralsex.
		05.les2.6^		Ого! Вот это сюрприз!|Wow, das ist eine ziemliche Überraschung!

	05.les2.6@40@m-k-7@Тётя Кира! Да такую штуку просто невозможно взять в рот! Я боюсь, что он мне рот разорвёт!|Tante Kira! Sein Ding ist zu groß, um reinzupassen! Er reißt mir den Mund auf!
		05.les2.7^		Ты ещё не пробовала даже!|Du hast es noch nicht einmal versucht!

	05.les2.7@101@Лиза, присядь-ка поближе! Да, вот на этот стул. А теперь слушай внимательно. Во-первых, всё возможно, просто нужно постоянно тренироваться, а во-вторых, начать можно с более простых ласк, например, язычком.|Setz dich näher ran, Lisa. Ja, auf diesem Stuhl. Jetzt hör mir mal gut zu. Zuerst ist alles möglich, man muss nur viel trainieren. Zweitens, du kannst von etwas leichterem ausgehen, wie deiner Zunge.
		05.les2.8^		<i>далее</i>|<i>fortfahren</i>

	05.les2.8@42@m-k-8@Фу! Я, наверно, никогда не решусь на это!|Ich bin mir nicht sicher, ob ich mich jemals darauf vorbereiten werde!
		05.les2.9^		<i>далее</i>|<i>fortfahren</i>

	05.les2.9@101@Лиза, расслабься. От тебя пока ничего не требуется. Просто посмотри, как это делает настоящий специалист!|Entspann dich, Lisa. Du musst im Moment nichts tun. Schau nur, wie es der echte Profi macht.
		05.les2.10^		О да, она знает о чём говорит!|Oh, ja, sie weiß, wovon sie spricht!

	05.les2.10@43@А ты откуда знаешь? Уже не первый раз у вас это? Ну ты Макс и извращенец!|Woher weißt du das? Ist das nicht das erste Mal für dich? Du bist so pervers, Max!
		05.les2.11^		Да блин... Не отвлекайся. Тётя Кира урок ведёт!|Misst.... Konzentrier dich. Tante Kira unterrichtet dich hier!

	05.les2.11@101@m-k-9@Для начала можно поласкать пальчиками его яички. Вот так. Только надо делать это нежно. Если член сильно напряжён, то грубые прикосновения могут доставить партнёру дискомфорт. Видишь, Максу нравится.|Du kannst damit anfangen, seine Eier mit deinen Händen zu streicheln, so. Aber sei vorsichtig. Zu viel Druck kann Ihrem Partner Unbehagen bereiten. Siehst du, wie sehr Max das genießt?
		05.les2.12^		Да, тётя Кира! Жду-не дождусь продолжения!|Ja, Tante Kira! Ich kann den nächsten Schritt kaum erwarten!

	05.les2.12@113@m-k-10@Не будем заставлять Макса ждать. Сначала проведём язычком вдоль всего ствола, полижем его «шарики». Ты внимательно смотришь, Лиза?|Dann lassen wir Max nicht warten. Zuerst lecken wir seinen ganzen Schaft und seine Eier. Hörst du mir zu, Lisa?
		05.les2.13^		<i>o да</i>|<i>oh, ja</i>

	05.les2.13@41@m-k-11@Да-да! Очень... хм... познавательно!|J-ja! Das ist sehr.... informativ!
		05.les2.14^		<i>далее</i>|<i>fortfahren</i>

	05.les2.14@101@m-k-12@Теперь проведём кончиком языка вокруг головки и полижем уздечку...|Jetzt lasst uns mit der Spitze meiner Zunge den Kopf und das Bändchen lecken....
		05.les2.15^		Да это лучший минет в моей жизни!|Das ist der beste Blowjob meines Lebens!

	05.les2.15@114@m-k-13@Ты мне льстишь, племянник, но всё равно очень приятно это слышать... Ты все поняла, Лиза? А теперь пора попробовать самой!|Oh, das sagst du nur so. Ich bin trotzdem froh, es zu hören.... Hast du alles mitgekriegt, Lisa? Jetzt bist du dran!
		05.les2.16^		<i>далее</i>|<i>fortfahren</i>

	05.les2.16@40@m-k-14@Ой! Мне кажется, что я пока не готова к такому... Может быть, в другой раз, тётя Кира?|Ich glaube nicht, dass ich dazu bereit bin, Tante Kira.... Vielleicht ein anderes Mal?
		05.les2.17^		Другого раза может и не быть, а тут я, жду...|Es gibt vielleicht keine andere Zeit, und ich warte hier....

	05.les2.17@100@Дело твоё, малышка, но, когда ты станешь встречаться с настоящим мужчиной, такие отговорки только оттолкнут его от тебя.|Wenn es das ist, was du willst, Baby. Aber denk dran, wenn du dich mit echten Männern verabredest, werden sie es nicht mögen, wenn du so etwas sagst.
		05.les2.18^		Эй-эй! Я настоящий мужчина!!!|Hey, hey! Ich bin ein echter Mann!!!!!

	05.les2.18@42@Макс, заткнись! Тётя Кира сказала, что ты – просто учебное пособие, а пособия не разговаривают!|Halt die Klappe, Max! Du bist nur eine Übungsrequisite, und Requisiten reden nicht!
		05.les2.19^		Сама ты... пособие...|Du bist der Requisiteur hier.

	05.les2.19@108@И что, в итоге, ты решила, Лиза? Будем продолжать обучение или на этом закончим?|Also, was hast du entschieden, Lisa? Sollen wir weitermachen oder aufhören?
		05.les2.20^		<i>далее</i>|<i>fortfahren</i>

	05.les2.20@46@Я очень боюсь, тётя Кира, но и заканчивать обучение не хочу. Можно, я немного подумаю?|Ich habe Angst, Tante Kira, aber ich will unseren Unterricht nicht unterbrechen. Kann ich etwas Zeit zum Nachdenken haben?
		05.les2.21^		<i>далее</i>|<i>fortfahren</i>

	05.les2.21@101@m-k-1@Хорошо. Тогда на этом закончим на сегодня...|Okay. Dann lass uns für heute aufhören.
		05.les2.22^		Тётя Кира, ты же не закончила начатое?!|Aber Tante Kira, ich bin noch nicht fertig!

	05.les2.22@113@Макс, если ты будешь всегда получать всё, что хочешь, ты перестанешь это ценить. Зато следующего раза ты будешь ждать ещё больше!|Wenn du immer alles bekommst, was du willst, hörst du auf, es zu schätzen. Auf diese Weise wirst du noch mehr auf unser nächstes Mal warten!
		05.les2.23^		Ну да, похоже на то...|Ja, scheint so....

	05.les2.23@114@Ну всё, детишки, пора спать. Всем спокойной ночи...|Nun, das ist alles für heute. Gute Nacht, alle zusammen.
		leave!set_kiravisit_3!set_kiranight_3!set_poss.sed_29!max_cam.0.grow_250^			Спокойной ночи...|Gute Nacht



# --- 0.5: 	Диалог Макса и Лизы после второго урока.|Max + Lisa Gespräch nach der zweiten Stunde

	05.aft2les.0.init@0@Надо кое-что обсудить...|Wir müssen reden.
	05.aft2les.0@40@Ну, давай поговорим. Что случилось?|Okay, was ist passiert?
		05.aft2les.1^		Что ты думаешь о дальнейшем обучении?|Was hältst du von unserem Unterricht?

	05.aft2les.1@41@Знаешь, Макс, мне уроки тёти очень нравятся. Они интересны, и я узнала много нового, но...|Ich mag die Lektionen von Tante Kira sehr, sie sind sehr interessant, aber....
		05.aft2les.2^		Раз тебе нравится, то какие могут быть «но»?|Wenn du sie magst, was ist dann das Problem?

	05.aft2les.2@46@Понимаешь, я чувствую себя не в своей тарелке. Тётя... брат... Всё это неправильно! Обычно же это происходит не с семьёй, правда?|Ich fühle mich nicht wohl, weil wir alle verwandt sind. Tante, Bruder.... Das ist alles falsch! So sollte es nicht laufen!
		05.aft2les.3^		Откуда тебе знать... Да и так ты точно не попадёшь в неприятности...|Woher willst du das wissen? Außerdem bekommst du auf diese Weise keine Probleme.

	05.aft2les.3@40@Какие неприятности?|Welche Probleme?
		05.aft2les.4^		Ну, тебя никто не изнасилует, не заразит ничем...|Niemand wird sich dir aufdrängen, du wirst keine Geschlechtskrankheiten bekommen....

	05.aft2les.4@46@Ну, да, это верно... Но Макс... Ты же мой брат... И... вдруг мама узнает? Ты хоть представляешь, что с нами будет?! Наверно, нам надо прекратить уроки на какое-то время.|Da hast du recht.... Aber Max.... Du bist immer noch mein Bruder.... Und was ist, wenn Mom es herausfindet? Kannst du dir vorstellen, was sie tun wird? Vielleicht sollten wir den Unterricht für einige Zeit unterbrechen....
		05.aft2les.5^		Никто же не узнает! Кира ничего не скажет, а мы тем более...|Niemand wird es herausfinden! Tante Kira wird es niemandem erzählen, und wir auch nicht.

	05.aft2les.5@40@Ну, не знаю. Мне страшно, что это всё откроется и тогда... Но с другой стороны, это всё так меня возбуждает... Никогда ничего подобного со мной не было...|Ich weiß nicht, ich habe solche Angst.... Aber auf der anderen Seite ist das so aufregend.... So etwas habe ich noch nie gefühlt....
		05.aft2les.6^		Ну вот видишь! А ты хочешь отказаться...|Siehst du! Warum solltest du es aufgeben wollen?

	05.aft2les.6@41@Ну... ладно. Хорошо. Если никто не узнает и все будут осторожны, то можно... немножко...|Nun.... okay. Wenn wir sehr vorsichtig sind, könnten wir etwas tun....
		05.aft2les.7^		Не глубоко, да?|Nicht zu tief, oder?

	05.aft2les.7@42@Макс, ну ты и придурок!|Du bist so ein Idiot, Max!
		05.aft2les.8^		Ну да, я такой. Главное, чтобы ты не передумала!|Ja, nun, das bin ich. Die Hauptsache ist, dass du deine Meinung nicht änderst!

	05.aft2les.8@40@Вот будешь себя так вести, точно передумаю. Ладно, можешь передать тёте Кире, что я согласна продолжить... это обучение.|Wenn du so weitermachst, ändere ich meine Meinung.\nSchön, du kannst Tante Kira sagen, dass ich bereit bin, unsere Ausbildung fortzusetzen.
		leave!set_kiranight_2!set_poss.sed_30^		Супер! Я тебя люблю, сестрёнка!|Super! Ich liebe dich, Schwesterherz!



# --- 0.5: Разговор с Кирой после разговора с Лизой|Kira-Gespräch, nachdem Lisa sich auf Blowjob-Unterricht geeinigt hatte.

	05.aft2kir.0.init@0@Кажется, я убедил Лизу...|Ich glaube, ich habe Lisa überzeugt.
	05.aft2kir.0@100@В чём? А, ты о продолжении наших уроков? Молодец! Сложно было?|Um was zu tun? Oh, du meinst unsere Lektionen? Gute Arbeit! War es schwer?
		05.aft2kir.1^		Не очень...|Nicht wirklich

	05.aft2kir.1@114@Ну я сразу заметила, что ей самой всё это очень нравится. Мне кажется, что она и ломается только для вида, а сама только и мечтает, чтобы что-то такое с ней произошло...|Ja, ich habe bemerkt, dass sie unseren Unterricht genießt. Ich glaube, sie tut nur so, als wolle sie das nicht, weil sie sich schuldig fühlt, aber sie will, dass das immer wieder passiert.
		05.aft2kir.2^		Думаешь?|Denkst du?

	05.aft2kir.2@101@Уверена. Ты посмотри, стоит мне войти в комнату, как она уже мокрая, а когда я язычком ласкала твой член, видел как она сидела? Мне кажется, что она очень хотела снять трусики и себя ласкать!|Ich bin mir sicher. Beobachten Sie sie das nächste Mal, sobald ich im Zimmer bin, wird sie sofort nass. Und hast du sie gesehen, als ich deinem Schwanz gelutscht habe? Ich bin sicher, sie wollte ihr Höschen ausziehen und mit sich selbst spielen.
		05.aft2kir.3^		Да ладно? Ничего себе!|Wow!

	05.aft2kir.3@113@Ага. В общем, насчёт Лизы я уверена, что она отличная ученица... А вот насчёт тебя, Макс...|Ja. Wie auch immer, ich bin sicher, sie ist eine großartige Schülerin. Du, andererseits....
		05.aft2kir.4^		А что насчёт меня? Я плохой ученик?|Was ist mit mir? Bin ich ein schlechter Schüler?

	05.aft2kir.4@114@Ну как учебное пособие ты превосходен, но мне кажется, что немного не так относишься к этим урокам. Ты просто хочешь потрахаться, а ничего толком не извлекаешь из этого...|Nun, du bist eine gute Requisite, aber ich bin mir nicht sicher, ob du die richtige Einstellung für unseren Unterricht hast. Du willst einfach nur kommen, ohne dir die Mühe zu machen, etwas Sinnvolles zu lernen.
		05.aft2kir.5^		Почему же, я кое-что понял!|Nein, ich habe eine sehr wichtige Lektion gelernt!

	05.aft2kir.5@108@И что же?|Und wie lautet die?
		05.aft2kir.6^		Что трахнуть можно кого угодно, даже свою сестру!|Ich kann jeden ficken, sogar meine Schwester!

	05.aft2kir.6@112@Да, Макс, очень глубокая мысль. Поражаюсь, как ты быстро до этого дошёл... и всего-то понадобилась пара уроков...|Wow, Max, das ist genau das, was ich bei unseren letzten beiden Lektionen zu lehren versuche....
		05.aft2kir.7^		Э... Это сарказм?|Das war sarkastisch, oder?

