# --- Разговор с Эриком после ужина, где определяется формат будущих отношений|Erstes Gespräch mit Eric, wenn Max entscheidet, ob er mit oder gegen ihn ist.

		eric.voy.more.next.4^				А не перебор?|Und es ist nicht zu viel?

	eric.voy.more.next.4@81@Я вроде тебе сразу сказал, что у меня в планах вся твоя семья, ну, женская её часть. И всё что я обещал сделал. Теперь твоя очередь. Будешь мне помогать достигать моих целей. Понял?|Ich sagte bereits, dass ich Pläne für deine ganze Familie habe. Nun, die Frauen gehören dazu. Und ich habe getan, was ich versprochen habe. Jetzt bist du dran. Du wirst mir helfen, meine Ziele zu erreichen. Verstanden?
		eric.voy.more.next.5^				Понял...|Verstanden...
		eric.voy.more.next.5b^				Я не согласен!|Ich bin anderer Meinung!

	eric.voy.more.next.5b@83@Ого. И что это значит? Думаешь, у тебя есть выбор? И с чем ты не согласен? Не хочешь мне помогать или не согласен с тем, как обстоят дела?|Denkst du, du hast eine Wahl? Und womit bist du nicht einverstanden? Du willst mir nicht helfen, oder bist du anderer Meinung?
		eric.voy.more.next.x1^				И с тем и с другим!|Beides!
		eric.voy.more.next.x2^				Не хочу помогать тебе|Ich will dir nicht helfen.
		eric.voy.more.next.x1^				Я разрываю наш договор!|Ich breche unseren Deal!

	eric.voy.more.next.x2@81@Как же так? Ты хотел, чтобы я помог тебе, я это сделал. Теперь твоя очередь и ты отказываешься? Как-то не по-пацански, ты так не считаешь?|Was? Du wolltest, dass ich dir helfe, also tat ich es. Jetzt bist du dran und lehnst ab? Das ist nicht sehr fair, findest du nicht?
		eric.voy.more.next.x1.ok^			Ладно, убедил. Извини...|Okay, Sicher. Sorry...
		eric.voy.more.next.x1.no^			Я передам маме наш разговор!|Ich werde meiner Mom von unserem Gespräch erzählen!

	eric.voy.more.next.x1@80@Серьёзный шаг, Макс. и очень глупый. Я же тебя раздавлю, а остальные только посмотрят и улыбнутся, потому-что я их смогу убедить в чём угодно. Ты это понимаешь?|Das ist ein ernster und sehr dummer Schritt, Max. Ich werde dich zerquetschen, und der Rest wird nur schauen und lächeln, weil ich sie überzeugen kann, alles zu tun. Verstehst du das?
		eric.voy.more.next.x1.ok^			Ладно, убедил. Извини...|Okay, Sicher. Sorry...
		eric.voy.more.next.x1.no^			Попробуй! Я всё расскажу маме!|Versuchs mal! Ich sag's meiner Mom!

	eric.voy.more.next.x1.no@87@Забавный ты, Макс. Разве ты не понял, что я полностью контролирую твою мать? И это ещё цветочки. У меня большие планы на твою семью. И если ты не со мной, то ты препятствие, которое я просто уничтожу.|Du bist witzig, Max. Siehst du nicht, dass ich deine Mom komplett unter Kontrolle habe? Und es ist nur der Anfang. Ich habe große Pläne für deine Familie. Und wenn du nicht bei mir bist, dann bist du ein Hindernis, das ich einfach zerstören werde.
		eric.voy.more.next.x1.ok^			Ладно, убедил. Извини...|Okay, Sicher. Sorry...
		eric.voy.more.next.x1.no.war^		Значит, война!|Das bedeutet Krieg!

	eric.voy.more.next.x1.no.war@83@Война? Ну, хорошо. Посмотрим, как долго ты продержишься...\n\n<color=orange><i><b>Внимание:</b> Ваши отношения значительно ухудшились!</i></color>|Krieg? Nun, okay. Mal sehen, wie lange du durchhältst....\n\n<color=orange><i><b>Achtung:</b>Deine Beziehungen haben sich sehr verschlechtert.</i></color>
		leave!set_eric.talk.moreplans_3!ericwar!max_tell.mom.eric.plan_1^			Посмотрим...|Okay

	eric.voy.more.next.x1.ok@86@Ладно, извинения принимаются. И да, когда скажу что-то сделать, ты это сделаешь без лишних вопросов. Можешь не отвечать...|Okay, Entschuldigung akzeptiert. Und wenn ich dir sage, dass du etwas tun sollst, wirst du es ohne Fragen tun. Ich brauche deine Antwort jetzt nicht, verschwinde.
		leave!set_eric.talk.moreplans_2^	<i>уйти</i>|<i>verlassen</i>

	eric.voy.more.next.5@86@Вот и молодец. Я думал, что с тобой будут проблемы, а ты прямо с энтузиазмом отдаёшь всю свою семью в секс-рабство, так сказать...|Gut gemacht. Ich habe einige Probleme erwartet, aber du führst deine ganze Familie in eine Sexsklaverei mit Enthusiasmus, sozusagen....
		eric.voy.more.next.6^				Что?!|Was?!

	eric.voy.more.next.6@87@Да шучу я, расслабься. В общем, имей в виду, что мне мешать не стоит. Возьму ту, которую захочу. Зато, ты сможешь смотреть. Ну всё, разговор окончен, иди займись чем-нибудь...|Ich mach nur Spaß, entspann dich. Denk einfach an deinen Platz. Ich nehme, wen ich will, und du darfst zusehen. Wie auch immer, dieses Gespräch ist vorbei, geh und mach dich irgendwo nützlich.
		leave!set_eric.talk.moreplans_2^	<i>уйти</i>|<i>verlassen</i>



# --- Макс просит у Эрика деньги|Max bittet um Geld von Eric

	eric.needmoney.init@0@Мне нужны деньги...|Ich brauche Geld....
	eric.needmoney@81@Ну так заработай! Причём тут я?|Nun, verdiene etwas! Was hat das mit mir zu tun?
		eric.needmoney.next.1^				Мы договаривались...|Wir hatten eine Abmachung....

	eric.needmoney.next.1@87@Да? Ну, ладно... Держи. Только на глаза не попадайся...|Gut.... Hier. Und jetzt geh mir aus den Augen.
		leave!ericmoney^					Хорошо...|Schön



# --- Разговор с Эриком насчёт обучения Лизы|Gespräch mit Eric über das Unterrichten von Lisa

	eric.need.liza@80@e-meet-eric-3@Макс, нам нужно поговорить наедине.|Max, wir müssen unter vier Augen reden.
		eric.need.liza.ok^							Я слушаю...|Ich höre

	eric.need.liza.ok@81@До меня дошли слухи, что ты собрался обучать Лизу... Даже не знаю как это назвать. В общем, ты хочешь стать её своего рода секс-учителем. Это правда?|Ich habe gehört, dass du Lisa etwas beibringen wolltest.... Ich weiß nicht, wie ich es nennen soll. Nun, du willst ihr irgendeine Form von Sex geben. Ist das wahr?
		eric.need.liza.ok.how^						Как ты узнал?!|Woher weißt du das?!
		eric.need.liza.ok.no!add_eric.fee_-5^		Нет, конечно!|Natürlich nicht!
		eric.need.liza.ok.yes!add_eric.fee_5^		Ну, типа того...|Etwas Ähnliches

	eric.need.liza.ok.how@83@Это совершенно не важно. Важно, что у нас с тобой договор. Ты получаешь деньги, возможность наблюдать, но не трогать. И это касается обеих твоих сестёр и матери.|Das ist nicht wichtig. Wichtig ist, dass wir eine Vereinbarung haben. Du bekommst das Geld, du kannst zusehen, aber nicht anfassen. Und das gilt sowohl für deine Schwestern als auch für deine Mom.
		eric.need.liza.ok.how.ok^					Ну, хорошо. Забирай и Лизу...|Oh, nun ja. Auch Lisa....
		eric.need.liza.ok.how.no^					Лизу тебе не отдам!|Ich werde dir Lisa nicht geben!

	eric.need.liza.ok.no@84@Ты пытаешься меня обмануть? У нас с тобой договор. И если ты решил его нарушить, то ты первый, кто пострадает. С этого момента я стану давать тебе меньше денег. А вот Лизу ты должен оставить. Она моя.|Willst du mich verarschen? Wir haben einen Vertrag. Und wenn du dich entscheidest, ihn zu brechen, dann bist du derjenige, der leiden muss. Von diesem Moment an werde ich dir weniger Geld geben. Du musst Lisa in Ruhe lassen. Sie gehört mir.
		eric.need.liza.ok.how.ok^					Ну, хорошо. Забирай и Лизу...|Oh, nun ja. Auch Lisa....
		eric.need.liza.ok.how.no^					Лизу тебе не отдам!|Ich werde dir Lisa nicht geben!

	eric.need.liza.ok.yes@87@Я рад, что ты это не скрываешь. Ради такого надбавлю тебе $5 к твоим чаевым за честность. Напомню, что ты уступил мне всю свою семью. И Лиза её часть. Так что, ты должен бросить свою затею. Обучать её буду я сам.|Ich bin froh, dass du es nicht versteckt hast. Ich füge dir $5 zu deinem Trinkgeld für Ehrlichkeit hinzu. Ich erinnere dich daran, dass du für mich und deine ganze Familie verloren bist. Und Lisa ist ein Teil von Ihr. Also musst du dein Unternehmen aufgeben. Ich werde es ihr selbst beibringen.
		eric.need.liza.ok.how.ok^					Ну, хорошо. Забирай и Лизу...|Oh, nun ja. Auch Lisa....
		eric.need.liza.ok.how.no^					Лизу тебе не отдам!|Ich werde dir Lisa nicht geben!

	eric.need.liza.ok.how.ok@86@Макс, ты меня удивляешь. Так спокойно смотришь на то, что я собираюсь перетрахать всех твоих сестёр и мать... Может быть, ты из этих, которые любят только наблюдать? Но не мне тебя судить. Лично меня всё устраивает. Ладно, этот вопрос уладили. Свободен.|Max, du überraschst mich. Also schau dir ruhig an, wie ich all deine Schwestern und deine Mom ficken werde.... Vielleicht bist du einer von denen, die nur zusehen wollen? Aber ich kann dich nicht verurteilen. Ich persönlich bin mit allem zufrieden. Okay, diese Frage ist geklärt. Du kannst gehen.
		leave!giveliza!can^							<i>законч?ть разговор</i>|<i>Unterhaltung beenden</i>

	eric.need.liza.ok.how.no@88@Ну, тогда у нас с тобой проблемы. Если ты помнишь, мы договорились, а договор нужно выполнять. Либо нам с тобой придётся перестать быть друзьями... Выбирай.|Nun, dann haben wir Probleme. Wenn du dich erinnerst, haben wir vereinbart, und der Vertrag sollte ausgeführt werden. Oder wir müssen aufhören, Freunde zu sein.... Entscheide dich.
		eric.need.liza.ok.how.ok^					Ну, хорошо. Забирай и Лизу...|Oh, nun ja. Auch Lisa....
		eric.need.liza.ok.how.no.war^				Делай что хочешь, но Лиза моя!|Mach, was du willst, aber Lisa gehört mir!

	eric.need.liza.ok.how.no.war@81@Ну, значит, война. Я тебя предупреждал уже, что ты проиграешь. Теперь есть возможность в этом убедиться лично. И да, готовь сапоги. Военный лагерь ждёт...\n\n<color=orange><i><b>Внимание:</b> Ваши отношения значительно ухудшились!</i></color>|Nun, das bedeutet Krieg. Ich habe dich bereits gewarnt, dass du verlieren würdest. Jetzt ist es möglich, es persönlich zu sehen. Und ja, mach die Stiefel fertig. Das Militärlager wartet auf dich....\n\n<color=orange><i><b>Achtung:</b> Deine Beziehung hat sich erheblich verschlechtert!</i></color>
		leave!ericwar!can^							Посмотрим...|Okay



# --- 0.3: Макс шантажирует Эрика (спалил ночью у комнаты Алисы)|Max versucht Eric zu erpressen, nachdem er ihn neben Alice's Zimmer erwischt hat.

	max.com.eric.1.init@0@Мне кажется, нам надо поговорить...|Ich denke, wir sollten darüber reden.
	max.com.eric.1@82@О чём? Не видишь, я занят!|Worüber? Siehst du nicht, dass ich beschäftigt bin?
		max.com.eric.2^										Ну для этого уж найди время...|Irgendwann einmal
		leave^												Ладно, в другой раз...|Okay, ein anderes Mal dann

	max.com.eric.2@88@Для чего для этого? Говори, чего хотел и убирайся!|Gut, sag mir, was du willst und verschwinde.
		max.com.eric.3^										Я видел, что ты делал у комнаты Алисы ночью...|Ich habe gesehen, was du nachts neben Alices Zimmer gemacht hast....

	max.com.eric.3@81@И что с того? Шантажировать меня вздумал?|Und? Versuchst du mich zu erpressen?
		eric.status=2&max.com.eric.peace^					Ну, называй как хочешь...|Nenn es, wie du willst.
		eric.status<2&max.com.eric.war^						Ну, называй как хочешь...|Nenn es, wie du willst.

	max.com.eric.war@82@Какие ваши доказательства?|Und hast du irgendwelche Beweise?
		max.com.eric.war.words^								Я сам всё видел и расскажу всем!|Ich habe dich gesehen und ich werde es allen erzählen!
		com.ericnight=2&max.com.eric.war.proof^				У меня есть фото...|Ich habe ein Foto

	max.com.eric.war.words@81@Мне кажется ты сам понимаешь, что твоё слово против моего ничего не значит. А вот за враньё получишь по жопе! Всё, свалил отсюда, не хочу тебя видеть!|Komm schon, Max, du musst verstehen, dass mein Wort gegen deins steht und niemand wird dir glauben. Du wirst nur verprügelt. Raus hier.
		leave!set_com.ericnight_3^							Ну и ладно...|Okay, schön....

	max.com.eric.war.proof@81@Фото некачественное. Тут почти ничего не разобрать... Ладно, чего ты хочешь? Но учти, я никуда не денусь и подобные просьбы пошлю куда подальше!|Man sieht nicht viel auf dem Foto. Gut, was willst du? Aber vergiss nicht, so leicht wirst du mich nicht los.
		max.com.eric.war.proof.1^							Гони $200!|Ich will $200!
		max.com.eric.peace.agro.proof.inf^					Я хочу, чтобы ты перестал настраивать семью против меня!|Ich will, dass du aufhörst, meine Familie gegen mich aufzubringen!

	max.com.eric.war.proof.1@86@Иди в жопу! Ещё просьбы?|Fick dich selbst. Irgendwelche anderen Wünsche?
		max.com.eric.peace.agro.proof.inf^					Я хочу, чтобы ты перестал настраивать семью против меня!|Ich will, dass du aufhörst, meine Familie gegen mich aufzubringen!

	max.com.eric.peace@83@Мы же с тобой, вроде как, нашли общий язык? И шантажировать вздумал?! Ладно, чего ты хочешь...|Haben wir uns nicht schon geeinigt? Und jetzt willst du mich erpressen? Was willst du denn?
		max.com.eric.peace.agro^							Думаю, что ты должен отвалить от моей семьи!|Ich will, dass du meine Familie in Ruhe lässt!
		max.com.eric.peace.want^							У меня есть ряд требований!|Ich habe eine Reihe von Forderungen!

	max.com.eric.peace.want@81@А не охренел ли ты, Макс? Может быть, я подумаю над твоей просьбой, но ряд требований можешь засунуть себе сам знаешь куда!|Mich fickst du nicht, Max? Vielleicht werde ich über Deine Forderung nachdenken, aber wie willst du deine Anforderungen durchsetzen?!
		max.com.eric.peace.agro^							Сделаешь, как я сказал! Иначе...|Du tust, was ich sage, sonst....
		com.ericnight=2&max.com.eric.peace.agro.proof^		У меня есть доказательства!|Ich habe einen Beweis!

	max.com.eric.peace.agro@81@Иначе что? Побежишь и расскажешь всё мамочке? Думаешь, она поверит твоим словам? Против моих? Серьёзно?|Oder was? Wirst du rennen und es Mom erzählen? Glaubst du wirklich, dass sie dir glauben wird? Ernsthaft?
		max.com.eric.peace.agro.yes^						Конечно, поверит!|Natürlich wird sie das!
		com.ericnight=2&max.com.eric.peace.agro.proof^		У меня есть доказательства!|Ich habe einen Beweis!

	max.com.eric.peace.agro.proof@88@Какие ещё доказательства?!|Welchen Beweis!!?
		max.com.eric.peace.agro.proof.1^					Я тебя сфотографировал!|Ich habe ein Foto.

	max.com.eric.peace.agro.yes@86@Ну, можешь попробовать. Только не удивляйся, если тебя потом выпорят за враньё у всех на глазах... А теперь свалил отсюда!|Du kannst es versuchen, aber sei nicht überrascht, wenn du dafür verprügelt wirst, dass du vor deiner ganzen Familie liegst. Und jetzt verschwinde!
		com.ericnight=1&max.com.eric.peace.agro.yes.ok^		Посмотрим...|Okay
		com.ericnight=2&max.com.eric.peace.agro.proof^		У меня есть доказательства!|Ich habe einen Beweis!

	max.com.eric.peace.agro.yes.ok@81@Посмотрим... А за то, что ты мне угрожал, я... уменьшаю твои карманные деньги. Чтобы думал в следующий раз головой. А теперь свалил отсюда!|Wir werden sehen.... Ich werde dein Taschengeld für den Versuch, mich zu erpressen, reduzieren, du solltest es dir das nächste Mal vorher überlegen. Und jetzt verschwinde.
		leave!add_eric.fee_-5!set_com.ericnight_3^			Блин...|Misst...

	max.com.eric.peace.agro.proof.1@81@Врёшь! Ничего у тебя нет!|Nein, tust du nicht! Du lügst!
		max.com.eric.peace.agro.proof.2^					<i>показать копию фотографии</i>|<i>zeige ihm das Foto</i>

	max.com.eric.peace.agro.proof.2@83@Ну, ладно... Чего ты хочешь? Только учти, что я никуда не денусь и от твоей семьи не отстану.|Gut.... Was willst du denn? Aber denk dran, vernünftig zu sein, ich werde deine Familie nicht in Ruhe lassen, wegen eines beschissenen Fotos.
		random.social.2=1&max.com.eric.peace.w.money.ok^	Увеличь карманные деньги на $20! [skill.social_2]|Ich will $20 mehr Taschengeld! [skill.social_2]
		random.social.2=0&max.com.eric.peace.w.money.no^	Увеличь карманные деньги на $20! [skill.social_2]|Ich will $20 mehr Taschengeld! [skill.social_2]
		random.social.1=1&max.com.eric.peace.w.gold.ok^		Прямо сейчас давай $100! [skill.social_1]|Ich will $100!
		random.social.1=0&max.com.eric.peace.w.gold.no^		Прямо сейчас давай $100! [skill.social_1]|Ich will $100!
		lizas.mentor=2&max.com.eric.peace.w.liza^			Я хочу обучать Лизу!|Ich will Lisa Sexunterricht geben!
		max.com.eric.peace.agro.proof.inf^					Перестань настраивать против меня мою семью!|Hör auf, meine Familie gegen mich aufzubringen!

	max.com.eric.peace.w.liza@81@Мы же с тобой договорились? Я её обучаю, ты свои руки не суёшь. Что-то изменилось?|Hatten wir nicht eine Abmachung? Ich bringe es ihr bei und du lässt sie in Ruhe. Was hat sich geändert?
		max.com.eric.peace.w.liza.yeah^						Ага. Теперь у меня есть на тебя компромат. Но я его удалю за Лизу.|Ich habe ein Druckmittel. Und ich bin bereit, es zu benutzen, um Lisa zu kriegen.

	max.com.eric.peace.w.liza.yeah@83@Тебе мать не поверит. Я скажу, что ты всё подстроил или ещё что-то выдумаю. И тогда у тебя не будет ничего, а мы с тобой станем врагами...|Deine Mom wird mir nicht glauben. Ich werde ihr sagen, dass du mich reingelegt und alles erfunden hast. Dann hast du nichts und wir werden Feinde.
		max.com.eric.peace.w.liza.yeah.2^					Или поверит и ты вылетишь отсюда навсегда...|Oder vielleicht <i>wird</i> sie mir glauben und du verlierst alles.

	max.com.eric.peace.w.liza.yeah.2@81@Сомневаюсь... Но если тебе так нужна Лиза, забирай. Всё равно, она слишком мелкая для меня...|Das bezweifle ich. Aber da du sie so sehr willst, kannst du sie haben. Sie ist sowieso zu jung und unerfahren für mich.
		leave!set_com.ericnight_5^							Вот и договорились!|Deal!

	max.com.eric.peace.agro.proof.inf@81@Да без проблем. Учитывая, что я никого особо не настраиваю... Но будем считать, что я тебя услышал. А фото удали, иначе я тебя утоплю в бассейне. Скажу, что так и было...|Kein Problem. Ich habe sowieso nicht wirklich viel gemacht. Aber sagen wir, ich habe dich gehört. Jetzt lösche das Foto oder ich ertränke dich im Pool und sage, es war ein Missgeschick.
		leave!set_com.ericnight_0!add_liza.inf_-20!add_alisa.inf_-20!add_mom.inf_-20^	Удалю, удалю...|Sicher, ich werde es löschen.

	max.com.eric.peace.w.money.ok@87@<color=lime><i>Убеждение удалось!</i></color>\nТебе не говорили, Макс, что ты слишком жадный? Ладно, добавлю тебе денег. Но $10 максимум. А теперь вали отс?да нахрен!|<color=lime><i>Überzeugung Erfolgreich!</i></color>\nHast du nicht gehört, dass Gier eine Todsünde ist, Max? Gut, du bekommst mehr Geld. Aber nur $10. Und jetzt verschwinde.
		leave!set_com.ericnight_0!add_eric.fee_10^			Ну и ладно...|Okay, Schön...

	max.com.eric.peace.w.money.no@87@<color=orange><i>Убеждение не удалось!</i></color>\nНу у тебя и запросы, Макс! Надбавлю тебе $5 и вали отсюда нах?ен!|<color=orange><i>Überzeugung Fehlgeschlagen!!</i></color>\nDas ist zu viel, Max. Ich gebe dir $5 mehr Geld und jetzt verschwinde von hier.
		leave!set_com.ericnight_0!add_eric.fee_5^			Блин...|Misst...

	max.com.eric.peace.w.gold.ok@87@<color=lime><i>Убеждение удалось!</i></color>\nОткуда в тебе такие замашки? Ладно, дам тебе, но $50 и чтобы я тебя больше не видел!|<color=lime><i>Überzeugung Erfolgreich!</i></color>\nWhere do you even get this arrogance? Fine, I'll give you $50 so you will leave me alone.
		leave!set_com.ericnight_0!add_money_50^				Сойдёт...|Gut genug

	max.com.eric.peace.w.gold.no@87@<color=orange><i>Убеждение не удалось!</i></color>\nХорошая попытка, но нет. Не дам я тебе $100 за какую-то фотку. Держи $20 и удали её, иначе пожалеешь...|<color=orange><i>Überzeugung Fehlgeschlagen!</i></color>\nNetter Versuch, aber nein. Ich bezahle keine $100 für ein Foto. Hier sind 20 Dollar, und du löschst es besser....
		leave!set_com.ericnight_0!add_money_20^				Хорошо...|Schön



# --- 0.4: Попытка узнать у Эрика что происходит насчёт Киры и той ситуации ночью|Max fragt Eric nach Kira

	eric.wtf0.init@0@Какого хрена, Эрик?!|Was zum Teufel, Eric!?
	eric.wtf0@83@Не мог бы ты изъясняться как-то понятнее, Макс?|Wovon redest du?
		eric.wtf0.step.2^				Я про то, что было ночью в гостиной!|Ich rede davon, was du nachts im Wohnzimmer gemacht hast!

	eric.wtf0.step.2@90@А на что это было похоже? Я трахал твою тётю Киру, пока все спали, включая твою маму, а ты ничего не мог с этим поделать, потому-что Кира была не против... Я всё правильно объяснил?|Wie sah es aus? Ich habe deine Tante Kira gefickt, während alle, auch deine Mom, geschlafen haben. Und du konntest nichts dagegen tun, weil Kira damit einverstanden war. Habe ich mich klar ausgedrückt?
		eric.wtf0.step.3^				Не зли меня!|Verärgere mich nicht!

	eric.wtf0.step.3@89@Ой, а то что будет? Мамочке пожалуешься? Ну давай, рискни! Только я бы на твоём месте был бы чуточку умнее и сначала поговорил с Кирой. Может быть у неё найдутся ответы на некоторые твои вопросы... Конечно, если она расскажет...|Oder was? Du rennst zu deiner Mom und weinst? Na los, versuch's. Aber ich rate dir, zuerst mit Kira zu reden, sie könnte dir etwas Interessantes erzählen.... Oder vielleicht auch nicht....
		leave!set_poss.sac_2^			Блин!|Scheiße!



# --- 0.4: Разговор с Эриком насчёт компромата на Киру и Макса|Gespräch mit Eric über seine Erpressung von Kira

	eric.wtf.kira.init@0@Я поговорил с Кирой...|Ich habe mit Kira gesprochen....
	eric.wtf.kira@86@Видимо, она всё рассказала? Или нет?|Also, hat sie dir die Situation erklärt?
		eric.wtf.kira.step.2^			Ну ты и подонок!|Du bist ein Abschaum!

	eric.wtf.kira.step.2@90@Значит, и правда рассказала! А ты, Макс? Трахался со своей родной тётей, пока все спали, это как называется?|Also hat sie es dir gesagt. Was ist mit dir, Max? Du hast deine Tante gefickt, während alle schliefen, wie nennst du das?
		eric.wtf.kira.step.3^			Это не твоё дело!|Das geht dich nichts an!

	eric.wtf.kira.step.3@83@Не моё? Хорошо. Тогда то, что я трахаюсь с Кирой, это моё дело. Не твоё. К тому же, я тебя предупреждал, что собираюсь трахнуть всех женщин в твоей семье... И пока у меня почти всё получается...|Okay, dann ist es nicht deine Sache, dass ich Kira ficke. Außerdem habe ich dich gewarnt, dass ich alle Frauen in deiner Familie ficken werde, und bis jetzt geht es mir ziemlich gut damit....
		eric.wtf.kira.step.4^			Я маме всё расскажу про это!|Ich sag's Mom!

	eric.wtf.kira.step.4@93@Вперёд, Макс! Попробуй... Тебе она вряд-ли поверит, а вот я могу показать ей кое-что, если ты меня понимаешь... Кажется, там вы с Кирой выглядите вполне счастливыми... Вот только как долго продлится счастье если мама узнает?|Los, Max, versuch es. Ich bezweifle, dass sie dir glauben wird, während ich ihr andererseits etwas zeigen kann, wenn du weißt, was ich meine. Kira und du siehst im Video ziemlich glücklich aus. Wie glücklich wirst du sein, wenn deine Mom es herausfindet?
		eric.wtf.kira.step.5^			Ладно, что ты хочешь?|Gut, was willst du?

	eric.wtf.kira.step.5@90@Хочу, чтобы ты свалил отсюда нахрен!|Ich will, dass du dich verziehst!
		eric.wtf.kira.step.6^			Нет, за то видео что хочешь?|Nein, was willst du für das Video?

	eric.wtf.kira.step.6@93@Что-то я сомневаюсь, что у тебя есть что-то, что может меня заинтересовать... Хотя... Есть одна идейка... Правда, ты такой нервный. Не уверен, что стоит предлагать тебе такой вариант...|Ich bezweifle, dass du etwas hast, das mich interessieren könnte.... Obwohl.... Ja, ich habe eigentlich eine Idee. Ich bin mir nicht sicher, ob ich es dir sagen soll.
		eric.wtf.kira.step.7^			Говори уже!|Sag es mir einfach!

	eric.wtf.kira.step.7@86@Ты знаешь, я уже долгое время не могу найти подход к Алисе. Я ей и шмотки дарю всякие и... не важно. Но она просто флиртует со мной и кажется, что просто использует меня и мой кошелёк...|Ich brauche einen Zugang zu Alice. Ich versuche seit geraumer Zeit, ihr ein paar Klamotten zu geben und.... Das spielt keine Rolle. Wie auch immer, sie flirtet einfach mit mir und es fühlt sich an, als würde sie mich und meine Brieftasche benutzen....
		eric.wtf.kira.step.8^			Молодец, Алиса!|Gute Arbeit, Alice!

	eric.wtf.kira.step.8@88@Не смешно, Макс! Короче, если ты мне поможешь к ней подкатить или подскажешь какой-то секрет, какую-то её слабость... И если у меня всё получится, то я переключу своё внимание с Киры на Алису...|Das ist nicht lustig, Max! Wie auch immer, wenn du mir wertvolle Informationen mitteilst, die mir helfen, Alice zu bekommen, dann werde ich meinen Fokus von Kira auf Alice verlagern....
		eric.wtf.kira.step.9^			Что?!|Was!?

	eric.wtf.kira.step.9@83@Ну а как ты хотел? Выбирай: либо твоя тётя, либо твоя сестра. Третьего не дано. Да, я мог бы и Лизу попросить, но мне пока хватит и Алисы, если надумаешь...|Was hast du erwartet? Du kannst zwischen deiner Tante und deiner Schwester wählen. Es gibt keine anderen Möglichkeiten. Ich könnte Lisa fordern, aber ich denke, Alice wird fürs Erste reichen....
		eric.wtf.kira.step.10^			Вот сволочь...|Du verdammtes Arschloch....

	eric.wtf.kira.step.10@87@Твоя реакция мне понятна. Тебя крепко взяли за яйца и хорошего тебе ничего не светит... Однако, у тебя есть выбор. Можешь сказать спасибо, что я тебе его предоставил...|Ich kann Ihre Reaktion verstehen. Du steckst tief in der Scheiße und es gibt keine guten Optionen.... Aber du hast immer noch eine Wahl. Du kannst mir danken, dass ich dir eine zur Verfügung gestellt habe.
		leave!set_poss.sac_4!set_dcd.ericgive_1^			Да пошёл ты!|Fick dich!



# --- 0.4: Макс соглашается пожертвовать Алисой ради Киры|Max willigt ein, Kira gegen Alice einzutauschen.

	eric.give.alisa.init@0@Насчёт тех вариантов...|Über meine Wahl....
	eric.give.alisa@90@Ого! Так ты готов выбрать кого мне отдать? Оставить Киру на растерзание или пожертвовать старшую сестрёнку? Любопытно! Рассказывай, что надумал?|Also, hast du dich entschieden? Lässt du mich mit Kira reden, oder opferst du deine ältere Schwester?
		poss.nightclub>5&eric.give.alisa.yes^			Я отдам тебе Алису|Ich gebe dir Alice.
		eric.give.alisa.another^						Может быть, есть третий вариант?|Gibt es eine andere Möglichkeit?
		eric.give.alisa.nothing^						Ничего. Я передумал!|Ich werde dir Alice nicht geben!

	eric.give.alisa.nothing@86@А, ну тогда вали отсюда нахрен. Значит, Кира - моя. Конечно, если ты снова не передумаешь... Алису я бы тоже попробовал...|Dann gehört Kira mir. Natürlich, wenn du deine Meinung änderst.... Ich würde gerne Alice ausprobieren....
		leave!set_dcd.ericgive_1^						Подонок!|Abschaum!

	eric.give.alisa.another@86@Спешу огорчить тебя, Макс, до невозможности... Но другого варианта нет. Конечно, я могу придумать что-то ещё более... любопытное, но боюсь, что тебе не понравится альтернатива... Ну так что?|Es tut mir leid, dich zu enttäuschen, Max, aber nein. Ich schätze, ich hätte mir etwas noch Interessanteres einfallen lassen können, aber ich fürchte, das wird dir nicht gefallen. Und?
		poss.nightclub>5&eric.give.alisa.yes^			Ладно, забирай Алису|Schön, du kannst Alice haben.
		eric.give.alisa.nothing^						Я ещё подумаю...|Ich werde darüber nachdenken.

	eric.give.alisa.yes@83@Что-то не верится даже! Давай, рассказывай, как мне её добиться...|Hast du überhaupt nützliche Informationen über Alice? Sag mir, was ich tun soll, um sie zu kriegen....
		eric.give.alisa.alco.1^							<i>рассказать про алкоголь</i>|<i>rede über Alkohol</i>

	eric.give.alisa.alco.1@90@Обалдеть! Всё было на поверхности, надо было лишь добавить каплю алкоголя? И при этом она ещё и ничего помнить не будет? Постой, Макс, а ты пользовался этим? Спорю, что не раз!|Huh. Alles, was ich tun sollte, ist, ein bißchen Alkohol zugeben. Und sie wird sich an nichts erinnern? Warte, Max, hast du diese Information selbst benutzt? Ich wette, das hast du, unzählige Male.
		eric.give.alisa.alco.2^							Думай что хочешь...|Denke, was immer du willst

	eric.give.alisa.alco.2@86@Ох, я подумаю, конечно... Да, Макс, порадовал старика... Ради такой информации я прекращу трахать твою тётю... Зато всё самое интересное я сделаю с твоей старшей сестрёнкой! |Nun, Max, das ist definitiv eine nützliche Information. Ich werde sogar aufhören, deine Tante dafür zu ficken.... Aber das, was ich deiner älteren Schwester jetzt antun werde...!
		eric.give.alisa.alco.3^							У меня есть требование!|Ich habe Forderungen!

