# --- 0.4: (новое из 0.4: массаж, в конце) Разговор с Алисой, когда она одна загорает|Alice sonnt sich.

	alisa.talk.solar.init@0@Загораешь?|Sonnenbaden?
		alisa.smoke.fear.mom.dep.spank.start.1.like^									Тебе нравится?|Gefällt es dir?
		alisa.smoke.fear.mom.dep.spank.start.1.hard^									Могу сильнее!|Ich kann dich härter schlagen, wenn du willst.

	alisa.smoke.fear.mom.dep.spank.start.1.like@31@Нравится, что небольно. Ну всё, потискал меня и хватит. И не вздумай после этого хоть словом заикнуться маме про сигареты, убью нафиг!|Ich mag es, dass es nicht schmerzhaft ist. Okay, das sollte reichen. Denk nicht mal dran, es Mom zu erzählen, sonst häute ich dich bei lebendigem Leib!
		leave!lock^																		Не скажу!|Ich werde es nicht

	alisa.smoke.fear.mom.dep.spank.start.1.hard@31@Ой, нет, хватит. Я пошутила. Хватит меня обнимать и трогать, на этом закончим. И маме ни слова. Ни об этом, ни о сигаретах. Понял?|Nein, das ist schwer genug, ich habe nur Spaß gemacht. Okay, das ist genug gestreichelt, du kannst jetzt aufhören. Und kein einziges Wort zu Mom. Nicht darüber und nicht über das Rauchen. Verstanden?
		leave!lock^																		Конечно!|Sicher!

	alisa.smoke.fear.mom.dep.spank.start.2@26@Ай, ай, ай! Больно же! Ну ты чего, Макс? Меня и мама могла также отшлёпать. Всё, хватит! И маме ни слова, понял?|Au au au au! Das tut weh! Warum solltest du das tun, Max? Wenn du mich so hart bestrafen willst, würde ich vielleicht doch lieber von Mom bestraft werden wollen.
		leave!lock^																		Конечно!|Sicher!

	alisa.smoke.fear.mom.dep.spank.next.no.home@20@e-maxalisa-s-home-1@Ну, давай, я готова. Только быстро и... небольно, хорошо?|Okay, ich bin bereit. Schnell und.... Tu mir nicht weh, okay?
		alisa.smoke.fear.mom.dep.spank.next.no.home.easy^								<i>шлёпать нежно</i>|<i>schlage Sie sanft</i>
		alisa.smoke.fear.mom.dep.spank.next.no.home.hard^								<i>шлёпать сильно</i>|<i>schlage Sie hart</i>

	alisa.smoke.fear.mom.dep.spank.next.no.home.hard@26@Ну Макс! Больно же! Ты обещал несильно... Всё, мне надоело, хватит баловаться. Я пошла...|Au, Max! Das tut weh! Du hast versprochen, sanft zu sein.... Genug von diesem Zirkus, ich gehe.
		leave!add_alisa.mood_-50!lock^													<i>закончить</i>|<i>beenden</i>

	alisa.smoke.fear.mom.dep.spank.next.no.home.easy@33@Ты меня гладишь там что ли? Если что, я не жалуюсь. Но давай побыстрее...|Versohlst du mir den Hintern oder massierst du mich? Ich beschwere mich aber nicht. Aber beeilen wir uns....
		alisa.smoke.fear.mom.dep.spank.next.no.home.easy.end^							Мы закончили|Wir sind fertig
		alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch^							<i>взяться левой рукой за грудь</i>|<i>mit der linken Hand an die Brust fassen</i>


	alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch@21@Макс! Быстро убрал руку, а нето я тебе её оторву!|Max! Nimm sofort die Hand weg oder ich reiße sie dir ab!
		alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.remove^					<i>убрать руку</i>|<i>die Hand wegnehmen</i>
		alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold^					<i>не убирать руку</i>|<i>die Hand nicht wegnehmen</i>

	alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.remove@28@Так-то лучше. Надеюсь, это была случайность, а не попытка меня полапать за сиськи... Всё, Макс. Мы закончили, я пошла...|So ist es besser. Ich hoffe, es war ein Missgeschick und kein Versuch, meine Titten zu berühren.... Das ist alles Max. Wir sind fertig.
		leave!add_alisa.mood_-50!lock^													<i>закончить</i>|<i>beenden</i>

	alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold@28@e-maxalisa-s-home-2@Макс, ты хорошо подумал? Макс?|Max, hast du das wirklich durchdacht? Max?
		alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold.next^				Э...|Emm...

	alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold.next@30@e-maxalisa-s-home-3@Макс? Какого чёрта?! У тебя стояк на меня? Совсем что ли извращенец? Я же твоя сестра! Блин... Прикройся хоть...\n\n<color=orange><i><b>Подсказка:</b> Нажимайте ` чтобы включать и выключать интерфейс.</i></color>|Was zum Teufel, Max!? Hast du einen Ständer wegen mir? Wie kannst du so pervers sein? Ich bin deine Schwester! Verdammt.... Bedecke dich wenigstens....\n\n<color=orange><i><b>Tipp:</b> Drücke [H] zum Ein- und Ausschalten der Eingabe.</i></color>
		alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold.next.1^				Извини, это само...|Tut mir leid, es war ein Missgeschick.
		alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold.next.2^				Ну, ты же девушка...|Nun, du bist ein Mädchen....
		alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold.next.3^				На такую у любого встанет!|Jeder würde hart werden, wenn er dich anschaut!

	alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold.next.1@21@Само у него там. Всё, не хочу это... тебя видеть. Мы закончили. И если расскажешь маме, я тоже кое-что расскажу. Я ушла...|Ja, richtig. Das reicht, ich will deine.... dich nicht sehen. Wir sind fertig. Und wenn du Mom vom Rauchen erzählst, erzähle ich ihr von deinem Verhalten. Ich gehe jetzt.
		leave!add_alisa.mood_-50!lock^													<i>закончить</i>|<i>beenden</i>

	alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold.next.2@32@И что? Я ещё и твоя сестра! Забыл? Всё, мы закончили. И что у тебя там, вообще, в башке...|Na und? Ich bin immer noch deine Schwester! Hast du das vergessen? Wir sind fertig. Was hast du dir dabei gedacht?
		leave!add_alisa.mood_-40!lock^													<i>закончить</i>|<i>beenden</i>

	alisa.smoke.fear.mom.dep.spank.next.no.home.easy.touch.hold.next.3@26@Ах... Вот это комплимент! Не ожидала я такого от тебя, Макс. Так, всё, повеселились и хватит. Убери эту свою штуку и не появляйся в таком виде рядом со мной!|Oh.... Das ist ein Kompliment! Ich habe das nicht von dir erwartet, Max. Okay, genug Spaß für einmal. Versteck dein Ding und zeig dich nicht so vor mir!
		leave!add_alisa.mood_20!lock^													<i>закончить</i>|<i>beenden</i>

	alisa.smoke.fear.mom.dep.spank.next.no.home.easy.end@31@Я рада. И совсем не больно. Всё, ты обещал маме ничего не рассказывать! А я пойду...|Ich bin froh. Es hat gar nicht wehgetan. Das war's, du hast versprochen, Mom nichts zu sagen! Ich werde gehen....
		leave!add_alisa.mood_50!lock^													<i>закончить</i>|<i>beenden</i>



# --- Алиса курит без верха|Alice raucht ohne die Oberteil.

	alisa.smoke.notop@22@Ну что, извращенец, доволен видом?|Nun, Perverser, gefällt dir die Aussicht?
		alisa.smoke.notop.good^								Доволен, конечно!|Natürlich tut es das!
		alisa.smoke.notop.hands^							А чего ты прикрываешься?|Warum bedeckst du dich?
		alisa.smoke.notop.change^							Я передумал. Можешь одеться.|Ich habe meine Meinung geändert. Du kannst dich anziehen.

	alisa.smoke.notop.good@25@Надеюсь, маме ничего не расскажешь? А то это опасно для твоей жизни...|Ich hoffe, dass du Mom nichts erzählst? Es würde dein Leben gefährden....
		alisa.smoke.notop.good.ok^							Не переживай, не скажу|Keine Sorge, das werde ich nicht.
		alisa.smoke.notop.good.dependson^					Ну... это зависит от тебя!|Nun.... es hängt von dir ab.

	alisa.smoke.notop.good.ok@33@Вот и молодец. А теперь иди, займись чем-нибудь...|Gut. Jetzt geh und mach dich mal nützlich.
		leave!lock^											Хорошо...|Okay

	alisa.smoke.notop.good.dependson@28@Макс, не играй с огнём! Мы договорились. А теперь сгинь с глаз моих!|Spiel nicht mit dem Feuer, Max! Wir haben eine Vereinbarung. Und jetzt verschwinde!
		leave!set_alisa.mood_-50!lock^						Уже ухожу...|Okay, ich gehe.

	alisa.smoke.notop.hands@33@А про руки мы не договаривались. Хочу - прикрываюсь. Хочу - нет. А тебя так радовать я точно не хочу... Так что вали уже...|Wir haben nichts über Hände gesagt, ich kann mich so oft bedecken, wie ich will. Und ich würde dir definitiv nichts zum Anschauen geben wollen. Also verschwinde.
		leave!lock^											Ну и ладно...|Okay, schön....

	alisa.smoke.notop.change@30@Спасибо, ваше величество! А чего это ты так расщедрился? Я больше не в твоём вкусе?|Danke, Majestät! Warum bist du so großzügig? Ich bin nicht mehr dein Typ?
		alisa.smoke.notop.change.1!set_alisa.mood_100^		Ну, я перегнул палку...|Nun, ich bin zu weit gegangen....
		alisa.smoke.notop.change.2!set_alisa.mood_120^		Это мой шаг к дружбе|Das ist mein Schritt zur Freundschaft.
		alisa.smoke.notop.change.3^							Да надоела!|Ja, mir wurde langweilig von dir.
		alisa.smoke.notop.change.4!set_alisa.mood_-50^		Ты знаешь, пусть всё остаётся как есть...|Weißt du, lass uns alles so lassen, wie es ist....

	alisa.smoke.notop.change.1@33@Спасибо, Макс! Это мудрый поступок... Но ты можешь в последний раз поглазеть...|Danke, Max! Das ist das Richtige.... Du kannst einen letzten Blick darauf werfen....
		leave!set_notop.alisa_0!set_smoke.request_0!lock^	<i>уйти</i>|<i>verlassen</i>

	alisa.smoke.notop.change.2@33@Даже так?! Ну, дружбу я не обещаю, но могу пытаться с тобой как-то уживаться. А если серьёзно, то спасибо, Макс. Я это оценила...|Nun, ich kann keine Freundschaft versprechen, aber ich kann versuchen, besser mit dir auszukommen. Aber im Ernst, danke, Max. Ich weiß das zu schätzen....
		leave!set_notop.alisa_0!set_smoke.request_0!lock^	<i>уйти</i>|<i>verlassen</i>

	alisa.smoke.notop.change.3@29@Что?! А ну-ка вали отсюда, пока цел! И оденусь теперь, будь уверен!|Was?! Verschwinden Sie, solange das möglich ist! Du wirst mich nie wieder so angezogen sehen!
		leave!set_notop.alisa_0!set_smoke.request_0!lock^	<i>свалить</i>|<i>verlassen</i>

	alisa.smoke.notop.change.4@29@Ах так? Опять передумал? Всё, ты мне надоел, свали отсюда!|Ach ja? Hast du deine Meinung wieder geändert? Ich will dich nicht mehr sehen, verschwinde!
		leave!lock^											<i>свалить</i>|<i>verlassen</i>



# --- Алиса курит. Текущее требование - не носить трусы|Alice raucht, Max hat sie gebeten, kein Höschen mehr zu tragen.

	alisa.smoke.nopants@20@Макс, чего хотел?|Was willst du, Max?
		alisa.smoke.nopants.nothing^							Ничего, просто любуюсь...|Nichts, nur die Aussicht genießen.
		alisa.smoke.nopants.pants^								А ты чего в трусах?|Warum trägst du ein Höschen?
		alisa.smoke.nopants.change!set_alisa.mood_100^			Я передумал. Можешь носить трусы...|Ich habe deine Meinung geändert, du kannst wieder Höschen tragen.

	alisa.smoke.nopants.nothing@23@Налюбовался? А вот теперь постой в сторонке, пока я покурю! Давай, вали уже...|Hast du alles gesehen? Jetzt geh woanders hin und lass mich in Ruhe.
		leave!lock^												Хорошо, хорошо...|Gut, gut

	alisa.smoke.nopants.pants@28@В каком смысле?!|Wovon redest du?
		alisa.smoke.nopants.pants.deal^							Мы же договорились - без трусов!|Wir hatten eine Abmachung, kein Höschen!
		alisa.smoke.nopants.pants.joke^							Да шучу я...|Ich mache nur Spaß.

	alisa.smoke.nopants.pants.deal@21@Ты совсем идиот, Макс? Я в купальнике. Это не трусы. А трусы я и так не ношу под джинсами. Можешь себе фантазировать теперь сколько хочешь... Всё, уйди с глаз моих долой!|Bist du behindert, Max? Ich bin in einem Badeanzug, das zählt nicht als Höschen. Ich trage kein Höschen unter meiner Jeans, und du kannst so viel darüber fantasieren, wie du willst. Und jetzt verschwinde!
		leave!lock^												Ухожу, ухожу...|Gut, ich gehe.

	alisa.smoke.nopants.pants.joke@21@Ты наверное думаешь, что у тебя забавные шутки, да? Так вот нет. Абсолютно несмешные, дебильные шутки, как и ты сам. Всё, свалил отсюда. Я занята...|Denkst du, du hast einen guten Sinn für Humor, Max? Weil du es nicht tust. Überhaupt nicht. Deine Witze sind völlig humorlos und behindert, genau wie du. Jetzt verschwinde, ich bin beschäftigt.
		leave!lock^												Как скажешь...|Was auch immer du sagst..

	alisa.smoke.nopants.change@33@А чего передумал? А, хотя не важно. Я рада, а то мне всё натирает в джинсах... Хотя, тебе такие подробности не нужны. Спасибо за разрешение, ваше величество. Теперь дай покурю...|Warum hast du deine Meinung geändert? Warte, das ist mir egal. Ich bin froh, dass die Jeans mich wund gescheuert hat.... Nicht, dass du das wissen müsstest. Danke für Eure königliche Begnadigung, Eure Hoheit. Jetzt lass mich in Ruhe.
		leave!set_smoke.request_0!set_nopants.alisa_0!lock^		<i>уйти</i>|<i>verlassen</i>


# --- Макс может подарить Алисе сигареты|Max schenkt Alice Zigaretten

	alisa.max.gift.cigas.init@0@У меня есть кое-что запрещённое...|Ich habe etwas Verbotenes für dich....
	alisa.max.gift.cigas@21@Это то, что я думаю? Давай сюда!|Ist es das, was ich denke?
		alisa.max.gift.cigas.price^											А что взамен?|Und was würde ich dafür bekommen?
		alisa.mood<-1&alisa.max.gift.cigas.ok^								Держи!|Hier
		alisa.mood>-2&alisa.max.gift.cigas.ok2!add_alisa.mood_50^			Держи!|Hier

	alisa.max.gift.cigas.price@23@Макс! Не будь придурком. Давай сюда!|Sei kein Idiot, Max! Gib mir die Zigaretten!
		alisa.max.gift.cigas.give^						Ну, дер?и...|Schön, Hier

	alisa.max.gift.cigas.ok@31@Спасибо, Макс. Вот теперь я понимаю, ты настоящий брат!|Danke, Max! Jetzt sehe ich, dass du ein guter Bruder bist!
		alisa.max.gift.cigas.give^						Да не за что...|Gern geschehen

	alisa.max.gift.cigas.ok2@25@Хотя ты и полный придурок, но, похоже, начинаешь исправляться!|Hey, es sieht so aus, als ob dein Fall, ein kompletter Idiot zu sein, besser wird!
		alisa.max.gift.cigas.give^						Я не полный придурок!|Ich bin kein kompletter Idiot!

	alisa.max.gift.cigas.give@33@Спасибо. И маме ни слова! У неё рука очень тяжёлая, особенно когда речь о сигаретах...|Danke! Und kein Wort zu Mom!
		leave!add_alisa.mood_100!set_item.ciga_-4!add_count.alisa.gotcigas_1!set_dcd.alisasmoke_0^			Конечно!|Sicher!



# --- Бросаем паука на Алису, пока она загорает в купальнике|Eine Spinne auf Alice werfen, wenn sie sich im Badeanzug sonnt.

	alisa.throw.spider.sun@34@e-alisa-spider-sun-c-1@Что это? Мама! А-а-а-а-а!!!|Was ist das denn? Spinne!? A-a-a-a-a-a-a-a-a!!!!!
		alisa.throw.spider.sun.wtf!set_item.spider_-1!set_dcd.canfindspider_2!max_poss.spiders_4^			Что случилось?!|Was ist passiert?

	alisa.throw.spider.sun.wtf@34@Макс! Помоги! Убери его с меня!|Max! Hilf mir! Nimm das Ding ab!
		alisa.throw.spider.sun.wtf.price^												А что мне за это будет?|Was bekomme ich dafür?
		alisa.throw.spider.sun.good.1^													Сейчас помогу...|Lass mich dir helfen....

	alisa.throw.spider.sun.wtf.price@34@Что угодно! Только убери его! А-а-а-а-а!!!|War auch immer du willst, nimm das Ding einfach von mir runter! A-a-a-a-a-a-a-a!!!!
		alisa.throw.spider.sun.angry.1^													А конкретнее?|Sei genauer
		alisa.throw.spider.sun.good.1^													Ладно, так помогу...|Schön, Ich werde dir helfen.

	alisa.throw.spider.sun.angry.1@27@e-alisa-spider-sun-c-3@Всё, кажется уполз... Ну ты Макс и придурок! Я тебя попросила о помощи, а ты... Постой... Не ты ли его и подбросил ко мне?!|Ich glaube, sie ist irgendwie weggekrochen.... Du bist so ein Idiot, Max! Ich habe dich um Hilfe gebeten und du.... Moment mal.... Du hast das Ding nicht auf mich geworfen, oder?
		random.social.4=1&alisa.throw.spider.sun.ok2^									Нет, конечно!  [skill.social_4]|Natürlich nicht! [skill.social_4]
		random.social.4=0&alisa.throw.spider.sun.face^									Нет, конечно!  [skill.social_4]|Natürlich nicht! [skill.social_4]

	alisa.throw.spider.sun.good.1@32@e-alisa-spider-sun-c-2@Спасибо, Макс... Постой, а это не твоих рук дело?|Danke, Max.... Warte, du hast das Ding nicht auf mich geworfen, oder?
		random.social.5=1&alisa.throw.spider.sun.ok^									Нет, конечно!  [skill.social_5]|Natürlich nicht! [skill.social_5]
		random.social.5=0&alisa.throw.spider.sun.face^									Нет, конечно!  [skill.social_5]|Natürlich nicht! [skill.social_5]

	alisa.throw.spider.sun.ok@23@<color=lime><i>Убеждение удалось!</i></color>\nЛадно, поверю в этот раз... И да, спасибо, что убрал его с меня. Как же я ненавижу пауков, ты даже себе не представляешь!|<color=lime><i>Überredung erfolgreich!</i></color>\nOkay, diesmal glaube ich dir. Danke, dass du mir das Ding abgenommen hast. Du hast keine Ahnung, wie sehr ich Spinnen habe!
		leave!add_alisa.mood_100^														Не за что!|Gern geschehen!

	alisa.throw.spider.sun.ok2@29@<color=lime><i>Убеждение удалось!</i></color>\nТы знаешь, тебе очень повезло. Если бы это оказался ты, я бы тебя утопила в бассейне!|<color=lime><i>Überredung erfolgreich!</i></color>\nGut. Wenn ich dich jemals erwische, wie du Spinnen nach mir wirfst, ertränke ich dich im Pool.
		leave^																			Хорошо, что это был не я...|Gut, dass ich es damals nicht war.

	alisa.throw.spider.sun.face@28@e-facehand-1@<color=orange><i>Убеждение не удалось!</i></color>\nЯ тебе не верю! Наверняка ты что-то сделал! Твоё счастье, что я не уверена наверняка, а так бы точно убила!|<color=orange><i>Überredung fehlgeschlagen!</i></color>\nIch glaube dir nicht, es ist wahrscheinlich deine Schuld. Du hast Glück, dass ich nicht beweisen kann, dass du es warst!
		leave!add_alisa.mood_-200!add_alisa.talkcooldown_10^							Я не виноват... <i>(Уйти)</i>|Ich war es nicht.... <i>(verlassen)</i>



# --- Бросаем паука на Алису, пока она загорает без верха|eine Spinne auf Alice zu werfen, wenn sie sich ohne das Oberteil sonnt.

	alisa.throw.spider.sun.nobra@34@e-alisa-spider-sun-n-1@Что это? Паук?! А-а-а-а-а-а!!!|Was ist das denn? Spinne!? A-a-a-a-a-a-a-a-a!!!!!
		alisa.throw.spider.sun.nobra.help!set_item.spider_-1!set_dcd.canfindspider_2!max_poss.spiders_4^		Дава? его уберу|Lass mich dir helfen
		alisa.throw.spider.sun.nobra.boobs!set_item.spider_-1!set_dcd.canfindspider_2!max_poss.spiders_4^		Хорошие сиськи!|Schöne Brüste!

	alisa.throw.spider.sun.nobra.boobs@27@Что?! Убери его, Макс! Быстро!|Was!? Nimm das Ding weg, Max! Schnell!
		alisa.throw.spider.sun.nobra.help!add_alisa.mood_-50^													Ладно...|Schön

	alisa.throw.spider.sun.nobra.help@32@e-alisa-spider-sun-n-2@Спасибо... Постой, это ты его подбросил?!|Danke.... Warte, du hast es nicht auf mich geworfen, oder?
		random.social.5=1&alisa.throw.spider.sun.nobra.help.good^												Нет, конечно! [skill.social_5]|Natürlich nicht! [skill.social_5]
		random.social.5=0&alisa.throw.spider.sun.nobra.help.face^												Нет, конечно! [skill.social_5]|Natürlich nicht! [skill.social_5]

	alisa.throw.spider.sun.nobra.help.good@28@<color=lime><i>Убеждение удалось!</i></color>\nНу ладно, поверю на слово. И ты что это на меня пялишься? А ну-ка пошёл отсюда. И если увидишь паука - убей. Убей их всех!|<color=lime><i>Überredung erfolgreich!</i></color>\nIch schätze, das hast du nicht. Starrst du mich an? Hau ab. Und wenn du die Spinne siehst - töte sie. Tötet sie alle!
		leave!add_alisa.mood_100^																				Уже ухожу...|Okay, ich gehe.
		leave!add_alisa.mood_120^																				Хорошо выглядишь!|Du siehst sehr hübsch aus!

	alisa.throw.spider.sun.nobra.help.face@28@e-facehand-1@<color=orange><i>Убеждение не удалось!</i></color>\nДумаю, это ты сделал! Тебе повезло, что я не до конца уверена, так бы заставила съесть этого паука! Ну-ка, вали отсюда!|<color=orange><i>Überredung fehlgeschlagen!</i></color>\nIch glaube, Sie sind es.... Du hast Glück, dass ich es nicht beweisen kann, sonst würdest du sie essen! Raus aus Hier!
		leave!add_alisa.mood_-100^																				Я не виноват!|Ich war es nicht!
		leave!add_alisa.mood_-120^																				А сиськи отличные!|Du hast tolle Brüste!



# --- Эвент с прибегающей ночью Алисой|Alice rennt mitten in der Nacht zu Max.

	spider.inbed@23@e-alisa-night-spider-1@Макс! Макс! Вставай быстрее! Мне нужна помощь!\n\n<color=orange><i><b>Подсказка:</b> Клавиша [ ` ] - вкл/выкл интерфейс.</i></color>|Max! Max! Steh auf! Ich brauche deine Hilfe!\n\n<color=orange><i><b>Tipp:</b> Taste [H] zum zeigen oder verstecken der Eingabe.</i></color>
		alisa.notice.nakedmax=0&spider.inbed.wtf!set_spiderinbed_0^									Что случилось?|Was ist passiert?
		alisa.notice.nakedmax=1&05.asx.0!set_spiderinbed_0^											Что случилось?|Was ist passiert?
		alisa.notice.nakedmax>1&spider.inbed.nakedmaxagain!set_spiderinbed_0^						Что случилось?|Was ist passiert?
		alisa.notice.nakedmax=0&spider.inbed.goaway!set_spiderinbed_0^								Разбирайся сама...|Geh weg, ich schlafe....

	spider.inbed.nakedmax@30@e-alisa-nkd-1@Макс! Ты почему голый? И Лиза рядом с голыми сиськами спит... Что происходит?|Warum bist du nackt, Max? Und Lisa hat nur Höschen an.... Was ist hier los?
		spider.inbed.nakedmax.1^																	Нам жарко. Так что случилось?|Es ist zu heiß. Was ist passiert?

	spider.inbed.nakedmax.1@28@Ты что-нибудь сделал с Лизой? Сознавайся!|Did you do something to Lisa?
		spider.inbed.nakedmax.2!set_alisa.notice.nakedmax_2^										Блин, Алиса! Мы просто так спим. Чего хотела?|Wir haben nur geschlafen, Alice. Was brauchst du?

	spider.inbed.nakedmaxagain@30@e-alisa-nkd-1@Макс! Ты опять голый? Прикройся хотя бы! Мне опять нужна твоя помощь с пауком. Пойдём!|Max! Bist du wieder nackt? Deck dich zu! Ich brauche wieder deine Hilfe mit einer Spinne. Gehen wir!
		spider.inbed.wtf.ok^																		Ну давай посмотрим на твоего паука...|Lass uns einen Blick darauf werfen.

	spider.inbed.nakedmax.2@22@Натягивай трусы, мне нужна твоя помощь, срочно!|Jetzt bedecke dich, ich brauche sofort deine Hilfe!
		spider.inbed.wtf^																			Ну говори уже!|Sag mir schon, was du brauchst!

	spider.inbed.goaway@15@e-max-sleep-1@Бегает ещё, кричит что-то... Совсем сдурела...|Die Leute sollen nachts schlafen, nicht herumlaufen und ihre Brüder anschreien....
		leave^																						<i>спат? до утра</i>|<i>bis zum Morgen schlafen</i>

	spider.inbed.wtf@26@Макс, помоги. В моей комнате огромный такой, просто гигантский паук! Убей его, пожалуйста!|Hilf mir, Max. Es ist eine riesige Spinne in meinem Zimmer! Töte sie, bitte!
		spider.inbed.wtf.ok^																		Ну, пойдём посмотрим...|Lass uns einen Blick drauf werfen....
		spider.inbed.goaway^																		Паук? Ерунда какая. Сама разбирайся с ним...|Was? Du hast mich geweckt, nur weil die Spinne in deinem Zimmer ist? Kümmere dich selbst darum....

	spider.inbed.wtf.ok@23@e-alisa-night-spider-2@Макс, Макс! Вот он! Убей его, скорее!!!|Max, Max! Da ist es noch schlimmer! Töte es, schnell!
		spider.inbed.wtf.ok.pay^																	А что мне за это будет?|Was bekomme ich dafür?
		spi>0&spi<5&09.ca.0^																		Но у меня требование...|Okay, aber ich will zuerst etwas.
		spi>4&09.ca.28^																				Хорошо, но я останусь с тобой!|Okay, aber ich werde in deinem Zimmer bleiben.
		spider.inbed.wtf.ok.spider^																	Хорошо, где он там...|Schön, Hier ist es....

	spider.inbed.wtf.ok.pay@32@e-alisa-night-spider-3@Что ты хочешь за смерть этого паука?|Was willst du denn?
		random.social.5=1&spider.inbed.wtf.ok.pay.money^											Давай $10! [skill.social_5]|Gib mir $10 [skill.social_5]
		random.social.5=0&spider.inbed.wtf.ok.pay.fail^												Давай $10! [skill.social_5]|Gib mir $10 [skill.social_5]
		random.social.3=1&spider.inbed.wtf.ok.pay.showtits^											Покажи сиськи! [skill.social_3]|Zeig mir deine Titten [skill.social_3]
		random.social.3=0&spider.inbed.wtf.ok.pay.fail^												Покажи сиськи! [skill.social_3]|Zeig mir deine Titten [skill.social_3]
		random.social.2=1&spider.inbed.wtf.ok.pay.topless^											Сними верх! [skill.social_2]|Zieh dein Top aus [skill.social_2]
		random.social.2=0&spider.inbed.wtf.ok.pay.fail^												Сними верх! [skill.social_2]|Zieh dein Top aus [skill.social_2]
		spider.inbed.wtf.ok.spider!add_alisa.mood_100^												А, ничего. Так поймаю...|Äh, nichts. Ich fange es umsonst....

	spider.inbed.wtf.ok.pay.fail@29@<color=orange><i>Убеждение не удалось!</i></color>\nЧто?! Да я сама тебя сейчас придушу! Тебя-то я не боюсь! Быстро убил его! Или он, или ты. Кто-то из вас умрёт сегодня!|<color=orange><i>Überredung fehlgeschlagen!</i></color>\nEiner von euch wird heute sterben, du oder die Spinne. Welchen wählen Sie?
		spider.inbed.wtf.ok.spider!add_alisa.mood_-100^												Ух, какая ты кровожадная. Ну ладно...|Nun, wenn du es so sagst....

	spider.inbed.wtf.ok.pay.showtits@30@e-alisa-spider-show-1@<color=lime><i>Убеждение удалось!</i></color>\nАх! Ну ты хам... Ладно, смотри быстро. И убей его уже, наконец!|<color=lime><i>Überredung erfolgreich!</i></color>\nDu kleiner Schwachkopf.... Schön, sieh mal. Jetzt geh und töte diese Spinne schon!
		spider.inbed.wtf.ok.spider!add_alisa.mood_-50^												Сиськи - что надо! Ладно, где этот твой паук...|Tolle Titten! Schön, kümmern wir uns um deine Spinne....

	spider.inbed.wtf.ok.pay.topless@30@e-alisa-spider-show-2@<color=lime><i>Убеждение удалось!</i></color>\nАх! Ну ты хам... Ладно... Ну что, доволен, извращенец? А теперь иди, убей его уже, наконец!|<color=lime><i>Überredung erfolgreich!</i></color>\nDu kleiner Schwachkopf.... Gut.... Bist du jetzt glücklich, du Perverser? Jetzt geh und töte diese Spinne schon!
		spider.inbed.wtf.ok.spider!add_alisa.mood_-50^												Отличные сиськи! Ладно, где этот твой паук...|Tolle Titten! Schön, kümmern wir uns um deine Spinne....

	spider.inbed.wtf.ok.pay.money@24@Ну ты и хам, Макс! Ладно, держи $10, только убей его, быстрее!!!|How could you even... Schön, Hier $10, dann töte sie einfach schon!
		spider.inbed.wtf.ok.spider!add_alisa.mood_-20!add_money_10^									Деньги всегда пригодятся! Ладно, где этот твой паук...|Man kann nie zu viel Geld haben! Schön, wo ist deine Spinne....

	spider.inbed.wtf.ok.spider@15@e-spider-bed-1@<i>Ну, где ты там. Ага. Попался! И что мне с тобой делать?</i>|<i>Komm schon, wo bist du? Hab ich dich! Was soll ich mit dir machen?</i>
		spider.inbed.wtf.ok.spider.take^															<i>забрать его себе</i>|<i>die Spinne nehmen</i>
		spider.inbed.wtf.ok.spider.release^															<i>выбросить с балкона</i>|<i>rausschmeißen</i>
		spider.inbed.wtf.ok.spider.kill^															<i>убить паука</i>|<i>die Spinne töten</i>

	spider.inbed.wtf.ok.spider.take@28@e-alisa-night-spider-3@Макс! Ты должен его убить! А не то я подумаю, что это твоих рук дело... Докажи, что это был не ты!|Max! Du musst es töten oder ich denke, du hast es in mein Schlafzimmer gelegt! Beweise mir, dass du es nicht warst!
		spider.inbed.wtf.ok.spider.take.anyway^														Я не буду его убивать!|Ich werde sie nicht töten!
		spider.inbed.wtf.ok.spider.release^															<i>выбросить с балкона</i>|<i>rausschmeißen</i>
		spider.inbed.wtf.ok.spider.kill^															<i>убить паука</i>|<i>die Spinne töten</i>

	spider.inbed.wtf.ok.spider.take.anyway@23@Ах так... Ну, тогда я обижусь на тебя! Всё, вали отсюда!|Dann raus hier, du Arschloch!
		spider.inbed.return!add_alisa.mood_-150!set_item.spider_-5^									<i>вернуться в ?ровать</i>|<i>wieder ins Bett gehen</i>

