# --- 0.12: Макс спрашивает Лизу насчёт уроков с мамой

	12.aa.0.init@0@Как ваше обучение с мамой?|Any progress on your sex ed lessons with mom?
		12.ae.41b^		Если в её школе такой разврат, то...|Her school is so perverted... I kinda wish I'd go there

	12.ae.41a@67@И я очень рада, что это не происходит с какими-то посторонними людьми, что все мы друг другу доверяем и, надеюсь, никто никому ничего не расскажет...|Yes, I'm glad she doesn't do anything with strangers. I trust everything we do here stays between us, Max.
		12.ae.41a.2^	Конечно!|Of course

	12.ae.41a.2@73@А насчёт её школы. Ты правда думаешь, что там все... так запущено... в этом плане, ну ты понимаешь...|Do you really think her school is so perverted?
		12.ae.41b^		Да так везде, 21-й век!|I don't know, I'm pretty sure all schools are like that nowadays

	12.ae.41b@69@Эх... я даже не ожидала, что современная молодёжь настолько распущенная. В наше время такого себе не позволяли... Видимо, старею...|You youngsters are so perverted, everything was different back in our days. Maybe I'm getting old...
		12.ae.41b.2^	Ну что ты говоришь, мам!|No you're not!
		12.ae.41b.2^	Да ты сама чуть старше Лизы!|You're barely older than Lisa!

	12.ae.41b.2@60@Ох, сынок... спасибо тебе. Ладно. Думаю, мы всё обсудили. Приходи, как будешь готов к следующему уроку.|Thanks, son. Okay, I think that's all I wanted to talk about. Come over when you're ready for our next lesson.
		leave!set_poss.guest_28!set_lidea_10!set_dcd.masx_2!max_cam.2.grow_300!time^			Хорошо, мам!|Okay, mom



# --- 0.12: Второй урок

	12.af.0.init@0@Ну что мам, урок?|How about another lesson?
	12.af.0@69@Не сомневалась, что ты придёшь... Думаешь, стоит так часто проводить эти уроки?|I knew this day would come... Do you think having this lessons often is a bad idea?
		12.af.1^		Ты же хочешь, чтобы Лиза быстрее всё поняла?|I don't see any harm in that. Lisa will learn everything faster with no downside

	12.af.1@73@Ну да, ты прав. Ладно, зови сестру...|Maybe... Fine, go fetch your sister.
		12.af.2^		Я быстро!|One moment!

	12.af.2@41@d-mt-3@А вот и мы. В прошлый раз закончили на самом интересном и я ждала продолжения!|Here we are. Last time we stopped right before things got interesting, I couldn't wait to continue!
		12.af.3^		Я тоже!|Me too!

	12.af.3@62@Такой энтузиазм... Ну хорошо, присаживайтесь на кровать, начнём...|So much enthusiasm... Fine, get on the bed and let's start.
		12.af.4^		<i>сесть на кровать</i>|<i>sit on the bed</i>

	12.af.4@60@d-mt-4@Так, о чём же я хотела сегодня вам рассказать...|So, what was I going to tell you today...
		12.af.5^		Или показать?|You mean show us today, right?

	12.af.5@41@d-mt-5@Да, мам, ты хотела показать что делать с возбуждённым парнем, а точнее, с его членом...|Yes, you promised to show what to do when the guy is aroused.
		12.af.6^		Точно!|Right!

	12.af.6@62@d-mt-4@Я хотела? Мне показалось, что это как раз ты хотела... Ну хорошо, попробуем. Нужно лишь немного возбудить Макса...|Did I? I think you were the one who wanted this, not me. But fine, let's do this. For a start we need to arouse Max.
		12.af.7^		<i>далее</i>|<i>continue</i>

	12.af.7@68@d-mt-6@Лиза, ты опять без трусиков?! Да что же это такое... У тебя такая короткая юбка и чуть ветерок дунет, всё же будет видно!|Are you not wearing your panties again, Lisa!? Your skirt is way too short to risk it!
		12.af.8^		Я не против, если что...|I don't mind

	12.af.8@43@d-mt-8@Мам, зато смотри, как быстро работает! Нам же нужно было именно это? Ну всё, Макс, снимай шорты!|But look how effective it is. Take off your shorts, Max.
		12.af.9^		<i>снять шорты</i>|<i>take off shorts</i>

	12.af.9@68@d-mt-9@Я даже не успела ничего сказать! Кажется, я тут лишняя? Ну ладно, Макс у нас озабоченный... слегка... Но ты, Лиза?|Hey, I'm the one teaching here! I get that Max is a pervert, but you, Lisa?
		12.af.10^		<i>далее</i>|<i>continue</i>

	12.af.10@41@Мам, если мы это уже прошли, чего по полчаса обсуждать. Нам был нужен возбуждённый член, мы его получили, верно? Так что дальше?|Didn't we have this conversation already, mom? What's the point of mulling everything over a bunch of times? We needed a hard cock, and now we've got one. What's next?
		12.af.11^		<i>далее</i>|<i>continue</i>

	12.af.11@69@Ну хорошо. Сынок, подойди ко мне, пожалуйста, если ты не против...|Fine. Come over here, son, if you don't mind.
		12.af.12^		Конечно!|Of course I don't!

	12.af.12@73@d-mt-10@Лиза, какие способы... стимуляции ты уже знаешь? Или мне обо всём рассказывать?|So, Lisa. What kind of stimulations do you know about? Do I have to give you the theory first?
		12.af.13^		И показывать!|<i>continue</i>

	12.af.13@41@Да, мам, давай обо всех. Допустим, я встречаюсь с парнем, наши отношения зашли достаточно далеко и я хочу сделать ему приятно, что делать?|Sure, I want to know. So, I'm dating a guy and want to make him feel good. What do I do?
		12.af.14^		<i>далее</i>|<i>continue</i>

	12.af.14@69@Я хочу тебя предупредить, Лиза, что парни... не всегда держат себя в руках. Когда они слишком возбуждены, то могут переступить черту, если ты понимаешь...|I want to warn you, Lisa, guys... can't always keep themselves in check. If they get too excited they might cross the line...
		12.af.15^		Но не все!|Not all guys!
		12.af.15^		<i>промолчать</i>|<i>keep quiet</i>

	12.af.15@41@Конечно, я это понимаю, мам. Но зачем мне такой парень, верно? Допустим, я хочу ему помочь расслабиться. Долгое возбуждение же вредно, да?|I know, mom. But why would I need a guy like that? So, anyway, what do I do to my boyfriend when I want him to relax? Isn't prolonged arousal bad for their health?
		12.af.16^		Да!|Very bad!

	12.af.16@62@Макс, сегодня ты побудешь манекеном, поэтому, не разговаривай. Иначе я буду Лизе объяснять всё... на пальцах...|Max, you're a prop today, don't talk, or we'll continue this lesson without you.
		12.af.17^		Где ты такие большие пальцы возьмёшь?|Okay, I'll be quiet

	12.af.17@41@Макс! Не зли маму. Я знаю, что можно это сделать руками, ртом и грудью... С последним у меня пока не очень, поэтому расскажи подробнее о первых двух...|I know I can use my hands, my mouth, my breasts... I don't think they're big enough for that, though, so tell me about the first two.
		12.af.18^		<i>промолчать</i>|<i>keep quiet</i>
		12.af.18a^		Ещё можно ногами!|You can also use your legs!

	12.af.18a@62@Да, и не только, но давай не будем перечислять все способы, какие могут прийти в твою голову. Макс, и я просила тебя помолчать...|There are many ways, but let's not list all of them at once. And I just told you to be quiet.
		12.af.18^		Угу...|Okay

	12.af.18@69@Да, эти два способа вполне подойдут тебе. Конечно, если ты абсолютно уверена в своём парне и настроена на серьёзные отношения...|Those two will work fine. Of course, first you want to be sure your boyfriend deserves it and wants to have a serious relationships with you.
		12.af.19^		<i>далее</i>|<i>continue</i>

	12.af.19@41@Конечно, мам, на какие же ещё отношения я могу быть настроена... Итак, что и как надо делать руками? Хотя, я видела однажды, как Макс это делал...|Of course, mom, what other kind of relationship I might be interested in? Anyway, how do I do it with my hands? I think I saw Max doing it once...
		12.af.20^		Что?!|What!?

	12.af.20@73@Макс... Точнее, парень, может делать это как хочет. Но у девушек более нежные ручки и парням больше нравится, когда мы их ласкаем. Верно, Макс?|Max... I mean guys can do it in many different ways. But women have soft hands, so men like it when we do it nice and gentle. Right, Max?
		12.af.21^		О да!|Oh, yeah!

	12.af.21@4@d-mt-13@<i>Кажется, мама начала что-то объяснять Лизе... Но мне уже не до того... Да и зачем мне это слушать, если можно расслабиться и наслаждаться?</i>|<i>I don't see the point to keep listening to them... I don't think I could, even if I wanted to... Feels too good not to focus on mom's actions...</i>
		12.af.22^		<i>далее</i>|<i>continue</i>

	12.af.22@41@d-mt-14@Мам, а как я пойму, что всё делаю правильно? Вдруг, ему не понравится... Это же нужно много тренироваться, верно?|Mom, how am I supposed to know if I'm doing it right? What if he doesn't like it? Does this mean I need to have a lot of practice?
		12.af.23^		<i>далее</i>|<i>continue</i>

	12.af.23@67@Ты поймёшь, дорогая. Сразу поймёшь... А насчёт тренировок. Ну вот когда отношения с парнем дойдут до нужного уровня, там и потренируешься...|Oh, you'll know. Don't worry about. About practice... I think you should practice with your boyfriend when your relationship will get far enough to get to that point.
		12.af.24^		Ещё есть я...|But what about me?

	12.af.24@41@А вдруг я сделаю что-то плохо в первый раз и мой парень меня бросит? Может быть, мне лучше тренироваться с Максом? Ты же не против, Макс?|And what if I do something wrong and my boyfriend will dump me? Shouldn't I practice on Max first? You don't mind, do you?
		12.af.25^		Конечно, нет!|Of course not!
		12.af.25^		Я только за!|I'm all for it!

	12.af.25@62@Лиза, если твой парень бросит тебя за то, что ты не так его ласкала в первый раз, значит, не стоит он твоего внимания!|Lisa, if you boyfriend dumps you after one bad handjob then he doesn't deserve to be your boyfriend.
		12.af.26^		А что насчёт меня?|What's wrong with a little practice?

	12.af.26@69@Макс, ну что за глупости? Я не разрешу, чтобы вы с Лизой, чтобы она тебе... твой... Нет, конечно. И, вообще, думаю, на сегодня хватит...|No, Max. I'm not going to let you two to... No. And you know what, I think that's enough for today.
		12.af.27^		Но мам...|But mom...

	12.af.27@41@Мам, это же вредно, если не будет... как это называется... Ну ты поняла, да?|Isn't it bad for Max's health? Not finishing, I mean?
		12.af.28^		<i>далее</i>|<i>continue</i>

	12.af.28@73@d-mt-13@Да, ты права, я совсем забыла про это. В прошлый раз мы его довели до такого состояния и оставили. В этот раз я доведу всё до конца...|Oh, right. Last time we left him like this, but let's not do that today.
		12.af.29^		О да!|Now we're talking!

	12.af.29@4@<i>Обалдеть... Наша строгая мама и делает такое... Конечно, в образовательных целях, но... Ох, я не могу больше сдерживаться...</i>|<i>I can't believe my strict mom is doing this in front of Lisa! I can't hold off anymore!</i>
		12.af.30^		<i>кончить!</i>|<i>cum!</i>

	12.af.30@67@d-mt-28@Вот так, молодец сынок, сегодня ты быстро...|Yes, good job, son. I'm glad you're so quick today.
		12.af.31^		Э...|Em...

	12.af.31@41@Что значит «сегодня», мам?|What do you mean “today”, mom?
		12.af.32^		<i>далее</i>|<i>continue</i>

	12.af.32@69@В смысле, в прошлый раз не дали ему кончить, а сегодня всё быстро... Забудь, я оговорилась... Всё, можешь одеваться, Макс. Урок закончен.|I mean he didn't get to cum at all last time, but today he did, and almost right away. Don't worry about it. The lesson is over.
		12.af.33^		<i>одеться</i>|<i>get dressed</i>

	12.af.33@41@d-mt-35@Мам, а можно на следующем уроке я сама попробую вот так... Ну или я могу с Максом потренироваться наедине...|Mom, can I try this myself next time? Or should we practice alone?
		12.af.34^		<i>далее</i>|<i>continue</i>

	12.af.34@68@Что?! Только при мне! Хорошо, на следующем уроке ты попробуешь... правильно стимулировать мужской член рукой... Ох, как сложно подбирать слова...|You're not to do <b>anything</b> without me! You can try to... stimulate him... on our next lesson.
		12.af.35^		Прикольно...|Great!

	12.af.35@69@Макс, задержись на минутку, пожалуйста...|Stay for a moment, Max.
		12.af.36^		Конечно, мам...|Okay, mom

	12.af.36@73@d-mt-36@Сынок, мне очень неловко, что пришлось это делать вот так... Кажется, наши с тобой дела уже не секрет ни для кого в семье...|I'm sorry I had to do it like this... Looks like our entire family knows we do this...
		12.af.37^		Ну и что?|So what?

	12.af.37@69@Как что? Это же так неправильно... Я поражена, что все это считают в порядке вещей, как будто... не знаю, я тебя по спинке глажу...|No, Max, you don't get to pretend like it's no big deal... You and the rest of the family... Everyone is treating this like I'm just patting you on your back...
		12.af.38^		А что, я не прочь...|I don't mind
		12.af.38^		Да брось, мам, всё в порядке!|Come on, mom, everything is fine

	12.af.38@60@Ох, сынок, ладно. В конце концов, вы все уже почти взрослые, пусть лучше я обо всём расскажу и всё покажу, чем узнаете на улице...|Fine, fine. I don't want to have this conversation. At least you two are doing this in front of me and don't get any misinformation from who knows where.
		12.af.39^		Именно!|That's right!

	12.af.39@67@Ну всё, тогда до следующего раза. И давай не будем частить с этими уроками, давай будем делать перерывы. Одного раза в несколько дней достаточно. Хорошо?|Okay, until next lesson, then. And let's not do them too often. I think we should wait a couple of days before we repeat this, okay?
		leave!set_poss.guest_29!set_lidea_11!set_dcd.masx_2!max_cam.2.grow_300!time^			Конечно!|Sure



# --- 0.12: Третий урок

	12.ag.0.init@0@Ну что, урок?|Another lesson?
	12.ag.0@67@Ну хорошо, сынок. Зови сестру, продолжим ваше обучение... точнее, её...|Okay. Go get your sister and we'll continue your education.
		12.ag.1^		Ага, мам...|Okay

	12.ag.1@43@d-mt-3@Мам, мы готовы... Макс, снимай шорты!|We're ready, mom. Take off your shorts, Max!
		12.ag.2^		Что?|What?

	12.ag.2@62@d-mt-2@Лиза, ну что за шуточки. Присаживайтесь на кровать, начнём...|Don't be ridiculous, Lisa. Sit down on the bed and let's start.
		12.ag.3^		<i>сесть на кровать</i>|<i>sit on the bed</i>

	12.ag.3@41@d-mt-4@Если что, я трусики сегодня опять не надела... Вдруг, одна только мысль об этом кого-то возбудит? Показать?|By the way, I'm not wearing any panties right now. Does turn you on, Max? Do you want to see?
		12.ag.4^		Ох...|Oh...

	12.ag.4@43@d-mt-8@Мам, ну как? Ты смогла бы быстрее возбудить Макса?|Have you seen that, mom? Can you turn him on this quickly?
		12.ag.5^		Что?|What?

	12.ag.5@62@Лиза, что за вопросы? Зачем мне возбуждать Макса? Но ты молодец, сделала это быстро. Только не делай так для своего парня...|What kind of question is that, Lisa? Why would I want to turn him on? Good job on arousing him so quickly, but I hope you won't do this for your boyfriend...
		12.ag.6^		Почему?|Why not?

	12.ag.6@60@Потому, что парни относятся к распутным девушкам как к пустышкам. Ничего серьёзного не получится... Макс, а ты снимай шорты.|Because men don't appreciate something they don't have to work for. Make them earn this kind of behavior, you can't build a serious relationship if you're easy.\nYou can take off your pants, Max.
		12.ag.7^		<i>снять шорты</i>|<i>take off shorts</i>

	12.ag.7@69@d-mt-9@Итак, на чём мы остановились в прошлый раз? Ах да, я рассказывала и показывала как доставить удовольствие парню руками...|So, where were we last time? I showed how to please a man with your hands, I think...
		12.ag.8^		<i>далее</i>|<i>continue</i>

	12.ag.8@41@А ты не могла бы повторить, а то что-то забылось. Как ты там руку кладёшь?|Can you show me again what you did last time? How do you hold it?
		12.ag.9^		<i>далее</i>|<i>continue</i>

	12.ag.9@73@d-mt-13@Вот так. Берёшь крепко, но нежно и делаешь вот так... Если чувствуешь, что нехватает смазки, можешь использовать слюну или масло...|Like this. Firm, but gentle, like this. If you feel like you need more lube, use your spit or oil.
		12.ag.10^		<i>далее</i>|<i>continue</i>

	12.ag.10@41@d-mt-14@Мам, а можно мне попробовать? Ты в прошлый раз обещала, что разрешишь... вот так поделать самой...|Can I try it? You promised me last time.
		12.ag.11^		<i>далее</i>|<i>continue</i>

	12.ag.11@69@Ну я не знаю, дочка... Нормально ли это... Хотя, ладно. В конце концов, это невинные шалости. Иди сюда, поближе к Максу...|I don't know if I should... But okay. It's pretty innocent, to be honest. Come over here.
		12.ag.12^		<i>далее</i>|<i>continue</i>

	12.ag.12@43@d-mt-15@Так... И что мне делать? Надо как-то к нему особенно прикасаться или можно сразу схватит за член и...|Okay, what do I do now? Do I have to do something first or do I just grab it and...
		12.ag.13^		<i>далее</i>|<i>continue</i>

	12.ag.13@60@d-mt-16@Лиза, нежно, аккуратно. Ни за что хвататься не надо. Макс... ой, парень должен получать удовольствие, понимаешь?|Be careful, Lisa. Max... I mean the guy should feel good, remember?
		12.ag.14^		<i>далее</i>|<i>continue</i>

	12.ag.14@41@d-mt-17@Так, мам? Кажется, Максу нравится... Я же всё правильно делаю, да?|Like this, mom? Max seems to like this... Am I doing this correctly?
		12.ag.15^		О да...|Oh, yeah...

	12.ag.15@62@d-mt-18@Да, дочка... Я даже немного удивлена, что настолько правильно... Ты точно никогда это никому не делала?|Yes, you do. I'm surprised you're so good at this... Are you sure you've never done this before?
		12.ag.16^		<i>далее</i>|<i>continue</i>

	12.ag.16@41@d-mt-17@Нет, конечно! Мам, ну сама подумай, кому ещё я могла бы это делать? С парнем ещё не так далеко всё зашло. А кому ещё? Максу что-ли?|Of course I haven't! Where would I even get an opportunity like this? My boyfriend and I aren't close enough for this yet. Who else I could do this for? Max?
		12.ag.17^		<i>далее</i>|<i>continue</i>

	12.ag.17@67@d-mt-18@Ну хорошо. Значит, ты очень способная ученица. Похоже, Максу и правда очень нравится...|Okay, okay. I guess you're a natural. Max looks like he's really enjoying the moment..
		12.ag.18^		О-очень...|V-very...

	12.ag.18@4@d-mt-19@<i>Ох... Как приятно... Но... что она делает? Решила взять в рот мой член? При маме?!</i>|<i>This feels amazing... Wait... What is she doing? Is she going to put it in her mouth? Right in front of mom?</i>
		12.ag.19^		Э...|Em...

	12.ag.19@68@d-mt-20@Лиза! Ты что такое творишь?! Прекрати! Он же твой брат!|Lisa! What do you think you're doing!? Stop it, he's your brother!
		12.ag.20^		<i>далее</i>|<i>continue</i>

	12.ag.20@43@d-mt-21@Мне... Просто захотелось его лизнуть... Попробовать на вкус! Я видела в одном фильме, так делала одна девушка своему парню... Или не своему...|I... I just wanted to taste it... I've seen women do this in movies...
		12.ag.21^		<i>далее</i>|<i>continue</i>

	12.ag.21@62@d-mt-22@Лиза! Так, дальше я сама всё сделаю, надо Макса разрядить и мы с тобой потом об этом поговорим наедине, поняла? Садись на кровать!|Stop! I'll finish with Max myself, you've done enough. We're going to have a serious conversation later! Go sit on the bed.
		12.ag.22^		<i>далее</i>|<i>continue</i>

	12.ag.22@67@d-mt-13@Макс, постарайся расслабиться и забудь то, что сделала Лиза! Она явно не подумала...|Try to relax and forget about Lisa! She just lost herself in the moment.
		12.ag.23^		<i>далее</i>|<i>continue</i>

	12.ag.23@4@<i>Ага, не подумала... Похоже, решила проверить терпение мамы. Но инициатива интересная... Мне очень понравилось. Надеюсь, будет продолжение...</i>|<i>Yeah, right. More like wanted to test mom. I like her idea, though... I hope we get more situations like that...</i>
		12.ag.24^		<i>кончить!</i>|<i>cum!</i>

	12.ag.24@75@d-mt-28@Отлично, Макс! Сегодня снова быстро получилось... Ну всё, приводи себя в порядок и натягивай шорты...|Great job, Max. You were quick today... Clean yourself up and pull on your shorts.
		12.ag.25^		Ага...|Okay

	12.ag.25@62@d-mt-35@Так, сегодня всё вышло из под контроля. Но об этом мы с Лизой побеседуем в другой раз. Занимайтесь своими делами и... без глупостей!|We've lost control of the situation today and I really hope it never happens again. Lisa and I are going to have conversation about it. No fooling around!
		leave!set_lidea_12!set_dcd.lidea_2!max_cam.2.grow_300!time^			Хорошо, мам...|Okay, mom



# --- 0.12: Разговор с Лизой спустя время насчёт инцидента

	12.ah.0.init@0@Ты разговаривала с мамой?|Have you talked to mom?
	12.ah.0@43@Насчёт того, что я тебе чуть не отсосала у неё на глазах?|About me almost blowing you in front of her?
		12.ah.1^		Ну... да...|Yeah

	12.ah.1@41@Конечно! Она очень сердилась, что я себе такое позволяю... Похоже, уроков больше не будет...|Yes. She was so angry... I'm not sure there'll be another lessons.
		12.ah.2^		Что?!|What!?

	12.ah.2@48@Да я шучу, Макс! Разговор и правда был долгий и... интересный. Похоже, мне удалось её убедить, что учиться надо основательно всему этому...|I'm kidding, Max. We had a long and interesting conversation. I think I've managed to convince her I need more lessons.
		12.ah.3^		Да ты и так всё умеешь!|You're already a pro, sis!
		12.ah.4^		Ага, а что она?|And?

	12.ah.3@41@Спасибо тебе! Но мама об этом же не знает...|Thanks. She doesn't know that, though.
		12.ah.4^		Ну да, точно...|Yeah, can't have that...

	12.ah.4@43@В общем, мама на следующем уроке покажет как именно надо... ласкать твой член. В смысле, член моего парня. Хотя, какая разница, верно?|Anyway, mom has promised she's going to show me how to please your cock... my boyfriend's cock. Not that there's any difference anyway...
		12.ah.5^		Ух...|Oh

	12.ah.5@48@Ага, только не кончи от предвкушения! Может быть, уже завтра и позанимаемся... с мамой?|Yeah, so don't cum too early! Maybe we could do it tomorrow?
		12.ah.6^		Конечно! Буду ждать!|Sure. Can't wait!

	12.ah.6@41@Не сомневаюсь... Ну всё, жди урока, тебе понравится!|That's right... Okay, you should go now. I promise, you're going to like it!
		leave!set_lidea_13!set_dcd.masx_2^			Уже жду!|Hell yeah!



# --- 0.12: Четвёртый урок

	12.ai.0.init@0@Как насчёт урока сегодня?|How do you feel about another lesson?
	12.ai.0@67@Конечно, почему нет. Зови Лизу, я ей обещала кое-что показать и рассказать...|Sure, why not. Go get Lisa, I've promised her something interesting for today's lesson.
		12.ai.1^		Уже бегу!|Oh, sounds great!

	12.ai.1@75@d-mt-3@Как быстро! Ну, присаживайтесь на кровать, всё как обычно...|That was quick. Go sit on the bed, as usual.
		12.ai.2^		Ага...|Okay

	12.ai.2@41@d-mt-8@Мам, кажется, сегодня Макс сразу готов. Я могла бы и трусики не снимать...|Looks like Max is already hard, I didn't even have to take off my panties...
		12.ai.3^		Это само... <i>(снять шорты)</i>|Well, it's just... <i>(take off shorts)</i>

	12.ai.3@62@d-mt-9@Да уж, ну и дети... Скоро голые приходить будете? Так не пойдёт. Я хотела сначала прочитать вам лекцию об оральных ласках...|That's not right... What's next, are you going to walk in naked next time? I was going to give a lecture about oral sex first...
		12.ai.4^		Чего?|What?

	12.ai.4@41@Макс, мама сказала, что хотела научить меня правильно делать минет! Не тупи!|What mom's trying to say is she's going to teach me giving blowjobs.
		12.ai.5^		Да я понял...|Don't quit your day job

	12.ai.5@62@d-mt-10@Так, Лиза, для начала посмотрим как ты запомнила прошлый материал. Поработай немного ручками, чтобы Макс как следует представил, что его ждёт...|Stop it.\nFirst, let's see how much you remember from our previous lesson. Tease him a bit before the main course...
		12.ai.6^		<i>далее</i>|<i>continue</i>

	12.ai.6@4@d-mt-17@<i>Ох, я уж себе представил! Да ещё как представил! Только вот кто из них будет сосать мой член? Сразу Лиза или сначала мама? Ух...</i>|<i>No need to do that, I'm already worked up! Who's going to suck my cock today? Lisa or mom?</i>
		12.ai.7^		<i>далее</i>|<i>continue</i>

	12.ai.7@3@d-mt-18@<i>Как же это приятно... И мама уже смотрит так, как будто это всё в порядке вещей, а сейчас ещё и в рот... Ох... я не могу больше...</i>|<i>This feels amazing... Moms is looking at us like this is completely normal... And then we'll... I can't hold off anymore...</i>
		12.ai.8^		<i>кончить!</i>|<i>cum!</i>

	12.ai.8@50@d-mt-27@Ой, мам... Я что-то не так сделала? Это же не должно быть так быстро? Или должно? И что теперь делать?|Oh... Did I do something wrong, mom? Was it supposed to be so quick? Now what?
		12.ai.9^		Ух...|Oh...

	12.ai.9@75@Похоже, ты всё сделала правильно. Как видишь, даже руками можно это сделать... очень хорошо. И да, я сама поражена как быстро Макс кончил...|No, you did everything right. As you can see, even hands can be more than enough. I'm surprised Max came so fast...
		12.ai.10^		Я и сам не ожидал...|I's surprised too...

	12.ai.10@67@Ладно, приводи себя в порядок и надевай шорты. Лиза, а ты возьми салфетки и протри руки...|Okay, clean yourself us and pull on your shorts. Here are some tissues, Lisa, wipe your hands.
		12.ai.11^		Угу...|Okay

	12.ai.11@60@d-mt-35@Макс, ты не мог бы задержаться немного? А ты, Лиза, сегодня молодец!|Could you stay for a moment here, Max? Good job today, Lisa.
		12.ai.12^		О да...|Yes, great job!

	12.ai.12@69@d-mt-36@Макс, я немного взволнована, если честно. Бывает, я пол часа стараюсь тебя удовлетворить, а тут ты кончил... за минуту?|I'm concerned here, Max. Sometimes I try for half an hour and you still don't cum, but today you came almost right away.
		12.ai.13^		Мам, я просто...|I'm just as surprised as you are
		12.ai.13^		Не знаю как так получилось...|I don't know what happened here

	12.ai.13@73@Конечно, я рада, но... только не говори, что тебя возбуждает твоя же собственная сестра и ты думаешь о ней в сексуальном плане?|I'm glad you didn't have a problem, but... Please don't tell me it was because of Lisa! You don't think about her in this way, do you?
		12.ai.14^		Что ты, конечно нет!|Of course not!

	12.ai.14@62@Смотри у меня, Макс! Если я пойму, что у вас есть какие-то свои игры, я накажу обоих как следует!|Don't even think about it, Max! If I catch you doing anything behind my back I'm going to punish both of you!
		12.ai.15^		Мам, ничего такого...|We're not doing anything

	12.ai.15@60@Ладно. Будем считать, это было просто удачное стечение обстоятельств... Кстати, тебе и правда понравилось больше то, как это делала Лиза?|Okay. Let's just assume it was an accident. By the way, do you really like it more when Lisa does it?
		12.ai.16a^		Мам, ты - лучшая!|You're the best, mom!
		12.ai.16b^		Да, но ты можешь больше практиковаться на мне!|Yes, but we can always have more practice, if you want

	12.ai.16a@67@Ох, сынок, спасибо. Но не за такие вещи хотелось бы слышать благодарность. Ладно, беги по своим делам, я немного отдохну...|Thanks, son. That's not exactly the kind of compliment you should give me, but I'll take it anyway. Okay, go do your thing, I want to relax a bit.
		12.ai.16^		Конечно, мам!|Okay

	12.ai.16b@67@Очень смешно, Макс! Ну всё, бегом с глаз моих долой, а то накажу!|Very funny. Do I have to punish you to remind you I'm still your mother?
		12.ai.16^		Да я пошутил!|I was just kidding!

	12.ai.16@69@Да, чуть не забыла... Не вздумай приставать к Лизе, когда перевозбудишься. Лучше иди ко мне, понял?|And another thing. Don't even think about doing anything with Lisa if you get aroused. Just go to me, okay?
		12.ai.17^		Конечно!|Of course!

	12.ai.17@73@Ну всё, теперь иди. Сама не верю, что такие вещи приходится с вами обсуждать и... делать... Ох, что я за мать...|Okay, you can go now. I can't believe the things that keep happening in our family... What kind of mother I am...
		leave!set_poss.guest_30!set_lidea_14!set_dcd.masx_2!max_cam.2.grow_300!time^			Лучшая! <i>(уйти)</i>|You're the best mom ever! <i>(leave)</i>



# --- 0.12: Пятый урок

	12.aj.0.init@0@Мам, урок будет?|How about a new lesson?
	12.aj.0@67@Ну хорошо. Зови Лизу, посмотрим, что сегодня у нас получится...|Sure, go get Lisa. Let's see how you'll do today.
		12.aj.1^		<i>сбегать за Лизой</i>|<i>go get Lisa</i>

	12.aj.1@75@d-mt-3@Ну что, вы знаете что делать, давайте не будем терять время...|You know what to do, let's not waste our time.
		12.aj.2^		Конечно!|Sure

	12.aj.2@69@d-mt-9@Что? Макс, ты опять перевозбудился? Да ещё и шорты на ходу снял? Не получится, как в прошлый раз?|Aren't you a little too excited again, Max? Are you going to cum too quickly again, like the last time?
		12.aj.3^		Нет, я справлюсь!|No, I'll manage

	12.aj.3@41@Кстати, мам, а это нормально, что парень вот так быстро кончает?|By the way, mom, is it normal if a guy cums so quickly?
		12.aj.4^		<i>далее</i>|<i>continue</i>

	12.aj.4@69@Да, для молодого парня это в порядке вещей, а вот если долго не может, то это уже какая-то проблема и стоит обратиться к врачу...|Yes, it's normal for young men, it's when someone can't cum for a long time, now that's a problem and he should go to the doctor.
		12.aj.5^		<i>далее</i>|<i>continue</i>

	12.aj.5@41@d-mt-15@Так. И что мне сегодня делать? Начать также, как в прошлый раз или...|So, should I start like the last time or...?
		12.aj.6^		<i>далее</i>|<i>continue</i>

	12.aj.6@73@Нет, Лиза, давай в этот раз я начну и покажу как правильно доставлять парню оральное удовольствие. Теорию я тебе уже рассказала после прошлого раза...|No, Lisa, we're going to start with me. I'm going to show you how to do it. Do you remember the theory I've told you?
		12.aj.7^		Без меня?|Wait, I don't remember any theory. Did you have a lesson without me?

	12.aj.7@69@d-mt-23@Да, Макс, для теории твоё присутствие не обязательно. Но сегодня практическое занятие, поэтому... Макс, постарайся не кончить слишком быстро, хорошо?|Yes, Max, there's no need to bother you with theoretical lessons. But today we're practicing on the real thing, so we need you. Try not to cum too early, okay?
		12.aj.8^		Конечно, мам!|Okay, mom

	12.aj.8@41@d-mt-22@Мам, может быть я сначала попробую, а ты подскажешь мои ошибки?|Maybe I should try it and you'll just point out my mistakes to me?
		12.aj.9^		<i>далее</i>|<i>continue</i>

	12.aj.9@69@Нет, дочка. Вдруг, Макс опять начнёт кончать, а ты ещё подавишься... Давай я покажу как надо, а в следующий раз ты уже сама попробуешь...|No, what if Max suddenly starts cumming again? I don't want you to choke. Let me show you how to do it first, you can try next time.
		12.aj.10^		Ух...|Oh...

