# --- 0.3: Приезд Киры|Kira's Ankunft

	specialevent.4@75@e-meet-eric-1@Ну что, дети, дождались? Встречайте, к нам приехала тётя Кира!|He, Kinder, kommt her! Hier ist Tante Kira!
		leave!add_money_300!set_dcd.kiratalk_1!set_kiratalk_7!set_poss.aunt_6!time^		Спасибо!|Danke!

	kt.6.next.3b@114@e-kira-max-sun-2@Какой ты любопытный, Макс. Вижу, твой дружок уже догадался, что эта фотосессия будет более откровенной...|Sieht so aus, als ob mein Freund bereits erraten hat, dass die nächste Fotosession deutlicher wird....
		kt.6.next.3a^					Ты знаешь, лучше деньги здесь и сейчас... Скажем, $500|Ich nehme das Geld hier und jetzt.... Wie wär's mit $500?
		kt.6.next.4^					Ого. Насколько откровенной?|Wie explizit?

	kt.6.next.4@101@Думаю, тебе понравится. А сейчас кое-кому стоит принять холодный... очень холодный душ!|Ich denke, es wird dir gefallen. Und jetzt solltest du eine sehr kalte Dusche nehmen!
		kt.6.next.5^					Конечно!|Sicher!

	kt.6.next.5@4@e-max-kira-shower-1@<i>Вот это да! Неужели, тётя Кира намекнула, что эта фотосессия будет... Хотя... На что она намекнула? Я не понял. Но меня радует, что она уверена, что мне понравится!</i>|<i>Wow! Hat Tante Kira gerade angedeutet, dass die nächste Fotosession.... Obwohl.... Was hat sie angedeutet? Ich bin mir nicht sicher. Aber auf jeden Fall wird es mir gefallen, gut genug für mich!</i>
		kt.6.next.6^					<i>далее</i>|<i>fortfahren</i>

	kt.6.next.6@7@e-max-kira-shower-2@<i>А что, если в этот раз она мне хотя бы подрочит или даже отсосёт? Порнозвёзды же всегда так делают? О да...</i>|<i>Was, wenn sie mir einen runterholt oder mir sogar einen bläst? Das machen Pornostars doch immer, oder? Oh, ja....</i>
		kt.6.next.7^					<i>далее</i>|<i>fortfahren</i>

	kt.6.next.7@114@e-max-kira-shower-3@Макс, не обращай на меня внимания. Я просто жду, пока освободится душ. Считай, что меня тут нет...|Kümmere dich nicht um mich, Max, ich warte nur, bis du fertig bist. Tu so, als wäre ich nicht hier....
		kt.6.next.8^					Я... э... <i>(кончить)</i>|Emm... Ich...<i>(spritzen)</i>

	kt.6.next.8@104@Какой ты быстрый, Макс... Ну, теперь моя очередь, а ты иди отсюда и не подглядывай...|Das war schnell. Jetzt bin ich dran, geh und guck nicht.
		leave!set_dcd.kiratalk_1!set_kiratalk_8!set_poss.aunt_7!max_cam.6.grow_200!time^			Да, я... <i>(уйти)</i>|Ja, Ich... <i>(verlassen)</i>



# --- 0.3: Пробуем запустить вторую фотосессию|Versuchen wir die zweite Fotosession.

	kt.8@101@e-kira-max-sun-1@Что, Макс, не терпится?|Also, Max, kannst du nicht warten?
		kira.onlyhome=1&kt.8.try.ok^	Ага! Я готов!|Darauf kannst du wetten! Ich bin bereit!
		kira.onlyhome=0&kt.8.try.no^	Ага! Я готов!|Darauf kannst du wetten! Ich bin bereit!

	kt.8.try.no@114@Это я как раз вижу, но как ты знаешь, сейчас мы дома не одни. Представь, что подумают, если увидят такое...|Das sehe ich, aber du weißt, dass wir nicht allein im Haus sind. Was glaubst du, was passiert, wenn wir dabei erwischt werden?
		leave^							Ясно, понял...|Ich verstehe
		kt.8.try.no.what^				Э... Какое?|Was machst du da?

	kt.8.try.no.what@113@А это сюрприз, Макс. Так что, наберись терпения...|Das ist eine Überraschung, Max. Hab Geduld.
		leave^							Понял...|Okay

	kt.8.try.ok@103@Ну, давай, раз готов. На этот раз мне нужна особая фотосессия...|Okay, dann lass uns anfangen. Diesmal brauche ich eine Fotosession der besonderen Art....
		kt.8.next.1a^					Всё, что угодно!|Was auch immer!
		kt.8.next.1b^					Особая? Это какая?|Besondere Art?

	kt.8.next.1a@113@Что, даже не любопытно о чём речь? Ну что же, тогда пойдём в комнату твоей мамы...|Was, ist es dir egal, was wir machen? Lass uns in das Zimmer deiner Mom gehen.
		kt.8.next.2^					Хорошо, а зачем?|Okay, aber warum dort?

	kt.8.next.1b@113@Увидишь. Пойдём в комнату твоей мамы.|Du wirst sehen. Lass uns in das Zimmer deiner Mom gehen.
		kt.8.next.2^					Хорошо, а зачем?|Okay, aber warum dort?

	kt.8.next.2@103@А вот и узнаешь. Пойдём быстрее, пока все не вернулись с шопинга|Du wirst es gleich sehen. Beeilen wir uns, bevor alle vom Einkaufen zurückkommen.
		kt.8.next.3^					Ага...|Ja

	kt.8.next.3@101@e-ps2-begin@В общем, на этот раз мне нужна серия снимков в стиле... БДСМ... Верёвки, кожа, вот это всё...|Diesmal brauche ich eine Serie von Fotos in.... BDSM-Stil. Seile, Seile, und so.
		kt.8.next.4^					Ого!|Wow!
		kt.8.next.4^					Круто!|Cool!

	kt.8.next.4@104@А чего ты так радуешься, я же не сказала кого привязывать будем...|Du bist so glücklich, aber du weißt nicht mal, wer gefesselt wird....
		kt.8.next.5a^					Э... Я против!|Was? Auf keinen Fall!
		kt.8.next.5b^					А мне не важно!|Das ist mir egal!

	kt.8.next.5a@113@Да шучу я, Макс. Подожди минутку, я переоденусь...|Ich habe nur Spaß gemacht, Max. Warte, ich zieh mich um....
		kt.8.next.6^					Хорошо, жду.|Okay, ich werde warten.

	kt.8.next.5b@114@Да ты полон сюрпризов, Макс! Но привязывать будем меня. Ты же не против? А пока думаешь, я сейчас быстро переоденусь...|Du bist voller Überraschungen, Max! Aber ich werde der Gefesselte sein, nicht du. Es macht dir doch nichts aus, oder? Nun, du denkst darüber nach, während ich mich umziehe....
		kt.8.next.6^					Абалдеть!|Ich bin fassungslos!

	kt.8.next.6@112@e-ps2-ready@Ну, как тебе мой наряд? Уже не жалеешь, что не взял деньги?|Gefällt dir mein Outfit? Du bereust es nicht, das Geld nicht genommen zu haben, oder?
		kt.8.next.7^					Что ты, тётя Кира...|Wow, Tante Kira, du bist....
		kt.8.next.7^					Выглядишь шикарно!|Du siehst toll aus!

	kt.8.next.7@101@e-ps2-sit3@Вот и отлично. Тогда, начнём. Сделай несколько кадров на кровати. Кстати, не говори маме, что я в сапогах тут топталась...|Gut zu wissen. Nun, dann lass uns anfangen. Mach ein paar Aufnahmen auf dem Bett. Sag deiner Mom nicht, dass ich in Stiefeln auf ihrem Bett saß.
		kt.8.next.8^					Я - могила!|Ich werde das mit ins Grab nehmen.

	kt.8.next.8@4@e-ps2-sit1@<i>Да... Эта фотосессия мне нравится гораздо больше...</i>|<i>Yep, ich mag diese Fotosession definitiv mehr als die vorherige.</i>
		kt.8.next.9^					<i>далее</i>|<i>fortfahren</i>

	kt.8.next.9@6@e-ps2-sit2@<i>Это что у неё такое на трусах? Молния? Интересно, а она расстёгивается?</i>|<i>Ist das ein Reißverschluss an ihrem Höschen?</i>
		kt.8.next.10^					<i>далее</i>|<i>fortfahren</i>

	kt.8.next.10@101@e-ps2-sit3@Ну что, Макс, ты готов привязать свою тётю к кровати? Только так, чтобы выглядело натурально, хорошо?|Also, Max, bist du bereit, deine Tante ans Bett zu fesseln? Und es natürlich aussehen lassen.
		kt.8.next.11^					<i>крепко привязать Киру</i>|<i>Binde Tante Kira fest an das Bett.</i>

	kt.8.next.11@112@e-ps2-t1@Молодец, Макс. Теперь сделай несколько снимков и развяжи меня.|Gute Arbeit, Max. Jetzt mach ein paar Schüsse und binde mich los.
		kt.8.next.12^					<i>сделать снимок</i>|<i>ein paar Aufnahmen machen</i>

	kt.8.next.12@104@Ну всё, Макс, теперь развязывай меня!|Okay, Max, du kannst mich jetzt wieder los binden.
		kt.8.next.path.2^				Хорошо <i>(развязать)</i>|Okay <i>(sie losbinden)</i>
		kt.8.next.13^					Зачем спешить?|Es gibt keinen Grund, sich zu beeilen.

	kt.8.next.13@100@Макс! Только без глупостей. Развязывай, скорее!|Max! Binde mich sofort los! Mach keine Dummheiten.
		kt.8.next.path.2^				Ну ладно... <i>(развязать)</i>|Okay <i>(sie losbinden)</i>
		kt.8.next.14^					У меня есть идея получше <i>(расстегнуть молнию)</i>|Ich habe eine bessere Idee <i>(öffne ihr Höschen)</i>

	kt.8.next.14@105@e-ps2-u1@Макс! Я же твоя тётя! Что ты делаешь?! Быстро развяжи меня, а не то твоя мама всё узнает!|Max! Ich bin deine Tante! Was machst du da? Binde mich los oder deine Mom wird alles erfahren!
		kt.8.next.15^					И что же она узнает?|Und was wird sie erfahren?
		kt.8.next.15^					Всё всё расскажешь?|Alles?

	kt.8.next.15@111@Ну Макс... Ты увидел, что хотел? Теперь застегни молнию и развязывай меня...|Komm schon, Max.... Hattest du einen guten Blick? Jetzt schließen den Reißverschluss und binde mich los....
		kt.8.next.16^					<i>прикоснуться к её киске</i>|<i>ihre Pussy berühren</i>

	kt.8.next.16@112@e-ps2-u2@Макс... Не надо... Я себя не контролирую, когда... когда...|Max.... nicht.... Ich kann mich nicht kontrollieren, wann.... wann....
		kt.8.next.finger.1^				<i>продолжить пальцами</i>|<i>weiter mit den Fingern</i>
		kt.8.next.lick.1^				<i>поработать языком</i>|<i>Zunge benutzen</i>
		kt.8.next.suck.1^				<i>раздеться и дать ей пососать свой член</i>|<i>zieh dich aus und lass sie deinen Schwanz lutschen</i>

	kt.8.next.finger.1@103@e-ps2-u3@Макс... Если ты продолжишь, я не смогу сдержаться... У тебя такие ловкие пальчики... Да...|Max.... Wenn du weitermachst, kann ich dich nicht aufhalten.... deine Finger sind so gut.... Ja....
		kt.8.next.finger.2^				<i>продолжить пальцами</i>|<i>weiter mit den Fingern</i>
		kt.8.next.lick.1^				<i>поработать языком</i>|<i>Zunge benutzen</i>
		kt.8.next.suck.1^				<i>раздеться и дать ей пососать свой член</i>|<i>zieh dich aus und lass sie deinen Schwanz lutschen</i>

	kt.8.next.finger.2@112@e-ps2-u4@Да... Так приятно... Но может быть, ты перейдёшь к чему-то более...|Ja.... Das ist sehr schön, aber vielleicht willst du etwas mehr....
		kt.8.next.lick.1^				<i>поработать языком</i>|<i>Zunge benutzen</i>
		kt.8.next.suck.1^				<i>раздеться и дать ей пососать свой член</i>|<i>zieh dich aus und lass sie deinen Schwanz lutschen</i>

	kt.8.next.lick.1@113@e-ps2-lk1@Оу... Макс, ты где такому научился? В порнушке подсмотрел? Не останавливайся, я это обожаю! А ты способный... племянник...|Oh.... Wo hast du das gelernt, Max? Porno? Nicht aufhören, ich liebe das! Du bist ein Naturtalent, Neffe....
		kt.8.next.lick.2^				<i>поработать языком</i>|<i>Zunge benutzen</i>
		kt.8.next.suck.1^				<i>раздеться и дать ей пососать свой член</i>|<i>zieh dich aus und lass sie deinen Schwanz lutschen</i>

	kt.8.next.lick.2@106@e-ps2-lk2@Да... Ещё чуть-чуть и я кончу... Может быть, ты воспользуешься чем-то потолще пальчиков и язычка?|Ja.... Ich komme fast.... Vielleicht willst du etwas Größeres als deine Finger und Zunge benutzen?
		kt.8.next.suck.1^				<i>раздеться и дать ей пососать свой член</i>|<i>zieh dich aus und lass sie deinen Schwanz lutschen</i>

	kt.8.next.suck.1@4@e-ps2-sk1@<i>Как же это круто! Мне отсасывает собственная тётя, да ещё связанная! О, что она делает... Как же это приятно!</i>|<i>Das ist so toll! Meine gefesselte Tante lutscht meinen Schwanz! Und sie weiß, was sie tut.... Fühlt sich so gut an!</i>
		kt.8.next.suck.2^				<i>пытаться засовывать член всё глубже...</i>|<i>versuchen, tiefer zu gehen</i>
		kt.8.next.fuck.1^				<i>трахнуть её в киску</i>|<i>Fick ihre Pussy</i>

	kt.8.next.suck.2@3@e-ps2-sk2@<i>Кажется, у неё какой-то бездонный ротик... А тётя Кира очень опытна в этих делах! Кажется, я уже близко...</i>|<i>Ich spüre keinen Widerstand.... Tante Kira ist wirklich gut darin! Ich komme der Sache näher....</i>
		kt.8.next.suck.3!set_max.cum_1^	<i>кончить ей прямо в рот!</i>|<i>spritze in ihren Mund</i>
		kt.8.next.fuck.1^				<i>трахнуть её в киску</i>|<i>Fick ihre Pussy</i>

	kt.8.next.suck.3@7@e-ps2-sk3@<i>О да... Прямо туда... Неужели, она всё проглотила? Во даёт!!!</i>|<i>Ja.... Geradeaus.... Hat sie alles verschluckt? Sie ist die Beste!</i>
		kt.8.next.suck.4^				<i>далее</i>|<i>fortfahren</i>

	kt.8.next.suck.4@112@Макс, ты же понимаешь, что только что кончил прямо в рот своей родной тёте? Не стыдно?|<i>Max, ist dir klar, dass du gerade in den Mund deiner eigenen Tante gekommen bist? Schämst du dich?</i>
		kt.8.next.suck.5a^				Ну, так... <i>(застегнуть молнию)</i>|nun... <i>(Reißverschluss schließen)</i>
		kt.8.next.suck.5b^				Ни капли! <i>(застегнуть молнию)</i>|Ganz und  garnicht! <i>(Reißverschluss schließen)</i>

	kt.8.next.suck.5a@114@e-ps2-zp1@А вот и зря! Мне очень понравилось... Я уже сомневалась, что ты воспользуешься ситуацией, но я рада, что ты уже большой и сообразительный мальчик... А теперь развязывай меня...|Das solltest du nicht! Ich habe es genossen.... Ich bezweifelte, dass du die Gelegenheit ergreifen wirst, aber ich bin froh, dass du es gemacht hast.... Jetzt binde mich los.
		kt.8.next.untie.1^				<i>развязать Киру</i>|<i>Kira losbinden</i>

	kt.8.next.suck.5b@114@e-ps2-zp1@В вот и правильно!  Мне очень понравилось... Я уже сомневалась, что ты воспользуешься ситуацией, но я рада, что ты уже большой и сообразительный мальчик... А теперь развязывай меня...|Gut. Ich habe es genossen.... Ich bezweifelte, dass du die Gelegenheit ergreifen wirst, aber ich bin froh, dass du es gemacht hast.... Jetzt binde mich los.
		kt.8.next.untie.1^				<i>развязать Киру</i>|<i>Kira losbinden</i>

	kt.8.next.fuck.1@107@e-ps2-f1@Макс... Только не разорви меня своим огромным членом... Если мешают трусики, можешь меня развязать и я их сниму...|Max.... reiß mich nicht mit deinem riesigen Schwanz in Stücke.... Wenn mein Höschen im Weg ist, kannst du mich losbinden und ich ziehe sie aus....
		kt.8.next.fuck.2^				В другой раз...|Ein anderes Mal
		kt.8.next.fuck.2^				<i>ускориться</i>|<i>fick schneller</i>

	kt.8.next.fuck.2@112@e-ps2-f2@Да, так... Глубже, быстрее! К чёрту нежности, оттрахай меня так, как тебе хочется! Кончи в меня!|Ja, genau so.... Tiefer, schneller! Sei nicht so sanft, fick mich, wie du willst! Spritz in mich!
		kt.8.next.fuck.3^				<i>кончить в Киру</i>|<i>spritz in Kira</i>
		kt.8.next.suck.2b^				<i>засунуть член ей в рот</i>|<i>stopf ihr deinen Schwanz in den Mund</i>

	kt.8.next.suck.2b@3@e-ps2-sk2@<i>О да... Ещё чуть-чуть и я кончу... Как у неё ловко получается... Я не могу сдерживаться!</i>|<i>Oh, ja.... ein bisschen mehr.... sie ist so gut darin.... Ich kann mich nicht mehr halten!</i>
		kt.8.next.suck.3!set_max.cum_1^	<i>кончить ей прямо в рот!</i>|<i>spritze in ihren Mund</i>

	kt.8.next.fuck.3@113@e-ps2-f1@Ну что, полегчало, Макс? Дай угадаю... Это был твой первый раз?|Also, wie war es, Max? Lass mich raten, es war dein erstes Mal?
		kt.8.next.fuck.3a^				Нет, со счёта сбился!|Nee, ich habe schon aufgehört zu zählen!
		kt.8.next.fuck.3b^				Как ты догадалась?|Woher wusstest du das?

	kt.8.next.fuck.3a@114@Понятно... Ну, будем считать, я тебе поверила. Ну всё, развязывай меня, а то если кто-то придёт, будет... неловко, правда?|Richtig.... Sicher, lass uns damit anfangen. Jetzt binde mich los, bevor jemand zurückkommt. Wir wollen jetzt nicht geschnappt werden.
		kt.8.next.untie.1^				<i>развязать Киру</i>|<i>Kira losbinden</i>

	kt.8.next.fuck.3b@114@Слишком быстро. Как будто ты даже голую женщину увидел в первый раз... Ну ничего, это нормально... А теперь, не мог бы ты меня развязать? А то вдруг кто-то придёт, что им скажем?|Du hast es nicht lange ausgehalten. Es ist, als hättest du zum ersten Mal in deinem Leben eine nackte Frau gesehen. Aber keine Sorge, es ist okay. Könntest du mich jetzt bitte losbinden? Wir wollen nicht in diese Situation erwischt werden.
		kt.8.next.untie.1^				<i>развязать Киру</i>|<i>Kira losbinden</i>

	kt.8.next.untie.1@112@e-ps2-sit3@Спасибо, Макс, что не оставил мня так до прихода мамы с Эриком... Пришлось бы им многое объяснять, а мы же не хотим, чтобы наши секреты стали кому-то известны, правда?|Danke, dass du mich nicht gefesselt zurückgelassen hast, bis deine Mom und Eric zurückkamen. Wir wollen nicht, dass sie unser Geheimnis erfahren, oder?
		kt.8.next.untie.2^				Конечно, тётя Кира!|Natürlich nicht, Tante Kira!

	kt.8.next.untie.2@113@e-ps2-ready@Ну всё, отлично повесеились. Только не вздумай ко мне приставать, особенно, на публике. А теперь я пойду. Приятного дня, если он может быть ещё приятнее...|Nun, das hat Spaß gemacht. Aber mach keine Witze, besonders wenn wir nicht allein sind. Ich gehe jetzt, einen schönen Tag noch. Als ob es noch besser laufen könnte....
		leave!set_can.watchporno_1!set_can.fuckkira_1!set_poss.aunt_8!set_kiratalk_9!max_cam.2.grow_400!move_momroom!time^		Спасибо...|Ich danke Dir...

	kt.8.next.path.2@112@e-ps2-sit1@Спасибо. Ты знаешь, Макс... Мне бы пригодилась ещё небольшая серия снимков, где видно, что я... доминирую. Ты не мог бы мне попозировать? Я обещаю, твоё лицо не попадёт в кадр.|Ich danke dir. Weißt du, Max.... Ich möchte eine weitere Fotoserie, in der ich.... dominiere. Könntest du bitte für mich posieren? Ich verspreche dir, dass dein Gesicht auf keinem der Fotos zu sehen sein wird.
		kt.8.next.mt.1^					Я плохой актёр...|Ich bin kein guter Schauspieler.
		kt.8.next.mt.1^					А что нужно сделать?|Was soll ich tun?

	kt.8.next.mt.1@113@e-ps2-sit3@От тебя почти ничего не требуется, просто ложись... и я тебя зафиксирую. Обещаю, не будет больно!|Du brauchst nicht viel zu tun, leg dich einfach hin.... und lass mich dich festbinden. Ich verspreche, es tut nicht weh.
		kt.8.next.mt.2^					Пару снимков и всё?|Nur ein paar Fotos?

	kt.8.next.mt.2@114@Ага. Я же твоя тётя. Что же может случиться?|Sicher. Ich bin deine Tante, du kannst mir vertrauen.
		kt.8.next.mt.3^					Верно...|Richtig...

	kt.8.next.mt.3@112@e-ps2-m1@Так не туго? Запястья не затекли?|Ist das nicht zu fest? Sind deine Handgelenke in Ordnung?
		kt.8.next.mt.4^					Всё в порядке...|Ja, du kannst weitermachen.

	kt.8.next.mt.4@113@Ты знаешь, твои шорты мешают композиции... Давай-ка я их сниму...|Ich glaube nicht, dass wir Shorts auf den Fotos brauchen.... Lass mich sie ausziehen.
		kt.8.next.mt.5^					Но тётя Кира!|Tante Kira!
		kt.8.next.mt.5^					<i>кажется, что-то намечается...</i>|<i>etwas Lustiges beginnt</i>

	kt.8.next.mt.5@112@e-ps2-m2@Кадры получились отличные, но ты такой возбуждённый... А ты ведь знаешь, как это вредно? Нужно что-то с этим делать... Есть идеи?|Fotos sind toll, aber du bist so hart.... Du weißt, dass es schlecht für dich ist, oder? Ich denke, wir sollten etwas dagegen tun. Hast du irgendwelche Ideen?
		kt.8.next.mt.6^					Может быть, поможешь?|Willst du mir helfen?

	kt.8.next.mt.6@113@e-ps2-to1@Ну, если ты настаиваешь, то так уж и быть, помогу тебе. Но только потому, что ты мой племянник и мне бы не хотелось, чтобы у тебя были какие-то проблемы со здоровьем из-за сдерживания...|Nun, wenn du darauf bestehst. Aber nur, weil du mein Neffe bist und ich nicht will, dass du gesundheitliche Probleme hast.
		kt.8.next.mt.7^					Конечно!|Sicher!

	kt.8.next.mt.7@4@e-ps2-up0@<i>О да! Неужели, тётя Кира ещё более озабоченная, чем я сам? Что она делает? О... да... что она делает!</i>|<i>Oh, ja! Ist sie noch perverser als ich? Was macht sie da....? Oh.... ja!</i>
		kt.8.next.mt.8^					<i>далее</i>|<i>fortfahren</i>

	kt.8.next.mt.8@7@e-ps2-to2@<i>Это божественно! Пусть это продолжается вечность! Интересно, она меня развяжет, чтобы я её... или...</i>|<i>Ich bin im Himmel! Ich will nicht, dass das aufhört! Ich frage mich, ob sie mich losbindet, damit ich....</i>
		kt.8.next.mt.9^					<i>далее</i>|<i>fortfahren</i>

	kt.8.next.mt.9@4@e-ps2-up1@<i>Обалдеть! Неужели она сняла трусики и уселась на мой член?! Правда, с трудом. А нет, всё в порядке... Она и тут превосходна... О да...</i>|<i>Sie zog ihr Höschen aus und setzte sich auf meinen Schwanz?! Kaum. Oder auch nicht, es ist in Ordnung.... Sie ist auch gut darin.... Oh, ja....</i>
		kt.8.next.mt.10^				<i>далее</i>|<i>fortfahren</i>

	kt.8.next.mt.10@112@Макс, не сдерживай себя. Можешь кончать прямо в меня!|Max, du musst dich nicht zurückhalten, du kannst in mir abspritzen!
		kt.8.next.mt.11^				<i>кончить!</i>|<i>spritzen!</i>

	kt.8.next.mt.11@7@e-ps2-m2@<i>Я в раю... У меня самая классная тётя на свете! Надеюсь, это был не последний раз, потому-что я хочу этим с нею заниматься постоянно!</i>|<i>Ich bin im Himmel.... Ich habe die beste Tante der Welt! Ich hoffe, es war nicht das letzte Mal, ich will das die ganze Zeit machen!</i>
		kt.8.next.mt.12^				Ты меня развяжешь?|Wirst du mich jetzt losbinden?

	kt.8.next.mt.12@101@Ну не знаю, Макс... Ты так хорошо смотришься. Сделаю-ка я ещё пару кадров...|Ich weiß nicht, Max.... Du siehst gerade ziemlich gut aus. Ich glaube, ich mache noch ein paar Aufnahmen....
		kt.8.next.mt.13^				Ну серьёзно, тётя Кира!|Komm schon, Tante Kira!

	kt.8.next.mt.13@114@Ладно, ладно. Сейчас развяжу. Одевайся, пока никто нас не застукал. И... Макс. Ты же понимаешь, что это всё должно остаться в строжайшем секрете?|Okay, okay, ich binde dich los. Zieh dich an, bevor wir geschnappt werden. Und, Max, du verstehst, dass niemand davon wissen darf, oder?
		kt.8.next.mt.14^				Конечно! Я же не дурак...|Natürlich bin ich kein Idiot.

	kt.8.next.mt.14@113@e-ps2-begin@Я рада, что ты у меня такой сообразительный. Ну, я пойду по своим делам. Приятно было с тобой... пообщаться, Макс...|Gut. Nun, ich werde gehen, ich hatte eine tolle Zeit....
		leave!set_can.watchporno_1!set_can.fuckkira_1!set_poss.aunt_8!set_kiratalk_9!max_cam.2.grow_400!move_momroom!time^		Ага... А мне то как...|Ich auch...



# --- 0.3: Если Макс выбрал деньги, то есть возможность их вернуть, чтобы пойти по другому пути|Wenn Max Geld gewählt hat, kann er es zurückgeben.

	kt.gm.1.init@0@Я передумал насчёт денег...|Ich habe meine Meinung über das Geld geändert.
	kt.gm.1@101@Что, любопытство перевесило жадность? Понимаю... С тебя $300 и я готова попозировать для себя в следующую субботу, когда никого не будет дома...|Also, die Neugier hat deine Gier überwältigt? Ich verstehe. Gib mir $300 und ich bin bereit, nächsten Samstag für dich zu posieren, wenn wir allein sind....
		money>299&kt.gm.1.ok!add_money_-300^	Держи...|Nimm es....
		money<300&kt.gm.1.no^					У меня их уже нет...|Ich habe es nicht mehr....
		kt.gm.1.cancel^							Я передумал...|Ich habe meine Meinung geändert....


	kt.gm.1.ok@113@Это правильное решение, Макс, ты не пожалеешь. В конце концов, зачем тебе деньги, правда? Да шучу я, шучу...|Du hast die richtige Entscheidung getroffen, Max, und du wirst es nicht bereuen. Warum brauchst du das Geld überhaupt?
		leave!set_poss.aunt_7!set_kiratalk_8!set_dcd.kiratalk_1^		Ага...|Ja ja

	kt.gm.1.no@104@Ну я никуда не тороплюсь. Сделка есть сделка, верно? Когда будут, приходи, обсудим новую фотосессию...|Das ist okay, ich habe es nicht eilig. Abgemacht ist abgemacht, oder? Komm zu mir zurück, wenn du das Geld hast.
		leave!set_dcd.kiratalk_1^				Хорошо...|Schön

	kt.gm.1.cancel@104@Ну, это твой выбор, Макс. Но если передумаешь, ты знаешь где меня искать, верно?|Nun, es ist deine Entscheidung. Wenn du deine Meinung noch einmal änderst, weißt du, wo du mich findest.
		leave^									Верно...|Richtig...



# --- 0.3: Разговор насчёт фотоаппарата|Gespräch über eine Kamera

	kps.prepare.init@0@Насчёт фотосессии...|Über die Fotosession....
	kps.prepare@100@Ты уже нашёл фотоаппарат?|Hast du die Kamera?
		item.photo>-5&kps.prepare.no^							Ещё нет...|Noch nicht
		item.photo=-5&kira.onlyhome=1&kps.prepare.ready^		Ага, он у меня!|Ja!
		item.photo=-5&kira.onlyhome=0&kps.prepare.cant^			Ага, он у меня!|Ja!

	kps.prepare.cant@113@Очень хорошо. Теперь нужно выбрать подходящий момент, когда дома никого не будет...|Großartig. Jetzt müssen wir nur noch einen Moment finden, wo wir allein im Haus sind.
		leave^													Точно!|Richtig!

	kps.prepare.no@104@Понятно. Ну, как найдёшь, дай знать. Я почти всегда готова фотографироваться, но нужно, чтобы ещё и дома никого не было... А то нас не поймут...|Okay. Nun, wenn du einen findest, lass es mich wissen. Ich bin jederzeit bereit zu fotografieren, aber wir müssen allein sein.
		leave^													Всё понял...|Ich hab's

	kps.prepare.ready@114@Макс, ты просто чудо! Я всегда бодра, красива и свежа, чтобы фотографироваться. Нужно только решить где это будет...|Max, du bist ein Wunderheiler! Wie immer bin ich schön genug, um zu modeln, also können wir gleich anfangen. Wo sollen wir fotografieren?
		kps.0.start^											Может быть, в гостиной?|Was ist mit dem Wohnzimmer?



# --- 0.3: Первый фотосет с Кирой на столе в гостиной|Erste Fotoserie im Wohnzimmer

	kps.0.start@101@e-ps1-begin@А что, отличная идея! Только немного подожди, я переоденусь... в кое-что чуть более сексуальное. Ты же не против, да?|Ja, tolle Idee. Geh und warte, ich ziehe etwas sexieres an.... Es macht dir doch nichts aus, oder?
		kps.0.step.1^				Конечно!|Sicher!

	kps.0.step.1@114@e-ps1-step1@Ну что, как тебе такой наряд? Не слишком вульгарно?|Also, wie sehe ich aus? Jetzt zu vulgär?
		kps.0.step.2^				Мне очень нравится. В самый раз!|Es ist perfekt, ich liebe es!
		kps.0.step.2b^				Может быть, у тебя есть что-то по-скромнее?|Hast du etwas weniger Unverschämtes?

	kps.0.step.2b@113@Макс, ты не заболел? Я же практически одета! Куда уж скромнее? Ну что, начнём?|Max, geht es dir gut? Ich bin fast vollständig bekleidet! Ich kann nicht noch anständiger als das gehen! Also, sollen wir anfangen?
		kps.0.step.2^				Коне?но!|Sicher!

	kps.0.step.2@112@e-ps1-f1@Макс, постарайся меня держать в фокусе и следи, чтобы горизонт не был завален... Хотя, ты же всё умеешь, говоришь... В общем, я тебе доверяю.|Okay, Max, versuche mich im Blick zu behalten und suche nach einem geraden Horizont und.... Ich sag dir was: Du sagtest, du weißt, was du tust, also vertraue ich dir.
		kps.0.step.3^				И правильно... Продолжай...|Super... weiter...

	kps.0.step.3@101@e-ps1-f2@Я вижу, тебе нравится? Теперь я понимаю, почему ты в джинсах всё время ходил...|Oh, ich schätze, dir gefällt, was du siehst? Jetzt weiß ich, warum du die ganze Zeit Jeans getragen hast.
		kps.0.step.4a^				Не отвлекайся, тётя Кира!|Bitte konzentriere dich, Tante Kira!
		kps.0.step.4b^				Ну, я могу и шорты снять...|Ich kann meine Hose auch ausziehen, wenn du willst....

	kps.0.step.4a@114@e-ps1-f3@Хорошо, как скажешь, Макс. Хотя, меня очень заводит, когда я завожу фотографа...|Okay. Weißt du, der Gedanke, meinen Fotografen geil zu machen, macht mich so nass....
		kps.0.step.5^				Ух...|Wow

	kps.0.step.4b@113@e-ps1-f3@Макс! Я твоя тётя, забыл? Не отвлекайся и постарайся, чтобы кадры получились очень хорошими. Мне это нужно.|Max! Ich bin deine Tante! Konzentriere dich und versuche die besten Aufnahmen zu machen, das ist sehr wichtig für mich.
		kps.0.step.5^				Хорошо...|Schön

