# Все игровые вариативные диалоги|alle Dialoge

		shopping.1.back.so.so.wtf.eric^					Кстати, где он?|Übrigens, wo ist er?

	shopping.1.back.so.so.wtf.right@75@Вот, Макс понимает, что это некрасиво клянчить деньги у других...|Siehst du, Max weiß, dass es schlecht ist, zu betteln.
		shopping.1.back.so.so.wtf.eric^					Кстати, где он?|Übrigens, wo ist er?

	shopping.1.back.so.so.wtf.eric@60@Эрик подъедет к ужину. Сейчас у него какие-то дела. Не переживай, сегодня ты его увидишь.|Eric ist beschäftigt, er kommt zum Essen vorbei. Keine Sorge, du wirst ihn heute sehen.
		shopping.1.back.so.so.wtf.eric.no^				Да я и не переживаю...|Ich mache mir keine Sorgen.

	shopping.1.back.so.so.wtf.eric.no@75@Вот и отлично. Ладно, поболтаем позже...|Das ist großartig. Nun, lass uns später plaudern....
		leave!rem_shopping.1.back!move_pool!set_specialevent_2!can^			Ага...|Jaja



# --- Девчонки возвращаются со второго шоппинга|Mädchen kehren vom zweiten Einkauf zurück

	shopping.2.back@75@e-shopping-back-1@Привет, Макс! Мы вернулись...|Hi, Max! Wir sind zurück
		poss.swimsuit>3&shopping.2.back.so^													Рассказывайте, что купили?|Sag mir, was du gekauft hast
		poss.swimsuit<4&shopping.2.back.swimsuit^											Рассказывайте, что купили?|Sag mir, was du gekauft hast?

	shopping.2.back.swimsuit@43@А мне Эрик подарил купальник! Именно такой, как я и хотела! Красный, представляешь?!|Eric gab mir einen Badeanzug! Genau wie den, den ich wollte!
		shopping.2.back.swimsuit.red!set_poss.swimsuit_5!add_liza.reperic_1!art_z-liza-sun1-1_e-liza-new-swimsuit-1_-1!art_z-liza-swim1-1_e-liza-new-swim-1_-1!set_liza.swimsuit_1^		Ясно...|Oh...

	shopping.2.back.swimsuit.red@41@Что? Ты за меня не рад? Я же теперь смогу загорать в нормальном виде!|Was? Freust du dich nicht für mich? Jetzt kann ich mich wie normale Menschen sonnen!
		shopping.2.back.so^																	Конечно, рад... Что-то ещё хорошее купили?|Natürlich bin ich glücklich. Habt Ihr noch etwas anderes gekauft?

	shopping.2.back.so@41@Да так, вскую ерунду... Для нас, девочек. Тебе это не интересно...|Ein paar Sachen für uns, Mädels. Es wird für Dich nicht interessant sein.
		poss.nightclub<5&shopping.2.back.so.dress^											Понятно...|Okay
		poss.nightclub>4&shopping.2.back.so.nothing^										Понятно...|Okay

	shopping.2.back.so.dress@31@Ты забыла про самое главное, Лиза. Мне Эрик купил платье! Представляешь?!|Du hast das Wichtigste vergessen, Lisa. Eric hat mir ein Kleid gekauft! Kannst du dir das vorstellen?!
		shopping.2.back.so.dress.great!add_alisa.reperic_1!set_alisa.dress_1^				Да, это чудесно...|Jaja, Wunderbar...

	shopping.2.back.so.dress.great@33@Вот именно! Теперь я смогу ходить по клубам, а не сидеть дома вечерами! Эрик такой молодец. Я в восторге!|Genau! Jetzt kann ich in den Club gehen, anstatt die ganze Zeit zu Hause zu sitzen! Eric ist so großartig! Ich bin glücklich!
		poss.nightclub=1&shopping.2.back.so.dress.great.so!set_poss.nightclub_4^			?оздравляю...|Herzlichen Glückwunsch....
		poss.nightclub=2&shopping.2.back.so.dress.great.so!set_poss.nightclub_3^			Поздравляю...|Herzlichen Glückwunsch...

	shopping.2.back.so.dress.great.so@67@Макс, ты какой-то грустный. Что-то случилось? Или мне показалось?|Max, du siehst traurig aus. Ist etwas passiert?
		leave!rem_shopping.2.back!alisadress!can^											Показалось, мам...|Alles ist in Ordnung, Mom.

	shopping.2.back.so.nothing@22@Не переживай. Ты всегда можешь заработать и купить себе сам всё, что хочешь...|Mach dir keine Sorgen. Wir können immer Geld verdienen und kaufen, was wir wollen....
		leave!rem_shopping.2.back!alisadress!can^											Спасибо за совет...|Danke für den Ratschlag



# --- Знакомство с Эриком|Treffen mit Eric

	specialevent.2@60@e-meet-eric-1@Макс, подойди пожалуйста. К нам приехал Эрик. Знакомься...|Max, komm bitte her. Eric ist hier. Geh und stell dich ihm vor.
		specialevent.2.next!set_can.seeeric_1^	<i>далее</i>|<i>fortfahren</i>

	specialevent.2.next@75@e-meet-eric-2@Знакомься, это - Эрик. Эрик, это Макс, мой сын...|Max, das ist Eric. Eric, das ist Max, mein Sohn.
		specialevent.2.good^					Очень приятно...|Freut mich, Dich kennenzulernen.
		specialevent.2.mid^						<i>пром?лчать</i>|<i>sei ruhig</i>
		specialevent.2.bad^						Я думал он выше...|Ich dachte, er wäre größer.

	specialevent.2.good@86@Мне тоже. Как жизнь, Макс, чем занимаешься?|Ich auch. Wie geht es dir, Max, was machst du so?
		specialevent.2.good.good^				Всё отлично. Ищу себя, так сказать...|Alles ist gut. Ich finde mich selbst.
		specialevent.2.good.mid^				Да то тем, то этим...|Dies und das....
		specialevent.2.good.bad^				Отвечаю вот на дурацкие вопросы...|Nun, im Moment beantworte ich dumme Fragen.

	specialevent.2.mid@81@Очень приятно, Макс. А ты у нас не очень разговорчивый, да?|Freut mich, Max. Du bist ein ganz schöner Kerl, nicht wahr?
		specialevent.2.mid.good^				Стараюсь больше слушать...|Ich versuche zuzuhören
		specialevent.2.mid.mid^					Типа того...|So etwas in der Art
		specialevent.2.mid.bad^					Да было бы о чём говорить...|Wir haben nichts zu bereden.

	specialevent.2.bad@83@Извини, Макс, что не оправдал твои ожидания. В любом случае, приятно с тобой познакомиться...|Tut mir leid, dass ich deine Erwartungen nicht erfüllt habe, Max. Wie auch immer, schön, Dich kennenzulernen.
		specialevent.2.bad.good^				Да, мне тоже. Извините...|Jaja auch. Entschuldigung
		specialevent.2.bad.mid^					Ага...|Jaja
		specialevent.2.bad.bad^					А мне вот не очень...|Ich kann nicht dasselbe sagen.

	specialevent.2.good.good@90@Отличные слова, Макс. Ну, надеюсь, найдёшь то, что ищешь...|Ausgezeichnete Worte, Alex. Ich hoffe, Sie finden, was Sie suchen.
		specialevent.2.dinner.good^				Ага, спасибо...|Danke

	specialevent.2.good.mid@80@Понятно. Воздух пинаешь... Ну ничего, в своё время всё изменится...|Also nichts Wichtiges. Keine Sorge, die Dinge werden sich bald ändern.
		specialevent.2.dinner.mid^				Я не пинаю воздух...|Es ist nicht so....

	specialevent.2.good.bad@81@Ого, какие мы дружелюбные, ну что же, не буду тебя утомлять своими вопросами...|Nun, du bist zu freundlich.... Fein, ich werde dich nicht mit meinen Fragen belästigen.
		specialevent.2.dinner.bad^				Ну и ладно...|Okay, Fein...

	specialevent.2.mid.good@90@Вот это да! Молодец, Макс. Вот это правильный подход.|Gut gemacht, Max. Das ist eine großartige Lebenseinstellung.
		specialevent.2.dinner.good^				Спасибо...|Danke...

	specialevent.2.mid.mid@83@Всё ясно с тобой. У нас тут скромный мальчик. Ну, не буду тебя утомлять больше...|Ich verstehe. Wir haben einen bescheidenen Jungen. Nun, ich werde dich nicht mehr belästigen.
		specialevent.2.dinner.mid^				Отлично...|Ausgezeichnet

	specialevent.2.mid.bad@83@Ань, а ты не говорила, что у тебя сын такой агрессивный...|Du hast nicht gesagt, dass er so aggressiv ist, Ann....
		specialevent.2.dinner.bad^				Ты и не спрашивал...|Du hast nicht gefragt....

	specialevent.2.bad.good@87@Макс, давай сразу на ты. Никаких формальностей. Это же семейный ужин. Так что, давайте будем проще...|Nehmen wir den Vornamen, Max. Keine Formalitäten. Es ist ein Familienessen, lass es uns ruhig angehen....
		specialevent.2.dinner.good^				Как скажешь...|Wie du meinst....

	specialevent.2.bad.mid@86@Понятно. Видимо, Макс слишком скромный. Ну ничего страшного, я в его возрасте тоже смущался...|Sieht aus, als wäre Max bescheiden. Nun, daran ist nichts auszusetzen, ich war auch in seinem Alter bescheiden.
		specialevent.2.dinner.mid^				И ничего я не смущаюсь...|Ich bin nicht bescheiden.

	specialevent.2.bad.bad@81@И что со мной не так? Вот так с первого взгляда делаешь выводы о человеке? Не очень умно... Но для твоего возраста это нормально...|Und was stimmt mit mir nicht? Wir haben uns gerade erst kennengelernt, du weißt nicht das Geringste über mich. Du solltest die Leute nicht so schnell verurteilen. Aber ich schätze, das ist normal für dein Alter....
		specialevent.2.dinner.bad^				Да мне всё равно...|Es ist mir egal.
		specialevent.2.dinner.bad^				<i>промолчать</i>|<i>sei ruhig</i>

	specialevent.2.dinner.good@67@e-meet-eric-1@Ну, я рада, что вы познакомились и, вроде бы, нашли общий язык. Прошу, Эрик, к столу. Мы завтракаем и ужинаем на свежем воздухе, на веранде, пойдём покажу.|Ich bin froh, dass Ihr euch kennengelernt habt und gut miteinander auskommen. Und jetzt zum Tisch. Wir frühstücken und essen im Freien auf der Veranda, schaut euch das an.
		dn.4!set_eric.first.emp_2^				<i>ид?и к столу</i>|<i>zum Tisch gehen</i>

	specialevent.2.dinner.mid@63@e-meet-eric-1@Макс, мы с тобой потом поговорим. Ну, Эрик, проходи к столу. Мы обычно ужинаем, да и завтракаем на открытом воздухе, тут у нас веранда...|Max! Wir reden später. Jetzt lass uns zum Tisch gehen, Eric. Wir frühstücken und essen im Freien auf der Veranda,  schaut euch das an.
		dn.4!set_eric.first.emp_1^				<i>идти к столу</i>|<i>zum Tisch gehen</i>

	specialevent.2.dinner.bad@63@e-meet-eric-1@Макс! Ты почему себя так ведёшь? Это не только тебя не красит, но и меня позорит, что я тебя так воспитала!|Max! Warum benihmmst Du dich so? Nicht nur du wirfst dich in ein schlechtes Licht, sondern machst du mir auch Schande, ich habe dich besser erzogen als das!
		specialevent.2.dinner.bad.sorry^		Извини, Эрик, я просто не в духе...|Tut mir leid, Eric, ich bin nur schlecht gelaunt.
		specialevent.2.dinner.bad.norm^			Нормально себя веду...|Ich benehme mich....
		specialevent.2.dinner.bad.bad^			<i>промолчать</i>|<i>sei ruhig</i>

	specialevent.2.dinner.bad.sorry@62@Вот, так уже лучше. Ладно, надеюсь, это недоразумение из-за голодного желудка. Пойдёмте все к столу, пора ужинать...|So ist es besser. Ich hoffe, das war nur ein Missverständnis. Komm an den Tisch, es ist Zeit für ein Abendessen.
		dn.4!set_eric.first.emp_1^				<i>идти к столу</i>|<i>zum Tisch gehen</i>

	specialevent.2.dinner.bad.norm@62@Нет, Макс, это точно не нормально. Спишем на то, что ты голодный... Пойдём, Эрик, покажу где мы ужинаем, да и завтракаем. Макс, ты тоже иди ужинать.|Nein, Max, es ist nicht Fein. Sagen wir, ich hab Hunger.... Komm, Eric, ich zeige dir, wo wir zu Abend essen und frühstücken.
		dn.4!set_eric.first.emp_0^				<i>идти к столу</i>|<i>zum Tisch gehen</i>

	specialevent.2.dinner.bad.bad@62@Молчишь? Нечего сказать или стыдно? Будем считать, что ты просто голодный, а не специально хотел нахамить Эрику. Ладно, пойдёмте ужинать...|Schweigen? Nichts zu sagen oder schäme dich? Ich nehme an, dass du nur Hunger hast und nicht absichtlich unhöflich zu Eric sein wolltest. Okay, lass uns essen gehen.
		dn.4!set_eric.first.emp_0^				<i>идти к столу</i>|<i>zum Tisch gehen</i>



# --- Видеоуроки по умолчанию|Standard-Video-Lektionen

	online.default@15@<i>Вы просматриваете видеоурок и повышаете свои навыки.\n\nХорошая штука эти онлайн-курсы - можно научиться всему, не входя из дома! Вот только и стоит это немало...</i>|<i>Du siehst dir ein Tutorial-Video an und verbesserst du deine Fähigkeiten. Diese Online-Kurse sind eine gute Sache - du kannst alles lernen, ohne aus dem Haus zu gehen! Es ist allerdings teuer.</i>
		leave!endonline!set_cd.online_4!time^						<i>закончить</i>|<i>beenden</i>



# --- 0.3: Возвращение Алисы и Киры из ночного клуба|Alice und Kira kehren aus dem Nachtclub zurück.

	specialevent.5@102@Алиса, тише... Все уже спят! Нужно тихо, тихо, тихо... О... Макс? А ты почему не спишь?!|Ruhe, Alice.... Alle schlafen! Wir müssen leise sein.... Max? Warum schläfst du nicht?
		alisa.drunk>0&specialevent.5.next.drunk.1^					Да что-то не спится...|Ich konnte nicht schlafen.
		alisa.drunk=0&specialevent.5.next.good.1^					Да что-то не спится...|Ich konnte nicht schlafen.

	specialevent.5.next.good.1@112@Это зря... Надо спать... Мы вот с Алисой тоже собираемся спать... Конечно, не вместе... Хотя... Она такая классная!|Du solltest schlafen gehen. Alice und ich werden bald schlafen.... Natürlich nicht zusammen.... Obwohl.... Sie ist so cool!
		specialevent.5.next.good.2^			Кажется, кто-то пьян...|Ich glaube, jemand ist betrunken.

	specialevent.5.next.good.2@22@Ага, еле ещё дотащила. А ведь она сильная. Ещё и сопротивляется! Хотела в какой-то другой ночной клуб пойти, продолжить тусить... Если отговорила!|Jaja, ich konnte sie kaum nach Hause schleppen, sie hat den ganzen Weg gekämpft. Und sie ist auch verdammt stark! Sie wollte in einen anderen Club gehen, hat es kaum geschafft, sie zu beruhigen.
		specialevent.5.next.good.3^			А ты трезва?|Bist du nüchtern?

	specialevent.5.next.good.3@21@Конечно, Макс! Ты же знаешь, что я не пью. Да и нужно было кому-то приглядывать за тётей Кирой. Она очень любит развлекаться, да так, что стыдно рассказать...|Natürlich bin ich das, Max! Du weißt, dass ich nicht trinke. Und ich musste mich um Tante Kira kümmern, sie feiert zu gerne.
		can.fuckkira>0&specialevent.5.next.good.y1^		И что было?|Was hat sie getan?
		can.fuckkira=0&specialevent.5.next.good.n1^		И что было?|Was hat sie getan?

	specialevent.5.next.good.y1@112@Да, Алиса, расскажи ему что было, не стесняйся. У меня от Макса нет никаких секретов! Особенно после того случая в комнате...|Du kannst es ihm sagen, Alice, ich habe keine Geheimnisse vor Max. Besonders nach dieser Zeit im Zimmer....
		specialevent.5.next.good.y2^		Так, кто-то пьян и должен проспаться...|Okay, jemand ist betrunken und sollte schlafen gehen.

	specialevent.5.next.good.y2@22@После какого случая? Какая комната? Тётя Кира, рассказывай!|Um wie viel Uhr? Welches Zimmer? Sag mir, Tante Kira!
		specialevent.5.next.good.y3^		Ну всё, пора спать!|Das reicht, du solltest schlafen gehen!

	specialevent.5.next.good.y3@113@Точно! Ну всё, до дивана только меня доведите и спать... А утром всё расскажу, что хотите...|Okay, führe mich einfach auf das Sofa und ich werde sofort einschlafen.... Ich erzähle Ihm morgen früh alles, was er will.
		specialevent.5.next.good.y4^		Ага, обязательно...|Sicher, sicher

	specialevent.5.next.good.y4@21@Макс, о чём она? Что за случай? Мне же любопытно...|Wovon hat sie gesprochen, Max?
		specialevent.5.next.good.y5^		Понятия не имею. Она же пьяна!|Ich habe keine Ahnung, sie hat nur getrunken.

	specialevent.5.next.good.y5@22@Да? Ну, ладно. Будем считать, я поверила. Ну всё, Макс, я сейчас отведу тётю Киру спать, переодену её, а ты иди в свою комнату и тоже ложись. Пока!|Klar, tun wir so, als hätte ich dir geglaubt. Nun, Max, ich werde Tante Kira in die Lounge führen, ihr beim Umziehen helfen und sie ins Bett bringen. Du solltest auf dein Zimmer gehen und auch schlafen. Gute Nacht.
		leave!sleep^						Пока!|Okay, schlaf gut

	specialevent.5.next.good.n1@112@Ой, Макс... Чего только не было... И стриптизёры и стриптиз... И я даже...|Oh, Max.... Sie hat viel getan.... Es gab Stripperinnen, dann gab es Striptease.... sogar ich....
		specialevent.5.next.good.n2^		Что?|Was?

	specialevent.5.next.good.n2@22@А вот это уже не обязательно рассказывать. Я как вспомню, краснеть от стыда начинаю. Скажу лишь, что стриптиз танцевала тётя Кира, а остальное совсем не для твоих ушей...|Du musst nichts davon wissen. Es ist zu peinlich, das zu sagen. Ich sage dir nur, dass Tante Kira alles ausgezogen hat, alles andere ist Wissen....
		specialevent.5.next.good.n3^		Ого... Я всё пропустил!|Wow.... Ich habe es verpasst!

	specialevent.5.next.good.n3@114@Точно! Нужно будет взять Макса с собой в следующий раз!|Richtig! Wir müssen Max das nächste Mal mitnehmen!
		specialevent.5.next.good.n4^		Я только за!|Ich bin dafür!

	specialevent.5.next.good.n4@21@Не сомневаюсь, Макс. Но всё, хватит разговоров. Я пойду уложу и переодену тётю Киру в гостиной, а ты иди в свою комнату и ложись спать. Пока!|Da bin ich mir sicher, Max. Okay, genug für heute, ich werde Tante Kira ins Bett bringen, du solltest auch schlafen gehen. Gute Nacht.
		leave!sleep^						Ну, ладно... Пока!|Gute Nacht

	specialevent.5.next.drunk.1@113@И правильно! Такая ночь, как тут спать... Мы вот с Алисой отлично провели время. Оказывается, твоя старшая сестрёнка умеет зажигать!|Jaja, wie kann jemand eine so tolle Nacht durchschlafen! Alice und ich hatten eine tolle Zeit. Es stellte sich heraus, dass deine ältere Schwester weiß, wie man feiert!
		specialevent.5.next.drunk.2^		Ого. Рассказывайте, что было?|Würdest du mir sagen, was passiert ist?

	specialevent.5.next.drunk.2@112@Скажу по секрету... Алиса трусы потеряла, представляешь?! А знаешь, как это случилось? Никогда не догадаешься!|Das werde ich, aber es ist eine Art Geheimnis, erzähl es niemandem.... Alice hat ihr Höschen verloren, kannst du dir das vorstellen? Und du wirst nie erraten, wie!
		specialevent.5.next.drunk.3^		Рассказывай!|Sag es mir, sag es mir!

	specialevent.5.next.drunk.3@22@Мне кажется, что Максу совсем не нужно это знать... К тому же, даже сама тётя Кира не носит трусы!|Ich glaube nicht, dass Max das wissen muss.... Außerdem trägt Tante Kira überhaupt kein Höschen!
		specialevent.5.next.drunk.4a^		Так куда Алиса дела трусы?|Wie hat Alice es geschafft, ihr Höschen zu verlieren?
		specialevent.5.next.drunk.4b^		А как ты узнала, что она не носит?|Und woher weißt du, dass sie kein Höschen trägt?

	specialevent.5.next.drunk.4a@103@Видишь, она не хочет рассказывать. Потому-что, стыдно... Ик... И я её понимаю. Даже мне было бы стыдно за такое... Ой. Кажется, мне нужно немного остыть...|Max, sie hat dir gerade gesagt, dass sie nicht will, dass du es weißt. Es ist ihr wahrscheinlich peinlich.... Ich würde mich auch schämen.... Ich glaube, ich muss mich etwas abkühlen....
		specialevent.5.next.drunk.5^		Обалдеть!|Wow!

	specialevent.5.next.drunk.4b@103@Как, как... Я ей сама всё показала, когда мы обсуждали интимные стрижки... Ой... Это же не для мальчиков... Ик... Кажется, мне нужно немного остыть...|Ich sagte es ihr selbst, als wir über intime Haarschnitte sprachen.... Warte, das ist ein Mädchengespräch, du sollst nichts davon wissen.... Ich muss mich abkühlen....
		specialevent.5.next.drunk.5^		Обалдеть!|Wow!

	specialevent.5.next.drunk.5@112@e-night-2@Так, Макс, я в бассейн, а ты отведи свою сестрёнку под душ. Желательно, контрастный. И проследи, чтобы она не упала и пришла в себя... А я тут поплаваю...|Okay, Max, ich gehe zum Pool und du solltest deine Schwester duschen lassen. Vorzugsweise ein Kontrastmittel. Pass auf, dass sie nicht fällt.... Ich gehe schwimmen.
		specialevent.5.next.drunk.6^		Вечер всё лучше и лучше!|Der Abend wird immer besser!

	specialevent.5.next.drunk.6@22@Макс, я же говорила, что она без трусов ходит. Убедился? А теперь хватит пялиться на голую тётю... И куда ты меня ведёшь?!|Siehst du, ich habe dir gesagt, dass sie kein Höschen trägt! Jetzt hör auf, deine nackte Tante anzustarren und.... wohin bringst du mich?
		specialevent.5.next.drunk.7^		В душ!|Unter der Dusche

	specialevent.5.next.drunk.7@21@Может, я и сама справлюсь... Ой...|Ich schaffe das allein.... Au....
		ean.1!set_max.cum_0^		Вот видишь, чуть не упала, а там ещё и скользко, пошли!|Siehst du, du bist schon fast gefallen, und der Duschboden ist rutschig.

	ean.1@22@e-an-1@Ну вот мы и в душе. Теперь вали спать. Я сама справлюсь... ик!|Okay, wir sind jetzt unter der Dusche, jetzt geh schlafen. Ich schaffe den Rest alleine.
		alisa.dom>399&ean.2^		Да ты пьяна! Даже раздеться не сможешь...|Du bist betrunken! Du kannst dich nicht mal ausziehen.
		alisa.dom<400&ean.nodom^	Да ты пьяна! Даже раздеться не сможешь...|Du bist betrunken! Du kannst dich nicht mal ausziehen.

	ean.2@28@e-an-2@Да всё я смогу. Вот, смотри! И даже не упала... Ик! Ну всё, поглазел на мою голую задницу, всё, теперь вали...|Doch, das kann ich. Schau.... Und ich bin nicht mal hingefallen.... Okay, jetzt wo du einen Blick auf meinen nackten Arsch geworfen hast, kannst du verschwinden.
		ean.3^		Тётя Кира сказала, чтобы я тебе помог!|Tante Kira hat mir gesagt, ich soll dir helfen!

	ean.3@21@Тётя Кира классная... Да... Если она сказала, надо делать. Потому-что, я уважаю тётю Киру. А знаешь почему? Потому-что, она классная!|Ja, sie ist so cool.... Wenn sie etwas gesagt hat, müssen wir es tun. Ich liebe sie so sehr. Und weißt du warum? Weil sie großartig ist!
		ean.4^		А ещё знаешь, что классное? Твоя попка!|Weißt du, was noch toll ist? Dein Arsch!

	ean.4@30@e-an-3@Что? Блин... Я же голая перед своим озабоченным братом! Ик! Макс, всё вали, я не хочу, чтобы ты пялился на меня...|Was? Richtig.... Ich bin nackt vor meinem perversen Bruder! Max, verschwinde, ich will nicht, dass du mich anstarrst....
		max.imp=0&ean.5^		Что, стесняешься?|Bist du schüchtern?
		max.imp>0&ean.maximp.1^	Что, стесняешься?|Bist du schüchtern?

	ean.maximp.1@22@e-an-4@И ничего я не стесняюсь... Просто, у тебя сейчас опять всё полезет из штанов... Хотя... сегодня нет, не должно... Но в любом случае, дальше я справлюсь. Иди лучше к тёте.|Ich bin nicht schüchtern, aber du wirst wieder aus der Hose kriechen.... Aber nicht heute, wahrscheinlich.... Wie auch immer, ich sicher hier, sieh nach Tante Kira.
		ean.pool.pants^			Ладно, не упади тут...|Okay, aber fall nicht hin

	ean.5@22@e-an-4@И ничего я не стесняюсь... Просто, у тебя сейчас опять всё полезет из штанов...|Ich bin nicht schüchtern, aber du wirst wieder aus der Hose kriechen....
		ean.6^		Ничего не полезет...|Nein, werde ich nicht.

	ean.6@21@e-an-5@Да? А что это там уже шевелится? Ик... Извращенец...|Jaja? Und was ist das in deinen Shorts? Perverser....
		ean.7^		То, что парню нравится обалденное женское тело - это извращение разве?|Ich bin kein Perverser, das ist eine ganz normale Reaktion auf eine schöne Frau!

	ean.7@31@e-an-4@Ой... Спасибо... Ты такой милый! Ик! Но ты должен уйти...|Danke, Max.... Du bist so süß! Aber du solltest gehen....
		random.social.3=1&ean.8.ok^		Но тётя Кира... [skill.social_3]|Aber Tante Kira... [skill.social_3]
		random.social.3=0&ean.8.no^		Но тётя Кира... [skill.social_3]|Aber Tante Kira... [skill.social_3]

	ean.8.ok@22@e-an-6@<color=lime><i>Убеждение удалось!</i></color>\nНу ладно, ладно, я поняла... Раз тётя Кира сказала, то да, ты прав... Только... Ик...|<color=lime><i>Überzeugung erfolgreich!</i></color>\nFein, Fein, ich verstehe.... Wenn Tante Kira das gesagt hat, dann hast du Recht, aber....
		ean.8.ok.1^		Что... только?|Was aber?

	ean.8.ok.1@21@Только... Так не честно... Я тут голая перед тобой стою, а ты в шортах. Снимай!|Das ist nicht fair, ich bin nackt vor dir und du trägst zu wenig. Zieh sie aus!
		ean.8.ok.2^		Да легко!|Easy!

	ean.8.ok.2@31@e-an-7@А ты не из стеснительных... Ик... Эксги... эксиги... эксигиби...|Wow, du bist nicht schüchtern, oder? Exzi.... exhibizi...
		ean.8.ok.3^		Эксгибиционист?|Exhibitionist?

	ean.8.ok.3@30@e-an-8@Точно! Ой... Макс... Ты всё растёшь и растёшь... да ещё в таком месте... Ик...|Jaja, das! Oh, Max.... du wächst einfach weiter....
		ean.8.ok.4^		Что, нравится?|Gefällt es dir?

	ean.8.ok.4@21@Ну... Я не должна вроде такое говорить брату... Но да... Блин, Макс, это всё ты виноват, что я теперь думаю...|Nun.... Ich sollte so etwas nicht zu einem Bruder sagen, aber.... Ja.... Es ist alles deine Schuld, Max, jetzt kann ich nicht aufhören....
		ean.8.ok.5^		Думаешь обо мне?|Über mich?
		ean.8.ok.5^		Думаешь о моём члене?|Über meinen Schwanz?

	ean.8.ok.5@22@e-an-9@Ага... Думаю целыми днями и ночами! Не неси чушь! Знаешь что, тебе пора, пока не случилось кота... катостро... котастро... В общем, уходи...|Jaja, richtig! Ich denke nur Tag und Nacht an dich! Du solltest gehen, bevor etwas passiert....
		random.social.2=1&ean.8.ok.5.ok^	Я останусь! [skill.social_2]|Ich bleibe! [skill.social_2]
		random.social.2=0&ean.8.ok.5.no^	Я останусь! [skill.social_2]|Ich bleibe! [skill.social_2]

	ean.8.ok.5.ok@31@<color=lime><i>Убеждение удалось!</i></color>\nНу, как знаешь... Но я предупредила... Если потом кому-то расскажешь об этом, я тебя убью! Ик...|<color=lime><i>Überzeugung erfolgreich!</i></color>\nFein.... Aber ich warne Dich.... Wenn jedermann überhaupt über dieses herausfindet - Ich<b>werde</b> Dich töten!
		ean.8.ok.ok.1^	Расскажу о чём?|Findet was heraus?

	ean.8.ok.ok.1@33@e-an-10@Об этом, Макс... Я говорю об этом... Какой же он у тебя большой... Даже в порно у актёров меньше, а тебе ещё расти и расти...|Darüber, Max.... Ich rede von.... Es ist so groß.... Selbst Pornodarsteller haben meist kleinere Schwänze. Ich frage mich, ob er noch größer wird....
		ean.8.ok.ok.2^	Спасибо...|Danke...

	ean.8.ok.ok.2@31@Скажи честно, ты обо мне думаешь? Ну, в таком плане...|Sag mir, denkst du so über mich nach?
		ean.8.ok.ok.3^	Конечно!|Sicher!
		ean.8.ok.ok.3^	Может быть...|Vielleicht...

	ean.8.ok.ok.3@33@Так и знала, что ты извращенец! Подглядываешь, да ещё и фантазируешь всякое...|Ich wusste, dass du pervers bist! Du spionierst deiner Schwester nach, fantasierst alles Mögliche....
		ean.8.ok.ok.4^	Ты знаешь, это в твоей руке мой член, кто ещё извращенец-то?|Du hältst meinen Schwanz in deiner Hand und ich bin der Perverse?

	ean.8.ok.ok.4@22@Хм... Тоже верно... Ик... Если я тебе подрочу и ты кончишь, ты забудешь обо мне?|Hm.... Ich schätze, du hast Recht.... Wenn ich dir einen runterhole, vergisst du mich dann?
		ean.8.ok.ok.5^	Ага... минут на пятнадцать...|Ja.... für etwa fünfzehn Minuten.
		ean.8.ok.ok.5^	Что ты! Такую не забыть никогда!|Was!? Wie könnte ich so etwas vergessen?

	ean.8.ok.ok.5@21@Ну ты и придурок, Макс... Нравится?|Du bist ein Idiot, Max.... Gefällt es dir?
		ean.8.ok.ok.bad^						Интересно, а он в тебе поместится?|Ich frage mich, ob er in dich passt.
		random.social.1=1&ean.suck.1^			Просто супер! А может быть... поцелуешь его? [skill.social_1]|Fühlt sich toll an! Vielleicht ... willst du ihn küssen? [skill.social_1]
		random.social.1=0&ean.8.no^				Просто супер! А может быть... поцелуешь его? [skill.social_1]|Fühlt sich toll an! Vielleicht ... willst du ihn küssen? [skill.social_1]
		ean.8.ok.ok.cum!set_max.cum_1^			О.. Очень! <i>(кончить)</i>|Sehr! <i>(spritzen)</i>

	ean.8.ok.ok.cum@30@e-an-11@Макс! Ну то за фигня! Ты кончил прямо на меня!!!|Was zum Teufel, Max! Du bist gerade über mir gekommen!
		ean.8.ok.ok.cum.1^		А что ты думала должно произойти?|Was hast du erwartet, was passieren würde?

	ean.8.ok.ok.cum.1@21@Ну предупредил бы хоть, но на меня-то зачем... Теперь мыться надо...|Du hättest mich warnen sollen, und du hättest es nicht bei mir tun müssen.... Jetzt muss ich duschen....
		ean.8.ok.ok.cum.2^		Ты как раз это и планировала сделать!|Deshalb bist du überhaupt erst hergekommen!

	ean.8.ok.ok.cum.2@22@Да, точно... Ладно. Теперь вали отсюда. Иди глянь, как там тётя Кира в бассейне...|Oh, richtig.... Fein, jetzt verschwinde von hier. Sieh nach Tante Kira im Pool.
		ean.pool.naked!set_max.cum_1^		Ага... <i>(уйти голым)</i>|Okay <i>(gehe nackt)</i>
		ean.pool.pants!set_max.cum_1^		Ага... <i>(надеть шорты)</i>|Okay <i>(gehe in shorts)</i>

