# --- Алиса спит|Alice schläft.

		leave!lock^														<i>уйти</i>|<i>verlassen</i>

	mom.bath.knock.me@120@<b>Мама:</b> Дорогой, что ты хотел?|<b>Mom:</b> Willst du etwas, Liebes?
		mom.bath.knock.me.nothing^										Нет, ничего|Nein, nichts.
		mom.bath.knock.me.nothing^										Я подожду...|Ich werde warten
		mom.bath.knock.me.enter^										Можно я войду?|Kann ich reinkommen?

	mom.bath.knock.me.nothing@120@<b>Мама:</b> Хорошо, я скоро закончу...|<b>Mom:</b> Okay, ich werde nicht lange brauchen.
		leave!lock^														Ага...|Jaja

	mom.bath.knock.me.enter@120@<b>Мама:</b> Ну... хорошо, входи. Только не смотри!|<b>Mom:</b> Gut.... okay, aber schau nicht hin!
		mom.bath.knock.me.enter.in^										<i>Войти</i>|<i>Eintreten</i>
		leave!lock^														Ой, нет, я передумал|Oh, Entschuldigung, ich habe meine Meinung geändert.

	mom.bath.knock.me.enter.in@62@e-Mom-bath-inside-1@Макс, так что там у тебя такое срочное, что ты не мог подождать пол часа?|Max, was ist so dringend, dass du nicht 30 Minuten warten kannst?
		mom.bath.knock.me.enter.in.miss^								Просто, я соскучился!|Ich habe dich vermisst!
		mom.bath.knock.me.enter.in.seeyou^								Ну это, хотел поглазеть...|Ich wollte dich ansehen
		tier=1&talk.Mombathinc=0&mom.bath.knock.me.enter.in.need^		Я собирался спать и хотел принять душ перед сном|Ich möchte vor dem Schlafengehen duschen
		leave!lock^														Ой, не буду тебе мешать|Entschuldige, ich lasse dich in Ruhe.

	mom.bath.knock.me.enter.in.miss@67@Макс! Я думала, что-то случилось, а ты просто балуешься. Подожди меня за дверью. Я скоро!|Ich fing an zu denken, dass etwas passiert ist. Warte draußen, ich bin gleich da.
		leave!lock^														Хорошо...|Schön

	mom.bath.knock.me.enter.in.seeyou@68@Что?! А ну-ка быстро выметайся отсюда! Я скоро закончу.|Was? Verschwinde sofort!
		leave!lock^														Как скажешь!|Okay

	mom.bath.knock.me.enter.in.need@60@e-Mom-bath-insidetalk-1@Макс, но я же в ванне. Как ты себе это представляешь?|Das kannst du nicht machen, während ich im Bad bin!
		mom.bath.knock.me.enter.in.need.closeeyes^						А ты закрой глаза и я не буду смотреть|Lass uns einfach die Augen schließen, damit wir nicht hinschauen.
		mom.bath.knock.me.enter.in.need.dontshy^						Ты же моя мама, чего тут стесняться?|Aber du bist meine Mutter, warum sollte ich schüchtern sein?

	mom.bath.knock.me.enter.in.need.dontshy@71@e-Mom-bath-undress-1@Макс, но ты уже такой взрослый... Знаешь что. Я соглашусь, если ты не будешь на меня смотреть. Я тоже закрою глаза и ты спокойно примешь свой душ. Хорошо, милый?|Du bist kein kleiner Junge mehr, Max. Wie wäre es damit: Ich stimme zu, wenn wir uns nicht ansehen, okay?
		mom.bath.undress^												Конечно! Я сам это хотел предложить|Natürlich! Ich wollte gerade dasselbe sagen!

	mom.bath.knock.me.enter.in.need.closeeyes@67@e-Mom-bath-undress-1@Ну, хорошо. Только, не подглядывай. Замечу, сразу выгоню!|Okay, aber nicht gucken! Ich schmeiß dich raus, wenn du willst!
		mom.bath.undress^												Да, мам...|Ja, Mom

	mom.bath.undress@69@e-Mom-bath-undress2-1@Как-то странно. Ты обычно в такое время ещё не ложишься... С тобой точно всё в порядке?\n\n<i>Вид голой мамы в метре от себя вас очень возбудил...</i>|Seltsam, normalerweise schläfst du nicht so früh....\nBist du sicher, dass es dir gut geht?\n\n<i>Der Anblick deiner nackten Mutter hat dich wirklich aufgeregt.</i>
		mom.bath.undress.dont^											Ага, всё хорошо. Только, не подглядывай!|Ja, alles Gut. Schau einfach nicht hin!

	mom.bath.undress.dont@69@e-Mom-bath-undress3-1@Макс! Я же твоя мама и видела тебя тысячу раз голым!|Max, ich bin deine Mutter und ich habe dich schon tausend Mal nackt gesehen!
		mom.bath.undress.dont.growup^									Ну, я с тех пор подрос|Seitdem bin ich gewachsen!
		mom.bath.undress.dont.up^										Ну, он с тех пор подрос|Seitdem ist er gewachsen!

	mom.bath.undress.dont.growup@68@e-Mom-bath-undress4-1@Макс! Ты так возбудился! Это из-за меня? Плохая идея была - тебя впускать сюда...|Max! Du bist so.... aufgeregt! Ist das wegen mir? Ich hätte dich nicht reinlassen sollen....
		mom.bath.undress.dont.good^										Нет, ты тут не при чём|Nein, es ist nicht deine Schuld.
		mom.bath.undress.dont.yeah^										Ну, ты так хорошо выглядишь и ты голая, совсем рядом...|Nun, du bist schön und nackt direkt vor mir....
		mom.bath.undress.dont.eyes^										Эй! Ты обещала не подглядывать!|Hey! Du hast versprochen, nicht hinzusehen!

	mom.bath.undress.dont.up@68@e-Mom-bath-undress4-1@Он подрос? Кто? Макс! Ты... такой возбуждённый... Это из-за меня? Извини, зря тебя впустила сюда...|Er? Wer? Max! Du bist so.... hart... Ist das wegen mir? Tut mir leid, ich hätte dich nicht reinlassen sollen....
		mom.bath.undress.dont.good^										Нет, ты тут не при чём|Nein, es ist nicht deine Schuld.
		mom.bath.undress.dont.yeah^										Ну, ты так хорошо выглядишь и ты голая, совсем рядом...|Nun, du bist schön und nackt direkt vor mir....
		mom.bath.undress.dont.eyes^										Эй! Ты обещала не подглядывать!|Hey! Du hast versprochen, nicht hinzusehen!

	mom.bath.undress.dont.good@73@Да? Мне кажется, что это у тебя гормоны играют. А ещё тебе нужно найти девушку.|Ich glaube, es sind nur deine Hormone. Du solltest dir eine Freundin suchen.
		mom.bath.undress.dont.good.now^									Где же мне её найти в такое время?|Wie bekomme ich jetzt eine?
		mom.bath.undress.dont.good.you^									И что мне с этим делать сейчас?|Und was soll ich jetzt tun?
		mom.bath.undress.dont.good.grow^								Ну как, я подрос с тех пор?|Also, bin ich gewachsen?

	mom.bath.undress.dont.yeah@73@Спасибо тебе Макс, конечно... Но это не разговор для мамы и её сына... А вообще, тебе нужно найти девушку!|Danke, Max.... Aber das ist kein Gespräch, das Mutter und Sohn führen sollten.... Und du musst dir eine Freundin suchen!
		mom.bath.undress.dont.good.now^									Где же мне её найти в такое время?|Wie bekomme ich jetzt eine?
		mom.bath.undress.dont.good.you^									И что мне с этим делать сейчас?|Und was soll ich jetzt tun?
		mom.bath.undress.dont.good.grow^								Ну как, я подрос с тех пор?|Also, bin ich gewachsen?

	mom.bath.undress.dont.eyes@73@Я случайно открыла глаза, а тут... такое. Тебе срочно нужно найти девушку!|Ich habe aus Versehen die Augen geöffnet, und dann..... Du musst sofort ein Mädchen finden!
		mom.bath.undress.dont.good.now^									Где же мне её найти в такое время?|Wie bekomme ich jetzt eine?
		mom.bath.undress.dont.good.you^									И что мне с этим делать сейчас?|Und was soll ich jetzt tun?
		mom.bath.undress.dont.good.grow^								Ну как, я подрос с тех пор?|Also, bin ich seit dem letzten Mal gewachsen?

	mom.bath.undress.dont.good.now@62@Ну, я имела в виду не прямо сейчас, а вообще. Думаю, тебе нужно принять холодный душ и сбросить... напряжение. Давай бегом, а я закрою глаза.|Ich meinte im Allgemeinen, nicht jetzt. Ich denke, du solltest eine kalte Dusche nehmen und etwas Spannung abbauen. Jetzt beeil dich und ich schließe meine Augen.
		mom.bath.undress.shower.1^										Хорошо, мам|Okay, Mom

	mom.bath.undress.dont.good.you@62@Сейчас тебе поможет только холодный душ. Иди, сними напряжение, а я закрою глаза. Только и ты не подглядывай. Я как бы тоже голая...|Ich denke, du solltest eine kalte Dusche nehmen. Geh und entspann dich, während ich meine Augen schließe. Und sieh nicht hin. Ich bin hier nackt....
		mom.bath.undress.shower.1^										Хорошо, мам|Okay, Mom

	mom.bath.undress.dont.good.grow@62@Да, Макс! Ты... очень подрос. Но сейчас тебе нужно сбросить напряжение. Давай, бегом под холодный душ, а я закрою глаза.|Ja.... Du bist gewachsen. Aber jetzt musst du die Spannung abbauen. Na los, nimm eine kalte Dusche und ich schließe meine Augen.
		mom.bath.undress.shower.1^										Хорошо, мам|Okay, Mom

	mom.bath.undress.shower.1@4@e-Mom-bath-undress5-1@<i>Перегородка имеет матовую поверхность только до пояса. На уровне глаз она прозрачная и всё видно. Мама слегка прикрывает своё привлекательное тело... Это всё так вас возбудило, что даже холодный душ не помогает!</i>|<i>Das Glas ist nur halbhoch geschliffen, so dass das Glas auf Augenhöhe völlig transparent ist und man alles sehen kann. Mom versucht, ihren wunderschönen Körper zu verstecken.... Du bist so hart, selbst eine kalte Dusche kann dir jetzt nicht helfen.</i>
		mom.bath.undress.shower.1.jerkoff^								<i>Дрочить, глядя на маму</i>|<i>Schau dir Mom an und hol dir einen runter.</i>
		mom.bath.undress.shower.1.relax^								<i>Постараться успокоиться</i>|<i>versuche dich zu beruhigen</i>

	mom.bath.undress.shower.1.jerkoff@68@<i>Не прошло и минуты, как вы кончили, прямо на стеклянную перегородку...</i>\n\n<b>Мама:</b> Макс! Ты что такое делаешь?!|<i>Du hast keine Minute überdauert, bevor du das ganze Glas besprüht hast.</i>\n\n<b>Mom:</b> Max! Was machst du da?!
		mom.bath.undress.shower.1.jerkoff.you^							Ты сама сказала снять напряжение, вот и... снял...|Du hast gesagt, ich soll den Druck verringern, also.... Ich versuche es
		mom.bath.undress.shower.1.jerkoff.cant^							Я не мог ничего с этим поделать. Душ не помогал!|Ich konnte nicht anders, die Dusche hat mir nicht geholfen.
		mom.bath.undress.shower.1.jerkoff.eyes^							Ты опять подглядываешь!|Du hast wieder geguckt!

	mom.bath.undress.shower.1.relax@10@<i>Да как можно успокоиться в такой ситуации? Это же не-воз-мож-но!</i>|<i>Wie zum Teufel soll ich mich in einer Situation wie <b>dieser</b> beruhigen?</i>
		mom.bath.undress.shower.1.jerkoff^								<i>Дрочить, глядя на маму</i>|<i>Schau dir Mom an und hol dir einen runter.</i>

	mom.bath.undress.shower.1.jerkoff.you@69@Макс, ну я имела в виду холодный душ... Это неправильно, когда сын делает такое в метре от своей мамы... |Max, ich meinte eine kalte Dusche.... Söhne sollten so etwas nicht direkt vor ihren Müttern tun....
		mom.bath.undress.shower.1.jerkoff.you.wall^						Ну, я за стеной и ты обещала не подглядывать|Ich war hinter dem Glas und du hast versprochen, nicht hinzusehen.
		mom.bath.undress.shower.1.jerkoff.you.why^						Почему? Если у меня <b>такая</b> мама...|Warum? Wenn ich eine Mutter habe wie <b>dich</b>....

	mom.bath.undress.shower.1.jerkoff.cant@69@Макс! Так, прибери там за собой, одевайся и иди в свою комнату. Сделаем вид, что ничего не было.|Max! Mach dich sauber, zieh dich an und geh auf dein Zimmer. Tun wir so, als wäre nichts passiert.
		leave!lock!move_myroom!set_talk.Mombathinc_1!set_mom.talkcooldown_5^		Хорошо, мам...|Okay, Mom...

	mom.bath.undress.shower.1.jerkoff.eyes@69@Я хотела узнать как у тебя дела и это матовое стекло почти ничего не скрывает... Значит, ты там всё это время смотрел на меня... и делал это?|Ich wollte wissen, was du tust, und dieses geschliffene Glas verbirgt nicht viel.... Also hast du mich die ganze Zeit angesehen.... und dich selbst berührt?
		mom.bath.undress.shower.1.jerkoff.you.wall^									Я не смотрел на тебя и ты обещала не подглядывать!|Ich habe dich nicht angesehen und du hast versprochen, nicht hinzusehen!
		mom.bath.undress.shower.1.jerkoff.you.wall^									А что такого? Если у меня <b>такая</b> мама...|Warum? Wenn ich eine Mutter habe wie <b>dich</b>....

	mom.bath.undress.shower.1.jerkoff.you.wall@69@Так, всё, Макс! Смой... это со стекла и бегом в свою комнату! Всё это очень неправильно...|Das reicht, Max! Mach dich sauber und geh auf dein Zimmer! Das ist alles so falsch....
		leave!lock!move_myroom!set_talk.Mombathinc_1!set_mom.talkcooldown_5^		Хорошо, мам...|Okay, Mom

	mom.bath.undress.shower.1.jerkoff.you.why@64@А ну-ка быстро смыл это со стекла и бегом в свою комнату!|Mach dich sauber und geh sofort auf dein Zimmer!
		leave!lock!move_myroom!set_talk.Mombathinc_1!set_mom.talkcooldown_5^		Как скажешь, мам...|Okay, Mom



# --- Лиза принимает ванну в 22:00|Lisa nimmt ein Bad, 22:00

	liza.bath@121@В это время Лиза обычно плескается в ванне...|Um diese Zeit nimmt Lisa normalerweise ein Bad.
		liza.bath.knock^								<i>постучаться</i>|<i>anklopfen</i>
		poss.sed<31&liza.bath.open^						<i>открыть дверь</i>|<i>die Tür öffnen</i>
		poss.sed>30&06.libath.0^						<i>открыть дверь</i>|<i>die Tür öffnen</i>
		liza.bath.voyeur^								<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	liza.bath.knock@121@<b>Лиза:</b> Кто там? Я принимаю ванну...|Wer ist da? Ich nehme ein Bad.
		liza.bath.knock.me^								Это я, Макс! Можно войти?|Ich bin's, Max! Kann ich reinkommen?
		poss.sed<31&liza.bath.knock.open^				<i>открыть дверь</i>|<i>die Tür öffnen</i>
		poss.sed>30&06.libath.0^						<i>открыть дверь</i>|<i>die Tür öffnen</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	liza.bath.knock.me@121@<b>Лиза:</b> Я же сказала, что в ванне. Закончу, тогда и войдёшь! А пока жди...|Ich sagte, ich nehme ein Bad! Du kannst reinkommen, wenn ich fertig bin! Warte draußen
		leave!lock^										Хорошо, я подожду...|Okay, ich werde warten
		liza.bath.knock.open^							<i>открыть дверь</i>|<i>die Tür öffnen</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	liza.bath.knock.open@50@e-liza-bath-open-1@Макс! Я же предупредила, что моюсь! Всё маме расскажу!|Ich sagte doch, ich nehme ein Bad! Ich werde es Mom erzählen!
		leave!lock^										Упс! Уже ушёл...|Es tut mir leid, ich gehe

	liza.bath.voyeur@120@e-liza-bath-1@Кажется, Лиза и правда принимает ванну. Жаль, что из-за матового стекла почти ничего не видно. Но ближе подойти опасно - может заметить...|Ich glaube, Lisa nimmt ein Bad. Schade, dass ich nicht viel hinter dem Bodenglas sehen kann. Näher ranzukommen ist zu riskant, sie kann mich bemerken
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	liza.bath.open@50@e-liza-bath-open-1@Макс! А постучаться? Я же голая!|Max, warum hast du nicht angeklopft? Ich bin nackt!
		liza.bath.open.go^								Извини, дверь была открыта и я подумал...|Es tut mir leid, die Tür war offen.
		liza.bath.open.go^								А ты симпатичная...|Du bist hübsch....
		liza.bath.open.go^								И что такого? Сестра стесняется брата?|Was ist denn los? Wir sind Geschwister.

	liza.bath.open.go@42@Макс, выйди немедленно!|Max, geh sofort raus!
		leave!lock^										Хорошо, уже ухожу...|Okay, ich gehe



# --- Алиса принимает ванну в 00:00|Alice nimmt ein Bad, 00:00

	alisa.bath@121@Если полночь, значит Алиса отмокает в ванне... Входить без стука - опасно для жизни.|Es ist Mitternacht, also nimmt Alice ein Bad. Eintreten ohne zu klopfen ist extrem gefährlich.
		alisa.bath.knock^								<i>постучаться</i>|<i>anklopfen</i>
		alisa.bath.voyeur^								<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.bath.voyeur@120@e-alisa-bath-1@Ух! Повезло, что она меня не заметила... Кажется, только воду набирает. Но лучше уйти, а то если заметит, мне конец!|Ich bin froh, dass sie mich nicht bemerkt hat. Sieht aus, als würde sie nur die Wanne füllen. Ich sollte gehen, solange ich kann
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.bath.knock@121@<b>Алиса:</b> Кому там не спится? Я ванну набираю...|<b>Alice:</b> Wer ist da? Ich fülle die Wanne.
		alisa.bath.knock.me^							Это я, Макс. Можно войти?|Ich bin's, Max. Kann ich reinkommen?
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.bath.knock.me@121@<b>Алиса:</b> Макс, ты глухой? Я же сказала, буду в ванне плескаться. Жди как минимум час!|<b>Alice:</b> Bist du taub? Ich sagte doch, ich nehme ein Bad. Du musst mindestens eine Stunde warten!
		leave!lock^										Ладно, ладно...|Schön, Schön



# --- Алиса в ванной после клуба. 3 часа ночи|Alice kommt aus dem Club zurück, 3:00

	alisa.afterclub@121@Алиса только что вернулась из клуба и сразу забежала в ванную. Интересно, в каком она состоянии?|Alice kam gerade aus dem Club zurück und rannte sofort zur Toilette. Ich frage mich, wie es ihr geht.
		alisa.drunk=0&alisa.afterclub.knock^			<i>постучаться</i>|<i>anklopfen</i>
		alisa.drunk=1&alisa.afterclub.show^				<i>постучаться</i>|<i>anklopfen</i>
		alisa.afterclub.voyeur^							<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.afterclub.voyeur@120@e-alisa-bath-1@Ух! Повезло, что она меня не заметила... Кажется, только воду набирает. Но лучше уйти, а то если заметит, мне конец!|Ich bin froh, dass sie mich nicht bemerkt hat. Sieht aus, als würde sie nur die Wanne füllen. Ich sollte gehen, solange ich kann
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.afterclub.knock@121@<b>Алиса:</b> Кому там не спится? Я ванну набираю...|<b>Alice:</b> Wer ist da? Ich fülle die Wanne.
		alisa.afterclub.knock.me^						Это я, Макс. Можно войти?|Ich bin's, Max. Kann ich reinkommen?
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.afterclub.knock.me@121@<b>Алиса:</b> Макс, ты глухой? Я же сказала, буду в ванне плескаться. Жди как минимум час!|<b>Alice:</b> Bist du taub? Ich sagte doch, ich nehme ein Bad. Du musst mindestens eine Stunde warten!
		leave!lock^										Ладно, ладно...|Schön, Schön

	alisa.afterclub.show@25@e-alisa-bathroom-2@А, Макс... Не спится? Чего хотел?|Oh, Max.... Kannst du nicht einschlafen? Was willst du denn?
		alisa.afterclub.show.wash^						Да... Я вот... Умыться бы перед сном! Да.|Ja.... Ich bin hier.... um mein Gesicht vor dem Schlafengehen zu waschen!

	alisa.afterclub.show.wash@33@e-alisa-bath-2@Ну, входи. Я собиралась ванну принять, но ещё вода набирается...|Nun, komme rein. Ich fülle mir ein Bad.
		alisa.afterclub.show.wash.fun^					Как в клубе повеселилась?|Wie war der Club?

	alisa.afterclub.show.wash.fun@21@Ты знаешь, очень... очень хорошо. Я обычно не пью, но в этот раз что-то потянуло и... всё прошло просто чудесно! А у тебя как дела?|Weißt du.... sehr gut. Ich trinke normalerweise nicht, aber diesmal wollte ich, und.... alles war wunderbar! Und wie geht es Dir?
		alisa.afterclub.show.wash.fun.wow^				Ого. Тебе и правда интересно?|Wow. Bist wirklich interessiert?

	alisa.afterclub.show.wash.fun.wow@25@Конечно! Ты же мой брат. Ты извини, если я с тобой бываю груба. Это просто защитная реакция...|Natürlich! Du bist mein Bruder. Es tut mir leid, wenn ich unhöflich zu dir bin. Es ist nur ein Abwehrmechanismus....
		alisa.afterclub.show.wash.fun.wow.2^			Защитная реакция?|Abwehrmechanismus?

	alisa.afterclub.show.wash.fun.wow.2@33@Тебе не понять... Ты знаешь, я бы хотела извиниться, если тебя чем-то обижала в последнее время... Ой, у тебя что-то в штанах шевелится...|Du würdest es nicht verstehen.... Ich möchte mich entschuldigen, wenn ich Dich durch etwas beleidigt habe. Oh, etwas in deiner Hose bewegt sich....
		alisa.afterclub.show.wash.fun.wow.3!max_poss.nightclub_8!set_alisa.talkaboutbath_1^			Э... Ты точно в порядке?|Uh.... bist du sicher, dass es dir gut geht?

	alisa.afterclub.show.wash.fun.wow.3@25@e-alisa-bath-3@Ага. И ты, я вижу, тоже... Какой же он у тебя большой...|Ja. Und ich sehe dich auch.... Es ist so groß....
		alisa.afterclub.show.sed.1^						У тебя... Очень красивая грудь...|Du hast sehr schöne Brüste....
		alisa.afterclub.show.sed.2^						А ты не хочешь мне помочь?|Vielleicht willst du mir helfen?

	alisa.afterclub.show.sed.1@33@Спасибо, Макс. Девушке очень приятно такое слышать от парня. Даже, если это её младший брат...|Danke, Max. Mädchen hören solche Sachen gerne von einem Kerl. Auch wenn er ihr jüngerer Bruder ist....
		alisa.afterclub.show.sed.2^						А ты не хочешь мне помочь?|Vielleicht willst du mir helfen?

	alisa.afterclub.show.sed.2@25@Ты знаешь... Я ещё не настолько пьяна и, кажется, меня уже отпускает. Так что... Придётся тебе самому разбираться с твоей проблемой... А у меня набралась ванна. Так что...|Ich bin nicht betrunken genug. Also.... musst du dich selbst um dein Problem kümmern. Und das Bad ist voll, also....
		alisa.afterclub.show.sed.3^						Ну Алиса... Ну чуть-чуть...|Bitte, Alice. Nur ein bisschen....
		leave!lock^										Хорошо. Спокойной ночи, Алиса...|Okay. Gute Nacht, Alice.

	alisa.afterclub.show.sed.3@33@Макс... Ты же не хочешь, чтобы я рассказала маме, что ты ко мне приставал?|Max.... soll ich Mom sagen, dass du mich belästigt hast?
		leave!lock^										Всё понял, ухожу...|Verstanden, weggehen



# --- Алиса собирается на шоппинг 10:00|Alice zeiht sich zum Einkaufen um

	alisa.pshopping@121@<i>Кажется, все собираются на шоппинг и Алиса сейчас переодевается...</i>|<i>Ich denke, jeder macht sich bereit zum Einkaufen und Alice zieht sich um.</i>
		aenter=0&alisa.pshopping.knock^								<i>постучаться</i>|<i>anklopfen</i>
		aenter=0&nopants.alisa=0&alisa.pshopping.voyeur.pants^		<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		aenter=0&nopants.alisa=1&alisa.pshopping.voyeur.nopants^	<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		aenter>0&10.da.0^											<i>войти в комнату</i>|<i>das Zimmer betreten</i>
		leave!lock^													<i>уйти</i>|<i>verlassen</i>

	alisa.pshopping.knock@121@<b>Алиса:</b> Кто там? Я переодеваюсь!|<b>Alice:</b> Wer ist da? Ich ziehe mich um!
		alisa.pshopping.knock.me^					Это я, Макс. Можно войти?|Ich bin's, Max. Kann ich reinkommen?
		leave!lock^									Хорошо, я подожду...|Okay, ich werde warten

	alisa.pshopping.knock.me@121@<b>Алиса:</b> Даже не вздумай! Прибью на месте! Жди там. А лучше свали подальше, чтобы под дверью не сопел тут.|<b>Alice:</b> Denk nicht mal dran! Ich werde dich auf der Stelle töten! Warte dort. Oder besser noch, verschwinde, ich will dich nicht hinter meiner Tür atmen hören.
		leave!lock^									Хорошо...|Schön

	alisa.pshopping.voyeur.pants@120@e-alisa-dressing-1-p@Алиса переодевается... Какой вид! Так. Пора сваливать. Вдруг, кто-то заметит!|Alice zeiht sich um.... Das ist ein schöner Anblick! Es ist Zeit für mich zu flüchten. Jemand kann es bemerken!
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	alisa.pshopping.voyeur.nopants@120@e-alisa-dressing-1-np@Ого! Алиса не надевает трусы даже на шоппинг! Интересно, что она скажет маме в кабинке для переодевания, если та это заметит? Но лучше буду гадать в другом месте, а то меня заметят...|Wow! Alice trägt kein Höschen, auch nicht beim Einkaufen! Ich frage mich, was sie zu Mom in der Umkleidekabine sagen wird, wenn Mom sie erwischt? Aber ich sollte woanders raten....
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	alisa.pshopping.open.nice.angry@42@...|...
		leave!lock^									<i>Бежать</i>|<i>Lauf weg</i>



# --- Алиса собирается в ночной клуб (пятница, вечер)|Alice zeiht sich um für den Club, Freitagabend

	alisa.pclub@121@<i>Кажется, Алиса собирается в ночной клуб...</i>|<i>Sieht aus, als würde Alice in einen Nachtclub gehen</i>
		spun.alisa=0&alisa.pclub.knock^						<i>постучаться</i>|<i>anklopfen</i>
		spun.alisa=0&alisa.pclub.voyeur^					<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		spun.alisa>0&09.da.0^								<i>Это Макс. Я вхожу!</i>|<i>Es ist Max. Ich komme rein.</i>
		leave!lock^											<i>уйти</i>|<i>verlassen</i>

	alisa.pclub.knock@121@<b>Алиса:</b> Кто там? Я собираюсь, подождите...|<b>Alice: </b> Wer ist da? Ich ziehe mich um, warte....
		alisa.pclub.knock.me^								Это я, Макс. У меня к тебе дело...|Ich bin's, Max. Ich will mit dir reden....

	alisa.pclub.knock.me@23@e-newdress-1@Ну, Макс, чего хотел? Что за дело такое срочное?|Nun, Max, was wolltest du? Worüber willst du reden?
		alisa.pclub.knock.me.good!add_alisa.mood_50^		Выглядишь... шикарно!|Du siehst umwerfend aus!
		item.choco=-5&alisa.pclub.choco^					У меня для тебя презент...|Ich habe ein Geschenk für dich....

	alisa.pclub.choco@22@Макс, ты меня удивляешь всё больше. Какой? Дай угадаю... книжка!|Max, du überraschst mich immer mehr. Lass mich raten.... ein Buch!
		alisa.pclub.choco.no!set_alisa.drunk_1^				Не угадала. Ты же любишь шоколад?|Rate nochmal. Magst du Schokolade?

	alisa.pclub.choco.no@25@Люблю... И что, никакого подвоха? Просто взял и подарил коробку конфет?|Ich weiß.... gibt es einen Haken? Du gibst mir einfach eine Schachtel Pralinen?
		alisa.pclub.choco.no.show^							Ну, можешь трусы показать...|Nun, du kannst mir dein Höschen zeigen....
		alisa.pclub.choco.no.nothing^						Да, никакого подвоха!|Nein, kein Haken!

	alisa.pclub.choco.no.nothing@31@Вот это да! Ну, спасибо тогда... А теперь вали. Я ещё не закончила...|Wow! Nun, danke.... Und jetzt raus hier. Ich bin noch nicht fertig.
		leave!lock^											Ага...|Jaja

	alisa.pclub.choco.no.show@22@Может быть, мне их ещё и снять для тебя? Давай, вали уже, извращенец. А за конфеты спасибо...|Vielleicht sollte ich sie für dich ausziehen? Komm schon, verschwinde hier, Perversling. Und danke für die Süßigkeiten.
		leave!lock^											Ага...|Jaja

	alisa.pclub.knock.me.good@33@e-newdress-2@Спасибо... Так чего хотел, рассказывай!|Danke.... Also was wolltest du, sag es mir!
		alisa.pclub.knock.me.good.nothing^					Ты знаешь, я забыл...|Weißt du, ich habs vergessen....

	alisa.pclub.knock.me.good.nothing@22@Эх, Макс. Память у тебя дырявая. Тебе бы рыбки поесть. Там, говорят, фосфор. Помогает для мозгов... Ладно, вали отсюда, я ещё не закончила...|Oh, Max. Du solltest Fisch essen. Man sagt, es hat Phosphor, also ist es gut für das Gehirn.... Lass mich jetzt in Ruhe, ich bin beschäftigt.
		leave!lock^											Ага...|Jaja

	alisa.pclub.voyeur@120@e-alisa-dressing-club-1@Вау! Интересно, она трусики надевает под это платье или нет? Как бы я хотел это узнать...|Wow! Ich frage mich, ob sie ein Höschen unter dem Kleid trägt? Ich möchte so viel herausfinden....
		leave!lock^											<i>уйти</i>|<i>verlassen</i>



# --- Алиса собирается к подруге, 11:00, воскресенье|Alice zeiht sich um, bevor sie zu ihrer Freundin geht, 11:00, Sonntag

	alisa.pfriend@121@<i>Кажется, Алиса куда-то собирается...</i>|<i>Scheint so, als würde Alice irgendwohin gehen.</i>
		aenter=0&alisa.pfriend.knock^								<i>постучаться</i>|<i>anklopfen</i>
		aenter=0&nopants.alisa=0&alisa.pfriend.voyeur.pants^		<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		aenter=0&nopants.alisa=1&alisa.pfriend.voyeur.nopants^		<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		aenter>0&09.db.0^											<i>войти в комнату</i>|<i>das Zimmer betreten</i>
		leave!lock^													<i>уйти</i>|<i>verlassen</i>

	alisa.pfriend.knock@121@<b>Алиса:</b> Кто там? Я переодеваюсь!|<b>Alice:</b> Wer ist da? Ich ziehe mich um!
		alisa.pfriend.knock.me^						Это я, Макс. Можно войти?|Ich bin's, Max. Kann ich reinkommen?
		leave!lock^									Хорошо, я подожду...|Okay, ich werde warten

