# --- Шаблон ужина по умолчанию|Standard-Frühstück

	dinner.default@0@z-dinner-family-1@<i>Шаблон ужина по умолчанию. Данный эвент пока отсутствует.</i>|<i>Die Probe des Abendessens ist standardmäßig. Dieses Ereignis ist noch nicht da.</i>
	dn.3.next.9@62@Ну вот, и тебе что-то нужно. Да, это повышение точно будет полезно для всех нас. Ну раз нужен купальник, то посмотрим. Обещать ничего не буду, но...|Oh, also brauchst du auch etwas. Ja ja, diese Beförderung ist definitiv hilfreich. Wir werden sehen. Ich kann nichts versprechen, aber....
		dn.3.next.10^										<i>далее</i>|<i>fortsetzen</i>

	dn.3.next.10@23@Ага, Лизе купальник посмотрим, а мне платье для клуба, значит, нет? Я бы сегодня уже пошла, а так придётся ждать следующей пятницы... И то если купим...|Also werden wir uns um Lisas Badeanzug kümmern, aber nicht um ein Kleid für mich? Ich könnte heute in den Club gehen, aber jetzt muss ich auf nächsten Freitag warten, und das ist, wenn wir einen kaufen....
		dn.3.next.11^										<i>далее</i>|<i>fortsetzen</i>

	dn.3.next.11@60@Алиса, я тебе уже говорила, что идея с коротким платьем для клубов мне не нравится. Но если будут деньги и попадётся приличное, то, возможно, купим...|Ich sagte dir schon, Alice, ich mag es nicht, wenn du in einem kurzen Kleid feierst. Aber wenn wir das Geld haben und ein anständiges Kleid finden, dann kaufen wir dir eines....
		dn.3.next.12^										<i>далее</i>|<i>fortsetzen</i>

	dn.3.next.12@20@Хорошо, мам. Но я на тебя надеюсь. Я просто сойду с ума, если никуда не буду выбираться, даже из такого... дома. Мне нужны друзья и подруги, а они любят клубы...|Okay, Mom, ich verlasse mich auf dich. Ich werde den Verstand verlieren, wenn ich nicht etwas Dampf ablassen kann....
		dn.3.next.13^										Бери меня с собой!|Nimm mich mit!
		dn.3.next.13^										Я тоже люблю клубы!|Ich liebe Clubs auch!

	dn.3.next.13@22@Очень смешно, Макс! Во-первых, тебя не пустят. Ростом не вышел. А во-вторых, с тобой я не пойду. Просто потому, что в клубы с братьями не ходят!|Sehr witzig, Max! Zuerst einmal wird dich niemand reinlassen, du bist zu klein. Und zweitens, ich gehe nirgendwo mit dir hin. Niemand geht mit seinen Brüdern in die Clubs!
		dn.3.next.14^										Ну и ладно!|Na schön!

	dn.3.next.14@62@Вижу, вы уже нашли общий язык? Ладно. Думаю, ужин закончен. Всем спасибо. Лиза, как всегда, моет посуду, а я пойду поваляюсь в ванне.|Gut, ich denke, das ist das Ende des Essens. Danke an alle. Lisa, wie immer, du spülst ab und ich werde im Bad einweichen....
		leave!time^											Ага, спасибо за ужин.|Ja ja, Dank für das Abendessen



# --- Четвёртый ужин, суббота, Эрик первый раз в гостях|Viertes Abendessen, erstes mit Eric

	dn.4@75@z-dinner-family-2@Я рада, что все мы вместе сегодня смогли собраться. Наконец-то, все познакомились с Эриком!|Ich bin froh, dass wir alle zusammen hier sind, endlich hat jeder Eric kennengelernt!
		dn.4.next.1!set_poss.alpha_1!set_allowdressandswimsuit_1^			<i>далее</i>|<i>fortsetzen</i>

	dn.4.next.1@43@Да, Эрик классный! Кстати, это он мне и посоветовал тот купальник... Вот только мама не дала его купить...|Ja ja, Eric ist großartig! Übrigens, er ist derjenige, der mir einen Bikini empfohlen hat. Zu schade, dass Mom sich entschieden hat, ihn nicht zu kaufen.
		dn.4.next.2^							Какой купальник?|Was für einen Bikini?

	dn.4.next.2@41@Ну тот, дизайнерский какой-то. Он так хорошо на мне сидел. Эрик сказал, что идеально!|Da war dieser Designer, glaube ich. Es sah wirklich gut an mir aus, Eric sagte, es sei perfekt!
		dn.4.next.3^							<i>далее</i>|<i>fortsetzen</i>

	dn.4.next.3@86@Да, купальник был отличный, но я уважаю решение Ани и понимаю, почему не стали покупать. Ну, нет, так нет...|Ja, es war ein toller Bikini, aber ich verstehe Anns Entscheidung.
		dn.4.next.4^							<i>далее</i>|<i>fortsetzen</i>

	dn.4.next.4@75@Спасибо, Эрик. Ты такой заботливый и внимательный...|Danke, Eric. Du bist so freundlich und aufmerksam....
		dn.4.next.5a^							<i>про?олчать</i>|<i>sei ruhig</i>
		dn.4.next.5b^							А меня сейчас стошнит...|Ich muss kotzen....

	dn.4.next.5b@68@Что такое, Макс? Что-то не свежее попалось?|Was? Ist dein Essen schlecht geworden?
		dn.4.next.5a^							Да нет, всё в порядке...|Nein, es ist alles in Ordnung.

	dn.4.next.5a@46@Тем не менее, купальник мне всё ещё нужен. В закрытом я не могу загорать, а очень хочется...|Wie auch immer, ich brauche immer noch den Bikini. Ich kann mich im geschlossenen nicht bräunen.
		dn.4.next.6a^							<i>промолчать</i>|<i>sei ruhig</i>
		dn.4.next.6b^							Да загорай голая!|Du kannst dich nackt bräunen, wenn du willst.

	dn.4.next.6b@44@Очень смешно, Макс. Загорай сам как хочешь, а мне нужен купальник!|Sehr witzig, Max. Du kannst so bräunen, wie du willst, aber ich brauche einen Bikini.
		dn.4.next.6a^							Ну, как хочешь. Моё дело предложить решение...|Ich habe nur versucht zu helfen.

	dn.4.next.6a@87@Лиза, я тебе обещаю, что если вместе поедем на шоппинг через неделю, я тебе куплю отличный купальник. Конечно, не дизайнерский, но красивый и такой, в котором сможешь загорать! Это будет мой подарок тебе.|Ich verspreche dir, Lisa, wenn wir nächste Woche einkaufen gehen, kaufe ich dir einen neuen Badeanzug. Kein Designer, aber es wird süß und offen sein, damit du dich darin bräunen kannst. Es wird mein Geschenk an dich sein.
		dn.4.next.7!set_poss.swimsuit_3^		<i>промолчать</i>|<i>sei ruhig</i>

	dn.4.next.7@69@Эрик, ну не стоит же её так баловать...|Du solltest sie nicht verwöhnen, Eric.
		dn.4.next.8^							<i>далее</i>|<i>fortsetzen</i>

	dn.4.next.8@22@Если что, то мне тоже ничего не купили...|Wir haben auch nichts für mich gekauft....
		dn.4.next.9!add_alisa.mood_-25^			Попрошайка!|Bettler
		dn.4.next.9^							<i>промолчать</i>|<i>sei ruhig</i>

	dn.4.next.9@80@Точно, Алиса. Ты хотела какое-то платье, вроде бы... Верно?|Oh, ja ja, du wolltest auch etwas kaufen, oder?
		dn.4.next.10^							<i>далее</i>|<i>fortsetzen</i>

	dn.4.next.10@62@По заднице она хотела! Платье ей нужно, чтобы по ночным клубам шастать, задом вилять. Я её хорошо знаю. Поэтому, я и была против...|Sie will sich den Arsch versohlen lassen! Sie will ein Kleid, um in die Clubs zu gehen und wer weiß was zu tun. Ich kenne sie und deshalb wollte ich ihr nichts kaufen....
		dn.4.next.11!add_alisa.mood_-50!add_mom.mood_50^	И правильно!|Das ist richtig!
		dn.4.next.11^										<i>промолчать</i>|<i>sei ruhig</i>

	dn.4.next.11@87@Ань, а ты бываешь строгая, как я погляжу... Мне кажется, тебе стоит Алисе разрешить ходить в клубы. К тому же, она почти взрослая...|Du bist manchmal ziemlich streng, Ann.... Ich denke, du solltest Alice in Clubs gehen lassen, sie ist erwachsen.
		dn.4.next.12^							<i>далее</i>|<i>fortsetzen</i>

	dn.4.next.12@73@Ну, Эрик, раз ты так считаешь, то конечно. Я и сама в её возрасте немного шалила...|Okay, Eric, wenn du denkst.... Ich habe auch in ihrem Alter gerne gefeiert....
		dn.4.next.13^							Подробнее, пожалуйста...|Erzähl uns mehr....
		dn.4.next.13^							<i>промолчать</i>|<i>sei ruhig</i>

	dn.4.next.13@31@Эрик! Я тебя обожаю! Тебе удалось переубедить маму! Это невероятно. Спасибо, тебе!!!|Ich liebe dich, Eric! Du hast es geschafft, Moms Meinung zu ändern! Das ist unmöglich, danke!!!!!
		dn.4.next.14^							<i>далее</i>|<i>fortsetzen</i>

	dn.4.next.14@87@Да не стоит, пустяки. А чтобы ваш семейный бюджет не просел, я сам подарю тебе платье для клуба, какое скажешь. Через неделю.\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Mach dir keine Sorgen. Ich kaufe dir nächste Woche ein Kleid, damit deine Mutter nicht zu viel Geld dafür ausgeben muss.\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		dn.4.next.15!set_poss.nightclub_1^		<i>О нет...</i>|<i>Oh nein....</i>

	dn.4.next.15@75@Эрик, ну не стоит, я и сама могу купить ей платье. Просто, переживаю...|Das musst du nicht, Eric, ich kann ihr selbst ein Kleid kaufen. Ich mache mir nur Sorgen um sie.
		dn.4.next.16!add_alisa.mood_-20!add_mom.mood_20^		И правильно делаешь!|Das solltest du auch!
		dn.4.next.16^											<i>промолчать</i>|<i>sei ruhig</i>

	dn.4.next.16@22@Спасибо, Эрик! Ты и правда лучший! Буду ждать следующей субботы!|Danke Eric, du bist der Beste! Ich kann es kaum erwarten!
		dn.4.next.17!adderic^					<i>далее</i>|<i>fortsetzen</i>

	dn.4.next.17@60@Так, ладно. Спасибо всем за ужин. Мы сейчас с Эриком уедем и вернусь завтра утром. Надеюсь, вопросов не возникнет, да? Алиса за старшую, а остальным - не шалите, хорошо?|Okay, danke für das Essen, Leute. Eric und ich gehen, ich komme morgen früh zurück. Alice hat das Sagen, benehmt euch alle.
		dn.4.next.18a^							Повеселитесь там, как следует!|Habt eine schöne Zeit!
		dn.4.next.18b^							Хорошо, мам!|Okay, Mom
		dn.4.next.18c^							А что вы будете делать?|Was werdet Ihr machen?

	dn.4.next.18a@69@Спасибо, Макс за пожелание, конечно. В общем, ведите себя хорошо тут.|Danke, Max. Sei brav.
		eric.main.talk^							Ко?ечно!|Natürlich!

	dn.4.next.18b@75@Вот и молодцы. Давайте не ругайтесь, не ссорьтесь. Если что - звоните, я сразу приеду...|Großartig. Streitet nicht, wenn etwas passiert, ruft mich an und ich bin hier....
		eric.main.talk^							Конечно!|Natürlich!

	dn.4.next.18c@69@Макс, твои глупые вопросы меня смущают. В общем, не теряйте, утром вернусь...|Komm schon, Max, was ist das für eine Frage? Wie auch immer, ich bin morgen früh zu Hause.
		eric.main.talk^							Ладно, мам...|Okay, Mom



# --- Пятый ужин (воскресенье)|5. Abendessen, Sonntag

	dn.5@75@z-dinner-family-1@Молодцы, что все собрались. Всем приятного аппетита!|Danke, dass ihr hier seid, Guten Appetit.
		dn.5.next.1^							Приятного...|Guten Appetit

	dn.5.next.1@41@А что, Эрик сегодня не у нас ночует? Ты вроде говорила, что часто будете видеться?|Und wieso übernachtet Eric heute hier? Hast du nicht gesagt, dass er jede zweite Nacht hier sein wird?
		dn.5.next.2^							Куда уж чаще...|Er ist schon oft genug hier....

	dn.5.next.2@60@Нет, Лиза, хорошего помаленьку... Эрик приедет завтра вечером на ужин и останется у нас с ночевой...|Nein, Lisa, er wird heute nicht hier sein. Eric wird morgen Abend hier sein und über Nacht bleiben.
		dn.5.next.3a^							И чем будете заниматься?|Was wirst du tun?
		dn.5.next.3b^							Отлично!|Großartig!
		dn.5.next.3c^							Зачем он тут нужен?|Warum brauchen wir ihn hier?

	dn.5.next.3a@69@Макс, ну что за вопросы. Ты же не маленький, вроде бы. Должен всё понимать...|Was ist das für eine Frage, Max? Außerdem solltest du dich selbst hören....
		dn.5.next.4a^							Да я шучу...|Ich habe nur Spaß gemacht.

	dn.5.next.3b@75@Ого. Значит, тебе понравился Эрик? Я рада...|Oh, also magst du Eric? Ich bin froh....
		dn.5.next.4b!add_eric.level_1^			Почему понравился? Нормальный мужик...|Warum sollte ich nicht? Er ist okay.
		dn.5.next.4c^							Эрик? Понравился?! Нет, просто рад, что ты дома будешь...|Nein, ich bin nur froh, dass du zu Hause bist.

	dn.5.next.3c@62@Ясно. Ты его всё ещё недолюбливаешь, да?|Also, du magst ihn immer noch nicht besonders, was?
		dn.5.next.4d^							А за что его любить?|Was ist gut an ihm?
		dn.5.next.4e^							Да козёл он!|Er ist ein Idiot!

	dn.5.next.4a@22@Да уж, Макс. Шуточки у тебя просто «отличные»! А мне вот Эрик понравился. Солидный, умный, ответственный мужчина. Маме именно такой и нужен, мне кажется...|Deine Witze sind dumm, Max. Ich mag Eric, er ist ein echter Mann. Ich denke, er ist toll für Mom....
		dn.5.next.5^							<i>далее</i>|<i>fortsetzen</i>

	dn.5.next.4b@31@Ну вот, мы же тебе говорили, что он нормальный, а ты всё ворчал. Вот увидишь, маме именно он и нужен был всё это время!|Siehst du, wir haben dir gesagt, dass er okay ist, aber du würdest uns nicht glauben. Du wirst sehen, er ist toll für Mama!
		dn.5.next.5^							<i>далее</i>|<i>fortsetzen</i>

	dn.5.next.4c@29@Макс, а ты всё ещё придурок... Эрик отлично подходит маме! Он сильный, умный, ответственный, солидный такой и при деньгах. Маме именно такой и нужен!|Hör auf, ein Idiot zu sein, Max. Eric ist toll für Mama! Er ist stark, klug, verantwortungsvoll und reich.
		dn.5.next.5^							<i>далее</i>|<i>fortsetzen</i>

	dn.5.next.4d@26@А тебя за что любить? За то что ты такой... Макс? Я даже не знаю... Этой семье нужен мужчина. А Эрик - он сильный, красивый, умный... Как раз то, что нужно маме!|Was ist gut an dir, Max? Diese Familie braucht einen Mann, und Eric ist stark, gutaussehend, klug.... Er ist toll für Mama!
		dn.5.next.5^							<i>далее</i>|<i>fortsetzen</i>

	dn.5.next.4e@24@Ого! Макс выразил своё авторитетное мнение? Абалдеть! Как был придурком, так и остался. Этой семье нужен сильный мужчина. Эрик именно такой. А ещё он умный и симпатичный. Думаю, маме давно именно его и не хватало...|Oh, wow, Max hat gerade seine super wichtige Meinung geteilt, wir sollten alle zuhören. Du bist der Trottel, Max. Diese Familie braucht einen Mann, und Eric ist stark, gutaussehend, klug.... Er ist toll für Mom!
		dn.5.next.5^							<i>далее</i>|<i>fortsetzen</i>

	dn.5.next.5@75@Спасибо, Алиса, что ты так обо мне заботишься. Да, я тоже думаю, что именно Эрика я и ждала всё это время. Честно говоря, не ожидала даже, что такие мужчины бывают... Но давайте сменим тему. Лизе завтра в школу. Ты готова?|Danke, Alice. Ich stimme zu, fühlt sich an, als hätte ich mein ganzes Leben lang auf Eric gewartet. Ich wusste nicht einmal, dass Männer wie er existieren.... Aber lass uns das Thema wechseln. Lisa, du gehst morgen wieder zur Schule, hast du deine Hausaufgaben gemacht?
		dn.5.next.6^							<i>далее</i>|<i>fortsetzen</i>

	dn.5.next.6@40@Ну, ещё нужно сделать кое-что и да, буду готова. Не переживай, мам...|Nun, ich muss noch etwas tun, aber ich werde bereit sein, keine Sorge, Mom.
		dn.5.next.7^							<i>далее</i>|<i>fortsetzen</i>

	dn.5.next.7@62@Ну не знаю, Лиза. Я всегда преживаю. К тому же, требования в этой школе намного выше, чем в прошлой. Но это не даёт тебе права учиться плохо. Ты меня поняла?|Ich werde mir immer Sorgen machen, Lisa. Zumal Ihre neue Schule viel anspruchsvoller ist als die vorherige. Aber es gibt dir keine Entschuldigung für schlechte Noten, verstehst du?
		dn.5.next.8^							<i>далее</i>|<i>fortsetzen</i>

	dn.5.next.8@46@Да, мам... Я постараюсь. Сделаю всё, что смогу...|Ja, Mom, ich versuche es. Ich werde heute alles tun.
		dn.5.next.9^							А я, если что, помогу...|Und ich kann helfen

	dn.5.next.9@75@Вот и молодцы вы у меня! Ладно, всем большое спасибо за ужин. Было приятно с вами поболтать. А сейчас меня ждёт, как всегда, ванна...|Großartig. Okay, danke für das Abendessen, wir hatten ein nettes Gespräch. Wie immer werde ich jetzt für einige Zeit ein Bad nehmen....
		leave!time^								Ага, всем спасибо...|Ja ja, danke, alle zusammen.



# --- Шестой ужин, понедельник (Эрик)|6. Abendessen, Montag, Eric

	dn.6@75@z-dinner-family-2@Всем добрый вечер и приятного аппетита! Эрик, мы очень рады, что ты смог сегодня к нам присоединиться!|Guten Abend, allerseits und Guten Appetit! Wir sind froh, dich zu haben, Eric!
		dn.6.next.1a!add_eric.level_-2^			Ну, кто рад, а кто...|Nun, einige von uns....
		dn.6.next.1b^							<i>промолчать</i>|<i>sei ruhig</i>

	dn.6.next.1b@83@Макс, мне показалось, или я тебе не очень нравлюсь?|Max, du scheinst mich nicht besonders zu mögen?
		dn.6.next.2d^							Тебе показалось...|Nein, es ist alles in Ordnung.
		dn.6.next.2b^							Думаю, вы слишком торопитесь...|Ich denke, du machst zu schnell.
		dn.6.next.2c^							Просто не нравишься!|Ja ja, Ich mag dich nicht.

	dn.6.next.1a@83@Макс, у нас с тобой какие-то проблемы? Может быть, расскажешь, чем я тебе не нравлюсь?|Hast du ein Problem mit mir, Max? Vielleicht kannst du mir sagen, warum du mich nicht so sehr magst?
		dn.6.next.2a^							Да всё нормально...|Nee, du bist gut.
		dn.6.next.2b^							Вы слишком торопитесь.|Du bist zu schnell.
		dn.6.next.2c^							Просто не нравишься!|Ja ja, Ich mag dich nicht.

	dn.6.next.2a@62@Макс, я тебя не так воспитывала. Будь чуточку дружелюбнее, пожалуйста...|So habe ich dich nicht erzogen, Max. Du solltest höflicher sein.
		dn.6.next.3^							Ладно, ?ам...|Okay, Mom

	dn.6.next.2b@75@Вот в чём дело! Да, я тебя понимаю, Макс. Но ты не переживай и лучше порадуйся за меня. Я очень рада, что встретила Эрика, настоящего мужчину и очень хотела бы, чтобы вы его приняли в семью...|Ich verstehe, Max, aber keine Sorge. Ich bin sehr glücklich, dass ich Eric getroffen habe und ich möchte, dass er sich willkommen fühlt.
		dn.6.next.3^							Хорошо, мам...|Okay, Mom

	dn.6.next.2c@60@Макс! Ты стал вести себя слишком агрессивно. Возможно, это гормоны, а может быть, ты почувствовал какую-то для себя угрозу со стороны Эрика. Но уверяю тебя, не стоит. Эрик очень хороший, ты сам это поймёшь!|Du bist zu aggressiv, Max! Vielleicht sind es nur Hormone, oder Vielleicht fühlst du dich von Eric bedroht, aber ich versichere dir, das solltest du nicht. Eric ist ein sehr guter Mensch, du wirst es mit der Zeit sehen.
		dn.6.next.3^							Как скажешь, мам...|Okay, Mom

	dn.6.next.2d@62@Вот видишь, Эрик, а ты переживал. Макс просто не сразу принимает новых людей, но как видишь, это не проблема. Да, Макс?|Siehst du, Eric, du hättest dir keine Sorgen machen sollen. Max öffnet sich nicht sofort, aber es gibt kein Problem, oder, Max?
		dn.6.next.3^							Да, м?м...|Ja, Mom

	dn.6.next.3@67@Вот и замечательно. Теперь я хотела бы рассказать об одной идее Эрика. Я и сама о подобном задумывалась, но он озвучил мои мысли. Эрик, может быть ты и расскажешь?|Großartig. Jetzt möchte ich über Erics Idee sprechen. Ich habe schon darüber nachgedacht, aber er war derjenige, der sie geäußert hat, also bist du derjenige, der es sagt?
		dn.6.next.4^							Какая ещё идея?|Was für eine Idee?

	dn.6.next.4@87@Конечно, Макс ещё не совсем мужчина, но он уже в подходящем возрасте для специального подросткового лагеря...|Max ist etwa im richtigen Alter für ein besonderes Camp....
		dn.6.next.5^							Чего чего? Какого ещё лагеря?!|Welches Lager!?

	dn.6.next.5@86@Военного. В этом лагере подготавливают детей твоего возраста к службе в армии. Это не значит, что ты обязан будешь идти служить, но тебя к этом подготовят и ты сам решишь, нравится тебе этот путь или нет...|Militärische. In diesem Lager bereiten sie Jugendliche auf den Militärdienst vor. Das bedeutet nicht, dass Sie in Dienst gehen müssen, aber es wird Sie darauf vorbereiten, und Sie werden entscheiden, ob Sie es wollen oder nicht....
		dn.6.next.6^							Стоп. А если я уже знаю, что не хочу?|Was, wenn ich bereits weiß, dass ich nicht will?

	dn.6.next.6@87@Как ты можешь это знать заранее? Ты же не пробовал! Там готовят настоящих будущих мужчин. Дисциплина, физическая подготовка, субординация. Знакомые слова?|Wie kann man das im Voraus wissen? Du hast es nicht mal versucht! Sie bereiten zukünftige Männer vor. Disziplin, körperliches Training, Unterordnung. Kennst du diese Worte?
		dn.6.next.7^							Нет, но они мне не нравятся!|Ja, und ich mag sie nicht!

	dn.6.next.7@81@А зря. Хотя ваша мама и воспитала вас очень хорошо, ну некоторых точно. Но она воспитывала одна, а для того, чтобы мальчик стал настоящим мужчиной, нужно строгое, мужское воспитание. Вот в этом лагере его можно получить.|Solltest du aber. Obwohl Mutter dich sehr gut erzogen hat, zumindest ein Teil von dir, hat sie dich allein erzogen, und um einen Jungen zu einem echten Mann zu erziehen, sollte es strenge, männliche Hilfe geben. Im Lager kann man es bekommen.
		dn.6.next.8^							Что-то хрень какая-то, эта ваша идея...|Diese Idee klingt ziemlich beschissen....

	dn.6.next.8@62@Макс, что за слова! Ты всем своим видом доказываешь, что Эрик был прав. Тебе и правда не помешает набраться немного дисциплины. Конечно, я бы не хотела, чтобы ты пошёл в армию, но как минимум пусть тебе дадут все необходимые навыки и знания...|Max, was sagst du da? Du beweist, dass Eric Recht hat. Du brauchst wirklich ein bisschen Disziplin. Natürlich würde ich nicht wollen, dass du zur Armee gehst, aber zumindest werden sie dir alle notwendigen Fähigkeiten und Kenntnisse vermitteln....
		dn.6.next.9^							Я против.|Ich bin dagegen.

	dn.6.next.9@86@Ну, как я и ожидал... И как же ты станешь настоящим мужчиной? Драться ты не умеешь, наверняка. Физическая подготовка? Ты зарядку хотя бы делаешь? Про дисциплину, вообще, молчу...|Nun, wie ich erwartet hatte.... Und wie willst du ein richtiger Mann werden? Du kannst definitiv nicht kämpfen. Körperliches Training? Hebst du überhaupt? Ich will nicht mal über deine Disziplin reden....
		dn.6.next.10^							Я уже мужик!|Ich bin jetzt schon ein Mann!

	dn.6.next.10@87@О да. Ну, посмотрим. Я ещё всё выясню про этот лагерь, когда у них ближайший набор, а в твоих силах пока есть время, доказать поступками, что ты уже мужик и не нуждаешься в этом лагере. Всё в твоих руках...|Ja, ja, richtig. Wir werden sehen. Ich werde immer noch alles über dieses Camp herausfinden, wenn das nächste Mal eingeschrieben wird, und solange es Zeit ist, kannst du durch deine Aktionen beweisen, dass du bereits ein Mann bist und dieses Camp nicht brauchst. Das liegt bei dir....
		dn.6.next.11c^							И кто будет решать - в лагерь меня или пока не надо?|Und wer entscheidet - ob ich ins Lager gehe oder nicht?

	dn.6.next.11c@62@Решать буду я. Не могу сказать, что у меня есть серьёзные претензии к твоему поведению в данный момент, но иногда ты перегибаешь палку. Так что, я дам тебе время себя проявить. Если не будешь испытывать моего терпения, то повременим с этим лагерем. Ну а если я пойму, что пора, то уж извини...|Ich werde mich entscheiden. Ich kann nicht sagen, dass ich ernsthafte Probleme mit deinem Verhalten habe, aber manchmal gehst du zu weit. Also gebe ich dir Zeit, dich zu beweisen. Wenn du meine Geduld nicht auf die Probe stellst, warten wir ein wenig mit diesem Lager. Und wenn ich entscheide, dass es Zeit ist, dann bist du selbst schuld.
		dn.6.next.12^							Я понял. Буду вести тебя хорошо...|Ich verstehe. Ich werde mich benehmen.

	dn.6.next.12@75@Вот и молодец, Макс. А тебе, Эрик, спасибо за этот совет. Теперь хотя бы будет какой-то способ воздействовать. А то порка не даёт того эффекта, на который я привыкла рассчитывать...|Gut. Und danke für den Rat, Eric. Jetzt wird es zumindest einen Weg geben, um Max zu beeinflussen. Ich glaube nicht, dass schlagen gut genug funktioniert.
		dn.6.next.13^							<i>промолчать</i>|<i>sei ruhig</i>

	dn.6.next.13@81@Да? Странно. Обычно она всегда помогает. Хотя, мне кажется, что ты делаешь это не так. Вот скажи, ты же стараешься просто шлёпать как можно сильнее, думая, что это всё что требуется, верно?|Seltsam. Normalerweise hilft es immer. Ich bin mir nicht sicher, ob du es richtig machst. Sag mal, du versuchst einfach, so hart wie möglich zu verhauen, oder?
		dn.6.next.14^							Может, сменим тему? Мне эта что-то не нравится...|Vielleicht sollten wir das Thema wechseln? Ich bin nicht der aktuelle....

	dn.6.next.14@69@Ну, да... Потом вся ладошка болит... А разве я делаю это не так? Или в чём хитрость?|Nun, ja.... Dann tut die ganze Handfläche weh.... Mache ich es falsch? Was ist der Trick?
		dn.6.next.15^							Определённо, мне это всё не нравится...|Das gefällt mir definitiv nicht....

	dn.6.next.15@87@Гораздо больший эффект оказывает окружение и условия, при которых происходит наказание. Я тебе потом обо всём подробно расскажу. Думаю, пока дети не готовы об этом услышать, тем более вот так за ужином...|Das Umfeld und die Bedingungen, unter denen die Bestrafung stattfindet, haben eine viel größere Wirkung. Ich erzähle dir später alles im Detail. Wir sollten dieses Gespräch nicht vor den Kindern führen, besonders nicht während des Essens....
		dn.6.next.16^							Точно, это всё дурно пахнет...|Ja ja, das stinkt....

	dn.6.next.16@75@Хорошо, Эрик. Будет очень интересно узнать о правильной методике наказания. Ты такой умный, всё по полочкам раскладываешь... И где ты был всю мою жизнь...|Okay, Eric. Es wird sehr interessant sein, die richtige Art der Bestrafung kennenzulernen. Du bist so klug, du klärst alles.... Wo warst du mein ganzes Leben lang....
		dn.6.next.17^							Да завязывайте, уже!|Hör schon auf damit!

	dn.6.next.17@62@Вот Макс в очередной раз доказал, что моё воспитание недостаточно строгое... Ладно. Вижу, все уже закончили ужин. Всем больше спасибо, я пойду приму душ, может быть ванну...|Max hat wieder einmal bewiesen, dass meine Strafen nicht streng genug sind.... Okay. Ich sehe, dass alle schon mit dem Essen fertig sind. Danke euch allen, ich werde ein Bad nehmen....
		leave!time^								Спасибо за ужин...|Danke fürs Abendessen....



# --- Одиннадцатый ужин, (суббота), Эрик. Перед разговором о том, как быть дальше|11. Abendessen, Samstag, Eric. Abendessen vor dem Gespräch über die Annahme oder Ablehnung von Erics Freundschaft

	dn.11@75@z-dinner-family-2@Всем добрый вечер и приятного аппетита! Сегодня мы с Эриком снова уедем, вернусь завтра. Но вы уже привыкли к этому, правда?|Guten Abend, allerseits, und Guten Appetit. Bald werden Eric und ich wieder gehen, ich komme morgen wieder. Du bist das wahrscheinlich schon gewohnt, oder?
		dn.11.next.1^							<i>далее</i>|<i>fortsetzen</i>

	dn.11.next.1@33@Конечно, езжайте, развеятесь хоть...|Natürlich, amüsier dich gut.
		dn.11.next.2^							Это ты так рада из-за платья?|Bist du glücklich, weil du das Kleid bekommen hast?

	dn.11.next.2@22@Макс! Из-за платья я в восторге! Да и за маму рада, что отдохнут от работы...|Max! Ich bin <b>wirklich</b> glücklich über das Kleid! Und ich freue mich auch für Mom, sie sollte sich nach der Arbeit entspannen....
		dn.11.next.3^							<i>далее</i>|<i>fortsetzen</i>

	dn.11.next.3@41@А ты сразу в клуб, да?|Und du gehst in den Club, richtig?
		dn.11.next.4^							Вот-вот...|Ja ja, das ist richtig....

	dn.11.next.4@62@Алиса, это правда? Ты сегодня в клуб собралась?|Ist das wahr, Alice? Gehst du später in den Club?
		dn.11.next.5^							<i>далее</i>|<i>fortsetzen</i>

	dn.11.next.5@22@Мам, нет конечно. Я в пятницу вечером с подругой пойду. Могла бы и сегодня, раз есть теперь в чём идти, но...|Natürlich nicht, Mom. Ich gehe Freitagabend mit meinem Freund. Ich könnte auch heute gehen, da ich jetzt ein Kleid habe, aber....
		dn.11.next.6^							<i>далее</i>|<i>fortsetzen</i>

	dn.11.next.6@75@Лучше бы делом занялась. На курсы подготовительные пошла бы, может быть, и поступить смогла бы куда-то...|Du solltest stattdessen etwas Nützliches tun. Warum versuchst du nicht, an eine Universität zu kommen?
		dn.11.next.7^							<i>далее</i>|<i>fortsetzen</i>

	dn.11.next.7@87@А что, Алиса, отличная идея. Если проблема с деньгами какая-то, то это не проблема, я помогу и даже организую всё...|Das ist eine tolle Idee, Alice, wenn du das Geld brauchst, könnte ich dir mit dem Geld und der Organisation helfen.
		dn.11.next.8^							<i>далее</i>|<i>fortsetzen</i>

	dn.11.next.8@75@Эрик, ну что ты! Мы сами справимся. Особенно, когда ты меня так... повысил. К тому же, пусть своим умом поступает, а не нашими кошельками...|Danke, Eric, aber das solltest du nicht. Das sollten wir selbst machen, besonders jetzt, wo du mich befördert hast....
		dn.11.next.9^							<i>промолчать</i>|<i>sei ruhig</i>

	dn.11.next.9@41@А у тебя, Эрик, есть высшее образование?|Hast du eine höhere Ausbildung, Eric?
