# --- Макс открывает ноутбук|Max opens his notebook

	pornocam.1.step.9@22@Так ты дашь денег или нет?|Willst du mich zum dr?ber nachdenken bringen oder bekomme ich das Geld jetzt?
		money>149&pornocam.1.step.10!add_money_-150^		Ну, держи...|Na gut, okay...
		pornocam.1.step.10b^								Нет!|Nope!

	pornocam.1.step.10b@20@Нет? Почему?|Wie nein? Warum nicht?
		pornocam.1.step.11a^		Потому, что ты торгуешься. И ничем не отличаешься от остальных...|Weil du mir nur das Geld aus den Taschen ziehen willst, du bist so wie die Schlampen vor denen du dich abgrenzen willst.

	pornocam.1.step.10@31@Спасибо, Майк! Ты - настоящий мужчина. А не то, что эти...|Danke Mike, du bist ein richtiger Mann. Nicht wie all die Creeps hier...
		pornocam.1.step.11b^		Так а где сиськи?|Darf ich deine Brueste sehen?

	pornocam.1.step.11b@31@n-cam-4@Ах да, чуть не забыла... Ну, вот. Больше не покажу. Но я разделась для тебя. Ты мой первый... Нравится?|Oh, stimmt hier dein Preis...hätte es fast vergessen. Aber mehr bekommst du nicht zusehen, ich habe mich ja schon f?r dich ausgezogen. Magst du meine Brueste...du siehst sie hier als Erster!
		pornocam.1.step.12^			О да, ты - супер!|Ohja, du siehst geil aus!

	pornocam.1.step.11a@22@n-cam-4@Ну... Ладно. Смотри. И заметь, я это сделала не за деньги! Так что бери свои слова насчёт... остальных!|Na gut, schau genau hin...und denk dran, ich habe es umsonst gemacht! Also nimm es zurueck, dass ich wie der Rest von denen bin!
		pornocam.1.step.12^			Извини, ты и правда не такая!|Tut mir leid, du bist echt anders!

	pornocam.1.step.12@21@Спасибо. Ну всё, мне пора... До встречи, Майк!|Danke, naja ich muss jetzt auch los...bid sp?ter Mike!
		leave!set_alisablog_2!time^		Пока, Мелисса!|Tschuess, Melissa!



# --- 0.4: Третий визит на сайт Алисы|3.Chat mit Alice

	pornocam.2.step.2@21@n-cam-2@Приветик! Как дела?|Hey, na wie geht's dir?
		pornocam.2.step.3^			Супер! Ну, что сегодня покажешь?|Super! Was machst du heute in der Show?

	pornocam.2.step.3@22@Вот так с порога? Не стыдно? Я тут сидела, тебя ждала, а ты... Но я тебя побалую сегодня. И заметь, совершенно бесплатно!|Wird das jetzt immer das Erste sein was du zusagen hast? Ich sitze hier schon eine Weile rum und du...naja egal. Ich wollte die heute einbisschen verfuehren, natuerlich ohne Gegenleistung.
		pornocam.2.step.4^			Ого! Давай!|Wow! Das ist ja eine Begruessung!

	pornocam.2.step.4@21@n-cam-4@Вот. И не говори, что я проститутка... Всё абсолютно бесплатно!|Also gute, schau genau hin. Und wehe du vergleichst mich wieder mit den anderen Cam-Girl's. Es hat dich schliesslich nicht einen Cent gekostet!
		pornocam.2.step.5^			А где кидают?|Und wo ist da der Haken?

	pornocam.2.step.5@22@Почему сразу кидают? Нет... Но я подумала, что если хочешь увидеть больше, то...|Kein Haken, aber wenn es dir gefallen hat und du vielleicht nich mehr sehen willst, dann...
		pornocam.2.step.6^			Ага. Значит, это демо-версия...|Okay, also das war nur zum anfuettern...

	pornocam.2.step.6@21@Не знаю что такое демо-версия, но думаю, что ты всё понял...|Keine Ahnung was du jetzt meinst, aber es sollte klar sein was ich daf?r moechte.
		pornocam.2.step.7^			И что я увижу?|Okay, aber was bekomme ich im Gegenzug?

	pornocam.2.step.7@22@Смотря сколько заплатишь...|Das haengt natuerlich immer von der Hoehe deiner Spende ab...
		pornocam.2.step.8^			Ты же ещё недавно говорила, что так говорят... проститутки?|Hast du nicht noch ebend gesagt, nur Schlampen w?rden sowas annehmen?

	pornocam.2.step.8@20@Ну, как хочешь... Я не настаиваю...|Na gut, es bleibt ja die ?berlassen...
		pornocam.2.step.9a^						Извини, денег нет...|Tut mir leider, aber aktuell hab ich kein Geld ?ber.
		money>49&pornocam.2.step.9b^			И что я увижу, допустим, за $50?|Und was zeigst du mir f?r sagen wir 50$?

	pornocam.2.step.9a@20@Ладно, тогда до встречи. Мне пора...|Okay, schade. Ich muss eh los, tschuess...
		leave!set_alisablog_3!time^			Стой!|Wait!

	pornocam.2.step.9b@22@За $70 я покажу тебе чуть больше... Но если не хочешь...|Ich Könnte dir f?r 70$ etwas zeigen, aber das liegt ganz bei dir...
		pornocam.2.step.9a^								Нет, не буду платить!|Nein, das ist mir zuviel!
		money>69&pornocam.2.step.10!add_money_-70^		Ладно, вот тебе $70|Na gut, einverstanden. Hier die 70$!

	pornocam.2.step.10@31@n-cam-5@Молодец, Макс!Na toll Max!
		pornocam.2.step.11^			Макс?!|Max!?

	pornocam.2.step.11@26@Ой, извини... Так зовут одного бестолкового... знакомого. Извини, Майк!|Oh, tut mir leid...das ist nur der Name eines dummen...Bekannten von mir. Stoer dich nicht weiter dran Mike.
		pornocam.2.step.12^			Я не бестолковый!|Ich bin nicht bloed!

	pornocam.2.step.12@21@Конечно, нет. Ты нет, а вот он да... Ну что, доволен шоу?|Natuerlich nicht du sondern er ist nicht ganz der Hellste...wie fandest du eigentlich die Show?
		pornocam.2.step.13^			Ну можно было бы больше показать...|Naja du hättest mir schon einbisschen mehr zeigen Können...

	pornocam.2.step.13@31@Ты знаешь. В следующий раз я тебе покажу больше... Даже продемонстрирую новое бельишко... Если придёшь...|Okay, weisst du was, beim n?chsten Mal werde ich dir mehr zeigen...ich werde dir eine neue Lingerie von mir zeigen...aber nur wenn du auch da bist, versteht sich...
		pornocam.2.step.14^			Конечно, приду!|Klar, das verpasse ich bestimmt nicht!

	pornocam.2.step.14@21@Вот и договорились. А сейчас мне пора. До встречи!|Also haben wir einen Deal, ich muss jetzt los. Bis dann!
		leave!set_alisablog_3!time^			Пока!|Ciao!



# --- 0.4: Периодический эвент, пока Макс не заплатит $200 за то, чтобы Алиса переоделась в боди и не покрутилась перед ним|sich wiederholendes Event bis Max Alice bezahlt in den Body zuwechseln

	pornocam.3.step.2@21@n-cam-2@Приветик, Майк! Как дела?|Hallo Mike, wie fuehlst du dich heute?
		pornocam.3.step.3^								Отлично! Чем сегодня порадуешь?|Mir geht es wie immer Top, was machst du heute?

	pornocam.3.step.3@22@Ты знаешь, у меня есть кое-что из новой одежды... Красивое откровенное боди... тебе понравится. Но просто так я его тебе не покажу...|Ich hätte etwas neues zum zeigen...einen wunderschoenen und offenherzigen Body...den du lieben wirst. Den kann ich dir aber nicht einfach so zeigen...
		pornocam.3.step.4^								Сколько?|Okay, wieviel willst du?

	pornocam.3.step.4@31@Сколько не жалко. Я не жадная...|Was ist es dir den wert? Ich bin ja nicht gierig.
		money>69&pornocam.3.step.5a^					$70!|$70!
		money>149&pornocam.3.step.5b^					$150!|$150!
		money>199&pornocam.3.step.6c!add_money_-200^	$200!|$200!
		pornocam.3.step.5d^								Не интересно...|Nope, kein Interesse

	pornocam.3.step.5d@21@Ах так? Ну, тогда пока. У меня ещё дела...|Achso, na gut. Bis sp?ter dann, ich muss noch Sachen erledigen...
		leave!time^										Но...|Aber...

	pornocam.3.step.5a@26@Вот так ты меня оцениваешь? Я готова ради тебя переодеться, показать кое-что, а ты... Эх, Майк...|Achso, das bin ich dir also Wert? Ich bin gewollt dir etwas neues zu zeigen und du...Oh,Mike...
		money>149&pornocam.3.step.5b^					Ну, тогда $150!|Na gut, wie wäre es mit 150$ dann?
		money>199&pornocam.3.step.6c!add_money_-200^	Может быть... $200!|Vielleicht f?r 200$?
		pornocam.3.step.5d^								Нет, не интересно...|Nein, kein Interesse.

	pornocam.3.step.5b@33@Хм... предложение заманчивое... Я подумаю над ним... Может быть $200?|Hm...schon nicht schlecht...lass mich dar?ber nachdenken...vielleicht f?r 200$?
		pornocam.3.step.6a^								Слишком дорого за картинку на экране...|Also das ist mir echt zuviel f?r einbisschen Haut auf der Bildschirm.
		pornocam.3.step.6b^								Никто столько не платит за эротику через вебкамеры!|Niemand w?rde soviel f?r eine Webcam-Show ausgeben!
		money>199&pornocam.3.step.6c!add_money_-200^	Ладно, пусть $200|Na gut, hier deine 200$

	pornocam.3.step.6a@22@n-cam-1@Значит, тебе жалко каких-то $200 для такой девушки как я? Эх, Майк... Я думала, что ты другой... Ладно. Удачи!|Also du willst echt nicht f?r so eine h?bsche Frau wie mich 200$ springen lassen? Ich hätte echt gedacht, dass du anders bist Mike...schade, eine gute Nacht dir.
		leave!time^										Стой!|Warte!

	pornocam.3.step.6b@22@n-cam-1@А я и не такая, как эти проститутки на соседних каналах... Ты разве этого не заметил? Эх ты... Ладно, подумай ещё. А мне пора...|Ich bin nicht wie die anderen Schlampen hier auf der Seite...das sollte dir doch wohl aufgefallen sein! Denk am Besten dar?ber nochmal an, ich gehe jetzt.
		leave!time^										Но...|Aber...

	pornocam.3.step.6c@31@n-cam-3@Вот! Это другое дело! Так, сейчас я переоденусь и покажу тебе кое-что...|Yippie! Warte kurz, ich zieh mich schnell um...
		pornocam.3.step.7^								Супер! Жду...|Ich bin gleich wieder da.

	pornocam.3.step.7@21@n-cam-6@Ну, как тебе? Нравится?|Und wie findest du es?
		pornocam.3.step.8^								О-очень!|Ohh, ja!

	pornocam.3.step.8@22@Наряд... Или я?|Was magst du mehr, die Unterwäsche oder mich...
		pornocam.3.step.9^								И ты и наряд! А снять его можешь?|Beides ist geil, kannst du sie nicht noch ausziehen?

	pornocam.3.step.9@31@Ой, Майк, у тебя никаких денег не хватит. Я и то свою грудь никому не планировала показывать... Но ты меня убедил. Что-то есть в тебе такое...|Dazu hast du nicht gen?gend Geld Mike! Eigentlich wollte ich mich hier nicht nackt zeigen...aber du hast mich ja schon ?berzeugt meine Brueste zuzeigen. Hm, irgendwas hast du an dir...
		pornocam.3.step.10^								Деньги?|gen?gend Geld?

	pornocam.3.step.10@22@Всё, Майк, пока. Ты увидел достаточно... А мне пора...|Vielleicht...es ist aufjedenfall genug gewesen f?r heute Mike. Ich muss los.
		leave!set_alisablog_4!time^						Пока...|Bye



# --- 0.4: Следующий периодический эвент, где Максу надо заплатить уже $500 за то, чтобы Алиса разделась|sich wiederholendes Event, Max muss 500$ zahlen damit sich Alice auszieht

	pornocam.4.step.2@21@n-cam-2@Приветик, Майк! Я по тебе скучала...|Hi Mike, ich hab dich schon vermisst...
		pornocam.4.step.3^								Я тоже...|Ich dich auch.

	pornocam.4.step.3@31@Подожди, я для тебя переоденусь. Тебе же понравилось в прошлый раз?|Warte kurz, ich zieh mich f?r dich um. Du mochtest doch mein Outfit vom letzten Mal, oder?
		pornocam.4.step.4^								Конечно, жду...|Auf jeden Fall warte ich.

	pornocam.4.step.4@33@n-cam-7@Так же намного лучше, верно?|So, das ist doch gleich viel besser?
		pornocam.4.step.5^								Однозначно!|Ohhja, definitiv!

	pornocam.4.step.5@31@Может быть... Я ещё могу тебе ещё как-то помочь?|Kann ich vielleicht noch mehr f?r dich tun?
		pornocam.4.step.6^								Ну, раздеться...|Ja, du Könntest es noch komplett ausziehen...

	pornocam.4.step.6@22@n-cam-6@Майк... Тебе не стыдно предлагать такое девушке, ведь мы едва знакомы...|Hey, schaemst du dich den garnicht einer Dame sowas vorzuschlagen? Wir kennen uns ja kaum...
		pornocam.4.step.7^								Сколько?|Wieviel willst du denn dafür?

	pornocam.4.step.7@21@$350.|$350.
		money>249&pornocam.4.step.8a!add_money_-350^	Отправляю $350...|Hier sind 350$...
		pornocam.4.step.8b^								С ума сошла!|Bist du verrueckt?
		pornocam.4.step.8c^								Да я за $350 проститутку сниму!|Dafür kann ich mir eine Hure kaufen!
		pornocam.4.step.8d^								Ну $350 дорого. Может, 200?|Das ist doch einbisschen viel, warum einigen wir uns nicht auf 200$?

	pornocam.4.step.8b@26@А я для тебя переодевалась... Почти разделась, а ты... Ладно, удачи...|Und ich ziehe mich extra für dich um...und bin fast nackt, aber du... Na gut, wie du willst, dann eben Tschuess.
		leave!time^										Блин!|Mist!

	pornocam.4.step.8c@26@Так чего же ты ждёшь? Иди, заказывай, раз считаешь, что они лучше меня... А мне с тобой не о чем разговаривать...|Na worauf wartest du dann? Mach es doch, wenn du scheinbar damit besser dran bist als mit mir...Ich habe dir nichts mehr zusagen...
		pornocam.4.step.8d^								Ну $350 дорого. Может, 200?|350$ ist schon eine Stange Geld, warum nicht 200$?

	pornocam.4.step.8d@22@Нет, Майк. Я с тобой торговаться не буду. И то перед тобой сверкаю сиськами, хотя ты ничего мне сегодня не заплатил... Пойду я. Что-то настроение пропало...|Nein Mike! Ich werde hier nicht mit dir feilschen. Du hast meine Titen heute schon für lau gesehen und garnichts bezahlt...Ich sollte jetzt echt gehen, weil Lust mit dir zureden habe ich auch keine mehr...
		leave!time^										Блин!|Upps, blöd gelaufen.

	pornocam.4.step.8a@31@Майк, ты - настоящий мужчина! И сейчас я сделаю тебе приятно...|Du weisst wie man es macht Mike! Ich werde dir gleich etwas besonderes zeigen, sei gespannt...
		pornocam.4.step.9^								Супер!|Geil!

	pornocam.4.step.9@33@n-cam-9@Ты доволен, Майк? Я это делаю для тебя... и только для тебя!|Na bist du jetzt gluecklich Mike, alles deins!
		pornocam.4.step.10!add_count.alisa.camnaked_1!max_poss.blog_12^	Я это ценю!|Ich bin hin und weg! Echt Sexy!

	pornocam.4.step.10@21@Приходи ещё на мой канал. Кто знает, может быть ты и не такое увидишь...|Du musst nur oefters zu mir auf den Kanal kommen, wer weis vielleicht wirst du noch viel mehr hier sehen...
		pornocam.4.step.11^								Так покажи сейчас!|Wie wäre es mit einer kleinen Kostprobe schon jetzt?

	pornocam.4.step.11@22@Боюсь, у тебя денег не хватит... Тебе нужно немного подкопить...|Ich denke, du kannst dir es gerade noch nicht leisten...spar einbisschen bis zum nächsten Mal...
		pornocam.4.step.12^								Откуда ты знаешь? Всё у меня есть!|Woher willst du das denn wissen? Ich habe mehr als genug!

	pornocam.4.step.12@23@Ой... Кажется, кто-то идёт. Ну всё, мне пора! Целую, Майк!|Oh da scheint jemand zukommen, ich muss los. Küsschen Mike.
		leave!set_alisablog_5!time^						Пока!|Ciao.



# --- 0.4: Последний на данный момент комплексный периодический эвент, где можно попросить Алису переодеться, раздеться и всё такое|sich wiederholendes Event mit mehreren Auswahlmöglichkeiten

	pornocam.5.step.2@21@n-cam-2@Приветик, Майк! Соскучился?|Hey Mike, na wartest du schon lange auf mich?
		pornocam.5.step.3^									Ага... Что сегодня покажешь?|Jupp...was machen wir den heute so?

	pornocam.5.step.3@31@Всё, что захочешь... Но в разумных пределах, конечно...|Alles was du magst...solange es im Rahmen bleibt.
		pornocam.5.step.4^									А чего не раздеваешься?|Warum ziehst du dich dann nicht aus?

	pornocam.5.step.4@22@n-cam-1@Просто так? Ну не знаю... Может быть, если ты немного поможешь бедной девушке, то...|Einfach so? Ich weis nicht...vielleicht wenn du einen armen Mädchen helfen kannst...
		pornocam.5.step.5^									Бедной?!|Wie armes Mädchen?

	pornocam.5.step.5@31@n-cam-3@Майк! Не прикапывайся к словам. У меня сейчас мало времени, так что я могу сделать только что-то одно... Но вот что никак не могу решить... Может быть, это сделаешь ты?|Tu nicht so Mike, du weisst was ich meine!\nIch habe heute auch nicht viel Zeit, also kannst ich nur einwas machen...aber ich kann mich nicht entscheiden, vielleicht kannst du mir ja dabei helfen?
		pornocam.5.step.6a^									Сними верх...|Zieh dein Top aus...
		pornocam.5.step.6b^									Надень тот боди|Zieh den Body an...
		pornocam.5.step.6c^									Сними всё!|Zieh dich ganz aus...

	pornocam.5.step.nomoney@22@Как скажешь, Майк. Но учти - другого раза может и не быть... Ладно, мне уже пора. Целую!|Na gut, wie du magst Mike, aber denk dran: vielleicht gibt es kein nächstes Mal...ich muss los, kuesschen!
		leave!time^											Пока!|Tschuess

	pornocam.5.step.6a@21@Для тебя со скидкой, как постоянному клиенту, это будет... $30. И не торгуйся!|Gut, da du ja ein Stammkunde bist, bekommst du einen Rabatt...sagen wir 30$ als letzter Angebot!
		money>29&pornocam.5.step.notop.1!add_money_-30^		Хорошо, снимай!|Okay Deal, zieh es aus.
		pornocam.5.step.nomoney^							Давай в другой раз...|Vielleicht ein anderes Mal...

	pornocam.5.step.6b@21@Для тебя со скидкой, как постоянному клиенту, это будет... $70. И не торгуйся!|Du bist ja ein guter Stammkunde, daher bekommst du auch einen Rabatt...70$ ist mein letztes Angebot.
		money>69&pornocam.5.step.body.1!add_money_-70^		Хорошо, надевай!|Das ist okay, hier das Geld.
		pornocam.5.step.nomoney^							Давай в другой раз...|Nein, ein andermal...

	pornocam.5.step.6c@21@Для тебя со скидкой, как постоянному клиенту, это будет... $150. И не торгуйся!|für Stammkunden wie dich kann ich auch einbisschen weniger machen...einigen wir uns doch auf 150$.
		money>149&pornocam.5.step.nude.1!add_money_-150^	Хорошо, раздевайся!|Okay, aber wie versprochen alles ausziehen.
		pornocam.5.step.nomoney^							Давай в другой раз...|Heute eher nicht...

	pornocam.5.step.notop.1@33@n-cam-4@Ну как, ты доволен, Майк? Хочешь ещё чего-нибудь?|So Mike, bist du jetzt zufrieden, oder magst du noch mehr?
		pornocam.5.step.notop.2^							Покрутись-ка...|Dreh dich bitte um...

	pornocam.5.step.notop.2@31@n-cam-5@Нравится? Если захочешь ещё чего-то - ты знаешь, где меня искать...|Und magst du es? Wenn du mehr willst, weisst du ja wo ich zufinden bin...
		pornocam.5.step.end^								Ага. Совершенно точно знаю где...|Jupp, ich weis genau wo ich dich finden kann...

	pornocam.5.step.body.1@33@n-cam-7@Это то, чего ты хотел, Майк? Может быть... Что-то ещё могу для тебя сделать?|Ist es so Recht Mike? Oder soll ich noch etwas anderes machen?
		pornocam.5.step.body.2!add_count.alisa.camnaked_1!max_poss.blog_12^	Может быть...|Hm, vielleicht...

	pornocam.5.step.body.2@31@n-cam-6@Ты долго думаешь, Майк... А у меня так мало времени... Но ты всегда можешь меня найти. Ты знаешь как, верно?|Du brauchst wieder zulange Mike...ich habe heute nicht soviel Zeit...du weisst ja wo du mich finden kannst,oder?
		pornocam.5.step.end^								О да. Я точно знаю как...|Ohh ja, ich weis wo du zufinden bist, na gut bis dann.

	pornocam.5.step.nude.1@33@n-cam-10@Ну всё, Майк, я вся твоя. Скрывать почти нечего... Чем ещё я могу тебя порадовать?|So das war's Mike, ich bin ganz dein. Und es ist ja noch kaum etwas uebrig zum bedecken...kann ich sonst noch etwas tun?
		pornocam.5.step.nude.2^								Может быть... ножки раздвинешь?|Könntest du vielleicht...deine Beine spreizen?

	pornocam.5.step.nude.2@21@Какой же ты джентльмен после этого, Майк... Но для тебя я готова сделать даже это!|Hey, das ist aber nicht sehr Gentlemen like, was du da willst Mike. Aber ich wäre bereit auch dies zumachen...
		pornocam.5.step.nude.3^								Ого! Давай!|Wow! Na dann los!

	pornocam.5.step.nude.3@22@С тебя ещё $50...|Das kostet dich nochmal 50$...
		money>49&pornocam.5.step.nude.4!add_money_-50^		Конечно, держи!|Klar, hier hast du es!
		pornocam.5.step.end^								Ой, нет, в другой раз...|Upps, leider nicht heute, ein andermal vielleicht...

	pornocam.5.step.nude.4@33@n-cam-11@Пожалуйста... Как я и обещала... Смотри...|Okay, wie versprochen...schau genau hin...
		pornocam.5.step.nude.5^								Эй! Ничего же не видно!|Ey, ich kann garnichts sehen!

	pornocam.5.step.nude.5@22@Да? Очень жаль... Видимо, камера слишком высоко... Но опустить её ниже стоит... Ой, не скажу...|Kannst du nicht? Huch, da muss wohl der Winkel der Webcam zu hoch sein...ich Könnte ihn ja verstellen...aber das kostet dich was...nur was sage ich dir heute nicht...
		pornocam.5.step.nude.6a^							Верни мои деньги тогда!|Gib mir mein Geld wieder, das ist Betrug!
		pornocam.5.step.nude.6b^							Очень жаль...|Zu schade...

	pornocam.5.step.nude.6a@30@n-cam-10@Ах так? Это была честная сделка! Какой же ты скряга... Ладно, мне пора, Майк. Надеюсь, ты одумаешься в следующий раз...|Achja, das war ein fairer Deal! Du benimmst dich wie die anderen Gaffer...ich muss jetzt los. Hoffentlich machst du es beim nächsten Mal besser.
		leave!time^											Блин...|Mist, ich hab's versaut...

	pornocam.5.step.nude.6b@33@n-cam-10@Майк... Ты сегодня такой хладнокровный... Может быть, если я себя немного поласкаю, это тебя взбодрит?|Warum bist du heute so kalt zu mir Mike...kann ich dich vielleicht einbisschen aufwärmen, indem ich an mir rumspiele?
		pornocam.5.step.nude.7!add_blot_1^					А ты не кинешь?|Und da ist kein Haken dran?

	pornocam.5.step.nude.7@31@n-cam-9@Конечно, нет, Майк! Я буду ласкать себя прямо здесь и сейчас... За дополнительные $150...|Was denkst du von mir Mike, natuerlich nicht! Ich fange sofort damit an...sagen wir für weitere 150$...
		money>149&pornocam.5.step.nude.8!add_money_-150^	Хорошо, давай!|Okay, leg schon los!
		blot>2&blop=0&07.aca.0^								Ты знаешь, меня тут по работе отвлекают... Давай в другой раз...|Tut mir leid, ich bin gerade beschaeftigt...morgen vielleicht.
		pornocam.5.step.end^								Ой, нет, в другой раз...|Nein, heute nicht, wann anders...

	pornocam.5.step.nude.8@28@n-cam-8@Если ты... не понял... то я... уже начала... О да.. я думаю о тебе, Майк... как ты...|Falls du es noch nicht gemerkt hast Mike...ich bin schon voll dabei...mich hier...und da anzufassen...Ohhja Mike...ich kann nur an dich gerade denken...mmmhh...
		pornocam.5.step.nude.9a^							Обломщица!|Ey, du ziehst mich nur wieder auf!
		pornocam.5.step.nude.9b^							Так покажи что делаешь там!|Zeig mir wenigsten was du machst!

	pornocam.5.step.nude.9a@22@n-cam-10@Сам ты, Майк... обломщик... Я же начала себя ласкать, а ты...|Du musstest wieder alles kaputt machen Max, oder? Ich bin gerade in Fahrt gekommen, aber jetzt...
		pornocam.5.step.end^								Так не видно же ничего!|Aber ich kann echt garnichts sehen!

	pornocam.5.step.nude.9b@22@n-cam-10@Извини, Майк, но это личное. Могу лишь тебе сказать, что я на самом деле себя ласкала... пока ты меня не отвлёк... Вот теперь думай, что могло бы быть...|Tut mir leid Mike, aber das ist nicht für deine Augen bestimmt. Aber ich kann dir sagen, dass ich mich gerade selbstbefriedigt habe...bis du alles ruinieren musstest...du jetzt kannst du dir nur noch vorstellen was passieren hätte Können...
		pornocam.5.step.end^								Эх...|Na toll...

	pornocam.5.step.end@21@Ну всё, Майк. Мне пора бежать! Надеюсь, ещё увидимся? Целую тебя...|Ich sollte jetzt gehen Mike. Aber hoffentlich sehen wir uns bald wieder, Küsschen...
		leave!time^											Ага, я тоже...|Ja, bis bald.












