# --- Interrupt: Лиза возвращается из новой школы в первый раз|Lisa kehrt zum ersten Mal von der Schule zurück

		liza.talk.aboutboy.2.illfindout^						Ты знаешь, я что-нибудь при?умаю, хорошо?|Mir fällt schon was ein!

	liza.talk.aboutboy.2.he.chance@40@Шанс? Один из миллиона, может быть... Я не знаю как и что мне делать. Он мне так нравится...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Meine Chancen stehen nicht gut. Ich habe keine Ahnung, was ich tun soll. Ich mag ihn so sehr....\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		liza.talk.aboutboy.2.illfindout^						Ты знаешь, я что-нибудь придумаю, хорошо?|Mir fällt schon was ein!

	liza.talk.aboutboy.2.illfindout@48@Хорошо. Спасибо, Макс, что поговорил. Мне это было нужно...|Okay. Danke fürs Zuhören, Max. Ich weiß das zu schätzen
		leave!set_talk.boy_6!set_poss.swap_1!add_liza.mood_100!set_liza.talkcooldown_5!time^		Всегда пожалуйста!|Gern geschehen



# --- 3й разговор с Лизой о её парне в рамках возможности "одноклассник" - poss.swap (1)|Alex Gespräch, Schritt 3

	liza.talk.aboutboy.3.init@0@Насчёт Алекса...|Über Alex....
	liza.talk.aboutboy.3@40@Да, что насчёт него? Появились какие-то мысли?|Was ist mit ihm? Hast du ein paar Ideen?
		liza.talk.aboutboy.3.yeah^								Ага, могу предложить кое-что...|Ja, mir ist etwas eingefallen.

	liza.talk.aboutboy.3.yeah@41@Супер! Я тебя слушаю...|Großartig! Ich höre zu.
		liza.talk.aboutboy.3.yeah.forget!set_dcd.lizatalkswap_1^				Мне кажется, тебе стоит забыть о нём...|Ich denke, du solltest ihn vergessen....
		liza.talk.aboutboy.3.yeah.fight!set_dcd.lizatalkswap_1^					Думаю, тебе нужно бороться за него!|Ich denke, du solltest für ihn kämpfen!
		liza.talk.aboutboy.3.yeah.trick!set_dcd.lizatalkswap_1^					Есть одна идея, но она сложная в реализации...|Ich habe eine Idee, aber es wird schwer sein....
		leave!set_liza.talkcooldown_2^											Ты знаешь, я ещё подумаю...|Weißt du, ich denke noch etwas mehr....

	liza.talk.aboutboy.3.yeah.forget@46@Очень дельный совет... И долго ты об этом думал?|Wow, das ist der beste Rat, den du hast?
		liza.talk.aboutboy.3.yeah.forget.why^									Я могу объяснить, почему это предлагаю|Ich kann das erklären

	liza.talk.aboutboy.3.yeah.forget.why@40@Ну, попробуй. Хотя, я сама к нему склоняюсь. Но любопытно услышать тебя...|Sicher. Ich habe sowieso darüber nachgedacht.
		liza.talk.aboutboy.3.yeah.forget.why.1^									Он уже в отношениях, у них всё хорошо, зачем разбивать пару|Er ist bereits in einer glücklichen Beziehung, du solltest sie nicht aus egoistischen Gründen auseinander bringen.
		liza.talk.aboutboy.3.yeah.forget.why.2^									Если он самый красивый, то и самый ненадёжный. Бабник, короче!|Wenn er so gut aussieht, wird er dir nicht treu sein.
		liza.talk.aboutboy.3.yeah.forget.why.3^									Если Оливия самая красивая, то у тебя просто нет шансов!|Wenn Olivia das schönste Mädchen in der Schule ist, hast du keine Chance gegen sie!

	liza.talk.aboutboy.3.yeah.forget.why.1@46@Ты прав, Макс. Говорят, на чужом горе счастья не построишь... Спасибо за совет. Постараюсь о нём не думать...|Du hast Recht, Max. Das ist eine schlechte Art, eine Beziehung zu beginnen. Danke für einen Rat, ich werde versuchen, nicht mehr an ihn zu denken....
		leave!set_poss.swap_2^													Обращай?я, если что...|Jederzeit, Schwesterherz
	liza.talk.aboutboy.3.yeah.forget.why.2@46@А знаешь, может быть ты и прав. В конце концов, красивые только и думают о себе, на них все липнут, а они только ковыряются... Спасибо за совет, Макс!|Hm, vielleicht hast du Recht. Wenn er an Mädchen gewöhnt ist, die sich ihm an den Hals werfen, dann ist er wahrscheinlich voll von sich selbst überzeugt. Danke für einen Rat, Max.
		leave!set_poss.swap_2^													Обращайся, если что...|Jederzeit, Schwesterherz

	liza.talk.aboutboy.3.yeah.forget.why.3@42@Что?! Макс, ну ты и придурок. Я думала, у тебя какая-то толковая мысль, а ты...|Was!? Fick dich, Max! Und ich hatte gehofft, Sie hätten etwas Nützliches zu sagen....
		liza.talk.aboutboy.3.yeah.forget.why.3.joke!add_liza.mood_-20^			Да я пошутил, ?звини...|Es tut mir leid,, Ich habe nur Spaß gemacht

	liza.talk.aboutboy.3.yeah.forget.why.3.joke@46@Дурацкие у тебя шутки и так не вовремя. Значит, ты серьёзно предлагаешь его бросить? Почему?|Das war ein dummer Witz zur falschen Zeit. Also, schlägst du ernsthaft vor, dass ich ihn aufgeben soll? Warum?
		liza.talk.aboutboy.3.yeah.forget.why.1^									Он уже в отношениях, у них всё хорошо, зачем разбивать пару|Er ist bereits in einer glücklichen Beziehung, du solltest sie nicht aus egoistischen Gründen auseinander bringen.
		liza.talk.aboutboy.3.yeah.forget.why.2^									Если он самый красивый, то и самый ненадёжный. Бабник, короче!|Wenn er so gut aussieht, wird er dir nicht treu sein.

	liza.talk.aboutboy.3.yeah.fight@40@Думаешь, у меня есть шанс?|Glaubst du, ich habe eine Chance?
		liza.talk.aboutboy.3.yeah.fight.1^										Конечно! Нужно только придумать план и... победить!|Natürlich! Jetzt müssen wir uns nur noch einen Plan ausdenken!
		liza.talk.aboutboy.3.yeah.fight.2^										Ты такая... такая классная! У тебя все шансы!|Du bist so.... so toll! Du hast jede Chance, ihn für dich zu gewinnen!
		liza.talk.aboutboy.3.yeah.fight.3^										Докажи всем этим Оливиям, что ты лучше. Ты же лучше?|Erweise dich besser als all diese Olivias. Du bist besser, oder?

	liza.talk.aboutboy.3.yeah.fight.1@41@Спасибо, Макс. Ты вселяешь в меня надежду. Осталось только придумать план. И... победить... Ещё раз спасибо за совет!|Danke, Max, du gibst mir Hoffnung. Jetzt muss ich mir nur noch etwas einfallen lassen.... Nochmals vielen Dank für einen Rat.
		leave!set_poss.swap_3^													Обращайся, если что...|Jederzeit, Schwesterherz

	liza.talk.aboutboy.3.yeah.fight.2@48@Спасибо, Макс. Ты такой милый... бываешь. Да, ты прав. У меня есть все шансы и какого чёрта я буду сдаваться?|Danke, Max. Manchmal kann man so nett sein.... Du hast Recht. Ich habe jede Gelegenheit und warum sollte ich einfach aufgeben?
		leave!set_poss.swap_3^													Так держать!|Das ist richtig!

	liza.talk.aboutboy.3.yeah.fight.3@48@А ведь и правда. Только пришла и сразу чуть не сдалась. Может быть, я стану самой желанной девчонкой в школе и все за мной ещё побегают!|Du hast Recht. Ich bin gerade erst hergezogen, warum sollte ich ohne Kampf aufgeben? Vielleicht werde ich das begehrteste Mädchen in der Schule und alle werden mich verfolgen!
		leave!set_poss.swap_3^													Молодец, Лиза!|Das ist richtig!

	liza.talk.aboutboy.3.yeah.trick@40@Какая идея? Какие-то свои штучки придумал?|Welche Idee? Hast du dir einen Trick ausgedacht oder so was?
		liza.talk.aboutboy.3.yeah.trick.1^										Какие штучки? Нет, есть хитрый план...|Welchen Trick? Nein, ich habe einen Plan....
		liza.talk.aboutboy.3.yeah.trick.1^										Обижаешь... У меня есть план!|Ich habe einen interessanten Plan, den wir durchziehen können!

	liza.talk.aboutboy.3.yeah.trick.1@41@Ну, рассказывай свой хитрый план. Я слушаю.|Okay, erzähl mir von deinem Plan.
		liza.talk.aboutboy.3.yeah.trick.1.tell.1^								Тебе нужно подружиться с Оливией|Zuerst musst du dich mit Olivia anfreunden.

	liza.talk.aboutboy.3.yeah.trick.1.tell.1@40@Зачем? Да мы и так с ней не ссорились...|Warum? Was würde das bringen?
		liza.talk.aboutboy.3.yeah.trick.1.tell.2^								Вам нужно стать лучшими подругами!|Du musst ihre beste Freundin werden!

	liza.talk.aboutboy.3.yeah.trick.1.tell.2@41@А потом заманить её в лес и убить, да?|Und dann lockt man sie in den Wald und tötet sie, richtig?
		liza.talk.aboutboy.3.yeah.trick.1.tell.3^								Конечно! Классный план, да?|Natürlich! Wie gefällt dir mein absolut ausfallsicHierr Plan?
		liza.talk.aboutboy.3.yeah.trick.1.tell.3^								Ну вот, сама догадалас?...|Genau!!
		liza.talk.aboutboy.3.yeah.trick.1.tell.3bad!add_tjoke.1_1^				Да, но сначала трахнуть!|Ja, aber du solltest sie auch zuerst ficken!

	liza.talk.aboutboy.3.yeah.trick.1.tell.3bad@44@Фу, Макс. Ты отвратителен! Не хочу с тобой больше разговаривать!|Ew, Max! Was zum Teufel ist los mit dir? Ich will nicht mit dir reden!
		liza.talk.aboutboy.3.yeah.trick.1.tell.3bad.sorry^						Извини, это была шутка|Es tut mir leid, Ich habe nur Spaß gemacht

	liza.talk.aboutboy.3.yeah.trick.1.tell.3bad.sorry@42@Очень плохая шутка!|Es war ein sehr schlechter Witz!
		liza.talk.aboutboy.3.yeah.trick.1.tell.3bad.sorry.kill^					А убить лучшую подругу - отличная шутка, да?|Ja, wie deine beste Freundin in den Wald zu locken, um sie zu töten, ist sooo urkomisch.

	liza.talk.aboutboy.3.yeah.trick.1.tell.3@40@Ладно, пошутили и хватит. Если серьёзно, то зачем мне дружить с Оливией?|Okay, genug mit den Witzen, sag mir, warum sollte ich mich mit Olivia anfreunden?
		liza.talk.aboutboy.3.yeah.trick.oli^									Ты пригласишь её к нам домой...|So kannst du sie zu uns einladen....

	liza.talk.aboutboy.3.yeah.trick.1.tell.3bad.sorry.kill@48@Ну да, ты прав. Будем считать, оба пошутили неудачно. А если серьёзно, зачем дружить с Оливией?|Da kann ich nicht widersprechen, wir haben beide schlechte Witze gemacht. Wie auch immer, warum willst du, dass ich mich mit Olivia anfreunde?
		liza.talk.aboutboy.3.yeah.trick.oli^									Ты пригласишь её к нам домой...|So kannst du sie zu uns einladen....

	liza.talk.aboutboy.3.yeah.trick.oli@43@А потом ты её убьёшь, да? Я угадала?|Und dann wirst du sie töten?
		liza.talk.aboutboy.3.yeah.trick.oli.no^									Конечно! Это и был мой план!|Natürlich! Das war die ganze Zeit mein Plan!
		liza.talk.aboutboy.3.yeah.trick.oli.no^									В этот раз да, всё так!|Ja, diesmal hast du es richtig gemacht.
		tjoke.1=0&liza.talk.aboutboy.3.yeah.trick.oli.nobad!add_tjoke.1_2^		Ага, но пере? этим её трахну!|Ja, aber ich ficke sie zuerst!
		tjoke.1>0&liza.talk.aboutboy.3.yeah.trick.oli.nobad2!add_tjoke.1_2^		Ага, но перед этим её трахну!|Ja, aber ich ficke sie zuerst!
		liza.talk.aboutboy.3.yeah.trick.oli.wtf^								Всё бы тебе шутить...|Wirst du das ernst nehmen?

	liza.talk.aboutboy.3.yeah.trick.oli.wtf@40@Ой, извини. Да, дурацкие шутки, ты прав. Так, продолжай...|Es tut mir leid, Du hast Recht. Der Witz ist sowieso dumm. Weiter....
		tjoke.1=0&liza.talk.aboutboy.3.invite^									В общем, ты позовёшь её к нам и познакомишь со мной!|Du lädst sie in unser Haus ein und stellst sie mir vor!
		tjoke.1=1&liza.talk.aboutboy.3.invite.lizajoke^							В общем, ты позовёшь её к нам и познакомишь со мной!|Du lädst sie in unser Haus ein und stellst sie mir vor!
		tjoke.1>1&liza.talk.aboutboy.3.invite^									В общем, ты позовёшь её к нам и познакомишь со мной!|Du lädst sie in unser Haus ein und stellst sie mir vor!

	liza.talk.aboutboy.3.yeah.trick.oli.no@41@Я как представила, что Алекс весь мой, так сразу на душе стало хорошо... Но мы отвлеклись, продолжай...|Ich kann nicht aufhören, mir Alex ganz allein vorzustellen.... Entschuldige, dass ich dich störe, mach weiter.
		tjoke.1=0&liza.talk.aboutboy.3.invite^									В общем, ты позовёшь её к нам и познакомишь со мной!|Du lädst sie in unser Haus ein und stellst sie mir vor!
		tjoke.1=1&liza.talk.aboutboy.3.invite.lizajoke^							В общем, ты позовёшь её к нам и познакомишь со мной!|Du lädst sie in unser Haus ein und stellst sie mir vor!
		tjoke.1>1&liza.talk.aboutboy.3.invite^									В общем, ты позовёшь её к нам и познакомишь со мной!|Du lädst sie in unser Haus ein und stellst sie mir vor!

	liza.talk.aboutboy.3.invite.lizajoke@43@Чтобы ты, наконец, её трахнул! А потом убил, так?|Also wirst du sie endlich ficken! Und dann töten, richtig?
		liza.talk.aboutboy.3.invite.lizajoke.wow^								Такого я от тебя не ожидал... Молодец!|Ich habe das nicht von dir erwartet.... gute Idee!
		liza.talk.aboutboy.3.invite.lizajoke.wow^								Почти, но ход твоих мыслей мне нравится!|Fast, aber ich mag die Richtung, in die du gehst.

	liza.talk.aboutboy.3.invite.lizajoke.wow@41@Спасибо. Но я не поняла, зачем мне тебя знакомить с Оливией?|Danke. Wie auch immer, warum muss ich dich Olivia vorstellen?
		liza.talk.aboutboy.3.invite.me^											Ну, я соблазню твою подругу. Она бросает Алекса, все довольны!|Ich werde sie verführen, sie wird Alex verlassen, alle sind glücklich!

	liza.talk.aboutboy.3.yeah.trick.oli.nobad@42@Макс! Ты отвратителен! Взял и всё опошлил. Не хочу тебя даже видеть!|Du bist ein widerlicher Perverser, Max! Ich will dich nicht mehr sehen!
		liza.talk.aboutboy.3.yeah.trick.oli.nobad.sorry^						Извини, мне показалось, что шутка удачная...|Es tut mir leid, Ich dachte, der Witz wäre lustig.

	liza.talk.aboutboy.3.yeah.trick.oli.nobad2@42@Макс! Какого чёрта?! У тебя только это на уме? Да и второй раз совсем не смешно...|Was zum Teufel, Max!? Ist das alles, woran du denkst? Der Witz war beim ersten Mal nicht lustig, und jetzt ist er auch nicht mehr lustig!
		liza.talk.aboutboy.3.yeah.trick.oli.nobad.sorry^						Извини, мне показалось, что шутка удачная...|Es tut mir leid, Ich dachte, der Witz wäre lustig.

	liza.talk.aboutboy.3.yeah.trick.oli.nobad.sorry@40@Нет, Макс, не очень удачная. Ладно, проехали. Так в чём твой план? Зачем её звать к нам?|Nein, Max, ist es nicht. Jedenfalls, wie sieht dein Plan aus? Warum muss ich sie in unser Haus einladen?
		liza.talk.aboutboy.3.invite^											В общем, ты позовёшь её к нам и познакомишь со мной!|Du lädst sie in unser Haus ein und stellst sie mir vor!

	liza.talk.aboutboy.3.invite@46@Не поняла. И зачем мне это делать?|Ich verstehe es nicht, warum sollte ich das tun?
		liza.talk.aboutboy.3.invite.me^											Ну, я соблазню твою подругу. Она бросает Алекса, все довольны!|Ich werde sie verführen, sie wird Alex verlassen, alle sind glücklich!

	liza.talk.aboutboy.3.invite.me@40@Что-то... так себе план, если честно...|Ich bin mir nicht sicher über deinen Plan, um ehrlich zu sein....
		liza.talk.aboutboy.3.invite.me.why^										Почему? Алекс поймёт, что Оливия ненадёжна, а у меня будет девушка...|Warum? Du kriegst Alex und ich Olivia, wo liegt das Problem?

	liza.talk.aboutboy.3.invite.me.why@41@Ага, так это и был твой план изначально? Да уж, Макс. От тебя я ожидала чего-то другого...|Also, das war die ganze Zeit dein Plan? Ich habe etwas anderes erwartet....
		liza.talk.aboutboy.3.invite.me.why.what^								Соглашайся. План отличный!|Das ist ein toller Plan!
		liza.talk.aboutboy.3.invite.me.why.forgot^								Ну, могу предложить ещё забыть про Алекса...|Nun, ich könnte auch vorschlagen, dass du Alex vergisst....

	liza.talk.aboutboy.3.invite.me.why.forgot@40@Ну да, ты прав. Если выбирать, то твой вариант даже отличный. Ладно, будь по твоему, попробую подружиться с Оливией...|Ja, du hast Recht.  Von diesen beiden ist die erste Option definitiv besser. Schön, ich stimme zu. Ich werde versuchen, mich mit Olivia anzufreunden.
		liza.talk.aboutboy.3.invite.great^										Супер!|Großartig!

	liza.talk.aboutboy.3.invite.me.why.what@40@Ну, я подумаю... Хотя, чего тут думать. Можно попробовать. Я же ничего не потеряю? Ну, кроме новой лучшей подруги...|Ich werde darüber nachdenken.... Obwohl, was gibt es da zu denken? Lass es uns versuchen, es ist ja nicht so, als würde ich etwas verlieren. Neben meinem hypothetischen neuen besten Freund....
		liza.talk.aboutboy.3.invite.great^										Может и её не потеряешь|Vielleicht verlierst du sie nicht mal!

	liza.talk.aboutboy.3.invite.great@41@Ладно, сделаю как ты сказал. Спасибо за совет, Макс. Я бы сама до такого не додумалась...|Schön, Ich werde deinem Plan nachkommen. Danke für den Rat, Max. Es ist definitiv nicht das, was ich getan hätte....
		leave!set_poss.swap_4^													Обращайся, если что...|Jederzeit, Schwesterherz



# --- Самое начало второго дня, Лиза видит Макса|Holzveranstaltung am Vormittag

	oops.2ndmorning@50@e-liza-wakeup-1@Макс! Это что такое?! Я сейчас маму позову!|Was zum Teufel ist das, Max!? Ich rufe Mama an!
		oops.2ndmorning.what^									Что? Ты о чём?|Wovon redest du?
		oops.2ndmorning.what^									Что случилось?!|Was ist passiert?

	oops.2ndmorning.what@42@Ты чем таким занимался при мне?!|Was hast du direkt vor mir gemacht?
		oops.2ndmorning.what.wtf^								Да ты о чём, вообще?|Wovon zum Teufel redest du?

	oops.2ndmorning.what.wtf@44@e-oops-1@Ма-ам! Иди сюда, скорее!|Mo-o-o-om! Komm hier rüber, schnell!
		oops.2ndmorning.what.wtf.1^								Да это не то, о чём ты думаешь...|Es ist nicht das, was du denkst....
		oops.2ndmorning.what.wtf.2^								Просто, так бывает утром иногда...|Manchmal geschieht das morgens....

	oops.2ndmorning.what.wtf.1@42@Не то о чём думаю? Это явно то, о чём я думаю! Ма-ам!|Ja, das ist es! Es ist Genau, was ich denke! Mo-om!
		oops.2ndmorning.wtf.mom^								Да не ори ты так!|Hör auf zu schreien!
		oops.2ndmorning.wtf.mom^								Ничего же не случилось...|Nichts ist passiert....

	oops.2ndmorning.what.wtf.2@42@Это, по твоему, ничего? Ма-ам!|Wovon redest du? Mo-om!
		oops.2ndmorning.wtf.mom^								Ну что же ты орёшь так...|Hör auf zu schreien!
		oops.2ndmorning.wtf.mom^								Давай всё мирно уладим...|Lass mich erklären....

	oops.2ndmorning.wtf.mom@68@e-oops-2@Лиза? Что случилось?!|Was ist passiert, Lisa?
		oops.2ndmorning.wtf.mom.1^								<i>далее</i>|<i>fortsetzen</i>

	oops.2ndmorning.wtf.mom.1@69@Мам! Смотри, что у него!|Sieh ihn dir an, Mom!
		oops.2ndmorning.wtf.mom.2^								<i>далее</i>|<i>fortsetzen</i>

	oops.2ndmorning.wtf.mom.2@71@Макс! Объяснишь, чем ты занимался при сестре?!|Was hast du vor deiner Schwester gemacht, Max?
		oops.2ndmorning.wtf.mom.2.nothing^						Да я просто спал, это само...|Ich habe nichts getan, ich habe nur geschlafen.
		oops.2ndmorning.wtf.mom.2.morning^						Так бывает по утрам, я не специально...|Es passiert an manchen Morgen, es war nicht meine Schuld.

	oops.2ndmorning.wtf.mom.2.nothing@73@Ну, если ничего не делал и само... Тогда, Лиза, Макс ни в чём не виноват. Так бывает у мальчиков...|Wenn Max nichts getan hat, dann ist es nicht Max' Schuld, Lisa. Das passiert manchmal....
		oops.2ndmorning.wtf.mom.3^								Я так сразу и сказал...|Das habe ich gesagt.

	oops.2ndmorning.wtf.mom.2.morning@73@Ну, да, Лиза. Так у мальчиков иногда бывает по утрам. Не нужно паниковать...|Nun, ja, Lisa, das passiert tatsächlich manchmal, das ist natürlich. Kein Grund zur Panik.
		oops.2ndmorning.wtf.mom.3^								Я так сразу и сказал...|Das habe ich gesagt.

	oops.2ndmorning.wtf.mom.3@42@Это не правда! Так не может быть... само. Он что-то делал, наверняка...|Er lügt, das kann nicht ohne Grund passieren! Er hat wahrscheinlich etwas gemacht....
		oops.2ndmorning.wtf.mom.4^								Да ничего я не делал!|Ich habe nichts getan!

	oops.2ndmorning.wtf.mom.4@69@Ты сама видела, чтобы Макс чем-то <i>таким</i> занимался при тебе?|Hast du gesehen, wie Max etwas getan hat?
		oops.2ndmorning.wtf.mom.5^								<i>далее</i>|<i>fortsetzen</i>

	oops.2ndmorning.wtf.mom.5@46@Нет, но мам... Я просто испугалась.|Nein...
		oops.2ndmorning.wtf.mom.6^								<i>далее</i>|<i>fortsetzen</i>

	oops.2ndmorning.wtf.mom.6@75@Лиза. Ты, похоже, совсем ничего не знаешь о мальчиках. С одной стороны я рада, что ты у меня такая. А с другой...|Sieht aus, als wüsstest du nicht viel über Jungs. Auf der einen Seite bin ich froh. Aber andererseits....
		oops.2ndmorning.wtf.mom.7^								<i>далее</i>|<i>fortsetzen</i>

	oops.2ndmorning.wtf.mom.7@49@А что с другой? Я хочу всё знать!|Was ist auf der anderen Seite? Ich will dieses Zeug wissen!
		oops.2ndmorning.wtf.mom.8^								<i>далее</i>|<i>fortsetzen</i>

	oops.2ndmorning.wtf.mom.8@73@Нет, Лиза, тебе ещё рано таким интересоваться. Вот подрастёшь, тогда и поговорим. На этом всё. Сделаем вид, что ничего не было. Ясно?\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Nein, Lisa, du bist zu jung, um das zu wissen. Wir reden darüber, wenn du älter bist. Im Moment tun wir einfach so, als hättest du nichts gesehen.\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		leave!set_poss.sed_1!set_flag.firsterect_1!set_talk.mom.morningops_1!time^		Ясно...|Ich verstehe...


# --- Разговор с Лизой после утреннего инцидента|morgendliche Holzveranstaltung

	liza.talk.oops.init@0@Насчёт этого случая утром...|Um diese Zeit am Morgen....
	liza.talk.oops@40@Макс, я не хочу об этом говорить!|Ich will nicht darüber reden!
		liza.talk.oops.listen^				Да ты послушай!|Hör bitte nur eine Sekunde zu.
		liza.talk.oops.sorry^				Я хотел извиниться...|Ich wollte mich entschuldigen

	liza.talk.oops.listen@46@Макс, я не хочу. Хватит!|Nein, Max. Genug!
		leave!set_liza.talkcooldown_3!add_liza.mood_-50^		Ладно, в другой раз...|Schön, ein anderes Mal dann

	liza.talk.oops.sorry@41@Извиниться? Значит, ты и правда что-то там делал?|Aha, also du <i>machst</i> etwas!
		liza.talk.oops.sorry.no^			Нет, я хотел извиниться, что не разговаривал об этом раньше с тобой|Nein, ich wollte mich dafür entschuldigen, dass ich vorher nicht über dieses Zeug geredet habe.

	liza.talk.oops.sorry.no@40@Не поняла. Какое-то странное извинение. О чём ты со мной не говорил раньше?|Ich verstehe nicht. Das ist eine seltsame Entschuldigung. Nicht über welches Zeug reden?
		liza.talk.oops.sorry.no.men^		Ты пробовала с мамой о чём-то... взрослом поговорить?|Hattest du jemals dieses Gespräch mit Mom? Du weißt schon, <i>das Gespräch</i>?

	liza.talk.oops.sorry.no.men@46@А причём тут это? Ну да, она всегда говорит, что я ещё маленькая...|Nein, sie sagt immer, ich sei zu jung für so was.
		liza.talk.oops.sorry.no.men.so^		Вот именно. Я, как старший брат должен был бы тебя подготовить...|Nein, sie sagt immer, ich sei zu jung für so was.

	liza.talk.oops.sorry.no.men.so@41@Постой. Во-первых, ты не старший. Хотя старше, да. А во-вторых, подготовить к чему?|Wartet eine Minute. Erstens bist du kaum älter. Und zweitens, wovon redest du?
		liza.talk.oops.sorry.no.men.so.2^	Ну вот ты что знаешь о мальчиках?|Nun, wie viel weißt du über Jungs?

	liza.talk.oops.sorry.no.men.so.2@43@Знаю, что если все такие же, как ты, то я стану лесбиянкой!|Ich weiß eine Sache. Wenn sie alle wie du sind, werde ich eine Lesbe sein!
		liza.talk.oops.sorry.no.men.so.3^	Э...|Em...

	liza.talk.oops.sorry.no.men.so.3@41@Да шучу я. Ну я поняла, к чему ты клонишь. Вот только не уверена, что ты тот, кто должен мне что-то объяснять...|Ich habe nur Spaß gemacht. Aber ja, ich verstehe, was du sagst. Ich bin immer noch nicht überzeugt, dass du mir das alles erzählen solltest.
		liza.talk.oops.sorry.no.men.so.4^	А ты знаешь много желающих тебе что-то объяснить?|Siehst du die Reihe der Freiwilligen, die dir helfen?

	liza.talk.oops.sorry.no.men.so.4@46@Тоже верно... Ну ладно. И к чему весь этот разговор?|Da hast du wohl Recht.... Wie auch immer, wohin gehst du mit all dem?
		liza.talk.oops.way.adult^			Я могу помочь тебе стать взрослой|Ich will dir dieses Zeug beibringen.

	liza.talk.oops.way.adult@41@Ты же понимаешь, как это звучит? Лучше уточни, что ты имеешь в виду...|Verstehst du, wie das klingt? Was meinst du damit?
		liza.talk.oops.way.adult.s^			Я поделюсь с тобой знаниями, которые тебе помогут|Ich erzähle dir, wie das alles funktioniert. Weißt du, ich gebe dir den Vortrag.

	liza.talk.oops.way.adult.s@48@Помогут с чем? Мне мама говорит, что ещё рано о таком думать|Mom sagt, ich soll das alles nicht wissen.
		liza.talk.oops.way.adult.s.you^		И что, ты не думаешь об этом?|Und was denkst du?

	liza.talk.oops.way.adult.s.you@49@Думаю... Но я не знаю. О таком вроде не с мальчиками говорят, особенно с братом...|Ich verstehe dein Argument. Aber ich bin mir nicht sicher, ob ich dieses Gespräch mit einem Kerl führen soll, besonders mit meinem Bruder....
		liza.talk.oops.way.adult.s.you.a^	У Алисы свои заботы, а мама тебе уже всё сказала...|Alice ist beschäftigt und Mom hat dir schon gesagt.

	liza.talk.oops.way.adult.s.you.a@40@Ну, я подумаю. Ты как-то слишком настойчиво помощь предлагаешь. Как будто у тебя свой интерес какой-то...|Okay, ich werde darüber nachdenken. Aber du drängst zu sehr, es lässt mich glauben, dass du ein egoistisches Motiv dahinter hast....
		liza.talk.oops.way.adult.s.you.b^	Хочу только помочь младшей сестрёнке|Ich will nur meiner jüngeren Schwester helfen!

	liza.talk.oops.way.adult.s.you.b@41@Ну да, ну да... В общем, я подумаю. Только вот не уверена, что ты всё-таки подходишь на роль такого... наставника, если ты меня понимаешь...|Richtig, richtig.... Wie auch immer, ich werde darüber nachdenken. Ich bin mir immer noch nicht sicher, ob du in diese.... Mentorin... Rolle passt.
		liza.talk.oops.way.adult.s.you.c^	Что, моё мнение недостаточно авторитетно для тебя?|Was, denkst du, ich weiß nicht genug oder so?

	liza.talk.oops.way.adult.s.you.c@48@Ну не знаю. Посмотрим...|Ich weiß nicht.... Wir werden sehen.
		leave!set_poss.sed_2!add_liza.mood_50!set_flag.firsterect_2^			Посмотрим...|Wir werden sehen...



# ---- Разговор с Лизой насчёт успеваемости (poss.sg)|Gespräch über Lisas Noten, Hilfe anbietend

	liza.talk.sg.1.init@0@Насчёт успеваемости...|Über deine Noten....
	liza.talk.sg.1@40@Да, что насчёт успеваемости? Позлорадствовать пришёл или помочь хочешь?|Was ist mit ihnen? Bist du hergekommen, um dich zu freuen, oder willst du helfen?
		liza.talk.sg.1.help^					Помочь, конечно!|Natürlich will ich helfen!
		liza.talk.sg.1.ask^						Для начала хотел узнать, как у тебя дела?|Zuerst will ich wissen, wie es dir geht.

	liza.talk.sg.1.help@41@Ну, я рада, если так. У меня не очень хороши дела с математикой и анатомией. У нас её просто не было. Должна была быть, но учитель всё время болел и я так толком и не разобралась в теме...|Ich bin froh, das zu hören. Ich habe Probleme mit Mathematik und Anatomie. Ich hatte so gut wie nie diese Kurse in meiner vorherigen Schule. Ich hätte sie haben sollen, aber der Lehrer war immer krank, also habe ich nie wirklich etwas gelernt.
		liza.talk.sg.1.so^						Тебе повезло, у меня всё хорошо с этими предметами!|Du hast Glück, ich bin ziemlich gut mit beiden!
		liza.talk.sg.1.maybe^					Может быть, я тебе и смогу помочь...|Ich schätze, ich könnte Ihnen helfen, aber....

	liza.talk.sg.1.ask@41@Дела у меня отлично. Если ты об уроках, то всё хорошо кроме математики и анатомии. В прошлой школе не очень повезло с учителем, он всё время болел и я мало чего поняла...|Mir geht es großartig. Wenn du nach meinen Noten fragst, dann habe ich Probleme mit Mathematik und Anatomie. Der Lehrer von der letzten Schule war die ganze Zeit krank, also habe ich viele Informationen verpasst....
		liza.talk.sg.1.so^						Тебе повезло, у меня всё хорошо с этими предметами!|Du hast Glück, ich bin ziemlich gut mit beiden!
