# --- 0.11: Диалог с Алисой насчёт того, что она решила делать с компроматом. Ключевой диалог, запускающий цепочку, открывающую контент 0.11

	11.aa.0.init@0@Так что ты решила насчёт того видео?|Also, hast du entschieden, was wir tun sollen?
		11.bc.4^		И ты согласилась?|Und du stimmst zu?

	11.bc.4@22@Ну а что такого? Это же работа, можно сказать... А иногда просит то, что я пока не готова сделать...|Warum nicht? Es ist nur ein Job, ist nicht viel anders als die anderen Dinge, die ich mache. Manchmal bittet er mich, Dinge zu tun, mit denen ich mich nicht wohlfühle....
		11.bc.5^		Например?|Was zum Beispiel?

	11.bc.5@20@Ну, я не хотела бы вдаваться в детали...|Ich will nicht ins Detail gehen.
		11.bc.6^		Почему?!|Warum nicht?

	11.bc.6@22@Макс, ну что ты пристал! У девушек могут быть свои секреты, а ты пытаешься всё выпытать... Я вообще зря про него упомянула...|Warum interessiert dich das überhaupt? Ich darf meine Geheimnisse haben. Ich hätte dir nichts von ihm erzählen sollen....
		11.bc.7^		Ну раз сказала, говори всё...|Nun, einmal angefangen, jetzt sag alles...

	11.bc.7@25@Ну, он хочет, чтобы вы с Лизой меня связали и трахнули. А это не входит в мои планы. Лучше я вас...|Es ist nicht so, er will nur, dass du und Lisa mich fesselt und fickt. Und ich will das nicht. Eher das Gegenteil, wirklich....
		11.bc.8^		Ну и зря, мы бы справились!|Schade, ich bin sicher, dass es uns allen gefallen würde!

	11.bc.8@33@Вот в этом я не сомневаюсь, но это вы мои игрушки, а не я ваша... Хотя и платит он хорошо... Но нет. Может быть, потом, когда наиграюсь с вами...|Ich bin sicher, daß du.... Und der Fan aber auch.... Er würde viel Geld dafür bezahlen.... Aber nein, du bist mein Spielzeug, nicht umgekehrt. Vielleicht eines Tages....
		11.bc.9^		Ну ты подумай, что тут такого...|Nun, du denkst, dass es ...

	11.bc.9@22@А вдруг вы меня не развяжете или видео какое-то запишите? Тогда плакал мой компромат на вас и наши игры закончатся...|Aber was, wenn du mich nicht losbindest und ein kompromittierendes Video von mir machst oder so? Es würde Gleichstand schaffen und sass ich kein Druckmittel mehr habe. Ich will nicht, dass unsere Spiele aufhören.
		11.bc.10^		Может быть, начнутся другие, мои!|Meinst du, es wird anders mit mir als Verantwortlichem!

	11.bc.10@25@Очень смешно, Макс. Что ты можешь придумать? Засунуть свой член мне в попку? Вот и вся твоя фантазия... Нет уж, у меня большие планы на вас!|Das würde dir gefallen, nicht wahr? Bist du sicher, dass du mit dieser Macht umgehen kannst? Was fällt dir ein, außer deinen Schwanz in meinen Arsch zu stecken? Nein, ich habe große Pläne mit euch beiden, und ich werde nicht aufhören!
		11.bc.11^		Хм...|Zweifelst du ernsthaft an meiner Fantasie... nach allem...

	11.bc.11@21@Угу. Ну всё, давай сменим тему. А то кажется, ты завёлся уже...|Touché. Wie auch immer, lass uns das Thema wechseln.
		leave!set_sclient_2^			Эх...|Sicher



# --- 0.11: Диалог с Лизой насчёт веб-шоу

	11.bd.0.init@0@Насчёт веб-шоу...|About our streams...
	11.bd.0@43@Ну не знаю как тебе, а мне понравилось... Хотя, постой, тебе то как раз должно было понравиться больше всех! Я же тебе отсосала на камеру перед... сколько там было зрителей?|I don't know about you, but I liked it. And I'm sure you liked it even more, since you're the one who actually got to cum. How many people do you think saw me blowing you?
		11.bd.1^		Не важно...|I have no idea

	11.bd.1@41@Так что ты хотел обсудить?|Okay. So, what do you want to talk about?
		11.bd.2a^		Не считаешь ли ты, что Алиса перегибает палку?|You don't think Alice is asking too much?
		11.bd.2b^		Да ты вроде ответила...|I wanted to ask you how you feel about the whole thing, but I already have my answer

	11.bd.2a@43@Да с чего бы? После всего, что мы делали? Ну и что, что нас кто-то мог увидеть, мы-то их не видим! К тому же, я очень возбудилась тогда... Да и сейчас, когда вспоминаю об этом...|After everything we've done already? No. Sure, this time we did it in front of a bunch so strangers, but I didn't see any of them, so it doesn't bother to me. It was so exciting... Just thinking about it makes me so wet...
		11.bd.2^		Ого...|Wow

	11.bd.2b@43@Конечно, я не ожидала такого от Алисы, но было... Блин, да я возбудилась даже вспоминая об этом...|I didn't expect this from Alice, but it felt so... I'm wet just from thinking about it...
		11.bd.2^		Ого...|Wow

	11.bd.2@41@Если честно, то я впервые задумалась о том, как себя чувствуют порноактрисы перед камерой...|To be honest, I started thinking about how porn stars feel...
		11.bd.3^		Только не говори, что хочешь сняться в порно!|Do you want to do porn now?

	11.bd.3@40@Ой, нет, ну... Нет, это не для меня. Мама меня задушит, если узнает, потом тебя за то что совратил, а потом и себя... Не, я лучше не буду даже думать об этом...|No, I... Well... No, that's not for me. First, mom will kill me if she finds out. Then she'll kill you for corrupting me. Then she'll kill herself. No, I don't want to think about it.
		11.bd.4^		Хм...|<i>fortfahren</i>

	11.bd.4@41@К тому же, актрисы это делают за деньги, а зачем мне деньги? Может быть, потом...|Besides, porn actresses do it for money while I did it just for fun. Maybe one day...
		11.bd.5^		Понятно. А что бы ты хотела?|I see. So, what do you want to do now?

	11.bd.5@40@Ну не знаю... Мне нравятся наши игры с Алисой. Делать то, что она говорит - это так прикольно. Никакой ответственности, зато куча удовольствия и можно сделать вид, что меня заставили...|I like our games with Alice. Following orders is so easy, I don't have to worry about anything. And no consequences, I can always say I was coerced if we get caught.
		11.bd.6^		Да по твоему лицу этого не скажешь...|Like mom wouldn't see how much you enjoying our games

	11.bd.6@43@Да? Ну... Тебе показалось. Я же очень страдаю, что меня заставляют испытывать самые приятные ощущения... Если что, это - сарказм!|Oh. but I'm actually hurting inside. It's so horrible how you two are forcing me into doing all those things I enjoy so much...\nI'm joking, Max, you're not actually hurting me, if you're wandering.
		11.bd.7^		Да я понял...|I figured

	11.bd.7@41@Вообще, я рада, что мы все стали так близки... Вот только с мамой неясно как быть...|I'm very glad we're all so close now. Especially Alice, I was never close with her before.
		11.bd.8^		Ты о чём?|He he, sometimes you two are really close now, all right

	11.bd.8@46@Ну... Если она узнает, то у нас у всех будут проблемы. Ты же знаешь, как она меня оберегает...|Don't be gross, Max.\nNow only if we could do something with mom so she won't completely lose her mind if she finds out about us...
		11.bd.9^		Это да...|I'm afraid there's not much we can do about that

	11.bd.9@43@Но у меня есть одна идейка. Может быть всё получится, а может быть и нет, но попробовать стоит...|Actually... I want to try something. I'm not sure if it will work out, but I'm sure it's safe to try.
		lost.liza=0&11.bd.10^		Что за идея?|What idea?
		lost.liza>0&11.bd.15^		Что за идея?|What idea?

	11.bd.10@41@Я вот подумала... А что, если подойти к маме и сделать вид, что я ничего не знаю о сексе и хочу, чтобы она мне обо всём рассказывала... Ну, как было с Кирой...|I was thinking... What if I come to mom and pretend like I know nothing about sex? Shouldn't she give me some sex ed? Kinda like how aunt Kira did, but, you know, normal way...
		11.bd.11^		Не думаю, что мама будет так тебя учить...|I'm not sure mom will want to do it

	11.bd.11@40@Я тоже не думаю, что так, но если мы начнём с ней разговаривать на такие темы, то может быть... она поймёт, что я уже не та маленькая девочка, которую она оберегает?|Yeah, but isn't that, well, her job? If I keep bringing it up she'll realize I'm curious about the subject. Surely she'll want to explain me about sex instead of abandoning me and forcing me to look into this stuff who knows where.\nAnd then she'll have to realize me being curious about sex means I'm not a little girl anymore, right?
		11.bd.12^		Это может сработать...|I guess there's no harm in trying
		11.bd.12b^		Что-то сомневаюсь...|Weren't you just telling me how you're a horrible actress just now?

	11.bd.12b@43@Почему? Я могу быть очень убедительна. Вот включу дурочку и начну спрашивать у неё про члены... Вот увидишь, сработает!|Well... Thanks for listening, by the way, I'm surprised you remembered, even if it was only a minute ago. But back to the subject... I won't have to lie all that much, just pretend I don't know about sex. Acting like I know nothing about cocks can't be <i>that</i> hard, especially since it was actually true not so long ago. And it's not like mom will actually try to poke holes in my story. She thinks I'm an innocent little girl, remember?
		11.bd.12^		Ну если так, то может быть...|In that case, sure... It's not like I'm risking anything. Or even have to do anything in your plan, for that matter

	11.bd.12@41@Вот и я так думаю. Ну а если не получится, то ничего же не изменится... Конечно, если она нас не поймает на горячем. Тогда каждый за себя!|Yeah. Worst case scenario mom refuses to talk about sex with me and we're back to square one. Well, as long as we don't get caught, of course. Then we'll get fuuuuuuuuuucked... Especially you.
		11.bd.13^		Вот как...|You don't have to remind me every time

	11.bd.13@43@Да я шучу. Как-нибудь выкрутимся... Или нет... Не знаю. В общем, я попробую.|I'm just kidding. I'm sure you'll wiggle yourself out of trouble somehow, like always... No, “sure” is such a strong word... In any case, I'll try to talk with mom.
		11.bd.14^		Когда?|When?

	11.bd.15@41@Ты же помнишь наши уроки с Эриком? Ну, когда он всякое рассказывал. Тогда ещё мама была как будто зачарованная...|Do you remember when Eric had this idea of sex ed? Back when mom was so weird?
		11.bd.16^		Конечно, помню!|It was actually my idea that he hijacked, so yeah, I remember. Why do you ask?
		11.bd.16b^		Кстати, что там было?|By the way, what happened in those lessons?

	11.bd.16b@40@Да ничего толком... Конечно, он пытался говорить умными словами, даже что-то на латыни лепетал. Нагуглил, наверное... Даже член свой доставал...|Not much... He tried to sound really smart and professional, even used Latin sometimes... He also showed his cock at some point...
		11.bd.16c^		Вот гад!|That fucking asshole!

	11.bd.16c@43@Да я тогда чуть не рассмеялась. Твой-то я уже видела к тому моменту. Помню то утро, когда у тебя стояк, а я в шоке, вроде бы даже закричала... И мама прибежала...|I almost laughed when he did. I've already seen your cock back then. Remember how I screamed when I saw your morning wood once?
		11.bd.16d^		Да, неловко вышло...|Yeah, that was awkward

	11.bd.16d@41@В общем, его член меня не впечатлил... Да и уроки быстро закончились. Эрик что-то потерял ко мне интерес... И это к лучшему, конечно! Уж не знаю что у него в голове было...|Anyway, I wasn't impressed with his cock. And we didn't have many lessons anyway. Eric lost his interest for some reason... Which is for the best, of course! I've no idea why he wanted to have those in the first place...
		11.bd.16^		Так что за идея у тебя?|Why'd you bring those lesson up again?

	11.bd.16@40@Ну вот я и думаю, что мне надо подойти к маме и напомнить про те уроки и начать задавать вопросы насчёт секса...|I was thinking about asking mom for more sex ed lessons.
		11.bd.17^		Эрика-то уже нет...|And since Eric isn't in the picture anymore...

	11.bd.17@43@Вот именно! А кто меня может учить? Только мама! Ну... Ещё тётя, но она уже и так хорошо постаралсь. Надеюсь, мама об этом не узнает никогда...|Exactly! Mom will have to choice but teach me about it herself. I guess she could try to pass me on to aunt Kira, but mom should probably know better than let aunt Kira corrupt me with all kinds of filth, right?
		11.bd.18^		Думаешь, сработает?|I guess it <i>might</i> work...

	11.bd.18@41@Конечно, сработает! Вот увидишь!|Of course, there's no downside to my genius master plan! Why would you even doubt your amazing beautiful sister anyway?
		11.bd.12c^		Что-то сомневаюсь...|Because you were just telling me how you're a horrible actress only a couple of minutes ago?

	11.bd.12c@43@Почему? Я могу быть очень убедительна. Вот включу дурочку и начну спрашивать у неё про члены... Вот увидишь, сработает!|Oh... Thanks for listening, by the way, I'm surprised you remembered, even if it was only a couple of minutes ago. But back to the subject... I won't have to lie all that much, just pretend I don't know about sex. Acting like I know nothing about cocks can't be <i>that</i> hard, especially since it was actually true not so long ago. And it's not like mom will actually try to poke holes in my story. She thinks I'm an innocent little girl, remember?
		11.bd.12^		Ну если так, то может быть...|In that case, sure... It's not like I'm risking anything. Or even have to do anything in your plan, for that matter

	11.bd.14@41@Да вот как подгадаю удобный момент, подойду к ней и поболтаем, а потом тебе расскажу что получилось...|I'll need to find a right moment for this, depends on the situation. I'll tell you once it happens.
		leave!set_lidea_2!set_dcd.lidea_3^			Хорошо, буду ждать!|Okay. I'll be waiting then



# --- 0.11: Диалог с Алисой после веб-шоу

	11.be.0.init@0@Насчёт шоу и Лизы...|About Lisa in your stream...
	11.be.0@20@Хотел обсудить, что я думаю о ней, точнее, о вас?|I was thinking you'll want to discuss it.
		11.be.1^		Угу...|And here I am

	11.be.1@21@Ну я думаю, что вы справляетесь отлично. Даже не ожидала такого энтузиазма от Лизы. Такая тихая была и тут раз! В попку и на камеру! Конечно, я удивлена...|Well, if you want to know my opinion, I think you both did great. I didn't expect so much enthusiasm from Lisa, to be honest. Or any, for that matter. But she just went for it! Anal sex in front of the camera, zero complains! I still can't believe it.
		11.be.2^		Ну ты тоже не тихоня...|Well, you're not exactly a saint either

	11.be.2@25@Ага, я уже думала об этом. Какая-то развратная у нас семейка. С мамой в порно снимаемся, шоу это, да и ты не подарочек, мягко говоря...|Yeah. Our family is pretty perverted, isn't it... Especially you.
		11.be.3^		Ты о чём?|Why me?

	11.be.3@22@В смысле о чём? О том, что ты трахаешься со мной, с Лизой, с тётей Кирой, с мамой в порно снимаешься... Не удивлюсь, если и с ней...|Well, you're fucking me, Lisa and aunt Kira. And you're making porn with mom. And I wouldn't be surprised if you had sex with her too...
		11.be.4^		Эй!|I'm not having sex with mom!

	11.be.4@33@Да ладно тебе. Оральный секс тоже секс... формально... Да мне плевать, если честно. Все мы немножко того... Слушай, а может быть всё дело в этом доме?|Oh, come on, it's not that much of a stretch. Especially with you giving each other oral... I honestly don't care if you do, Max. We're all fucked up in this house... Do you think it may be a house's fault?
		11.be.5^		В каком смысле?|I'm not dignifying that with an answer

	11.be.5@21@Ну я не знаю. Может быть, тут какая-то энергетика? Секс-энергетика... Или какие-то токсичные материалы, заставляющие людей трахаться...|Think about it, what if there's some kind of weird magical sex-energy or chemicals forcing everyone to fuck with each other?
		11.be.6^		Ага, во всём дом виноват...|Even if you ignore how dumb it sounds, aunt Kira was always like that. And she came to live here right after we did. Maybe she's the magical/chemical culprit pulling the strings from behind the curtain?

	11.be.6@25@Да шучу я. Конечно, дело в нас... Просто, я не слышала ни от кого от своих подруг, чтобы вот так было... Ну, кроме Кати. Там всё ещё более запущено...|I'm just kidding, Max. I'm not going to shift the blame, I know it's just us being gigantic perverts, not some power cosmic or whatever. It's just, I've never heard anyone living similar lives... Except Kate, I guess. But she's a special case.
		11.be.7a^		Может быть, никто не рассказывает...|Do you tell people about our family often? How would you know what <i>actually</i> happens behind your friend's closed doors?
		11.be.7b^		А что там у Кати?|Oh, tell me about Kate's household

	11.be.7b@20@Ну ты же знаешь, что у неё мамаша содержит БДСМ-клуб, да и сама Катя та ещё звезда... А уж всякие истории с многочисленными бойфрендами её мамаши...|You know her mom is the owner of BDSM club, and Kate is not exactly a girl scout... She told me all kinds of stories about her mom's boyfriends.
		11.be.7c^		А подробнее?|Do tell

	11.be.7c@21@Это пусть она сама тебе рассказывает, если хочет... Но насчёт других... Может быть, просто никто о таком не спешит рассказать своим друзьям, вот нам и кажется, что это всё странно?|You can ask Kate if you're curious.\nAbouth the other ones, though... I understand your point, but I can't see everyone I know having sex in their families, I just can't.
		11.be.7^		Это так важно?|Why does it even matter?

	11.be.7a@25@Может быть ты и прав. Не представляю даже, чтобы я кому-то сказала, что трахаюсь со своим братом, сестрой и снимаюсь в порно с мамой... И что, думаешь, у всех так? Сомневаюсь...|You're right, I can't imagine a situation where I would want to tell people about fucking my brother, my sister, and doing porn with mom. But I still can't imagine our situation being common.
		11.be.7^		Да забей!|Why does it even matter anyway?

	11.be.7@21@Ну да, ты прав. Какое нам дело до других? Главное, что нам весело, а остальные пусть делают или думают что хотят...|Surprisingly, it doesn't really matter to me, actually. We're all having fun, we're not hurting anyone. As far as I'm concerned, we're in the clear.
		11.be.8^		Верно!|That's right!

	11.be.8@33@Ну вот, выговорилась. Спасибо, что поболтал... Да, насчёт шоу. Надеюсь, вам всё это нравится, потому что я бы не хотела вас заставлять трахаться на камеру...|Thanks for listening, Max.\nAnd about the show... I hope you like what we're doing, I don't want to force you into having sex on camera...
		11.be.9^		Да всё в порядке!|We're fine. Well, except that one time when you didn't tell us you were filming and now you're lording it over us. But the stream part is fine

	11.be.9@21@Очень хорошо. Тогда, буду ждать вас на следующей трансляции...|Em... okay. Then I'll be waiting for our next stream.
		leave!set_weblia_2^		Хорошо!|Sure, we can't wait!



# --- 0.11: Ответвление, где Макс приходит наказать Алису, но она его заворачивает (есть компромат)

	11.ca.0@22@Ты знаешь, я сегодня не в том настроении, чтобы ты меня наказывал...|You know, I'm not really in the mood for my punishment.
		11.ca.1^		В смысле?|Was?

	11.ca.1@20@В смысле, забудь. Если мама спросит, скажешь, что уже наказал.|Just tell mom you punished me if she asks you.
		11.ca.2^		Так нельзя!|That's not how it works!

	11.ca.2@21@Ещё как можно! Или тебе напомнить, что у меня есть убедительный довод?|It is now. Do I have to spell out why or are you going to take a hike?
		11.ca.3^		Блин...|Misst...

	11.ca.3@25@Да не парься. Разлечёмся в другой раз... иначе...|Don't worry, I'm sure we'll have some fun soon enough. Just... another kind of fun, you know.
		leave!add_till.nextdom_1!set_spun.alisa_0!lock^			Эх...|Right...



# --- 0.11: Ответвление, где Макс приходит наказать Алису, но у неё идея лучше...

	11.ca.4@25@y-pa-2@Раздеться? Без проблем... Но вот насчёт наказания у меня есть идея получше...|Undressing? No problem. But I do have a problem with “the punishment” part...
		11.ca.5^		Какая?|What do you have in mind?

	11.ca.5@22@Вместо наказания ты сделаешь кое-что для меня... Пойдём на кровать...|How about instead of punishing me you'll do something else instead. Let's go to my bed.
		11.ca.6^		<i>далее</i>|<i>fortfahren</i>

	11.ca.6@25@b-alisasleep-1@Догадался? А теперь приступай... Конечно, ты можешь возражать, но я напомню тебе, что у меня есть довод... Но давай не будем об этом. Просто приступай!|I'm sure you've figured out what you need to do. Of course, you can do something stupid like go to mom and rat me out, but so can I and neither of us wants that. But let's not dwell on the negative. You can start anytime now.
		11.ca.7^		<i>ласкать Алису</i>|<i>pleasure Alice</i>

	11.ca.7@33@b-alisasleep-3@У тебя... отлично получается... Такое наказание мне нравится больше, чем по попке... Да, Макс, так...|You're doing very well, Max... I definitely prefer this type of punishment... Yes, Max, keep going...
		11.ca.8^		<i>продолжать</i>|<i>fortfahren</i>

	11.ca.8@4@b-alisasleep-4@<i>Не сказал бы, что именно об этом мечтал, но её киска такая нежная... И Алиса просто извивается в моих руках. Похоже, без этих ласк она уже не сможет обойтись...</i>|<i>That's not exactly what I hoped for, but it's good enough... Alice is definitely happy about it. Who knows, maybe she'll get so used to them she'll get addicted...</i>
		11.ca.9^		<i>продолжать</i>|<i>fortfahren</i>

	11.ca.9@26@b-alisasleep-5@Да, Макс... да, да! Я... кончаю...|Yes, Max... Yes, yes! I'm... cumming...!
		11.ca.10^		<i>зако?чить</i>|<i>beenden</i>

	11.ca.10@21@y-pa-7@Ну всё, Макс... Мне понравилось, как ты меня «наказал». Буду ждать следующего раза... Похоже, тебе тоже понравилось? Не отвечай, всё и так видно. Ну всё, иди...|Thanks for the punishment, Max. Can't wait for the next one. I see that you liked it too. Not as much as I did, of course... You can go now.
		leave!max_cam.1.grow_300!set_spun.alisa_0!time^			Эх...|Misst...



# --- 0.11: Ответвление, где Макс приходит наказать Алису при Кате (Алиса его посылает)

	11.cb.0@152@y-t-1@Ой, Алиска, ты попала... Прикольно. Ну, если что, я останусь понаблюдать. Не хочу пропустить такую сцену...|Oh, you're in trouble now, Alice... I want to watch, so I'll stay. Wouldn't miss this for the world...
		11.cb.1^		Алиса, иди сюда!|Come over here, Alice

	11.cb.1@20@Знаешь, Макс... Я что-то не очень хочу, чтобы ты тратил время на это... Давай сделаем вид, что ты меня уже наказал. И моя попка цела и тебе не надо стараться...|You know, Max... I'm not in the mood today. Let's just pretend you've punished me and you can go.
		11.cb.2^		Ну ла?но...|Schön...
		11.cb.2b^		Не, так не пойдёт!|No way!

	11.cb.2b@21@Похоже, у тебя нет инстинкта самосохранения, Макс... Придётся мне воспользоваться последним аргументом... Конечно, если ты не передумаешь...|Don't you have any sense of self-preservation, Max? Why do I have to remind you about my final argument every time we have a conversation?
		11.cb.2^		Блин, ну ладно...|Mist. Fine, I'll go

	11.cb.2@25@Вот и хорошо. Тогда, спасибо что заглянул, приходи ещё... Но в другой раз...|Good. Thanks for stopping by, come again.
		leave!add_till.nextdom_1!set_spun.alisa_0!time^		Эх...|Yeah...




# --- 0.11: Ответвление, где Макс приходит наказать Алису при Кате, та предлагает вместо себя наказать Катю

	11.cb.3@152@Ой, Алиска... Кажется, кто-то попал...|Oh, Alice, looks like someone's in trouble...
		11.cb.4^		Определённо!|Definitely

	11.cb.4@25@b-pun-5@Я тоже так думаю. Поэтому, раздевайся Катя... Сегодня Макс будет наказывать тебя...|I agree. Which is why you should get naked, Kate. You're going to take my place today.
		11.cb.5^		Хех...|Heh

	11.cb.5@154@Что? Меня?! Это ты что-то там натворила, почему я?|Was? Why me!? You're the one who screwed up, why do I get the punishment?
		11.cb.6^		<i>далее</i>|<i>fortfahren</i>

	11.cb.6@25@Потому, что я так сказала. Мы с тобой уже это обсуждали и не раз, так что, раздевайся. Без разговоров! Бегом!|Because I said so. We've discussed this already, and I don't want to hear it. Undress, now!
		11.cb.7^		<i>далее</i>|<i>fortfahren</i>

	11.cb.7@21@b-pun-1@Молодец. А теперь ложись Максу на колени. Также, как ложилась я, когда он меня наказывал при тебе...|Great. Now get on Max's knees, just like I did.
		11.cb.8^		<i>далее</i>|<i>fortfahren</i>

	11.cb.8@33@b-pun-3@Макс, перестань её гладить и шлёпай как положено. Ты же мужик, покажи как ты можешь!|Stop caressing her, Max, and start punishing. Show us you're the real man.
		11.cb.9^		Хорошо...|Okay

	11.cb.9@156@b-pun-2@Ай, больно же! Это тебя должны были наказывать... Ай! За что? Ой... Мааакс... Ну пожалуйста...|Ow, it hurts! You're the one who should be punished... Ow! Maaax... Please, Max...
		11.cb.10^		<i>продолжать</i>|<i>fortfahren</i>

	11.cb.10@151@b-pun-6@Макс, а ты плохой мальчик. Я тебя тоже однажды накажу... По особому... Ой... Блин, ну хватит уже, а...|You're a naughty boy, Max... I'm going to punish you one day for this... Ow, come on, enough already...
		11.cb.11^		<i>закончить</i>|<i>beenden</i>

	11.cb.11@150@b-pun-4@Блин, ну ты перестарался же... Как я теперь сидеть буду? Больно же...|That was way too much, Max! How am I supposed to sit now?
		11.cb.12^		Все вопросы к Алисе...|I'm just a hand of the law, all questions should go to Alice

	11.cb.12@25@Ну всё, Макс, ты можешь идти. Спасибо, что выполнил свой долг... А с тобой, Катя, мы ещё побеседуем о том кто кому должен подчиняться и как разговаривать...|Thanks for fulfilling you duty, Max. You can go now. Kate and I are going to have a little chat about submission and too much complaining.
		leave!max_cam.1.grow_300!set_spun.alisa_0!time^			Гы...|Heh



# --- 0.11: Основное ответвление в эвентах с Катей и Алисой в рамках возможности "смена ролей"

	11.cc.0@152@p-ak-4@Значит, соскучился по нам? Что будем делать? У кого какие есть идеи?|Missed us? What are we going to do? Any ideas?
		akado=0&11.cc.1^		Ну есть парочка...|I have a couple...
		akado=1&11.cc.12^		Есть...|Yeah
		akado=2&11.cc.31^		Может, как в тот раз?|Just like last time?
		akado>2&11.cd.0^		Конечно!|Of course!

	11.cc.1@25@Не сомневаюсь, но сегодня нам нужно кое-что обсудить... Кать, помнишь мы с тобой разговаривали насчёт наших игр?|I'm sure you do, but we have to discuss something first. Remember our conversation earlier, Kate?
		11.cc.2^		<i>далее</i>|<i>fortfahren</i>

	11.cc.2@155@Помню, но мне эта идея не нравится. Разве мы плохо развлекались раньше?|I do, but I don't like that idea. Didn't we have a lot of fun the usual way?
		11.cc.3^		<i>далее</i>|<i>fortfahren</i>

	11.cc.3@21@Нет, но я думаю будет честно, если теперь я буду решать как и что. Конечно, ты можешь отказаться, но или по моему или вообще никак... Выбирай!|We did, but I want to shake things up for the sake of variety. You don't have to do anything you're uncomfortable with, but from now on we're either doing things my way, or we're not doing anything at all. Pick your poison.
		11.cc.4^		<i>далее</i>|<i>fortfahren</i>

	11.cc.4@151@Ну не знаю, не знаю... А Макс тоже готов с тобой играть по твоим правилам или он так, для декораций?|I don't know... What about Max, is he fine with playing by your rules? Or is he here just like a background prop?
		11.cc.5^		Ничего я не для декораций!|I'm not a prop!

	11.cc.5@25@b-ak-1@А вот сейчас увидишь, Кать... Макс, не мог бы ты немного продемонтрировать свою готовность меня слушаться?|Let's find out. Max, Kate wants a demonstration of your willingness to submit. How do you feel about that?
		11.cc.6^		Как скажешь...|I'm fine with that
		11.cc.6b^		Вот ещё!|I'm not going to submit!

	11.cc.6b@22@Очень жаль, Макс... А ведь я была уверена, что ты не такой зануда... Ладно, можешь идти, но больше никаких игр... И я даже не напоминаю про то видео...|You disappoint me, Max. I didn't think you'd be such a prude. Fine, you can go, I'm not going to force into anything with the tape.
		11.cc.6c^		<i>далее</i>|<i>fortfahren</i>

	11.cc.6c@153@Какое видео? Я что-то пропустила? Алисик, хочу всё знать! Покажешь? Что там?|What tape? Have I missed something? I want to know, Alice! Please show me.
		11.cc.6d^		Блин...|Misst...

	11.cc.6d@21@Всё зависит от Макса кому и что я покажу... Ну что, порадуешь свою сестрёнку? Я же не раз делала и не такое для тебя...|That depends on Max... Don't you want to be nice to your sister? I did so much more to you so many times...
		11.cc.6^		Ладно, как скажешь...|Schön, schön...

	11.cc.6@33@b-ak-2@Супер! Тогда присупай... Но не спеши. Хочу насладиться моментом...|Great! You can start now. We're not in a hurry, though, let me enjoy the moment.
		11.cc.7^		<i>ласкать Алису</i>|<i>pleasure Alice</i>

	11.cc.7@21@b-ak-3@Вот видишь, Кать, правила меняются... Теперь и ты будешь делать то, что я скажу... Да, Макс... вот так...|You see, Kate, rules can be changed. Now you're going to do what I tell you... Yes, Max... Just like that...
		11.cc.8^		<i>продолжать</i>|<i>fortfahren</i>

	11.cc.8@155@b-ak-4@Алисик, я уже говорила, что всегда доминировала и превращаться в твою игрушку не хотела бы. Наоборот, ты всегда была рада делать для меня... разное...|I've told you already, Alice, I was always dominating and I don't want to be turn into a toy. You were always happy to be one for me...
		11.cc.9^		<i>продолжать</i>|<i>fortfahren</i>

	11.cc.9@21@b-ak-3@Кать, давай обсудим это наедине... Я сейчас... не могу трезво мыслить... Ох, Макс... Ты такой классный... продолжай...|We're not going to have this conversation right now... I'm kinda... preoccupied... I can't believe how good you are, Max... Go on...
		11.cc.10^		<i>довести её до оргазма</i>|<i>fortfahren</i>

	11.cc.10@4@b-ak-5@<i>Ого, Алиса кончает! Кажется, её крики слышно во всём доме... А это оказалось не так уж и сложно...</i>|<i>Wow, Alice is cumming! I hope no one heard that... That wasn't so hard...</i>
		11.cc.11^		<i>далее</i>|<i>fortfahren</i>

	11.cc.11@25@b-ak-2@Спасибо тебе, Макс... Ты отлично справляешься со своей ролью... Но пока нам надо обсудить с Катей новые правила... Так что, пообщаемся позже, хорошо?|Thank you, Max, you were great. Kate and I have to discuss some changes... We'll talk later, okay?
		leave!set_akado_1!max_cam.1.grow_300!set_dcd.glz_3!time!lock_sisroom_5^			Хорошо...|Sure


	11.cc.12@21@b-ak-1@Надеюсь, ты о том, чтобы меня порадовать своим язычком?|Is it related to you pleasing me with your tongue?
		11.cc.13^		Может быть...|Maybe...

	11.cc.13@25@b-ak-2@В таком случае, приступай. Сегодня тебя ждёт сюрприз. Не спрашивай какой, просто начинай...|You can start then. You're going to have surprise today. And please don't ask me anything, just start.
		11.cc.14^		<i>ласкать Алису</i>|<i>pleasure Alice</i>

	11.cc.14@151@b-ak-3@Алисик, что за сюрприз? Почему я не в курсе?|What surprise are you talking about, Alice? I want to know too!
		11.cc.15^		<i>продолжать</i>|<i>fortfahren</i>

	11.cc.15@25@b-ak-4@Потому, что это сюрприз и для тебя... Ох, Макс, как же классно ты это делаешь... Катя, кажется, у тебя появился конкурент... И он очень быстро учится...|It will be a surprise for both of you... You're so good at this, Max... I think you have a serious competition now, Kate... And he's learning fast...
		11.cc.16^		<i>продолжать</i>|<i>fortfahren</i>

