# --- Разговор с мамой по поводу инцидента в ванной|Gespräch über die Veranstaltung im Bad

		max.punreason=2&pun.max.check.reason.2^										Ну, я подглядывал за тобой, мам...|Ich habe dich beobachtet, Mom.
		max.punreason=3&pun.max.check.reason.3^										Ну, я подглядывал за вами с Эриком...|Ich habe Eric und dich beobachtet.
		max.punreason=4&pun.max.check.reason.4^										Ну, я оказался случайно рядом с душем, где мылась Алиса...|Ich ging zufällig am Badezimmer vorbei, als Alice da drin war....
		max.punreason=5&pun.max.check.reason.5^										Ну, я плохо себя вёл...|Ich habe mich schlecht benommen.

	pun.max.check.reason.0@42@Что?! Ты видел меня голую?! Мам! Накажи его! Почему ему предупреждения? Пусть получит что заслужил!|Was!? Er hat mich nackt gesehen? Bestraf ihn, Mom! Warum bekommt er eine Warnung? Gib ihm, was er verdient!
		pun.max.check.relax^														Да ничего я не заслужил!|Ich verdiene keine Strafe!

	pun.max.check.reason.1@27@Что? Ах ты мелкий извращенец! Сейчас получишь у меня!|Was!? Du kleiner Perverser! Du kriegst es jetzt!
		pun.max.check.relax^														Я не извращенец!|Ich bin kein Perverser!

	pun.max.check.reason.2@69@Очень хочу надеяться, что это было случайно. Тем не менее, ты пойман и как уже сказала, получаешь предупреждение.|Ich hoffe, es war ein Missgeschick, aber du wurdest erwischt, also bekommst du eine Warnung.
		pun.max.check.relax^														Больше это не повторится!|Es wird nicht wieder vorkommen!

	pun.max.check.reason.3@69@Очень хочу надеяться, что ты это сделал не специально и просто проходил мимо. Тем не менее, ты пойман и как уже сказала, получаешь предупреждение.|Ich hoffe wirklich, dass du es nicht absichtlich getan hast, aber auf jeden Fall wurdest du erwischt, also bekommst du eine Warnung.
		pun.max.check.relax^														Да, я мимо проходил!|Ich kam gerade vorbei!

	pun.max.check.reason.4@24@Случайно? Мам! Он всё врёт! Он подглядывал и может быть даже паука подбросил! А ты знаешь, как я боюсь пауков...|Er lügt, Mom! Er hat mich beobachtet und vielleicht hat er sogar eine Spinne nach mir geworfen! Du weißt, dass ich Angst vor Spinnen habe....
		pun.max.check.relax^														Трусиха!|Feigling!

	pun.max.check.reason.5@63@У тебя есть ещё время подумать над своим поведением. Надеюсь, следующего раза не будет!|Denk an dein Verhalten, ich hoffe, das passiert nicht wieder!
		pun.max.check.relax^														Да, мам...|Ja, Mom

	pun.max.check.relax@60@В общем, на этот раз вопрос уладили. Все сделали выводы, а кое-кто и серьёзно задумается. Да, Макс? Можешь не отвечать. |Nun, ich bin froh, dass wir das geklärt haben. Ich hoffe, alle werden daraus lernen und ihre Fehler nicht wiederholen. Stimmt's, Max?
		needpunish>0&pun.start^														<i>продолжить</i>|<i>fortsetzen</i>
		needpunish=0&hour=9&breakfast.default^										<i>начать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^										<i>начать ужин</i>|<i>Essen anfangen</i>


	pun.max.start@60@e-momabouts-1@Макс! Сейчас ты будешь наказан, сам знаешь за что!|Max! Du wirst bestraft werden, weißt du wofür?
		random.social.2=1&pun.max.nopun^											Я же не виноват! [skill.social_2]|Es war nicht meine Schuld! [skill.social_2]
		random.social.2=0&pun.max.1^												Я же не виноват! [skill.social_2]|Es war nicht meine Schuld! [skill.social_2]

	pun.max.nopun@69@<color=lime><i>Убеждение удалось!</i></color>\nТы знаешь, Макс, всё говорит о том, что ты виноват и должен быть наказан. Но поверю тебе на слово, что это была какая-то ошибка. Надеюсь, я не пожалею о св?ём решении...|<color=lime><i>Überzeugung Erfolgreich!</i></color>\nDie Umstände sind gegen dich, Max, aber ich bin bereit, dir zu glauben. Ich hoffe, ich werde diese Entscheidung nicht bereuen.
		needpunish>0&pun.start^														Спасибо, мам!|Danke, Mom!
		needpunish=0&hour=9&breakfast.default^										<i>начать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^										<i>начать ужин</i>|<i>Essen anfangen</i>

	pun.max.1@63@<color=orange><i>Убеждение не удалось!</i></color>\nВот так просто? «Я не виноват» и всё забудем? Нет, Макс, со мной эти шуточки не прокатят. Давай, снимай штаны и ложись на мои колени. Надеюсь, ты сегодня в трусах...|<color=orange><i>Überzeugung fehlgeschlagen!</i></color>\nEinfach so? Wir sollen einfach alles vergessen? Nein, Max, diesmal nicht. Zieh deine Hose runter und geh auf meine Knie. Ich hoffe, du trägst heute Unterwäsche....
		max.punreason=0&pun.max.1.why.0^											<i>?нять штаны</i>|<i>Hosen runterziehen</i>
		max.punreason=1&pun.max.1.why.1^											<i>снять штаны</i>|<i>Hosen runterziehen</i>
		max.punreason=2&pun.max.1.why.2^											<i>снять штаны</i>|<i>Hosen runterziehen</i>
		max.punreason=3&pun.max.1.why.3^											<i>снять штаны</i>|<i>Hosen runterziehen</i>
		max.punreason=4&pun.max.1.why.4^											<i>снять штаны</i>|<i>Hosen runterziehen</i>
		max.punreason=5&pun.max.1.why.5^											<i>снять штаны</i>|<i>Hosen runterziehen</i>

	pun.max.1.why.0@71@e-max-pun-1@Для тех, кто не в курсе: Макс будет наказан за то, что подглядывал за Лизой. Я уже предупреждала, что не люблю, когда кто-то нарушает личное пространство...|Für den Fall, dass es jemand nicht weiß: Max wird dafür bestraft werden, dass er Lisa beobachtet hat. Ich habe Dich gewarnt, die Privatsphäre der Menschen zu respektieren.
		pun.max.1.begin^															<i>далее</i>|<i>fortsetzen</i>

	pun.max.1.why.1@71@e-max-pun-1@Для тех, кто не в курсе: Макс будет наказан за то, что подглядывал за Алисой. Я уже предупреждала, что не люблю, когда кто-то нарушает личное пространство...|Für den Fall, dass es jemand nicht weiß: Max wird dafür bestraft werden, dass er Alice beobachtet hat. Ich habe Dich gewarnt, die Privatsphäre der Menschen zu respektieren.
		pun.max.1.begin^															<i>далее</i>|<i>fortsetzen</i>

	pun.max.1.why.2@71@e-max-pun-1@Для тех, кто не в курсе: Макс будет наказан за то, что подглядывал за мной. Я уже предупреждала, что не люблю, когда кто-то нарушает личное пространство...|Für den Fall, dass es jemand nicht weiß: Max wird dafür bestraft werden, dass er Mich beobachtet hat. Ich habe Dich gewarnt, die Privatsphäre der Menschen zu respektieren.
		pun.max.1.begin^															<i>далее</i>|<i>fortsetzen</i>

	pun.max.1.why.3@71@e-max-pun-1@Для тех, кто не в курсе: Макс будет наказан за то, что подглядывал за мной... с Эриком. Я уже предупреждала, что такое недопустимо!|Für den Fall, dass es jemand nicht weiß: Max wird dafür bestraft werden, dass er Mich und Eric beobachtet hat. Ich habe Dich gewarnt, die Privatsphäre der Menschen zu respektieren.
		pun.max.1.begin^															<i>далее</i>|<i>fortsetzen</i>

	pun.max.1.why.4@71@e-max-pun-1@Для тех, кто не в курсе: Макс будет наказан за то, что подглядывал за Алисой в душе и, возможно, даже подбросил паука. Ты знаешь, что такое я не потерплю!|Für den Fall, dass es jemand nicht weiß: Max wird dafür bestraft werden, dass er Alice in der Dusche beobachtet und möglicherweise eine Spinne auf sie geworfen hat. Ich habe Dich gewarnt, das ist inakzeptables Verhalten.
		pun.max.1.begin^															<i>далее</i>|<i>fortsetzen</i>

	pun.max.1.why.5@71@e-max-pun-1@Для тех, кто не в курсе: Макс будет наказан за своё отвратительное поведение. Надеюсь, теперь будешь думать о том, что делать и что говорить!|Für den Fall, dass es jemand nicht weiß: Max wird für ein schreckliches Verhalten bestraft werden. Ich hoffe, du denkst darüber nach, was du tust und sagst.
		pun.max.1.begin^															<i>далее</i>|<i>fortsetzen</i>

	pun.max.1.begin@15@<i>Мама наказывает меня прямо перед сёстрами... Это так унизительно...\n\n<color=orange><b>Внимание:</b> Ваш авторитет среди присутствующих снизился!</color></i>|<i>Mom bestraft mich vor allen.... Das ist so demütigend...</i>\n\n\n<i><b>Warnung:</b> Deine Autorität bei alle Anwesenden hat abgenommen.</i>
		pun.max.1.next!add_alisa.dom_-50!add_liza.dom_-50!add_mom.dom_-50!add_count.max.spanked_1!max_cam.5.grow_130^			<i>далее</i>|<i>fortsetzen</i>

	pun.max.1.next@69@e-momabouts-1@Ну вот. Теперь все всё поняли? Ведите себя хорошо и вас не ждёт эта учесть...|Ich hoffe, das wird dich lehren, dich so zu verhalten, dass du in Zukunft nicht mehr an diesem Ort sein wirst.
		needpunish>0&pun.start^														<i>продолжить</i>|<i>fortsetzen</i>
		needpunish=0&hour=9&breakfast.default^										<i>начать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^										<i>начать ужин</i>|<i>Essen anfangen</i>


	pun.alisa.1@63@Алиса, иди сюда, снимай штаны, есть разговор!|Komm her, Alice. Zieh deine Hose aus.
		alisa.punreason=6&pun.alisa.1.why.6^										<i>далее</i>|<i>fortsetzen</i>

	pun.alisa.1.why.6@23@Мам, за что? Что я такого сделала?|Wofür, Mom? Was habe ich getan?
		pun.alisa.1.why.6.next!set_dcd.alisasmoke_2^								<i>далее</i>|<i>fortsetzen</i>

	pun.alisa.1.why.6.next@62@Алиса, ты издеваешься? Я нашла сигареты у тебя в комнате! Ты опять куришь! Быстро сняла штаны и легла на мои колени, кому сказала!|Ich habe Zigaretten in deinem Zimmer gefunden! Du rauchst schon wieder! Zieh deine Hose aus und leg dich auf meine Knie!
		nopants.alisa=1&pun.alisa.1.nopants^										<i>далее</i>|<i>fortsetzen</i>
		nopants.alisa=0&pun.alisa.1.punish^											<i>далее</i>|<i>fortsetzen</i>

	pun.alisa.1.nopants@20@Мам, но я сегодня без трусов... Пусть Макс уйдёт или отвернётся, хотя бы...|Aber Mom, ich trage jetzt kein Höschen.... Sag Max, er soll gehen oder sich wenigstens wegsehen, bitte....
		pun.alisa.1.nopants.next^													<i>далее</i>|<i>fortsetzen</i>

	pun.alisa.1.nopants.next@63@Ты ещё и без трусов?! Сейчас ещё и за это получишь! Макс пусть смотрит, а тебе будет стыдно. Может тогда за ум возьмёшься!|Du wirst auch dafür bestraft, dass du keinen Slip trägst! Und Max wird zusehen, es wird die Strafe effektiver machen.
		pun.alisa.1.nopants.punish^													<i>далее</i>|<i>fortsetzen</i>

	pun.alisa.1.nopants.punish@23@e-alisa-p-n-1@Ай, больно же! Мам, я больше не буду!!!\n\n<color=lime><i><b>Внимание:</b> Ваш авторитет у Алисы немного повысился!</i></color>|Au, es tut weh! Ich werde es nicht wieder tun, Mom!\n\n<color=lime><i><b>Warnung:</b> Deine Autorität bei Alice hat zugenommen!</i></color>
		pun.alisa.1.endpunish!add_alisa.dom_50^										<i>далее</i>|<i>fortsetzen</i>

	pun.alisa.1.punish@23@e-alisa-p-p-1@Ай, больно же! Мам, я больше не буду!!!\n\n<color=lime><i><b>Внимание:</b> Ваш авторитет у Алисы немного повысился!</i></color>|Au, es tut weh! Ich werde es nicht wieder tun, Mom!\n\n<color=lime><i><b>Warnung:</b> Deine Autorität bei Alice hat zugenommen!</i></color>
		pun.alisa.1.endpunish!add_alisa.dom_75^										<i>далее</i>|<i>fortsetzen</i>

	pun.alisa.1.endpunish@60@Я знаю, что не будешь. Заслужила наказание, терпи!|Ich weiß, dass du das nicht tun wirst. Nimm die Strafe, die du verdienst.
		pun.alisa.1.endpunish.2!add_count.alisa.spanked_1^							<i>далее</i>|<i>fortsetzen</i>

	pun.alisa.1.endpunish.2@62@e-momabouts-1@Так, всё, надевай свои джинсы. Надеюсь, ты осознала свои поступки и следующего раза не будет...|Okay, du kannst deine Hose anziehen. Ich hoffe, du hast deine Lektion gelernt und es wird nicht wieder vorkommen.
		needpunish>0&pun.start^														<i>продолжить</i>|<i>fortsetzen</i>
		needpunish=0&hour=9&breakfast.default^										<i>начать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^										<i>начать ужин</i>|<i>Essen anfangen</i>

	pun.liza.1@63@Лиза, подойди-ка ко мне. И да, штаны снимай, ты заслужила!|Komm her, Lisa.
		liza.punreason=2&pun.liza.1.why.2^											<i>далее</i>|<i>fortsetzen</i>

	pun.liza.1.why.2@49@Мам... Я не специально... Просто, задание было сложное...|Ich habe es nicht mit Absicht getan, Mom.... Die Hausaufgaben waren zu kompliziert....
		pun.liza.1.why.2.next^														<i>далее</i>|<i>fortsetzen</i>

	pun.liza.1.why.2.next@62@Сложное? У тебя была куча времени, чтобы подготовиться! Сидишь в своём телефоне вечно вместо того, чтобы учиться. Быстро снимай штаны!|Du hattest genug Zeit, um alles richtig zu machen! Du sitzt nur da, mit dein Handy, anstatt die ganze Zeit deine Hausaufgaben zu machen. Hosen runter!
		pun.liza.1.pun^																<i>далее</i>|<i>fortsetzen</i>

	pun.liza.1.pun@46@e-liza-p-n-1@Ма-ам, я больше не буду... Ай... Всмысле буду лучше учиться. Извини...\n\n<color=lime><i><b>Внимание:</b> Ваш авторитет у Лизы немного повысился!</i></color>|Es wird nicht wieder vorkommen, Mom.... Au! Nächstes Mal geht es mir besser. Es tut mir leid.\n\n<color=lime><i><b>Warnung:</b> Deine Autorität bei Lisa hat zugenommen!</i></color>
		pun.liza.1.pun.step2!add_liza.dom_50^										<i>далее</i>|<i>fortsetzen</i>

	pun.liza.1.pun.step2@60@Конечно, будешь. Поразительно. Тебе даже Макс помогает, а ты двойки хватаешь! Совсем расслабилась.|Natürlich wirst du das. Du bekommst sogar Hilfe von Max und du versagst immer noch! Gib dir mehr Mühe!
		pun.liza.1.pun.step3!add_count.liza.spanked_1!max_liza.hw.status_3^			<i>далее</i>|<i>fortsetzen</i>

	pun.liza.1.pun.step3@62@e-momabouts-1@Так, всё. Иди садись за стол и что-бы это был последний раз!|Okay, das reicht jetzt. Geh an den Tisch und es ist besser das letzte Mal!
		needpunish>0&pun.start^														<i>продолжить</i>|<i>fortsetzen</i>
		needpunish=0&hour=9&breakfast.default^										<i>начать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^										<i>начать ужин</i>|<i>Essen anfangen</i>



# --- Мама смотрит телевизор. Самый первый эвент|Mom schaut fern, erste Veranstaltung

	mom.tv.next.0.init@0@Что смотришь?|Was schaust du dir an?
	mom.tv.next.0@60@Да так, всякую ерунду. Хотела какой-нибудь фильм посмотреть. Садись рядом, если тоже делать нечего...|Noch nichts, ich wollte mir einen Film ansehen. Du kannst dich mir anschließen, wenn du willst.
		mom.tv.next.0.Sicher!add_mom.tv_1^			Конечно! Что смотреть будем?|Klar, was sehen wir uns an?
		mom.tv.next.0.nexttime^						В другой раз...|Ein anderes Mal....

	mom.tv.next.0.nexttime@75@Ну, как хочешь!|Okay, es ist deine Entscheidung.
		leave!lock^									Не будут тебе мешать...|Okay, ich überlasse es dir.

	mom.tv.next.0.sure@69@e-mom-max-tv-start-1@Я не знаю. Мне вот подруга посоветовала фильм с Томом Крузом и Николь Кидман, называется «С широко закрытыми глазами». Смотрел?|Ich weiß nicht, wirklich. Mein Freund hat mir einen Film mit Tom Cruise und Nicole Kidman empfohlen, er heißt "Eyes wide shut". Hast du es gesehen?
		mom.tv.next.0.sure.no^						Нет, не слышал о таком. Давай смотреть!|Nein, noch nie davon gehört. Lasst uns zusehen!
		mom.tv.next.0.sure.ero^						Да это же эротика!|Es ist Erotik!
		mom.tv.next.0.sure.smt^						Да, слышал кое-что о нём...|Ja, ich habe etwas gehört....

	mom.tv.next.0.sure.no@75@Отлично! Вот сейчас и посмотрим, что там подруга насоветовала...|Toll, mal sehen, was sie uns empfohlen hat....
		mom.tv.next.0.start.0^						<i>начат? просмотр</i>|<i>den Film ansehen</i>

	mom.tv.next.0.sure.ero@68@Правда?! Ой, Макс, извини, я не знала. Тогда, нам с тобой его точно смотреть вместе не следует. А подруге я всё скажу, за то что не предупредила...|Das ist es!? Tut mir leid, Max, das wusste ich nicht. Dann werden wir es uns jetzt definitiv nicht ansehen. Ich werde meinem Freund sagen, dass er mich nicht gewarnt hat....
		mom.tv.next.0.sure.ero.nevermind^			Да всё в порядке, я уже взрослый!|Es ist okay, Mom, es macht mir nichts aus!
		leave!lock^									Ну, как скажешь. Я тогда пойду...|Wenn du es sagst. Ich werde gehen

	mom.tv.next.0.sure.ero.nevermind@62@Нет, Макс. Не в этот раз. Я лучше посмотрю новости или какой-нибудь сериал... Извини, что тебя обнадёжила...|Nein, Max, diesmal nicht. Ich schaue mir nur eine zufällige Show oder Nachrichten an.... Es tut mir leid, dass ich dich enttäuscht habe.
		leave!lock^									Ладно, не буду мешать...|Okay, dann lasse ich dich in Ruhe.

	mom.tv.next.0.sure.smt@60@Да? И что ты о нём слышал? Хороший фильм? Стоит смотреть?|Und was hast du gehört? Ist es ein guter Film? Ist es wert, angesehen zu werden?
		mom.tv.next.0.sure.smt.yeah^				Да, отзывы отличные|Ja, es hat tolle Kritiken!
		mom.tv.next.0.sure.ero^						Ну, это эротика...|Es ist Erotik!

	mom.tv.next.0.sure.smt.yeah@75@Ну, раз отзывы хорошие, тогда, давай смотреть!|Dann lass uns zusehen!
		mom.tv.next.0.start.0^						<i>начать просмотр</i>|<i>den Film ansehen</i>

	mom.tv.next.0.start.0@1@e-mom-max-tv-ews-0@<i>Интересно, мама хотя бы подозревает, что это эротика?... Посмотрим...</i>|<i>Ob Sie wohl weiß, das es Erotik ist!...?</i>
		mom.tv.next.0.start.1^						<i>далее</i>|<i>fortsetzen</i>

	mom.tv.next.0.start.1@73@e-mom-max-tv-ews-1@Ой, кажется, я не посмотрела какой возрастной рейтинг у фильма...|Ich hätte die Bewertung des Films nachschlagen sollen....
		mom.tv.next.0.start.2^						Да всё в порядке!|Es ist in Ordnung.

	mom.tv.next.0.start.2@69@e-mom-max-tv-ews-2@Да уж... В порядке. Ну, если ты стесняешься, можешь закрыть глаза...|Ja, richtig.... Du kannst deine Augen schließen, wenn du willst.
		poss.control=0&mom.tv.next.0.start.3^					Я уже взрослый! И не такое видел!|Ich bin erwachsen, das ist nicht das Vulgärste, was ich in meinem Leben gesehen habe.
		poss.control>0&ericplace<2&mom.tv.next.0.start.alt.1^	Я уже взрослый! И не такое видел!|Ich bin erwachsen, das ist nicht das Vulgärste, was ich in meinem Leben gesehen habe.
		poss.control>0&ericplace>1&mom.tv.next.0.start.3^		Я уже взрослый! И не такое видел!|Ich bin erwachsen, das ist nicht das Vulgärste, was ich in meinem Leben gesehen habe.

	mom.tv.next.0.start.alt.1@69@Ты... Про нас с Эриком? До сих пор очень стыдно. Но он прав, лучше уж на нас смотреть, чем неизвестно какое порно в интернете...|Redest du von Eric und mir? Ich schäme mich immer noch dafür. Aber er hat Recht, uns zuzusehen ist besser als Gott weiß was im Netz....
		mom.tv.next.0.start.alt.2^					Ты правда так считаешь?|Meinst Du wirklich?
		mom.tv.next.0.start.alt.3^					И это не кажется тебе странным?|Und du findest es nicht seltsam?
		mom.tv.next.0.start.alt.4^					Тебе не кажется, что Эрик тобой управляет?|Denkst du nicht, dass Eric dich kontrolliert?

	mom.tv.next.0.start.alt.2@60@Да. Я полностью согласна с Эриком. Он знает, о чём говорит...|Ja, ich stimme Eric zu, er weiß, wovon er redet....
		mom.tv.next.0.start.alt.4^					Тебе не кажется, что Эрик тобой управляет?|Denkst du nicht, dass Eric dich kontrolliert?

	mom.tv.next.0.start.alt.3@60@Странным? Почему? Конечно, я бы не хотела, чтобы ты смотрел, но если уж смотришь, значит интересно. А раз так, то пусть лучше мы, чем что-то другое...|Warum? Ich würde es vorziehen, wenn Er nicht zuschauen würden, aber wenn er schauen, dann ist er neugierig. Und das ist besser, als Gott weiß was im Web zu sehen....
		mom.tv.next.0.start.alt.4^					Тебе не кажется, что Эрик тобой управляет?|Denkst du nicht, dass Eric dich kontrolliert?

	mom.tv.next.0.start.alt.4@62@Макс! Ты говоришь так, как будто я не в своём уме. Никто мной не управляет! И, вообще, давай вернёмся к фильму, а то что-то мы пропустили всё...|Max! Du sagst es wie eine Gehirnwäsche. Niemand kontrolliert mich! Und zurück zum Film, wir haben die ganze Sache verpasst....
		mom.tv.next.0.start.8^						А что, уже конец?|Was, ist es schon vorbei?

	mom.tv.next.0.start.3@62@e-mom-max-tv-ews-3@Да ты что? И где, интересно мне знать? Я когда подключала интернет, выбрала самый безопасный вариант, чтобы оградить вас от такого... Так где ты что там видел?|Und wo würdest du das tun? Ich habe den am meisten eingeschränkten Internet-Provider gewählt, damit Sie so etwas nicht sehen können.... Wo würden Sie so etwas sehen?
		mom.tv.next.0.start.4^						Да это не важно. В любом случае, это же популярный фильм с известными актёрами, что тут такого может быть...|Das spielt keine Rolle. Und in irgendeiner Weise ist dies ein beliebter Film mit berühmten Schauspielern, wie schlimm könnte es sein?

	mom.tv.next.0.start.4@60@e-mom-max-tv-ews-4@Да, ты прав. Действительно, что... Макс! Чем дальше, тем больше я уверена, что этот фильм не для тебя...|Ich schätze, Du hast Recht.... Max! Ich glaube nicht, dass du dir solche Filme ansehen sollst!
		mom.tv.next.0.start.5^						Ну сама подумай, стали бы Том Круз и Николь Кидман сниматься в эротике?|Denken Sie einfach darüber nach, ob Tom Cruise und Nicole Kidman in etwas zu dreckigem mitspielen würden?

	mom.tv.next.0.start.5@62@e-mom-max-tv-ews-5@Надеюсь, ты закрыл глаза, потому-что это уже слишком!|Ich hoffe, du hast deine Augen geschlossen, denn das ist zu viel!
		mom.tv.next.0.start.6^						Я не смотрю, а что там?|Ich schaue nicht zu.
		mom.tv.next.0.start.6^						Я уже взрослый!|Ich bin kein kleines Kind mehr!

	mom.tv.next.0.start.6@69@e-mom-max-tv-ews-6@Я уже десять раз пожалела, что выбрала этот фильм. Подруге ещё нужно будет сказать «спасибо» за то, что не предупредила...|Ich hätte diesen Film nicht sehen sollen. Ich werde meinem Freund meine Meinung dazu sagen, dass er so etwas empfiehlt....
		mom.tv.next.0.start.7^						Ты до 30 лет будешь меня оберегать от такого?|Wirst du solche Sachen vor mir verstecken, auch wenn ich 30 bin?

	mom.tv.next.0.start.7@62@e-mom-max-tv-ews-7@Ты знаешь, может быть... Но да, ты прав. Фильм и правда хороший оказался. Хотя и не для детей, однозначно...|Ich weiß nicht.... Ich schätze, du hast Recht. Und es war ein guter Film. Aber definitiv nicht für Kinder.
		mom.tv.next.0.start.8^						Мне тоже понравилось!|Ich mochte es auch!

	mom.tv.next.0.start.8@75@e-mom-max-tv-start-1@Жаль, что мы редко с тобой вместе вот так сидим, что-то смотрим. Ну, надеюсь, начало традиции положено. И пусть в следующий раз будет нечто менее... волнующее...|Schade, dass wir das nicht sehr oft machen. Nun, hoffentlich haben wir gerade eine neue Tradition begonnen. Hoffentlich wird der nächste Film nicht so.... aufregend.
		leave!add_mom.mood_100!max_cam.4.grow_160!time^			Конечно, мам!|Natürlich, Mom!



# --- Нейтральный просмотр фильмов с мамой|Neutrale Filmvorführung

	mom.tv.next.1.init@0@Что смотришь?|Was schaust du dir an?
	mom.tv.next.1@60@Да так, всё подряд. Садись рядом, если хочешь...|Nicht viel. Du kannst mir Gesellschaft leisten, wenn du willst.
		msex=0&motv=0&kiratvcan>0&08.bn.0^										Тётя Кира сегодня же придёт?|Wird Tante Kira vorbeikommen?
		msex=0&motv=0&kiratvcan=0&mom.tv.next.1.sure!max_cam.4.grow_150^		Конечно! Что смотреть будем?|Klar, was sehen wir uns an?
		msex=0&motv=0&kiratvcan=0&item.roma=-5&07.adb.0^						А у меня и фильм есть...|Ich habe einen Film dabei.
		msex=0&motv=0&kiratvcan=0&mom.tv.next.1.nexttime^						В другой раз...|Ein anderes Mal....
		msex=0&motv>0&10.ca.0^													Конечно!|Sicher!
		msex=1&13.ca.0!set_nottoday_1^											Хочу... Очень хочу, но кое-что другое...|Ich will etwas anderes....
		motv>0&mom.tv.next.1.nexttime^											В другой раз...|Ein anderes Mal....


	mom.tv.next.1.nexttime@75@Как хочешь, дорогой. А я что-нибудь посмотрю...|Okay, ich werde da sein, wenn du mich brauchst....
		leave!lock^									Не буду тебе мешать...|Dann überlasse ich es dir.

	mom.tv.next.1.sure@75@e-mom-max-tv-start-1@Да вот, по кабельному какой-то фильм сейчас начнётся...|Ein Film fängt gleich an....
		mom.tv.next.1.start^						<i>начать просмотр</i>|<i>den Film ansehen</i>

	mom.tv.next.1.start@4@e-mom-max-tv-default-1@<i>Мама так близко... В одном полотенце... Даже не знаю о чём фильм, о нём я думать точно не могу...</i>|<i>Mom ist so nah dran.... in nichts als einem Handtuch.... Ich weiß nicht mal, worum es im Film geht....</i>
		mom.tv.next.1.end^							<i>закончить</i>|<i>beenden</i>

	mom.tv.next.1.end@75@e-mom-max-tv-start-1@Ну что, отличный фильм, как мне кажется! А тебе понравилось, Макс?|Das war ein toller Film! Hat es dir gefallen, Max?
		mom.tv.next.1.end.yeah!add_mom.mood_50^		Да, очень!|Ja!
		mom.tv.next.1.end.so!add_mom.mood_40^		Почти также, как сидеть рядом с тобой...|Fast so viel wie direkt neben dir zu sitzen....

	mom.tv.next.1.end.so@73@Что, прости? Не поняла...|Es tut mir leid, was?
		mom.tv.next.1.end.so.nothing^				Не бери в голову, это я так, пошутил неудачно...|Vergiss es, ich habe nur versucht, einen Witz zu machen.

	mom.tv.next.1.end.yeah@67@Ну я рада. Ладно, спасибо что посидел со мной. Пойду в свою комнату, хватит фильмов на сегодня...|Ich bin froh, dass es dir gefallen hat. Und danke, dass du hier bei mir sitzt. Ich gehe auf mein Zimmer, das sind genug Filme für heute.
		leave!time^									Ага, давай...|Okay, gute Nacht

	mom.tv.next.1.end.so.nothing@75@Ясно. Ну, спасибо за компанию. Пойду в свою комнату, хватит с меня фильмов на сегодня...|Oh, okay. Nun, danke für deine Gesellschaft. Ich gehe auf mein Zimmer, das sind genug Filme für heute.
		leave!time^									Ага, хорошо посидели...|Ja, ich hatte einen schönen Abend.



# --- Мама с Эриком сидят перед телевизором|Eric und Ann sehen fern.

	mom.eric.tv@120@Кажется, мама с Эриком смотрят какую-то эротику. Видимо, классика...|Sieht aus, als würden Eric und Mom etwas Erotik sehen. Ich schätze, es sind Klassiker.
		mom.eric.tv.voyeur^								<i>наблюдать за ними</i>|<i>beobachte Sie</i>
		mom.eric.tv.come^								<i>подойти к ним</i>|<i>auf sie zugehen</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	mom.eric.tv.come@73@Ой, Макс... Мы тут с Эриком фильмы смотрим. Я бы тебя пригласила, но они не для детей. Ты не мог бы погулять где-то? И, пожалуйста, не подглядывай. Хорошо?|Oh, Max.... Eric und ich schauen einen Film. Ich würde dich auch einladen, der Film ist zu erwachsen für dich. Könntest du etwas anderes machen? Und bitte nicht spannen, okay?
		leave!lock^										Конечно, мам! <i>(уйти)</i>|Natürlich, Mom! <i>(verlassen)</i>
		mom.eric.tv.voyeur^								Конечно, мам! <i>(спрятаться)</i>|Natürlich, Mom! <i>(verstecken)</i>

	mom.eric.tv.voyeur@120@e-momeric-tv-1-0@Ого! На экране стало интереснее! А куда это мама так наклонилась?|Wow! Es gibt einige interessante Aktionen in dem Bildschirm! Warte, hat sich Mom gerade gebeugt?
		mom.eric.tv.voyeur.2^							<i>смотреть ещё</i>|<i>weiter beobachten</i>

	mom.eric.tv.voyeur.2@120@e-momeric-tv-2-0@Ничего себе! У мамы полотенце свалилось на пол! Я вижу её голую попку? Может быть, подойти ближе?|Wow! Moms Handtuch fiel auf den Boden! Ich kann ihren nackten Arsch sehen! Soll ich näher kommen?
		mom.eric.tv.closer.1^							<i>Что за вопрос? Конечно!</i>|<i>Warum ist das überhaupt eine Frage? Natürlich!</i>
		mom.eric.tv.voyeur.3^							<i>продолжать смотреть</i>|<i>weiter beobachten</i>

