# --- Шаблон завтрака по умолчанию|Standard-Frühstück

		bf.2.liza.bad.7.help.2^							Да не стоит...|Es ist keine große Sache....

	bf.2.liza.bad.7.help.2@41@Спасибо, Макс! Ты же мне поможешь с уроками?|Danke, Max! Du hilfst mir bei meinen Hausaufgaben, oder?
		bf.2.liza.bad.7.help.3!add_liza.mood_30^		Конечно, Лиза!|Natürlich, Lisa.
		bf.2.liza.bad.7.help.3!add_liza.mood_-30^		Посмотрим...|Wir werden sehen....

	bf.2.liza.bad.7.help.3@60@z-breakfast-family-1@Так, хватит, потом разберётесь. Сейчас пора завтракать. А то на работу опоздаю. Давайте садитесь, приятного аппетита!|Du kannst später darüber reden, lass uns frühstücken, ich will nicht zu spät zur Arbeit kommen. Beeilt euch, Leute, und Guten Appetit!
		bf.2.begin^										Приятного аппетита|Guten Appetit!

	bf.2.begin@60@Давайте сменим тему. Скажите, только меня смущают картины, которые висят в наших комнатах?|Lass uns das Thema wechseln. Bin ich der Einzige, der sich um die Bilder in unseren Zimmern kümmert?
		bf.2.begin.art^									Какие картины?|Welche Bilder?
		bf.2.begin.nice^								Ты про тех голых женщин в ваших спальнях?|Redest du von nackten Frauen in deinen Schlafzimmern?

	bf.2.begin.art@21@Макс, не притворяйся, что не видел. В наших спальнях с мамой уже была вся мебель и картины, в том числе. Наверняка, пялился на них, когда увидел...|Als ob du sie nicht bemerkt hättest, Max. Meine und Moms Schlafzimmer hatten bereits Möbel und Bilder, als wir eingezogen sind. Du hast sie wahrscheinlich angestarrt, als du zum ersten Mal bemerkt hast....
		bf.2.begin.art.no^								И ничего я не пялился!|Ich habe nichts angestarrt!
		bf.2.begin.art.so^								Ну и что. Хорошие картины...|Na und. Ich mag die Bilder, sie sind schön.

	bf.2.begin.art.no@31@Ага. Где же ещё увидеть такие картинки, раз в интернете провайдер всё блокирует, правда?|Ja, wo sonst könnten Sie diese Art von Bildern sehen, da unser Internet-Provider alles so blockiert, richtig?
		bf.2.begin.art.so^								А вот и нет! Но картины красивые...|Falsch! Aber ich mag die Bilder trotzdem....

	bf.2.begin.nice@21@Да, Макс, про тех. А что мам тебе не нравится? Там же нет ничего такого. Думаю, что это даже искусство... Лично меня всё устраивает!|Ja, Max. Stört es dich, Mom? Es ist nicht so, als wären sie zu vulgär. Ich denke, es ist Kunst und ich bin damit einverstanden.
		bf.2.begin.art.3^								<i>далее</i>|<i>fortfahren</i>

	bf.2.begin.art.so@21@Да ты любым будешь рад, особенно таким... Но да, я согласна с Максом, красивые. Лично меня всё устраивает!|Natürlich tust du das.... Aber ich stimme Max zu, ich mag die Bilder auch.
		bf.2.begin.art.3^								<i>далее</i>|<i>fortfahren</i>

	bf.2.begin.art.3@75@Ну, если вы так говорите... Я сначала хотела их снять, чтобы не смущать никого. Ваш отец, видимо, холостяцкий дом строил и оформлял соответственно... Но если никого не смущает, то и меня всё устраивает.|Wenn du das sagst.... Zuerst wollte ich sie vernichten, aber da du mit ihnen einverstanden bist.... Ich schätze, dein Vater hat eine Junggesellenbude gebaut und sie entsprechend dekoriert.
		bf.2.begin.father^								<i>далее</i>|<i>fortfahren</i>

	bf.2.begin.father@49@Кстати, про него не было новостей?|Hast du übrigens etwas von ihm gehört?
		bf.2.begin.father.2^								<i>далее</i>|<i>fortfahren</i>

	bf.2.begin.father.2@62@Нет, и слава богу. Конечно, я рада этому подарку, этому дому. Хотя, до сих пор не понимаю с чего он так расщедрился. Но даже так не компенсировать пропущенные годы вашего воспитания и семейной жизни...|Zum Glück, nein. Auch wenn ich froh bin, dass er uns dieses Haus geschenkt hat, verstehe ich immer noch nicht, warum er es uns aus heiterem Himmel geben sollte. Und selbst dieses Haus ist nicht genug, um ihm zu verzeihen, dass er gegangen ist.
		bf.2.begin.father.3^								<i>далее</i>|<i>fortfahren</i>

	bf.2.begin.father.3@60@Так, всем спасибо за завтрак, мне пора на работу. Сегодня мне позвонили и сказали, что приедет машина, довезёт до работы. Нельзя опаздывать...|Danke fürs Frühstück, ich gehe zur Arbeit. Sie haben den Wagen nach mir geschickt, damit ich nicht zu spät komme.
		bf.2.begin.father.4.erik^						Что, от Эрика?|Hat Eric ihn geschickt?
		bf.2.begin.father.4.driver^						Что, сам Эрик приедет?|Also, Eric wird dich zur Arbeit fahren?
		bf.2.begin.father.4.good^						Тогда поспеши!|Dann solltest du dich beeilen.

	bf.2.begin.father.4.erik@73@Да... Видимо, так компания старается поддерживать новичков...|Ja. Vielleicht versucht das Unternehmen, eine willkommene Atmosphäre für die Neuankömmlinge zu schaffen....
		bf.2.begin.father.5.dontthink^					Что-то я сомневаюсь...|Ich bezweifle es
		bf.2.begin.father.4.good^						Может быть. Тогда, поспеши!|Ich schätze schon. Dann solltest du dich beeilen.

	bf.2.begin.father.4.driver@75@Нет, Макс, что ты. Он большой начальник. Босс моего босса. Его тоже возит свой водитель. Просто... Я думаю, что так компания поддерживает новичков...|Natürlich nicht, Max. Er ist ein beschäftigter Mann, er hat keine Zeit, mich zur Arbeit zu fahren. Er ist der Boss meines Chefs. Er hat einen persönlichen Fahrer. Vielleicht versucht das Unternehmen, eine willkommene Atmosphäre für die Neuankömmlinge zu schaffen....
		bf.2.begin.father.5.dontthink^					Что-то я сомневаюсь...|Ich bezweifle es
		bf.2.begin.father.4.good^						Может быть. Тогда, поспеши!|Ich schätze schon. Dann solltest du dich beeilen.

	bf.2.begin.father.5.dontthink@60@Кто знает. Посмотрим, к чему это всё приведёт. В любом случае, я рада, что не придётся трястись в общественном транспорте и теперь точно успею. Ну всё, я побежала!|Wer weiß. Wir werden sehen, wohin es führt. Jedenfalls bin ich froh, dass ich meine Zeit nicht mit öffentlichen Verkehrsmitteln verschwenden muss und nicht zu spät komme. Okay, ich mache mich auf dem Weg, seid brav!
		leave!time^										Давай, удачи...|Okay, viel Glück

	bf.2.begin.father.4.good@67@Ну всё, ещё раз всем спасибо. А тебе, Лиза, удачи в школе. Не подведи меня!|Ja, danke fürs Frühstück, Leute. Viel Glück in der Schule, Lisa, enttäusche mich nicht!
		leave!time^										Пока, мам...|Bye, Mom



# --- Третий завтрак (пятница)|Drittes Frühstück, Freitag

	bf.3@75@z-breakfast-family-1@Всем приятного аппетита! Хотя, за завтраком обычно не принято болтать, но в нашей семье это уже давно не так. Поэтому, рассказывайте - у кого какие новости?|Guten Appetit, alle zusammen! Reden beim Essen ist nicht die beste Idee, aber es ist eine Art Tradition in unserer Familie, also sagt mir, hat jemand Neuigkeiten?
		bf.3.next.1^									<i>далее</i>|<i>fortfahren</i>

	bf.3.next.1@22@У меня не совсем новость, а скорее вопрос. Скоро же выходные, да?|Es ist nichts Neues, aber ich habe eine Frage. Es ist bald ein Wochenende, oder?
		bf.3.next.2^									А тебе какая разница?|Warum interessiert dich das?

	bf.3.next.2@21@Отвали, Макс. Дело в том, что я бы хотела сходить в ночной клуб, а у меня ни одного подходящего платья нет!|Hau ab, Max. Ich würde gerne in Clubs gehen, aber ich habe kein Kleid für diesen Anlass.
		bf.3.next.3^									<i>далее</i>|<i>fortfahren</i>

	bf.3.next.3@62@Алиса, мы не в том положении, чтобы покупать тебе платья для клубов. Да и о чём ты говоришь? Ты бы делом занялась, а не о клубах думала!|Wir können es uns nicht leisten, dir ein Kleid zu kaufen, Alice. Und wovon redest du überhaupt? Du solltest über einen Job oder eine Universität nachdenken, nicht über das Feiern.
		bf.3.next.4!add_mom.mood_50!add_alisa.mood_-50^	Мама всё правильно говорит!|Ja, Mom hat Recht!
		bf.3.next.4^									<i>молчать</i>|<i>sei still</i>

	bf.3.next.4@23@Мам! Я молодая, красивая, мне надо развлекаться. Ты сама рассказывала, как раньше зажигала, а мне не даёшь?|Komm schon, Mom! Ich bin jung, schön, ich will mich ab und zu amüsieren. Du hast mir all diese Geschichten über deine Jugend erzählt und jetzt willst du mir den Spaß verwehren?
		bf.3.next.5^									<i>далее</i>|<i>fortfahren</i>

	bf.3.next.5@69@Ну, Алиса... Я тебя понимаю, конечно. Но ты же хочешь какое-то дорогое платье, наверняка? Сейчас у нас не очень много денег, ты сама знаешь...|Komm schon, Alice.... Ich verstehe deine Situation, aber du willst wahrscheinlich etwas Teures. Wir haben nicht viel Geld....
		bf.3.next.6^									Может быть, помочь?|Vielleicht kann ich dir helfen?
		bf.3.next.7^									<i>молчать</i>|<i>sei still</i>

	bf.3.next.6@62@Ого, Макс! Да ты у нас тайный миллионер? И откуда у тебя доходы? Не я ли тебе деньги даю на карманные расходы?|Bist du heimlich Millionär, Max? Das Taschengeld ist deine einzige Einnahmequelle, woher würdest du das Geld nehmen?
		bf.3.next.7^									Ну да, погорячился...|Ich schätze, du hast Recht....

	bf.3.next.7@26@Мам, да мне не обязательно дорогое. Главное, чтобы стильное, красивое, короткое...|Es muss nicht teuer sein, Mom. Es muss nur schön, kurz und....
		bf.3.next.8^									<i>далее</i>|<i>fortfahren</i>

	bf.3.next.8@62@Что значит короткое? Ты там чем собралась заниматься в своём клубе? Я не хочу, чтобы моя дочь в таком виде разгуливала по ночным клубам!|Warum muss es kurz sein? Was wirst du überhaupt in diesen Clubs machen? Ich will nicht, dass du in kurzen Kleidern feierst!
		bf.3.next.9^									<i>далее</i>|<i>fortfahren</i>

	bf.3.next.9@23@Мам, ну не слишком короткое... В общем, любое. Главное, чтобы можно было пойти! Ну ма-ам...|Okay, Mom, es muss nicht zu kurz sein.... Alles ist möglich. Es muss nur gut genug für mich sein, um in den Club zu gehen! Komm schon, Mom....
		bf.3.next.10^									<i>далее</i>|<i>fortfahren</i>

	bf.3.next.10@62@Ну не знаю, Алиса. Посмотрим. Кстати, завтра после завтрака вы все едем на шоппинг. Ну, кроме Макса, наверное...|Ich weiß nicht, Alice. Wir werden sehen. Übrigens, wir gehen morgen alle einkaufen. Nun, jeder außer Max, schätze ich....
		bf.3.next.11a^									Э... Почему кроме меня?|Warum alle außer mir?
		bf.3.next.11b^									Не очень то и хотелось...|Toll, ich will keine Zeit mit Einkaufen verschwenden.

	bf.3.next.11a@75@Ты знаешь, мне кажется, что тебе будут мало интересны магазины со шмотками. У тебя всё есть, а нам, девочкам, нужно кое-что прикупить...|Wir müssen unsere alte Kleidung ersetzen, das meiste davon ist entweder verloren oder zu heiß für dieses Klima. Ich bezweifle, dass du daran interessiert bist. Du hast schon genug Kleidung, aber wir müssen uns viele neue Sachen kaufen.
		bf.3.next.12a^									Так у вас же денег нет?|Woher willst du das Geld für den Einkaufsbummel nehmen?
		bf.3.next.12b^									И кто вас повезёт?|Wie willst du dahin kommen?

	bf.3.next.11b@75@Вот и я так подумала. Разве тебе будут интересны наши девчачьи магазины? А вот нам очень. Как раз всем нам нужно кое-что прикупить...|Das dachte ich mir. Du wirst dich nicht für unsere Mädchensachen interessieren. Und da wir so viel verloren haben, werden wir alles neu kaufen.
		bf.3.next.12a^									Так у вас же денег нет?|Woher willst du das Geld für den Einkaufsbummel nehmen?
		bf.3.next.12b^									И кто вас повезёт?|Wie willst du dahin kommen?

	bf.3.next.12a@60@Ну мы же не будем крупные покупки делать типа дорогих вечерних платьев, так, по мелочи...|Wir werden nichts Teueres wie Abendkleider kaufen, nur die wichtigsten Dinge.
		bf.3.next.12b^									Ясно. И кто вас повезёт?|Ich verstehe. Und wie willst du dahin kommen?

	bf.3.next.12b@62@Макс, ну я же уже говорила про Эрика, вот он за нами отправит машину, а с ним мы встретимся уже в магазине...|Eric wird das Auto nach uns schicken, und wir werden ihn vor Ort treffen.
		bf.3.next.13a^									Так ты знакомишь Эрика с семьёй? Без меня?|Also stellst du Eric schon der Familie vor? Und ich werde nicht mal da sein?
		bf.3.next.13b^									Надеюсь, я то его увижу, когда вернётесь?|Ich hoffe, ich sehe ihn, wenn ihr wiederkommt.

	bf.3.next.13a@60@Ну это не совсем так. Раз уж он нам... мне так помогает во всём, было бы неприлично отказываться и от предложения свозить нас на шоппинг...|Nicht ganz. Da er.... mir so viel hilft, konnte ich seine Einladung zum Einkaufen nicht ablehnen....
		bf.3.next.13b^									Надеюсь, я то его увижу, когда вернётесь?|Ich hoffe, ich sehe ihn, wenn ihr wiederkommt.

	bf.3.next.13b@60@Не знаю, Макс, посмотрим. Возможно, завтра вечером после шоппинга он заедет к нам на ужин, там ты с ним и познакомишься...|Ich weiß nicht, Max, wir werden sehen. Vielleicht bleibt er nach dem Einkaufen zum Essen und du triffst ihn.
		bf.3.next.14^									<i>далее</i>|<i>fortfahren</i>

	bf.3.next.14@48@И какой он, мам? Рассказывай! Значит, у вас всё серьёзно, да? А вы уже целовались?|Wie er ist, Mom? Sag es uns! Ist das euer Ernst? Habt ihr zwei euch schon geküsst?
		bf.3.next.15^									<i>далее</i>|<i>fortfahren</i>

	bf.3.next.15@73@Лиза! Какие вопросы... Нельзя же так спрашивать в лоб! Возможно, у нас всё серьёзно, да. Я давно не встречала такого мужчину. Честно говоря, вообще никогда таких не встречала. Он почти идеален!|Du kannst nicht einfach solche Fragen stellen, Lisa! Ich weiß noch nicht, vielleicht ernsthaft. Ich habe so einen Mann schon lange nicht mehr gesehen. Ehrlich gesagt, habe ich so jemanden noch nie zuvor in meinem Leben getroffen. Er ist fast perfekt!
		bf.3.next.16a^									Ага! Почти?|Aha! Fast?
		bf.3.next.16b^									И какие недостатки?|Also, welche Fehler hat er?

	bf.3.next.16a@62@Макс, ну мы ещё недостаточно друг друга знаем, вдруг окажется, что у него есть какие-то секреты. Поэтому, я и говорю «почти». Но думаю, что это тот самый мужчина...|Wir kennen uns nicht gut genug, ich kann nicht mit Sicherheit sagen, dass er perfekt ist. Er hat vielleicht ein paar Geheimnisse. Aber es fühlt sich an, als wäre er derjenige....
		bf.3.next.17a^									Ты не слишком торопишься с выводами?|Ziehst Du keine voreiligen Schlüsse?

	bf.3.next.16b@33@Макс, тебе не всё ли равно? Очевидно же, что маме нравится этот Эрик. Лучше порадуйся за неё!|Warum interessiert dich das überhaupt, Max? Mom mag Eric offensichtlich, freu dich für sie!
		bf.3.next.17b^									А я рад. Правда.|Das tue ich. Ehrlich gesagt
		bf.3.next.17c^									Мне просто любопытно!|Ich bin nur neugierig.

	bf.3.next.17a@75@Думаю, что нет. Но... посмотрим. Кажется, вы нас женили ещё до того, как мы признались друг другу в симпатии...|Ich glaube nicht.... Wir werden sehen. Aber es fühlt sich an, als hättest du schon geheiratet, bevor Eric und ich überhaupt über unsere Gefühle gesprochen haben....
		bf.3.next.18a^									А вы уже признались?|Hast du darüber gesprochen?
		bf.3.next.18b^									Кто говорит о свадьбе?|Niemand redet über die Hochzeit!
		bf.3.next.18c^									А ты сама не слишком спешишь?!|Sieht aus, als hättest du es eilig!

	bf.3.next.17b@75@Спасибо, Макс. Для меня очень важна поддержка семьи. Хотя, меня немного смущает, что вы как будто нас уже поженили мысленно ещё до того, как мы признались друг другу в симпатии...|Danke, Max. Ich bin froh, dass ihr mich alle unterstützt. Aber es fühlt sich an, als hättest du bereits geheiratet, bevor Eric und ich überhaupt über unsere Gefühle gesprochen haben....
		bf.3.next.18a^									А вы уже признались?|Hast du darüber gesprochen?
		bf.3.next.18b^									Кто говорит о свадьбе?|Niemand redet über die Hochzeit!
		bf.3.next.18c^									А ты сама не слишком спешишь?!|Sieht aus, als hättest du es eilig!

	bf.3.next.17c@75@Не сомневаюсь, что любопытно. Не стоит забегать вперёд. Меня даже немного смущает, что вы как будто нас уже поженили мысленно ещё до того, как мы признались друг другу в симпатии...|Da bin ich mir sicher. Aber es fühlt sich an, als hättest du bereits geheiratet, bevor Eric und ich überhaupt über unsere Gefühle gesprochen haben....
		bf.3.next.18a^									А вы уже признались?|Hast du darüber gesprochen?
		bf.3.next.18b^									Кто говорит о свадьбе?|Niemand redet über die Hochzeit!
		bf.3.next.18c^									А ты сама не слишком спешишь?!|Sieht aus, als hättest du es eilig!

	bf.3.next.18a@62@Макс! Мне кажется, стоит сменить тему. Я не хочу пока об этом говорить... |Max! Ich denke, wir sollten das Thema wechseln. Ich will noch nicht darüber reden....
		bf.3.next.19^									Хорошо...|Okay

	bf.3.next.18b@69@Ну я образно... И, вообще, давайте сменим тему!|Ich sprach metaphorisch, ich sprach nicht über die eigentliche Ehe.... Wie auch immer, lass uns das Thema wechseln.
		bf.3.next.19^									Хорошо...|Okay

	bf.3.next.18c@23@Макс! Ну сколько можно? Мама сама разберётся. Лично я очень за неё рада. Думаю, Лиза тоже. А вот ты... не знаю. Ладно, давайте сменим тему, а то Макс что-то докапывается...|Wirst du jemals aufhören, Max? Mom kann alles selbst herausfinden. Ich persönlich freue mich sehr für sie. Und ich bin sicher, Lisa auch. Aber du.... Wie auch immer, lass uns das Thema wechseln, Max belästigt Mom mit zu vielen Fragen.
		bf.3.next.19^									И ничего я не докапываюсь...|Das tue ich nicht!

	bf.3.next.19@60@Так, ладно. Кажется, завтрак закончен, все уже наелись. Мне пора на работу, а Лизе в школу. Алиса, не забудь вымыть посуду!|Okay. Sieht aus, als wäre das Frühstück vorbei. Ich gehe zur Arbeit, Lisa geht zur Schule. Vergiss nicht, das Geschirr zu abzuwaschen.
		leave!time^										<i>закончить завтрак</i>|<i>Frühstück beendent</i>



# --- Четвёртый завтрак (суббота)|4. Frühstück, Samstag

	bf.4@60@z-breakfast-family-1@Всем приятного аппетита. Это наш первый выходной в новом доме и сегодня у нас в планах кое-что приятное, правда?|Guten Appetit, alle zusammen. Heute ist unser erstes Wochenende in unserem neuen Haus, also haben wir gute Pläne, oder?
		bf.4.next.1^									Если ты о шоппинге, то меня вы всё равно не берёте...|Wenn du über das Einkaufen redest, dann nimmst du mich sowieso nicht mit.

	bf.4.next.1@62@Макс, ну мы же это уже обсуждали. Тебе с нами будет не интересно. А с Эриком ты и так познакомишься, просто чуть позже, вечером|Wir haben das schon besprochen, Max. Du würdest sowieso nicht mit uns gehen wollen, und du wirst Eric später, am Abend, treffen können.
		bf.4.next.2^									Как скажешь, мам...|Okay, Mom

	bf.4.next.2@21@Макс, мне показалось или ты как-то предвзято относишься к Эрику? Как будто уже его ненавидишь...|Max, es sieht so aus, als ob du Eric aus irgendeinem Grund nicht magst. Es ist, als ob du ihn bereits hasst....
		bf.4.next.3a^									Ну, я его не знаю...|Ich kenne ihn nicht.
		bf.4.next.3b^									А вдруг он не тот, за кого себя выдаёт|Was, wenn er nicht der ist, der er zu sein scheint?
		bf.4.next.3c^									Я переживаю о маме|Ich mache mir Sorgen um Mom!

	bf.4.next.3a@62@Макс, я тебя прекрасно понимаю и тоже сомневалась бы на твоём месте, но поверь, у тебя будет возможность с ним познакомиться и узнать лучше...|Ich verstehe deine Position, Max, und ich würde mich auch an deiner Stelle sorgen, aber du wirst die Gelegenheit haben, ihn kennenzulernen.
		bf.4.next.4a^									Ну, хорошо...|Schätze ich

	bf.4.next.3b@43@И за кого он себя выдаёт? За человека, которому нравится мама, а на само деле он... кто?|Mir scheint, er mag nur Mom. Was glaubst du, wer er wirklich ist?
		bf.4.next.4b^									Ну не знаю. Может, он маньяк...|Was, wenn er eine Art Irrer ist?
		bf.4.next.4c^									Дело не в этом, я не знаю его мотивов...|Ich kenne seine Motive nicht.
		bf.4.next.4d^									Может он очередной придурок!|Vielleicht ist er ein anderer Idiot!

	bf.4.next.3c@22@Да ты не переживать должен, а радоваться, что у мамы налаживается её личная жизнь! К тому же, ещё и с работой так повезло и даже повышение в первую неделю светит...|Anstatt sich Sorgen zu machen, solltest du dich stattdessen für Mom freuen! Sie hatte nicht nur einen Freund, sondern auch Glück mit dem neuen Job und wird vielleicht sogar in der ersten Woche befördert.
		bf.4.next.4a^									Ладно, ладно. Посмотрим...|Gut, gut, gut. Wir werden sehen.
		bf.4.next.4a^									Да я рад...|Ja, ich bin glücklich.

	bf.4.next.4b@62@Макс, ты слишком много сериалов смотришь. Стоит допустить на миг, что не все кругом маньяки, убийцы и насильники.|Du siehst zu viel fern, Max. Nicht jeder um dich herum ist ein Irrer.
		bf.4.next.4a^									Хорошо. Извини, мам...|Okay. Tut mir leid, Mom.

	bf.4.next.4c@62@Вот и не стоит раньше времени предполагать худшее. Познакомишься уже сегодня и выяснишь для себя всё, что нужно...|Dann solltest du nicht das Schlimmste annehmen. Du wirst ihn heute treffen, damit du dir bald deine Meinung über ihn bilden kannst.
		bf.4.next.4a^									Ну, хорошо...|Schätze ich

	bf.4.next.4d@26@Ой, кто бы говорил! Очередной... Маму повысили в первую неделю, дали личного водителя, на шоппинг вот везут, а ты всё ворчишь. Не веди себя сам как придурок и люди к тебе потянутся!|Sieh mal, wer da spricht! Mama wurde in der ersten Arbeitswoche befördert, ein persönlicher Fahrer, sie wird bald zum Einkaufen gebracht, und du beschwerst dich immer noch. Benimm dich nicht wie ein Idiot und die Leute werden es zu schätzen wissen!
		bf.4.next.4a^									Ладно, посмотрим на вашего Эрика...|Gut, sehen wir uns zuerst diesen Eric an.

	bf.4.next.4a@75@Вот и отлично! Хватит уже про Эрика, давайте обсудим что планируем купить..|Großartig! Und genug über Eric, lass uns über unsere Einkaufspläne reden....
		poss.swimsuit=0&bf.4.next.5a^					<i>далее</i>|<i>fortfahren</i>
		poss.swimsuit>0&bf.4.next.5b^					<i>далее</i>|<i>fortfahren</i>

	bf.4.next.5a@43@Я знаю! Мне нужен купальник! Такой, чтобы можно было загорать и чтобы такой, ну вы понимаете, да?\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Ich weiß! Ich brauche einen Bikini! Ich meine, ich brauche einen offenen, damit ich mich darin bräunen kann. Du weißt, was ich meine.\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		bf.4.next.6!set_poss.swimsuit_2^				Конечно, как тут не понять...|Ja, schon verstanden.

	bf.4.next.5b@43@Я знаю! Мне нужен купальник! Такой, чтобы можно было загорать и чтобы такой, ну вы понимаете, да?|Ich weiß! Ich brauche einen Bikini! Ich meine, ich brauche eine offene, damit ich mich darin bräunen kann. Du weißt, was ich meine.
		bf.4.next.6!set_poss.swimsuit_2^				Конечно, как тут не понять...|Ja, schon verstanden.

	bf.4.next.6@21@Лиза! Хватит тараторить. Купальник у тебя уже есть, а вот клубного платья у меня нет ни одного вообще. Так что, сначала мне!|Du hast schon einen Bikini, Lisa, aber ich habe kein einziges Kleid zum Ausgehen. Also bin ich der Erste!
		bf.4.next.7^									Не подеритесь!|Du wirst nicht mehr streiten, oder?

	bf.4.next.7@42@У меня купальник закрытый и в нём не позагорать. А клубы твои ничем хорошим не заканчиваются... Особенно, когда...|Ich kann mich in meinem einteiligen Badeanzug nicht bräunen. Und eure Schlägereien enden sowieso nie gut, besonders wenn ihr....
		bf.4.next.8!set_rumor.alco_1^					Что особенно? Подробнее, пожалуйста...|<i>fortfahren</i>

	bf.4.next.8@28@Лиза! Заткнись, пожалуйста. Хватит об этом. Ладно, сначала тебе купальник, потом мне платье...|Lisa! Könntest du bitte die Klappe halten!? Gut, zuerst Bikini, dann Kleid.
		bf.4.next.9^									Я не понял. Что это было? О чём Лиза ты хотела рассказать?|Was ist gerade passiert? Wovon hast du gesprochen, Lisa?

	bf.4.next.9@49@Мне кажется, Алиса не хочет, чтобы я что-то рассказывала... Так что сам с ней разбирайся...|Ich glaube nicht, dass Alice will, dass ich etwas sage.... Du wirst sie fragen müssen....
		bf.4.next.10!set_alisa.ask.alco_1^				Обязательно разберёмся. Мне же интересно!|Okay, wird gemacht.

	bf.4.next.10@60@Не знаю о чём речь, но думаю, вы и правда между собой всё выясните. А сейчас пора собираться на шоппинг. Всем спасибо за завтрак!|Ich weiß nicht, wovon du redest, aber du kannst es später herausfinden, wir gehen bald einkaufen, also mach dich bereit. Danke für das Frühstück, Leute!
		leave!time^										Да, спасибо...|Ja ja, Danke



# --- Пятый завтрак (воскресенье). Мама возвращается утром от Эрика|Sonntag, Ann kommt zurück von Eric

	bf.5@62@z-breakfast-family-1@Всем доброе утро, приятного аппетита...|Guten Morgen, alle zusammen, Guten Appetit.
		bf.5.next.1^					Ну что, как всё прошло?|Also, wie ist alles gelaufen?

	bf.5.next.1@69@Ты о чём, Макс? Я не понимаю...|Wovon redest du, Max?
		bf.5.next.2^					Как о чём? Про ночь с Эриком!|Ich rede von deinem Nacht mit Eric.
		bf.5.next.2^					Я про визит к Эрику...|Wie war dein Abend?

	bf.5.next.2@62@Всё в порядке, спасибо. Не думаю, что стоит это сейчас обсуждать...|Es war gut, danke. Ich denke nicht, dass wir darüber reden sollten.
		bf.5.next.4^					Как скажешь, мам...|Okay, Mom

	bf.5.next.4@41@А ты часто теперь будешь к нему ездить так... на ночь?|Wie oft willst du bei ihm übernachten?
		bf.5.next.5^					Хороший вопрос...|Gute Frage

	bf.5.next.5@73@Лиза, я даже не знаю что тебе сказать... Я и Эрик... нравимся друг другу. И иногда он будет приходить к нам. Иногда я к нему. Это нормально для взрослых. Ты же меня понимаешь?|Ich weiß nicht, was ich dir sagen soll, Lisa.... Eric und ich mögen uns. Manchmal bleibt er hier, manchmal bleibe ich bei ihm zu Hause. Das ist normal für Erwachsene. Du verstehst mich, oder?
		bf.5.next.6^					<i>далее</i>|<i>fortfahren</i>

	bf.5.next.6@33@Да всё мы понимаем, мам. Не переживай. Просто, ты так долго была одна и тут такой... Эрик... Мы очень рады, что у тебя налаживается твоя личная жизнь. И мы не будем тебе мешать, да, Макс?|Wir verstehen es, Mom, keine Sorge. Es ist nur, du warst so lange allein und jetzt hast du jemanden, der so toll ist. Wir freuen uns für dich und stehen dir nicht im Weg. Stimmt's, Max?
		bf.5.next.7^					А что сразу я? Но да, я согласен с Алисой...|Warum fragst du mich? Aber ja, ich stimme Alice zu.
		bf.5.next.7^					Конечно!|Natürlich!

	bf.5.next.7@75@Я очень рада, что вы у меня такие... сообразительные.|Ich bin sehr froh, dass du das verstehst.
		bf.5.next.8^					Значит, Эрик будет и к нам приходить на ночь?|Also, bedeutet das, dass Eric manchmal über Nacht bleiben wird?

	bf.5.next.8@21@Макс! Ну вот опять. Мы же сказали, что не будем вмешиваться и лезть с вопросами...|Max! Wir haben gerade gesagt, dass wir uns nicht in ihr Privatleben mit all diesen Fragen einmischen werden.
		bf.5.next.9^					Да я просто спросил...|Was, ich habe nur gefragt....

	bf.5.next.9@62@Да всё в порядке, Алиса. Я понимаю, Максу любопытно. Это же и нарушение вашего личного пространства, когда кто-то посторонний начинает посещать наш общий дом.|Es ist in Ordnung, Alice. Es ist eine ganz normale Frage, er wird ein neues Mitglied in unserem Haus sein, er ist eine Störung in deinem persönlichen Bereich.
		bf.5.next.10!add_mom.mood_-20^	Да, вот интересно, как часто он будет нарушать это пространство...|Ja, ich will wissen, wie oft er in unseren persönlichen Bereich eindringt....
		bf.5.next.10^					Ага, мне просто любопытно...|Ja, ich bin nur neugierig.

	bf.5.next.10@73@Ещё рано об этом говорить, но... может быть... будем с ним встречаться через день-два, то у него, то у нас... Может быть...|Es ist vielleicht zu früh, um es zu sagen, aber.... vielleicht.... Ich denke, wir werden es jeden zweiten Tag wechseln. Ein Tag hier, ein Tag bei ihm.
		bf.5.next.11a^					Ого, так часто?|Wow, so oft?
		bf.5.next.11b^					Может, ему переехать сюда тогда?|Vielleicht zieht er einfach hier ein?
		bf.5.next.11c^					Может, тебе к нему переехать?|Vielleicht ziehst du einfach in sein Haus ein?
		bf.5.next.11d^					Понятно...|Ich verstehe

	bf.5.next.11a@28@Макс! Это уже не смешно. Завязывай с допросом. Мама сама разберётся когда ей и с кем встречаться! Да, мам?|Das ist nicht mehr lustig, Max! Genug mit den Fragen. Mom kann es nicht selbst entscheiden. Richtig, Mom?
		bf.5.next.12a^					<i>далее</i>|<i>fortfahren</i>

