# --- 0.6: Первый визит Оливии и Алекса вместе, но не парой|lisa spricht Erste Olivia und Alex Besuch nach der Trennung

	06.tola.0@140@m-op-0@Приветик! Это мы. Думали, больше нас не увидите? А вот и нет!|Hallo, alle zusammen! Wir sind es. Dachtest du, du siehst uns nie wieder? Hier sind wir!

	06.oalof.13@142@Так, но искупаться всё равно надо! Я даже не знаю что обожаю больше - бассейн или секс...|Nun, wir sollten schwimmen gehen. Ich weiß nicht einmal, was ich mehr liebe: Pool oder Sex....
		06.oalof.14^	Но зачем выбирать? Можно всё и сразу!|Warum nicht beides?

	06.oalof.14@143@t-o-7@А может быть сделаем это в бассейне? Я ни разу не трахалась в воде... Ну, почти...|Sollen wir es wirklich im Pool machen? Ich habe es noch nie im Pool gemacht.... Nun, fast....
		06.oalof.15^	Почти?|Beinahe?

	06.oalof.15@141@Ну... Я вспомнила один случай, но не думаю, что надо об этом рассказывать. Папа говорил, что это секрет...|Na ja.... Ich erinnerte mich an ein Mal, aber ich bin mir nicht sicher, ob ich darüber reden sollte. Dad sagte, es sei ein Geheimnis....
		06.oalof.16^	Ого...|Wow

	06.oalof.16@43@Ты что, делала это со своим папой, Оливия?!|Du hast es mit deinem Vater gemacht, Olivia!?
		06.oalof.17^	<i>далее</i>|<i>fortfahren</i>

	06.oalof.17@143@Ну, не это... Просто, мы дурачились, а потом его член упёрся в меня, а я ему подыграла... Ничего такого, но с тех пор и начались эти скандалы у него с мамой... А может быть, дело в чём-то другом...|Nicht wirklich.... Wir haben herumgealbert und dann hat sein Schwanz in mir gesteckt, und ich habe mitgespielt.... Nichts ist wirklich passiert, aber das war, als seine Streitereien mit Mama angefangen haben.... Oder vielleicht hat es nichts damit zu tun....
		06.oalof.18^	Ну да...|Vielleicht

	06.oalof.18@40@Так, ладно. Давайте, не будем о грустном. Предлагаю пойти спать. Пока я не передумала...|Lass uns über etwas anderes reden. Wie wär's, wenn wir schlafen gehen? Bevor ich meine Meinung geändert habe....
		06.oalof.19^	Ого. Тогда, бежим!|Dann beeilen wir uns!
		06.oalof.19^	Оливия, нам пора!|Wir sollten gehen, Olivia!

	06.oalof.19@142@m-op-52@Кажется, Лиза где-то задержалась. Она же не будет стоять за дверью и ждать, пока мы закончим? Или не будем гадать и начнём без неё?|Sieht aus, als würde Lisa zurückbleiben. Sie wird nicht hinter Türen bleiben und warten, bis wir fertig sind, oder? Oder sollen wir ohne sie anfangen?
		06.oalof.20^	Я всегда за!|Ich bin immer bereit!

	06.oalof.20@4@t-ao-3@<i>Как же я обожаю эти ночные визиты Оливии! Да ещё и Лиза так изменилась. Может быть даже удастся повторить то, что было в прошлый раз? Ой, вот и она идёт...</i>|<i>Ich liebe Olivias Besuche! Und Lisa hat sich so sehr verändert. Vielleicht können wir das letzte Ereignis wiederholen.... Und hier ist sie.</i>
		06.oalof.21^	А мы тут...|Wir sind hier

	06.oalof.21@43@t-ao-4@Да я уже всё вижу. Времени зря не теряли... Вот решила же, что это всё неправильно, а как вас увидела... Сразу мысли другие появились...|Ich verstehe. Du hast keine Zeit verschwendet, huh.... Und hier war ich, entschieden, es ist alles so falsch, aber nachdem ich dich gesehen habe.... Ich bin mir nicht mehr so sicher....
		06.oalof.22^	Это очень хорошие мысли...|Du denkst in die richtige Richtung.

	06.oalof.22@142@t-ao-11@Макс, пока Лиза не передумала, покажи как ты её любишь... Ну, как в прошлый раз...|Max, zeig deiner Schwester, wie sehr du sie liebst, bevor sie ihre Meinung ändert, wie letztes Mal.
		06.oalof.23^	Конечно!|Sicher!

	06.oalof.23@41@t-ao-12@Ой... Я же хотела этого избежать... но... Макс, ты просто... нечто... Всё, моя сила воли куда-то делась... Да... продолжай... ещё... ох...|Oh.... ich wollte das vermeiden.... aber.... Max, du bist so.... unglaublich.... Ja.... weiter.... mehr.... oh....
		06.oalof.24^	<i>продолжить</i>|<i>fortfahren</i>

	06.oalof.24@142@t-ao-13@Как бы я хотела это всё записать на телефон, чтобы потом перед сном смотреть снова и снова...|Ich wünschte, ich könnte ein Video davon machen, damit ich es mir später immer wieder ansehen kann....
		06.oalof.25^	Зачем смотреть запись, если можешь поучаствовать!|Warum ein Video machen, wenn man mitmachen kann?

	06.oalof.25@143@t-ao-18@Тоже верно... А теперь мы вдвоём поиграем с тобой... Ложись и дай показать девочкам, на что мы способны, да Лиза?|Dem kann ich nicht widersprechen.... Wir sind an der Reihe, mit dir zu spielen.... Leg dich hin und lass uns Mädchen zeigen, was wir haben. Richtig, Lisa?
		06.oalof.26^	Хорошо...|Okay

	06.oalof.26@4@t-ao-19@<i>Девчонки сегодня жгут! Это полный отпад! Вдвоём ласкают мой член! Кому рассказать, не поверят! Хотя, о таком мало кому расскажешь... Я теперь даже не знаю кого из них хочу больше... Вот бы обеих сразу!</i>|<i>Mädchen stehen heute in Flammen! Sie lecken meinen Schwanz zusammen! Unglaublich! Ich weiß nicht mal, wen ich mehr will.... Ich wünschte, ich könnte beides tun!</i>
		06.oalof.27^	<i>далее</i>|<i>fortfahren</i>

	06.oalof.27@142@t-ao-20@Лиза, не поможешь нам язычком? Кажется, без дополнительной смазки он меня может порвать... Да, так намного лучше...|Willst du mir mit deiner Zunge helfen, Lisa? Ich fürchte, er zerreißt mich ohne zusätzliches Gleitmittel.... Ja, das ist viel besser....
		06.oalof.28^	<i>далее</i>|<i>fortfahren</i>

	06.oalof.28@143@t-ao-22@О да... Макс... Как же я скучала по твоему члену... Ой. У тебя свободная рука. Может быть, Лизе тоже поможешь своими ловкими ручками?|Oh, ja, Max.... Ich habe deinen Schwanz so sehr verMist.... Wie wäre es, wenn du deiner Schwester hilfst?
		06.oalof.29^	Коне?но!|Sicher!

	06.oalof.29@4@t-ao-21@<i>Похоже, Лизе именно этого и не хватало! Она явно перевозбуждена и вот-вот кончит! Да и я тоже... И Оливия на грани?! Вот это да... Ещё секунду и...</i>|<i>Sieht so aus, als hätte Lisa das wirklich gebraucht! Sie steht schon kurz davor, zu kommen! Und ich auch.... Und Olivia auch!? Wow.... Jeden Moment....</i>
		06.oalof.30^	<i>кончить!</i>|<i>spritzen!</i>

	06.oalof.30@142@t-ao-22@Ох... Похоже, я кончила одновременно с Максом! Лиза, а ты как себя чувствуешь? Лиза? Понятно... Не думала, что такое возможно... Да, ребятки... Вы - лучшая находка в моей жизни...|Oh.... Sieht aus, als wären Max und ich zusammen gekommen! Wie fühlst du dich, Lisa? Lisa? Ich verstehe.... Ich wusste nicht, dass das möglich ist.... Wow, Leute.... Du bist das Beste in meinem Leben....
		06.oalof.31a^	Ты - тоже ничего...|Dir geht es auch gut....
		06.oalof.31b^	Это нам с тобой повезло!|Wir sind die Glücklichen!

	06.oalof.31a@143@Ах ты хам! Вот как расслаблю киску и залью тебя твоей же спермой, сам пойдёшь отмываться!|Du behältst diese Einstellung und ich werde deine ganze Ficksahne auf dich schütten!
		06.oalof.31^	Воу, полегче! Зачем так жёстко!|Hey!

	06.oalof.31b@43@Да, Оливия... Я так долго сопротивлялась и отрицала... Но теперь понимаю, что я извращенка, как и мой брат... Ну и ладно!|Ja, Olivia.... Ich war so lange dagegen, aber jetzt weiß ich, dass ich genauso pervers bin wie mein Bruder.... Und es ist Großartig!
		06.oalof.31^	Вот это верно!|Das ist richtig!

	06.oalof.31@41@t-ao-11@Ну всё, кому там надо в душ, идите, а я спать... Спасибо вам, что убедили... Я уже ни о чём не жалею...|Okay, geh duschen, wenn du eine brauchst, aber ich werde schlafen.... Danke, dass du mich überzeugt hast.... Ich bereue nichts....
		leave!set_dcd.oli_5!set_olihome_1!max_cam.6.grow_250!set_oco_4!set_lit4_1!set_dcd.lit_2!max_olivia.rep_7!sleep^	Спокойной ночи, Лиза!|Gute Nacht, Lisa



# --- 0.6: Разговор с Лизой насчёт развития их отношений после 3го визита Оливии. Может произойти в любой момент.|Gespräch mit Lisa über Beziehungen nach dem dritten Besuch von Olivia.

	06.ltaoz.0.init@0@По поводу наших отношений...|Über unsere Beziehung....
	06.ltaoz.0@41@Отношений? А какие у нас с тобой отношения?|Wovon redest du?
		06.ltaoz.1^		Ну, ближе, чем раньше, верно?|Wir stehen uns näher als vorher, oder?

	06.ltaoz.1@43@Макс... Мне всё ещё очень стыдно за то, что у нас было пару раз с Оливией. И я всё ещё считаю, что это всё очень неправильно... Но да, ты прав, отрицать, что мне жутко понравилось, не буду...|Komm schon, Max.... Ich schäme mich immer noch für das, was wir mit Olivia gemacht haben. Und ich denke immer noch, es ist alles sehr falsch.... Aber du hast Recht, ich kann nicht leugnen, wie sehr ich es mochte.
		06.ltaoz.2^		Вот и я об этом!|Das ist es, wovon ich rede!
		06.ltaoz.2^		Мне тоже понравилось...|Ich mochte es auch

	06.ltaoz.2@48@Так что именно ты хотел обсудить?|Also, was willst du besprechen?
		06.ltaoz.3^		Может быть, раз мы так близки теперь, будем иногда и без Оливии развлекаться?|Ich dachte, da wir jetzt so nah dran sind, können wir auch ohne Olivia herumalbern.

	06.ltaoz.3@40@Э... Стоп. Макс. Одно дело, когда это вроде дружеской вечеринки, перетекающей... ну, сам понимаешь во что. Другое дело - если брат с сестрой...|Warte, Max. Etwas auf der Party zu tun ist eins, aber etwas alleine zu tun ist....
		06.ltaoz.4^		И в чём разница? И там и там мы с тобой...|Wo ist der Unterschied? In beiden Situationen sind wir....

	06.ltaoz.4@41@Ну не знаю, Макс. Ты правда такой озабоченный, что хочешь... меня?|Ich weiß nicht, Max. Bist du wirklich so pervers, dass du mich willst?
		06.ltaoz.5a^	Ну, ты лучшая!|Du bist die Beste!
		06.ltaoz.5^		Просто я только о тебе думаю и... ты такая классная!|Ich kann nicht aufhören, an dich zu denken.... Du bist so großartig!

	06.ltaoz.5a@48@Лучшая? Что, даже лучше Оливии?|Die Beste? Noch besser als Olivia?
		06.ltaoz.5c^	Ага! Только ей не говори...|Ja! Aber erzähl ihr nichts.

	06.ltaoz.5c@41@Потому-что ты ей говоришь то же самое? Да не парься, всё в порядке. К тому же, она твоя девушка и я рада, что у тебя всё хорошо. Вот ещё и мне заскучать не даёте...|Weil du ihr dasselbe sagst? Keine Sorge, du bist nicht in Schwierigkeiten. Sie ist deine Freundin und ich freue mich für dich. Und ich bekomme auch etwas Action....
		06.ltaoz.5^		А вообще, я тебя обожаю!|Ich liebe dich, Lisa.

	06.ltaoz.5@43@Спасибо, Макс. Ты тоже... ничего. Уж точно лучше этого Алекса. Какая же я была дура, что на него повелась... Он и правда туповат, да и джентьлмен из него так себе. Ты в этом плане лучше всех, кого я знаю...|Danke, Max, mit dir geht es auch gut. Definitiv besser als Alex. Ich kann nicht glauben, dass ich mich nach ihm gesehnt habe. Er ist irgendwie dumm und auch nicht gerade ein Gentleman.... Du bist der beste Kerl, den ich kenne, um ehrlich zu sein.
		06.ltaoz.6^		И я всегда рядом, сестрёнка!|Und ich bin immer für dich da, Schwester!

	06.ltaoz.6@41@Ну да. Ты прав. В общем, ничего не обещаю и прошу тебя не приставать. Когда я пойму чего хочу и насколько я... развращена, так сказать, дам тебе знать. Но ничего не обещаю...|Ja, du hast Recht. Was soll ich sagen, ich verspreche nichts. Bitte nerve mich nicht damit. Ich werde darüber nachdenken und sobald ich weiß, wie pervers ich bin, lasse ich es dich wissen. Aber ich verspreche nichts.
		06.ltaoz.7^		И как я узнаю?|Und woher soll ich das wissen?

	06.ltaoz.7@43@Ой. Если я пойму, что тоже этого хочу, ты узнаешь первым!|Oh, wenn ich entscheide, dass ich dich will, <i>wirst du es wissen</i>.
		06.ltaoz.8^		Ну а с Оливией продолжим общаться?|Und nichts hat sich mit Olivia geändert?

	06.ltaoz.8@40@Конечно. Почему нет. Я даже ворчать больше не буду. Классно же время проводим... Но ты и я вместе... В общем, я всё сказала. Надеюсь, ты меня услышал.|Natürlich nicht, warum. Wir haben eine tolle Zeit und werden uns nicht einmal mehr beschweren. Aber nur wir.... Wie auch immer, ich habe alles gesagt, was ich wollte, ich hoffe, du hast mich verstanden.
		leave!set_lit4_2^			Конечно. Буду ждать!|Natürlich. Ich werde warten!



# --- 0.6: Четвёртый визит Оливии|4. Besuch von Olivia

	06.oalog.0@143@t-o-1@Приветик, сладкая парочка!|Hallo, meine Lieben!
		06.oalog.1^		И тебе добрый вечер!|Guten Abend

	06.oalog.1@41@t-o-2@И никакая мы не парочка... Как дела у тебя, Оливия?|Wir sind keine Lieblinge.... Wie geht es dir, Olivia?
		06.oalog.2^		<i>далее</i>|<i>fortfahren</i>

	06.oalog.2@142@Ой. Полный порядок! Целый день ждала момента, когда разденусь и прыгну в ваш бассейн...|Mir geht's großartig! Ich habe den ganzen Tag darauf gewartet, in deinen Pool zu springen....
		06.oalog.3^		Так чего ждать? Раздеваемся!|Warum dann warten? Lass uns gehen

	06.oalog.3@143@t-o-5@Ой. Кажется, Макс уже готов... Кстати, Лиза, как тебе удаётся жить с парнем, у которого такой... и не наброситься на него?|Sieht aus, als wäre Max bereit.... Übrigens, Lisa, wie schaffst du es, mit diesem Schwanz zu leben, ohne ihn rund um die Uhr zu springen?
		06.oalog.4a^	Она же толком ещё ни разу не трахалась!|Weil sie es noch nie zuvor getan hat.
		06.oalog.4b^	Сам удивляюсь!|Ja, es ist auch für mich ein Rätsel!

	06.oalog.4b@142@t-o-6@Вот и я тоже. Если бы у меня под боком был такой парень, я бы с него не слезала!|Wenn ich so einen Kerl in meinem Haus hätte, wäre ich nie von ihm runtergeklettert!
		06.oalog.4c^	Ого!|Wow

	06.oalog.4c@41@Ну... Я не знаю. Просто, я ещё не готова к сексу. Не хочу терять невинность раньше времени, да ещё с братом... Это же потом всю жизнь буду жалеть...|Ich bin noch nicht bereit für Sex. Und ich will meine Jungfräulichkeit nicht so verlieren, mit meinem Bruder.... Ich fürchte, ich werde es für den Rest meines Lebens bereuen.
		06.oalog.4d^	Жалеть? А чего тут жалеть?|Was gibt es da zu bereuen?

	06.oalog.4d@142@Ну может быть, Лиза и права... Но ведь это так заводит...|Vielleicht hat Lisa Recht.... Aber es ist so aufregend....
		06.oalog.4^		Ну да, очень...|Ja, das ist es

	06.oalog.4a@43@t-o-6@Возможно ты удивишься, Макс, но некоторые не трахаются со своими братьями только потому, что у них большие члены... Конечно, я о таком не спрашивала подруг, но что-то мне подсказывает, что невинность теряют не с братьями обычно...|Du wirst überrascht sein, Max, aber manche Leute ficken ihre Brüder nicht, nur weil sie große Schwänze haben. Nicht, dass ich jemanden danach gefragt hätte, aber ich bezweifle, dass es üblich ist, die Jungfräulichkeit an seinen Bruder zu verlieren.
		06.oalog.4e^	Откуда ты знаешь?|Woher willst du das wissen?

	06.oalog.4e@142@Макс, Лиза сама решит где и как потеряет невинность. Если она ещё не готова, не настаивай, а то отпугнёшь и будешь трахаться только со мной. Этого же нельзя допустить, верно? Поэтому, отстань от сестрёнки|Max, Lisa kann selbst entscheiden, wie und wann sie die Jungfräulichkeit verliert. Wenn du nicht zulässt, dass sie ihre eigene Wahl trifft, wirst du sie wegstoßen und du wirst mit mir zurechtkommen. Das wollen wir doch nicht, oder?
		06.oalog.4^		Ты права...|Du hast Recht....

	06.oalog.4@41@t-o-7@Ну всё, хватит об этом, пойдём купаться!|Genug davon, gehen wir in den Pool!
		06.oalog.5^		Конечно!|Sicher

	06.oalog.5@48@Кстати, Оливия, а у тебя что там с бассейном? Родители не помирились?|Übrigens, Olivia, wie läuft es mit deinem Pool? Haben sich deine Eltern versöhnt?
		06.oalog.6^		<i>далее</i>|<i>fortfahren</i>

	06.oalog.6@142@Похоже, пока папа не вернётся, бассейном некому будет заниматься. Родители всё ещё в ссоре, а значит вы меня ещё часто будете видеть в гости...|Ich glaube nicht, dass Dad zurückkommt, und es gibt niemanden, der den Pool repariert. Meine Eltern sind immer noch getrennt, also wirst du mich noch öfter sehen....
		06.oalog.7^		<i>далее</i>|<i>fortfahren</i>

	06.oalog.7@41@Напомни, если не секрет, а в чём дело? Твой отец к тебе приставал и мама увидела? Или что произошло?|Kannst du mir sagen, was das Problem ist? Hat dein Vater dich angefasst und deine Mutter hat ihn erwischt? Was ist passiert?
		06.oalog.8^		Ого...|Wow

	06.oalog.8@143@Ой, нет, что ты... Мы почти всегда дома ходим без одежды и как-то никто на это не реагировал... До некоторых пор. В общем, у папы в моём присутствии стал всё чаще вставать, представляете?! И мама стала на это реагировать...|Nein, nichts dergleichen. Wir sind fast immer nackt zu Hause und niemand hat vorher darauf reagiert.... Bis vor kurzem Dad fing an, einen Ständer zu haben wenn ich in der Nähe bin, kannst du dir das vorstellen?
		06.oalog.9^		И всё из-за этого?|Und das ist der Grund für die Trennung?

	06.oalog.9@141@Ну... почти. Я же тоже люблю подразнить... Ну и немного перестаралась. В общем, не будем о грустном. Предлагаю пойти в дом!|Na ja..... fast. Ich mag es zu necken, also.... Ich habe es vielleicht etwas übertrieben. Wie auch immer, lass uns das Thema wechseln. Lass uns reingehen.
		06.oalog.10^	Отличная идея!|Tolle Idee!

	06.oalog.10@142@m-op-53@Может, пригласим твою сестрёнку? Кажется, ей одной очень грустно...|Sollen wir deine Schwester einladen? Ich glaube, sie wird allein traurig sein....
		06.oalog.11^	Конечно!|Natürlich!
		06.oalog.11b^	Ну, мы можем пока начать, а там и она присоединится...|Wie wäre es, wenn wir anfangen und sie sich uns anschließt, wenn sie will.

	06.oalog.11b@143@t-ao-8@Как скажешь, Макс! Кажется, я начинаю привыкать к размеру твоего члена... Да... Придётся купить игрушку побольше, чтобы о тебе вспоминать, когда мы не вместе...|Wie du sagst, Max! Ich glaube, ich gewöhne mich langsam an die Größe deines Schwanzes.... Ja.... Ich muss ein größeres Spielzeug kaufen, um mich an dich zu erinnern, wenn ich nicht hier bin....
		06.oalog.11b.2^		Ого...|Wow

	06.oalog.11b.2@142@Кстати... Если Лиза вдруг решит, что пора... Не вздумай сразу в неё входить, а то ей очень не понравится и больше тебе ничего не светит... Но вы разберётесь... Просто... я бы хотела на это посмотреть...|Oh, und wenn Lisa entscheidet, dass sie bereit ist, denkt nicht einmal daran, sie in einem Rutsch zu nehmen, oder sie wird es nicht mögen und du wirst sie nie wieder anfassen.... Ich bin sicher, du wirst es herausfinden.... Ich würde es aber gerne sehen....
		06.oalog.11b.3^		Может быть и посмотришь...|Vielleicht wirst du
		06.oalog.11b.3^		Надеюсь на это...|Ich hoffe es

	06.oalog.11b.3@141@t-ao-10@А Лиза выглядит скучающей... Может быть, и ей уделишь минутку?|Lisa sieht gelangweilt aus, willst du deine Aufmerksamkeit auf sie lenken?
		06.oalog.11^	Конечно!|Sicher

	06.oalog.11@142@t-ao-11@Лиза... Я бы очень хотела, чтобы Макс немножко улучшил твоё настроение. Ты же не против?|Hey, Lis.... Ich möchte, dass Max deinen Tag ein wenig verbessert. Es macht dir doch nichts aus, oder?
		06.oalog.12^	<i>далее</i>|<i>fortfahren</i>

	06.oalog.12@43@Ну... Если ты настаиваешь... Конечно, я за!|Wenn du darauf bestehst.... Natürlich bin ich dabei!
		06.oalog.13^	Супер!|Super!

	06.oalog.13@4@t-ao-12@<i>Да она только этого и ждала! Ножки сразу распахнула! Вот и отлично. Может быть, скоро удастся убедить её перейти и к самому сладкому... Но спешить не стоит, конечно...</i>|<i>Wow, sie war wirklich begierig auf eine Einladung! Gut. Vielleicht kann ich sie überreden, weiter zu gehen.... Aber ich sollte nicht voreilig sein.</i>
		06.oalog.14^	<i>продолжить</i>|<i>fortfahren</i>

	06.oalog.14@142@t-ao-13@Макс, покажи своей сестрёнке, как ты её любишь... Нежно, но страстно!|Ja, Max, zeig deine Liebe zu deiner Schwester.... Vorsichtig, aber leidenschaftlich.
		06.oalog.15^	<i>продолжить</i>|<i>fortfahren</i>

	06.oalog.15@4@t-ao-14@<i>Оливия молодец! Не даёт никому заскучать... Даже не представляю, как бы я мог дойти до такого с Лизой без Оливии...</i>|<i>Olivia ist so großartig! Ich kann mir nicht vorstellen, ohne hier zu sein....</i>
		06.oalog.16^	<i>продолжить</i>|<i>fortfahren</i>

	06.oalog.16@142@t-ao-16@Лиза, может быть и ты побалуешь своего брата? А я тебе помогу...|Also, Lisa, wie wäre es, wenn du deinen Bruder ein wenig verwöhnst? Ich werde dir helfen....
		06.oalog.17^	Ох...|Oh

	06.oalog.17@4@t-ao-18@<i>Обожаю этот момент! Такие девчонки и обе соревнуются кто лучше сосёт! Вот бы устроить соревнования! А, глупости... Конечно, Оливия победит... Конечно, если Лиза не будет тренироваться... А что, я только за!</i>|<i>Ich liebe das. Die Girls versuchen, sich gegenseitig zu übertreffen, indem sie die Besten bei Blowjobs sein wollen! Ich würde gerne einen Wettbewerb haben! Olivia würde gewinnen, obwohl, Hände nach unten.... Wenn Lisa nicht anfängt zu üben.... Das würde mir gefallen!</i>
		06.oalog.18^	<i>далее</i>|<i>fortfahren</i>

	06.oalog.18@3@t-ao-19@<i>Лиза так увлечённо это делает... И у неё правда получается всё лучше и лучше... Интересно, а может быть всё ещё круче или о большем и мечтать нельзя? Но есть же ещё её киска... Ох... Чёрт, я не могу больше сдерживаться!</i>|<i>Lisa steht wirklich auf so was. Und es geht ihr besser.... Wird das besser oder soll ich mich über das freuen, was ich habe....? Aber ich würde gerne den ganzen Weg gehen.... Ich kann nicht mehr warten!</i>
		06.oalog.19^	<i>кончить Оливии в рот!</i>|<i>spritze in Olivias Mund</i>

	06.oalog.19@4@t-ao-17@<i>Ох... Обожаю, когда они вот так обмениваются моей спермой через поцелуи... Я такого даже в фильмах не видел! У Оливии явно большой опыт в этих делах... Боюсь даже представить откуда...</i>|<i>Oh.... ich liebe es, wenn sie meine Ficksahne mit einem Kuss tauschen.... Das habe ich noch nicht mal in Pornos gesehen! Olivia hat eindeutig Erfahrung in diesem Bereich.... Ich habe Angst, mir vorzustellen, woher sie es hat....</i>
		06.oalog.20^	<i>далее</i>|<i>fortfahren</i>

	06.oalog.20@41@t-ao-11@Ещё пару раз и я привыкну к этому вкусу во рту... Не думала, что скажу это... Но мне понравилось. И то, что было в конце тоже... Ой, ладно, я много болтаю, а пора спать. Спасибо вам. И... спокойной ночи!|Ich gewöhne mich an den Geschmack.... Ich würde nie so etwas sagen, aber.... Es gefällt mir. Und was danach kam.... Okay, genug geredet, wir sollten schlafen gehen. Danke und Gute Nacht!
		06.oalog.21^	Спокойной ночи, Лиза!|Gute Nacht, Lisa

	06.oalog.21@142@m-op-51@Макс! Я наконец-то поняла кое-что...|Ich habe heute etwas gelernt, Max.
		06.oalog.22^	Что?|Was?

	06.oalog.22@143@Кажется, я сюда прихожу не из-за бассейна!|Ich glaube nicht, dass ich wegen eines Pools herkomme!
		06.oalog.23^	Да л?дно?!|Wirklich!?

	06.oalog.23@142@Ну всё, я это сказала. А теперь пора спать!|Okay, jetzt wo ich es gesagt habe, sollten wir schlafen gehen.
		leave!set_dcd.oli_5!set_olihome_1!max_cam.6.grow_250!set_oco_5!max_olivia.rep_8!sleep^	Спокойной ночи!|Gute Nacht



# --- 0.6: Периодический визит Оливии|Regelmäßiger Besuch von Olivia

	06.oaloh.0@143@t-o-1@А вот и я! Всем приветик! Ну что, скучали?|Hallo, alle zusammen! Habt ihr mich vermisst?
		06.oaloh.1^		Конечно!|Natürlich!
		06.oaloh.1^		Не то слово!|Du kannst es dir nicht mal vorstellen!

	06.oaloh.1@142@t-o-2@Я очень рада. Тоже весь день ждала этот момент. Думала только о вас...|Ich bin sehr froh, das zu hören. Ich habe den ganzen Tag gewartet. Ich habe an dich gedacht....
		06.oaloh.2^		Может быть, не будем терять время и снимем лишнее?|Wie wäre es, wenn wir keine Zeit verschwenden und uns ausziehen?

	06.oaloh.2@41@t-o-4@А я сегодня первая разделась! Какие же вы медленные. Как будто не хотите... купаться...|Ich bin die Erste, die sich heute auszieht! Du bist so langsam.... Es ist, als ob du nicht mal schwimmen gehen willst....
		06.oaloh.3a^	Ты читер! Ты сняла трусы заранее, а у Оливии шортики слишком узкие!|Du hast betrogen, indem du kein Höschen getragen hast! Und Olivia hat enge Shorts!
		06.oaloh.3b^	Купаться? Кто хочет купаться?|Schwimmen? Will wirklich jemand schwimmen gehen?

	06.oaloh.3a@43@Правилами не запрещено! К тому же, я даже тебя опередила, а ведь ты в одних шортах был!|Das ist nicht gegen die Regeln! Und ich habe dich geschlagen, und du trägst nur kurze Hosen!
		06.oaloh.3c^	И что, ты хочешь какой-то приз за это? У меня есть один...|Okay, willst du einen Preis für deinen Sieg? Weil ich etwas im Sinn habe....

	06.oaloh.3c@41@t-o-5@Приз? Обожаю призы... Хотя... Кажется, я поняла о чём ты. Нет, оставь его для Оливии.|Preis? Ich liebe Preise.... Ich glaube, ich weiß, was du meinst.... Nein, du kannst es für Olivia behalten.
		06.oaloh.3f^	Жаль...|Zu schade

	06.oaloh.3f@143@t-o-6@А чего жаль? Твоего приза нам обеим хватит! Ну а сейчас пора в бассейн! Хотя бы для приличия надо окунуться, а то вы и правда подумаете, что я тут ради секса...|Warum ist das so? Es gibt genug Preis für uns beide! Jetzt lass uns zum Pool gehen! Wir sollten wenigstens eine Minute einweichen, sonst glaubst du wirklich, dass ich nur wegen Sex hier bin....
		06.oaloh.3^		Ой, ты что. Никто так не думает... ну, почти...|Oh, nein, niemand denkt das....

	06.oaloh.3b@43@Ну... Я и Оливия. Она же для этого приходит? Или уже нет? Не знаю как вы, а мне нравится плескаться в воде голой. Вот бы ещё и днём это не вызывало кучу вопросов у мамы и Алисы...|Was ist mit Olivia und mir? Das ist der Grund, warum sie hier ist? Oder hat sich das geändert? Ich weiß nicht, wie es dir geht, aber ich schwimme gerne nackt im Pool. Ich würde es auch gerne tagsüber tun, aber ich fürchte, es würde zu viele Fragen aufwerfen.
		06.oaloh.3e^	Кто знает, может быть однажды...|Wer weiß, vielleicht eines Tages....

	06.oaloh.3e@41@t-o-3@Ага, мечтай... Ну всё, пора в бассейн!|In deinen Träumen.... Gehen wir in den Pool!
		06.oaloh.3^		Согласен!|Einverstanden

	06.oaloh.3@43@t-o-7@Похоже, бассейн стал каким-то ритуалом перед... Ну, вы понимаете... Хотя, это очень приятный ритуал. Я вот уже в предвкушении продолжения...|Es ist, als wäre es ein Ritual, in den Pool zu gehen, bevor.... Du weißt schon.... Aber ich mag dieses Ritual. Und ich kann den nächsten Schritt kaum erwarten....
		06.oaloh.4a^	Так чего мы теряем время? Может, сразу и пойдём... спать?|Worauf warten wir dann? Sollen wir schlafen gehen?
		06.oaloh.4b^	Подожди, для приличия нужно ещё выждать пару минут...|Lass uns ein paar Minuten warten.

	06.oaloh.4a@142@Макс... Вот тебе не терпится... Ну да, согласна, мне тоже. Похоже, и Лиза не исключение...|Du kannst es kaum erwarten, Max? Ich auch nicht. Und so auch Lisa nicht....
		06.oaloh.4^		Ну, пойдём!|Dann lass uns gehen!

	06.oaloh.4b@142@Ну что, выждал? Побежали? Шучу... Хотя, судя по вгляду Лизы, нам и правда пора...|...ist das lang genug? Gehen wir, Lisa sieht aus, als wolle sie nicht mehr warten.
		06.oaloh.4^		Ну, пойдём!|Dann lass uns gehen!

	06.oaloh.4@143@m-op-52@С чего предпочитаешь начать, Макс?|Wie willst du anfangen, Max?
		06.oaloh.5a^	Ну, ты можешь показать мастер-класс, а Лиза настроится...|Du kannst deine Fähigkeiten zeigen, während Lisa sich vorbereitet.
		06.oaloh.5b^	Хочу тебя трахнуть на глазах у сестрёнки!|Ich will dich vor meiner Schwester ficken!


	06.oaloh.5a@142@m-op-53@Как скажешь, Макс... Ты у нас главный. Обожаю, когда мужчина рулит ситуацией!|Wie du sagst, Max. Du hast das Sagen. Ich liebe es, wenn der Mann die Situation unter Kontrolle hat!
		06.oaloh.5a.1^	Ага, я такой...|Klingt nach mir

