myroom=МОЯ\nКОМНАТА|Mein \nZimmer
poss.sed.step.29=Второй урок был ещё лучше! Кира мне отсосала на глазах у Лизы! Кажется, я в раю! Правда, Лиза отказалась сделать то же самое... Мне даже показалось, что Лиза не хочет продолжать занятия... Надо её убедить...|Die 2.Stunde war sogar nochmals deutlich besser, Tante Kira hat mir einen Blowjob gegeben und Lisa hat aufmerksam zugeschaut. Einfach himmlisch... Lisa will mir jedoch keinen blasen, ich bin mir nicht einmal sicher ob sie weitermachen will, also muss ich sie überzeugen.
poss.sed.step.30=Ну что... Лизу удалось убедить продолжить наши занятия. Не очень-то она долго и ломалась... Неужели, она мне отсосёт на глазах у тёти Киры?! Не верю!|Also gut, Lisa hat sich ganz einfach überzeugen lassen und will weiter machen mit unseren Stunden. Wird sie mir jetzt wirklich einen blasen unter der Aufsicht von Tante Kira?
poss.sed.step.31=Да! Лиза сделала это! Она мне отсосала и даже всё проглотила! Правда, она всем видом показала, что ей это жутко не понравилось... Но что делать. Нужно же ей учиться, правда? А что самое интересное, тётя Кира сказала нам тренироваться! Вот только как бы убедить Лизу в этом...|Jawohl! Sie hat es getan und sogar meinen Sperma geschluckt, auch wenn sie sich waehrendessen mir einen veraechtlichen Blick zugewurfen hat. Aber sie ist ja noch am lernen, oder? Wir haben wieder Hausaufgaben von Kira bekommen, jetzt gilt es nur noch Lisa zu überzeugen.
poss.sed.step.32=Мне удалось договориться с Лизой, чтобы она иногда на мне тренировалась... ну, училась делать минет... Вот только она готова это делать только, если я возьму на себя её наказание... Да уж. С одной стороны это забавно, а с другой - авторитет-то падает... Но какая награда!\n\n\nДа, это нужно сделать несколько раз. Тогда наши уроки продолжатся. Так сказала тётя Кира...|Ich habe mit Lisa einen Deal gemacht, bezueglich unseres gemeinsamen "Trainings". Sie ist dabei, wenn ich ab sofort alle Bestrafungen die ihr gelten auf meine Kappe nehme. Aber was ist schon eine Bestrafung gegen einen Blowjob, jedoch verliere ich an Authoritaet und dass ist ein <i>schlechter</i> Nebeneffekt, aber was solls... Blowjob ist Blowjob! \n\n\nIch sollte mit ihr einige Mal ueben bevor wir zur nächsten Stunde kommen.
poss.sed.step.33=Четвёртый урок был весьма неожиданным. Тётя Кира потребовала, чтобы я тоже доставлял им удовольствие... причём, своим собственным языком. К счастью, им обеим это очень понравилось. Конечно, Лиза очень смутилась, но позволила мне её ласкать... Интересно, что ещё она позволит?|Unsere vierte Stunde war sehr interessant. Ich sollte Tante Kira und Lisa mit meiner Zunge befriedigen, zu meinen gluecl fanden es beide toll. Obwohl Lisa sehr schuechtern und beschaemd dabei gewesen ist, aber sie hat mich gewaehren lassen. Ich frage mich was ich sonst nich alles mit ihr machen darf.
poss.sed.step.34=Пятый урок был ещё лучше! На этот раз я трахнул тётю Киру прямо в попку! Причём, ещё и Лизе пробку затолкали! Если так пойдёт дальше, я трахну их обеих! Ах... мечты, мечты... или нет?|Unsere fuenfte Stunde war sogar noch besser. Endlich durfte ich meinen Schwanz benutzen um Tante Kira in den Arsch zuficken. Lisa musste sich vorerst mit einen Buttplug begnuegen, ich denke mein Ziel mit beiden Sex zuhabe rueckt immer naeher.
poss.sed.step.35=Шестой урок был ещё лучше предыдущего! К сожалению, трахнуть Лизу не удалось, зато тётя Кира, как всегда, хороша! Она мне ещё и отсосала в самом конце! Это лучшая тётя на свете!|Auch wenn ich noch keinen Sex mit Lisa hatte war die 6. Stunde nochmals besser als zuvor. Kira hat mir zum Schluss wieder einen Geblasen, ich habe echt die beste Tante der Welt!
poss.sed.step.36=Да, да, да! Я сделал это! Я трахнул свою младшую сестрёнку прямо в попку! И даже кончил... вот она возмущалась... Ну а как я мог сдержаться? Я же об этом давно мечтал... А нет, даже и не мечтал! Это был лучший день в моей жизни!|Wie geil ich habe es endlich geschafft! Ich habe meiner kleinen Schwester in den Arsch gefickt und bin in ihr gekommen...was sie nicht so toll fand...aber was haette ich machen sollen, <i>nicht</i> kommen? Endlich hat sich mein Traum erfuellt... Ich glaube das war der beste Tag meines Lebens.
poss.sed.step.37=Это невероятно, но теперь я могу приглашать тётю Киру на ночь для... особых уроков. Конечно, она это делает не ради науки, а просто ей нравится трахаться. Но бонусом или даже главным призом является то, что мне удаётся ещё и Лизу оттрахать! Мечта стала реальностью!|Ich kann Tante Kira jederzeit einladen für unseren "Unterricht". Aber sie macht es nicht mehr um uns zu unterrichten sonder um Sex zuhaben. Da ich aber gleichzeitig Lisa auch ficken darf, koennte es kaum besser sein.
poss.sed.step.38=Кажется, во время очередного наказания Лизы что-то пошло не так: я заметил, что она возбудилась, но из-за чего? Из-за того, что я её наказывал или просто мы оказались наедине, она абсолютно голая... Или же дело в другом?|Als ich Lisa das letzte Mal für ihr Fehlverhalten bestraft habe ist etwas komisches passiert. Sie ist waehrend der Bestrafung feucht gewurden, aber warum? War es wegen der Bestrafung oder weil wir zwei alleine waren und sie splitterfasernackt?
poss.sed.step.39=Я пообщался с тётей Кирой на тему странного поведения Лизы. Кстати, сестрёнка приходила к тёте ещё до меня по тому же самому поводу. Деталей я не знаю, но тётя Кира решила помочь разобраться в странном поведении Лизы. Возможно, наш регулярный ночной урок в этот раз будет необычным...|Ich habe mit Tante Kira über Lisa's Reaktion auf meine Bestrafung gesprochen. Scheinbar ist Lisa mir schon zuvor gekommen und hat mit Tante Kira gesprochen. Ich weis nicht genau über was die beiden gesprochen haben, jedoch wird uns Tante Kira helfen drn Grund zufinden, bei  der nächsten gemeinsamen Stunde.
poss.sed.step.40=После особого ночного урока с тётей Кирой и Лизой, мы выяснили, что сестрёнку возбуждает не боль, а чувство беспомощности. Неужели, ей нравится, когда ею владеют? Ну так я не прочь! Теперь нужно приобрести наручники и немного поразвлекаться во время особых наказаний...|Die letzte Stunde war sehr erleuchtend, wir haben herausgefunden, dass Lisa vom Gefuehl der Hilflosigkeit geil wird. Will sie also wirklich hart ran genommen werden? Wer weis... Ich sollte mir aufjeden Fall für unsere nächste Bestrafung ein paar Handschellen organisieren, um dieses Gefuehl der Hilflosigkeit zu verstaerken.
poss.sed.step.41=Я придумал отличное применение для наручников - пока Лиза спит, её можно... использовать как девушку. Что самое интересное, ей это тоже нравится!|Ich habe noch eine weitere tolle Anwendungsmoeglichkeit für die Handschellen gefunden: Lisa fesseln waehrend sie schlaeft. Dann kann ich mit ihr machen was ich will und das Beste daran, sie mag es auch.
poss.sed.step.42=Наш разговор с тётей Кирой затронул очень щекотливую тему, а именно - невинность младшей сестрёнки. Тётя порекомендовала выяснить у Лизы, почему она не хочет сделать следующий шаг. Пожалуй, стоит поговорить с Лизой об этом.|Ich habe mit Tante Kira über Lisa's Jungfraeudigkeit gesprochen, sie meint ich solle mit Lisa sprechen warum sie diese so sehr verteidigt.
poss.sed.step.43=Я поговорил с Лизой насчёт её невинности. Много думал. Похоже, сестрёнка и правда ждёт своего единственного принца на белом коне... А точнее, она хочет романтических отношений. Похоже, у меня есть небольшой шанс дать ей именно то, что она хочет... Но с чего начать?|Ich hatte eine interessante Unterhaltung mit Lisa über ihre Jungfraeulichkeit, sie scheint auf den einen Richtigen zuwarten oder zumindest auf jemander der ohr den Hof macht. Und wenn ich ihr all dies geben kann, vielleicht habe ich dann eine Chance dieser Welche zu sein. Aber wo fange ich nur an...
poss.sed.step.44=Я пообщался с Лизой насчёт романтических отношений и почему-то я отказался. Может быть, это и к лучшему. Во всяком случае, я ничего не теряю и могу развлекаться со своей младшей сестрёнкой когда и как хочу. Ну... почти.\n\n\nНу и если я передумаю, то всегда можно вернуться к этой теме, хотя лучше немного выждать, хотя бы неделю...|Ich habe mit Lisa darüber gesprochen und musste Sie aber zurueckweisen, nur so koennen wir mit unseren Spielchen weitermachen und all den Spass den wir hatten. Naja nicht ganz jeden Spass.\n\n\nWenn ich mich doch noch anders entscheiden will, kann ich es später immer noch. Jedoch sollte ich mindestens eine Woche warten!
poss.sed.step.45=Итак, я решил попробовать романтические отношения с Лизой. Всё ещё сомневаюсь, что это хорошая идея, но почему нет? Я всего лишь могу потерять возможность трахаться с ней когда захочу и придётся ходить на свидания, дарить цветы и подарки? Или нет? Посмотрим.\n\n\nТак или иначе, решение принято и надо посмотреть куда это всё зайдёт. А для начала надо встретить её из школы, часов в 15.|Ich habe mich entschieden mit Lisa doch eine romantische Beziehung zufuehren, ich denke zwar nicht dass es viel bringt, aber Versuch macht schlau. Ich kann zwar jetzt keinen Sex mehr mit ihr haben, aber dafür gehen wir auf Dates und ich muss ihr Geschenke machen, top oder? Naja wir werden es sehen.\n\n\nEgal, jetzt muss ich es durchziehen und am besten ich fange an Lisa gegen 15Uhr bon der Schule abzuholen.
poss.sed.step.46=Ну что же, наконец-то у меня появился повод выйти из дома. И даже встретил Лизу после школы. Вот она удивилась! Мы немного погуляли и забрели в какую-то кофейню. Лиза сказала, что сомневается, что у нас что-то получится в плане романтических отношений, а точнее, она не хочет отказываться ни от чего. Ни от секса, ни от свиданий... Надеюсь, подарки дарить не придётся?|Ich habe jetzt einen sinnvollen Grund das Haus zu verlassen. Da ich Lisa nach der Schule treffen werde und wir in ein Cafe gehen. Lisa ist sich jedoch nicht sicher, ob das mit unserer Beziehung klappen wird und sie will dafür nicht aufhoeren mit unseren Spielchen. Jetzt habe ich also doch beides bekommen eine romantische Beziehung und unsere Spielchen, ich würde sagen der Deal steht!
poss.sed.step.47=На очередном свидании с Лизой мы наконец-то разобрались в наших отношениях. Ей нравятся наши шалости дома, а также свидания и всё что у неё есть, но при этом она не хочет связывать обязательствами ни меня, ни себя... Ну что же, я тоже ничего не теряю.\n\n\nПохоже, Лиза не стала бы ревновать даже если бы я начал с кем-то встречаться. Более того, Лиза решила мне помочь построить отношения с Викой, которая работает в кофейне, куда мы ходили с Лизой на свидания. Лиза сказала, что попробует лучше познакомиться с Викой и узнать о ней побольше.|Lisa und ich haben sich nochmal über die ganze Beziehungsgeschichte unterhalten und sie will nicht, dass wir uns fest aneinander binden, also haben wir eine offene Beziehung. Klingt ja auch nicht schlecht, oder?\n\n\nDas Sahnehaeubchen an der Geschichte ist, Lisa schaut gerne zu wenn ich Sex habe und will mich daher mit Vicky zusammenbringen.
poss.sed.step.48=Лиза стала ходить в кофейню и общаться с Викой. Узнала много интересного... Похоже, её больше заботит моя личная жизнь, чем своя собственная. Нужно будет выяснить, в чём причина такой заботы...\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.</i>|Lisa hat sich mit Vicky angefreundet um sie besser kennen gelernt. Es scheint fast so als waere Lisa mehr an meinen Sexualleben interessiert als an ihrem eigenen, aber warum nur?\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.secretbook.name=Особые книги|Anzuegliche Romane
poss.secretbook.step.1=Алиса читает какие-то книги, но не хочет говорить о них. На порно журналы не похоже... Что же ещё там может быть? Нужно попытаться выяснить это как можно скорее... Любопытно же!|Alice liest seit neuestem Buecher, will mir aber nicht verraten was der Inhalt ist. Sie sehen zwar nicht wie Hardcore Sex Buecher aus, aber was koennten sie dann sein? Ich sollte dem nachgehen.
poss.secretbook.step.2=poss.secretbook.2@Я нашёл какую-то книгу, но из названия ничего не понятно, а читать саму книгу ни времени, ни желания нет. Может быть, поискать о ней информацию в интернете?|Ich habe eins dieser Buecher gefunden und der Titel ist zu nichtssagend um damit etwas anfangen zukoennen. Ich sollte im Internet danach schauen, bevor ich es noch lesen muss um drn Inhalt zuerfahren.
poss.secretbook.step.3=poss.secretbook.2@Вот это да! Я был не так далёк от истины. Конечно, это не порно, но уж точно эротика, да ещё какая! Видимо, Алисе нравятся любовные романы с эротическими оттенками, так сказать. Может быть, стоит ей подарить подобную книгу и посмотреть на её реакцию?|Okay, ich habe fast den Nagel auf den Kopf getroffen. Es ist zwar nichts haerteres, aber es sind definitiv Schmudelromane und nicht die leichte Sorte. Ich koennte ihr welche der selben Sorte schenken und schauen wie sie reagiert.
poss.secretbook.step.4=Судя по реакции Алисы, подарок ей понравился. Видимо, стоит периодически заходить в книжный интернет-магазин и смотреть новинки. Возможно, таким образом удастся чуть-чуть улучшить отношения с Алисой.\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.</i>|So wie es scheint, mag sie meine kleinen Geschenke sehr. Ich sollte also ab und zu im Shop nach Neuen schauen.\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.smoke.name=Дым сигарет|Rauchen
poss.smoke.step.1=Оказалось, что Алиса курит. Причём, она старается это делать, когда дома никого нет. Это можно использовать... Рассказать маме самому или подставить Алису, чтобы мама сама догадалась... А может быть, всё это позволит наладить с Алисой отношения? Столько вариантов. Какой же выбрать?|Alice hat mit dem Rauchrn angefangen! Und sie versucht es zu verheimlichen indem sie nur raucht, wenn niemand Zuhause ist. Ich koennte das gegen sie verwenden...soll ich es Mum petzen oder ihr einen Hinweis hinterlassen, damit sie selbst drauf kommt? Oder ich halte dicht und um die Beziehungen zu Alice zu verbessern. So viele Optionen welche soll ich nur nehmen?
poss.smoke.step.2=poss.smoke.2@Мама всё узнала про сигареты и Алиса была наказана. Причём, серьёзно так, у всех на глазах, да по голой заднице. Что самое печальное - Алиса знает, что это я её сдал. Так что, она меня теперь ненавидит, наверное... Неизвестно, получится ли теперь завоевать её доверие...\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.</i>|Mum hat herausgefunden, dass Alice raucht und eine harte Bestrafung für sie gewaehlt. Alice bekommt ihren nackten Arsch vor uns versohlt. Dummerweise kann sie sich denke, wer sie verraten hat und wird mich jetzt wahrscheinlich hassen. Keine Ahnung ob ich hier Vertrauen wiedergewinnen kann.\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>
poss.smoke.step.3=Мама почувствовала сигаретный дым, но я не сдал Алису. Кажется, сестрёнка это оценила. Вот только что мешает её подставить, чтобы мама узнала об этом не от меня, а как бы сама что-то нашла? И я не при делах!\n\nА может быть, эта вредная привычка Алисы поможет мне улучшить с ней отношения?\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.|Mum hat den Rauch bemerkt, aber ich habe Alice nicht verraten. Ich koennte Alice immer noch anschwaerzen ohne das es auf mich zurueckfaellt\n\n\nOder aber ich bin still und verbessere damit meine Beziehung zu Ihr.\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.swap.name=Одноклассник|Klassenkamerad
poss.swap.step.1=Очевидно, Лиза по уши влюблена в какого-то своего одноклассника по имени Алекс. Как она рассказала, у него есть подруга Оливия, самая красивая девочка в школе. Лиза ждёт от меня помощи в виде совета - как ей быть дальше.\n\nВ голову приходит сразу три варианта: предложить ей забыть об этом парне, предложить ей сражаться с Оливией за Алекса до конца или же помочь переключить внимание Оливии на кого-то другого...\n\n\nДа, и похоже о своём мальчике Лиза разговаривает только, когда у неё хорошее настроение...|Lisa hat sich in einen Klassenkameraden verliebt, aber dieser ist mit dem hübschesten Maedchen der Schule zusammen  Olivia. Ich kann Lisa helfen indem wir uns ein Vorgehen für sie überlegen.\n\n\nWir haben drei Optionen:\n1. Sie schlaegt sich ihn aus den Kopf.\n2. Sie kaempft gegen Olivia um ihn zubekommen.\n3. Wir lenken Olivias Aufmerksamkeit auf jemanden anderes.\n\n\n Oh und Lisa mag nur über ihn reden, wenn Sie in guter Stimmung ist.
poss.swap.step.2=Я предложил Лизе забыть о её парне и, похоже, она прислушалась к моему совету. Конечно, она расстроилась, но может быть это и к лучшему? Возможно, она сосредоточит своё внимание на ком-то, кто всегда рядом?|Ich habe Lisa geraten Alex zu vergessen und sie hat meinen Rat angenomm. Sie ist jetzt sehr sauer wegen meiner Entscheidung, aber es ist ja zu ihrem Besten oder? Da sie ihre Aufmerksamkeit jetzt auf Jemanden richten kann, der besser für sie ist und in ihrer Naehe.
poss.swap.step.3=Я убедил Лизу, что нужно бороться за своё счастье. Осталось только разработать план и достичь поставленной цели!|Ich habe Lisa ermutigt für ihre Liebe zukaempfen, ich sollte mir aber noch einen Plan einfallen lassen, wie sie dies schaffen kann.
poss.swap.step.4=Я разработал хитрый план, который сделает всех счастливыми: Лиза должна подужиться с Оливией, стать её лучшей подругой, познакомить её со мной, а я её соблазню... Ну, попытаюсь. Но если получится, то у меня будет девушка, а у Лизы её Алекс. Отличный план! Вот только как соблазняют самых красивых девочек школы?|Ich glaube mir ist da eine gute Idee gekommen wie jeder von uns beiden bekommt was er will. Lisa muss sich mit Olivia anfreunden, sie mir dann vorstellen und ich werde sie verfuehren...aeaeh, oder es zumindest probieren. Sollte ich Erfolg haben, wird Alex frei sein für Lisa und ich selbst habe eine Freundin für mich. Gut soweit, nur wie verfuehrt man das hübscheste Maedchen der Schule am besten?

poss.swap.step.10=Ну всё, теперь у меня есть девушка! Причём, эта девушка... Лиза, моя младшая сестрёнка! Да, наши отношения теперь в секрете, многое нельзя, но зато Лиза больше не думает о своём Алексе, ведь у неё есть я!\n\n\n<i><b>Внимание:</b> На данный момент это всё, чего можно достичь в данном ответвлении этой возможности.</i>||Nach langem hin und her, habe ich jetzt eine endlich Freundin! Und sie ist keine geringere als meine kleine Schwester, Lisa. Es versteht sich von allrine, dass wir es nicht oeffentlich zeigen koennen und Lisa erlaubt mir auch nur wenige Freiheiten, aber sie hat aufgehoert an Alex zudenken!\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.
poss.swap.step.11=Звёзды сложились не очень удачно и Лиза меня бросила. Из-за какой-то ерунды! Блин, ну как так... Ладно, найду себе другую девушку. А Лиза пусть идёт к своему Алексу или о ком она там теперь мечтает...\n\n\n<i><b>Внимание:</b> На данный момент это финальная точка для данного ответвления этой возможности.</i>|Lisa hat mit mir Schluss gemacht, wegen einer dummen Kleinigkeit, wie kann sie es nur wagen! Na gut, dann suche ich mir eben eine neue Freundin und Lisa kann ihrem Alex hinterher schmachten oder wem auch immer!\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.

poss.swap.step.20=Кажется, Лиза всерьёз отказалась от идеи бороться за Алекса. Теперь у меня есть шанс! А ещё она рассказала, что без ума от накачанных парней. Кажется, мне нужно немного натренировать мышцы. А где и когда это лучше делать, если не утром, вместе с мамой?|Endlich ist meine Zeit gekommen, Lisa scheint mit Alex abgeschlossen zuhaben. Sie meinte ganz beilaeufig, dass sie auf trainierte Kerle steht. Ich sollte also was für meine Fitness tun und was waere da naheliegender als mit Mum am fruehen Morgen Joga zumachen.
poss.swap.step.21=Видимо, у меня есть шанс на какие-то отношения с Лизой! Правда, она выдумала какие-то условия, но я справлюсь. Всего-то нужно: два раза в неделю делать зарядку и принести ей $1000. Ерунда какая...|Ich glaube ich habe eine ganz gute Chance bei Lisa zu landen. Sie hat zwar einige Bedingungen, aber die sollte ich mit Leichtigkeit erfuellen koennen. für den Anfang muss ich ihr 1000$ geben und 2mal die Woche trainieren, klingt machbar.
poss.swap.step.22=Итак, я прошёл её особое испытание, а именно - принёс Лизе $1000. С зарядкой тоже полный порядок - два раза в неделю это пустяки... Она взяла время, чтобы ещё немного подумать. Интересно, что ещё она попросит?\n\n\n<i><b>Внимание:</b> Для дальнейшего развития необходим некоторый прогресс в возможности «Наставник». Кроме того, стоит подождать решения Лизы хотя бы пару дней.</i>|Ich habe Lisa's Bedingungen eingehalten und ihr 1000$ gegeben. Und die 2mal Training in der Woche sind auch ein Klacks. Sie braucht jedoch noch weitere Zeit um sich neue Bedingungen zu überlegen, ich bin gespannt was es sein wird!\n\n\n<i><b>Achtung:</b> Der weitere Verlauf dieses Chance ist abhaenig vom "Mentoring" Fortschritt. Lass ein paar Tage vergehen bevor du sie darauf erneut ansprichst.</i>

poss.swap.step.30=Лизе удалось выяснить кое-что о подруге Алекса, Оливии. Оказалось, что она не такая уж и скромная, когда находится с кем-то наедине. Судя по рассказам Лизы, она хитрая двуличная стерва.\n\n\nНо лично меня заинтересовала другая деталь: Оливия не носит нижнее бельё. Видимо, поэтому все мальчики пытаются заглянуть под её юбку. Отличный повод убедить Лизу делать то же самое...|Lisa hat etwas neues über Alex's Freundin herausgefunden, scheinbar stellt sie sich nur schuechtern und wenn man mit ihr alleine ist, dann zeigt sie ihr wahres Gesicht.\n\n\nWas mir wichtige erscheint ist der Fakt, dass Olivia keine Unterwaesche traegt. Vielleicht einer der Gruende warum alle Kerle hinter ihr her sind, ich sollte Lisa motivieren ihr in dieser Sache nachzuahmen.
poss.swap.step.31=На этот раз Лизе удалось выяснить кое-что ещё более интересное об Оливии и Алексе. Кажется, она очень богатая. Лиза предположила, что по этой причине Алекс с ней и общается.\n\n\nЯ предложил изобразить Лизе, что она тоже из богатой семьи. Дом уже есть. Остались предметы роскоши типа украшений. Осталось самое простое - нужно покупать ювелирные украшения и дарить их Лизе, чтобы она хвасталась перед другими...\n\n\nНеужели, Лиза не понимает, что если парень будет с нею из-за денег, то грош цена такому парню. Ну да ладно. Как минимум, она будет мне рада, если я буду делать ей такие подарки...|Dieses Mal hat Lisa mir berichtet, dass Alex nur an dem Geld von Olivia's Familie interessiert ist und er deswegen mit ihr zusammen ist.\n\n\nIch denke wenn Lisa so tut, als waere sie auch von einer reichen Familie würden sie noch rine Gemeinsamkeit mehr haben. Und da wir ja schon eine kleine Villa besitzen, braucht Lisa nur noch etwas Schmuck für ein stimmiges Gesamtbild. Also sollte ich schnellstmoeglich ein paar Klunckern besorgen.\n\n\nLisa sollte eigentlich langsam klar werden was Alex für eine Typ Kerl ist und er es nur auf ihr Geld abgesehen hat. Naja, warten wir ab ob sir noch zu Vernunft kommt, zumindest freut sie sich immer über meine Geschenke.
poss.swap.step.32=Лиза призналась, что мои подарки действительно помогают ей. Правда, не с Алексом, а с другими парнями. Кажется, они начали к ней клеиться. К моей сестрёнке! Эх. Я даже намекнул ей, что мог бы стать для неё неплохим парнем, но она восприняла это всё в шутку... Может быть, продолжить дарить всякие штуки?|Lisa hat mir berichtete, dass ihr neuer Schmuck für einigen Aufruhr gesorgt hat, nur leider nicht von Alex. Eine ganze Herde von Kerlen ist jetzt hinter Lisa her, ich habe mich als ihr Freund angeboten, sie hat es aber als Witz abgetan. Ich sollte ihr weiterhin klrine Aufmerksamkeiten schenken, sie wird schon noch drauf kommen.
poss.swap.step.33=Похоже, Лиза сдалась. Во всяком случае, она опустила руки и уже не пытается бегать за этим своим Алексом. Зато она впервые задумалась о том, чтобы я стал её парнем. Так сказать, секретным парнем. Уж не знаю, что она там надумает... Но было бы здорово!\n\n\n<i><b>Внимание:</b> Для дальнейшего развития необходим некоторый прогресс в возможности «Наставник». Кроме того, стоит подождать решения Лизы хотя бы пару дней.</i>|Endlich, Lisa hat Alex scheinbar abgeschrieben und macht sich nun mehr Gedanken über uns beiden, vielleicht will sie ja meine geheime Freundin sein? Das waere doch was, oder?\n\n\n<i><b>Achtung:</b> Der weitere Verlauf dieses Chance ist abhaenig vom "Mentoring" Fortschritt. Lass ein paar Tage vergehen bevor du sie darauf erneut ansprichst.</i>

poss.swap.step.40=Итак, мы приступили к реализации сложного плана по завоёвыванию Алекса для Лизы через Оливию... Но для начала нужно понять как с ней подружиться. Для этого Лиза попытается подружиться с кем-то, кому нравится Оливия, чтобы выпытать у него побольше информации об этой девушке...\n\n\nДа, сам бы я до такого не додумался, но Лиза считает, что это мой план!|Lisa hat meinen Masterplan zugestimmt, Alex und Olivia auseinander zubringen um sie jeweils für uns selbst zuhaben. Als erstes müssen wir einen Weg finden naeher an Olivia ran zukommen. lisa wird sich als erstes mit ein paar Lerlen anfreunden, welche viel mit Olivia unterwegs sind, um ein paar Info's über sie zubekommen.\n\n\nVon alleine waere ich da nie drauf gekommen, aber Lisa hat sich einfach so angeboten und ist sogar im glauben, dass es ganz allein meine Idee war.
poss.swap.step.41=Лизе удалось выяснить одну любопытную особенность Оливии: она не носит нижнее бельё! Конечно, это не очень много, но хоть что-то. Теперь я попросил Лизу выяснить причины у самой Оливии. Может быть, это что-то нам даст...|Lisa hat etwas interessantes über Olivia herausgefunden: Sie traegt keine Unterwaesche in der Schule, das ist zwar nicht viel, interessant aber alle mal. Lisa soll Olivia darauf ansprechen und versuchen mehr darüber in Erfahrungen zubringen.
poss.swap.step.42=Наконец-то этот гениальный план начинает исполняться! Лизе удалось выяснить, что Оливия не носит трусы, потому-что она из семьи каких-то нудистов или натуристов, не важно. И ещё она обожает бассейны, но их почему-то не работает. И Лиза, умничка, пригласила её к нам в гости купаться и загорать в ближайшую субботу!|Mein Masterplan scheint immer mehr an Form anzunehmen. Liss hat herausgefunden warum Olivia keine Unterwaesche traegt, sie kommt aus einer naturverbundenen Familie. Und sie geht gerne Schwimmen, jedoch hat ihr Pool aktuelle einige Problem und daher kann sie nicht wie gewohnt Zuhause schwimmen gehen. Und Lisa hat dies Chance gleich genutzt Olivia für nächsten Samstag zu uns einzuladen.
poss.swap.step.43=Я познакомился с Оливией! Да, она стоила того, чтобы столько ждать и планировать... Реальность даже немного превзошла все мои ожидания! Оливия абсолютно не стесняется своей наготы... Зато я и двух слов связать не смог, тугодум... Ну ничего, я ещё произведу впечатление... Хотя, кое-чем уже произвёл...|Heute habe ich Olivia getroffen und muss sagen sie ist sogar noch besser, als ich es mir vorgestellt habe. Sie ist nicht mal schuechtern wegen ihrer Freizuegigkeit! Als sie halb nackt vor mir stand konnte ich kaum sprechen, geschweige denn einen anstaendigen Satz rausbringen. Aber hey, aller Anfang ist schwer, das nächste mal werde ich sie ganz sicher um den Finger wickeln. Und einen großen Eindruck habe ich  schon hinterlassen,  auch wenn es nicht mein Charakter war.
poss.swap.step.44=Мне удалось немного поболтать с Оливией. Она оказалась не такой глупой, как я думал. Она весёлая, жизнерадостная, острая на язычок... Ох, попробовать бы его...|Ich habe mich bei diesen Besuch von Olivia mehr mit ihr unterhalten koennen. Sie scheint garnicht so auf den Kopf gefallen zusein, wie von mir angenommen. Sie ist ganz witzig, eine Frohnatur und hat eine besonders scharfe Zunge, welche ich gerne auch bei anderen Aktivitäten sehen würde als reden.
poss.swap.step.45=Мы с Лизой решили позвать Оливию и Алекса ночью. Оливия обожает бассейн, а Лизе нравится Алекс. Кажется, план отличный! Посмотрим, что из этого получится...|Lisa und ich haben entschieden Olivia und Alex einzuladen bei uns zu übernachten. Olivia mag unseren Pool und Alex mag Olivia, ich denke das wir ein vielversprechender Abend. Ich bin gespannt...
poss.swap.step.46=Лиза сказала, что Оливия и Алекс смогут прийти, если никто об этом не узнает. Другими словами, в идеале, если мамы, Алисы и Киры не будет дома...|Lisa hat mit den beiden gesprochen und wir treffen uns, wenn niemand Zuhause ist. Also müssen wir noch Mum, Alice und Tante Kira loswerden...

poss.swap.step.47=Ночью пришли Оливия и Алекс. Забавная парочка. Мы все немного поплескались в бассейне, а затем они ушли. Кажется, это может стать традицией. Кто знает, куда она заведёт?|Olivia und Alex waren letzte Nacht zu Besuch bei uns. Es war ein interessanter Abend und ich würde sagen wir haben eine neue Tradition geschaffen. Also nur noch abwarten, wo es uns hinfürt...
